	kallisto_quant_sample140	kallisto_quant_sample145	kallisto_quant_sample150	kallisto_quant_sample173	kallisto_quant_sample178
XM_044313592.1	108	46	63	105	131
XR_006395886.1	0	0	0	5.5001	138.96
XM_029343024.2	467.252	336.666	361.911	570.231	1234.37
XM_044327972.1	43.4987	20.6571	5.13969	12.0295	41.0488
XR_006392795.1	107.868	0	0	0	0
XM_044315346.1	20.4236	0	21.3448	17.5092	231.611
XM_044309244.1	5	26.3502	23	23.6188	73
XM_044326194.1	54.988	65	9	0	7
XM_044314742.1	73.2324	154.934	36.0007	270.357	1.24562
XM_044321213.1	0	0	0	0	0
XR_006392295.1	119.742	30.2757	10.724	38.2262	42.7603
XM_029354560.2	0	0	0	0	0
XM_029342319.2	0	0	2	0	18
XM_029328980.2	41.8041	0	0	0	0
XM_029330965.1	2056	1394	1037	1456	1394
XM_029351061.2	0	5.44086e-07	5.05401e-08	0	186.406
XM_044327462.1	1179	703	547	890	769
XM_029349959.2	693.74	211.635	302.525	560.795	105.308
XM_044318636.1	5.48149	4.15175	7.35208	12.75	25.1834
XM_029339856.2	0	0	0	0	0
XR_006397562.1	7.57377	2.65345	25.8477	88.6515	28.0253
XM_044328392.1	1441	924	792	1079	1246
XM_044321678.1	35.7598	113.629	136.881	86.1829	37.9862
XM_029333713.2	38	31	18	72	55
XM_029352718.2	63	528	320.506	45.698	448
XM_044318270.1	1239	797	942	3247	1382
XM_029345015.2	505	381	230	651	505
XR_006396656.1	618.834	572.958	225.421	515.45	413.818
XM_044326269.1	0	0	0	0	0
XM_044323596.1	11.2286	0	22.2483	0	0
XM_044322370.1	18	14	0	1	220
XM_029334675.2	740	505	500	774	894
XM_029330060.2	60.6941	49.8629	72.2187	32.5942	0
XM_044315445.1	2	140.296	2.05917	26	0
XM_044317870.1	20	10	0	7.0939	17
XM_044316549.1	0	0	0	0	0
XR_006393279.1	24.7325	24.5653	37	43.7035	83.1496
XM_044306976.1	405.936	320.132	303.427	330.313	403.937
XM_044318031.1	65	20	45	62	47
XR_006397318.1	200.675	81.5262	11.6292	125.637	163.042
XM_029337337.2	122.546	107.828	29.8565	0	68.4432
XR_006395618.1	135	56	95	152	172
XM_029332465.2	0	0	0	0	7
XM_029331931.2	707.132	305.67	456.287	979.661	911.169
XR_003826325.2	24.0788	13.7811	53.5352	29.6634	23.3207
XM_044315417.1	277.387	0	280.845	0	0
XR_003827962.2	184.793	20.3618	116.423	124.543	247.915
XM_044311906.1	156.967	53.2181	7.86862	17.846	32.6834
XM_044323690.1	10	0	1	0	15
XM_044317898.1	14	19	36	51	13
XM_044325680.1	4.8151	15.289	82.0495	10.2032	49.4127
XR_006396092.1	138	16	22	35	17
XM_044315675.1	0	13.8085	2.84393	0	17.8797
XM_044315497.1	0	0	0	2	2
XM_044323687.1	2	1	0	24	0
XM_044316066.1	2.70899	0	0	27.1076	0
XR_006397303.1	1	0	13	4	6
XM_044322516.1	26	0	3	4	39
XR_006392013.1	241	1	33	17	69
XM_029335367.2	4109.3	4578.21	3796.87	4216.77	4186.71
XR_006394713.1	0	0	0	0	0
XR_006393706.1	2.40334	0	1.20313	5.02157	1.22151
XM_044327193.1	0	0	0	0.00976171	0
XM_029354142.2	206.702	11.9379	0	27.6722	364.323
XM_044314550.1	1.04791	6.58597	11	1.42753	9.34299
XR_006397639.1	0	0	0	0	0
XM_029338156.2	1229.81	944.01	1791.69	11349.8	3036.69
XM_029350361.2	0	43.2644	49.8239	68	19.0279
XM_029351145.2	3.28602e-06	30.2949	13.9614	81.4798	46.3488
XM_029337805.2	1304	865	1461	1121	1215
XM_044307687.1	0	125	36	72	116
XM_029329527.2	4448	3044	2537	3532	2840
XM_044321358.1	63.6739	9.85674	108.947	0	22.3977
XM_029341410.2	34	76.3318	32	38.4653	130.052
XM_029325183.2	18.4028	137.618	54.0227	246.533	126.613
XM_044307023.1	0	0	2.24463	0	8.35814
XM_029333541.2	3713	5804	2790	3085	2604
XM_044325733.1	0	0	0	0	0
XM_044313596.1	134	121	0.148433	155	275.61
XM_029331475.2	196.925	367.964	59.7692	20.4693	125.022
XR_003828638.2	0	0	0.285172	0	0
XM_029343026.2	523	378	361	273	1009
XM_029330373.2	17.9995	0.999951	14.9999	0	104.749
XM_029331089.2	127.106	81.0135	0.109378	118.473	345.835
XM_044306794.1	169.366	33.1079	40.1997	72.1031	57.3018
XM_044310573.1	0	0	0	0	0
XM_044326252.1	0	0	0	0	0
XM_044314926.1	0	0	0	0	0
XM_029340298.2	0.00319436	114.239	12.1101	0	0
XM_044328584.1	0	0	0	0	0
XM_044318273.1	450.743	600.62	139.452	250.099	251.219
XM_044324763.1	2.06516	4.54006	0	10.898	0
XM_029336641.2	218.473	555.672	153.044	698.535	1306.32
XM_044319320.1	1008.03	702.332	639.236	766.583	794.432
XM_029328820.2	0	0	0	0	0
XM_029338314.2	3504.4	2450.26	1691.01	2330.5	1833.14
XR_006395695.1	2.99681	0	0	0	2.76343
XM_029345720.2	0	0	16	9	15.0881
XM_044327733.1	2	0	0	0	0
XM_029352416.2	31.679	0	2.96566e-05	0	0
XM_044320696.1	0	0	0	0	0
XM_044325060.1	10	0	1	0	10
XR_006397098.1	8.5252	0	0	0	27.7638
XM_029340639.2	537.472	225.841	235.266	359.963	408.218
XM_044318491.1	41.1175	1051.78	76.3163	22.7862	39.6169
XM_029353050.2	1130.88	1111.2	459.604	652.416	696.174
XM_044308809.1	209.073	31.7604	395.119	277.115	565.249
XM_044320264.1	0	0	53.3126	0.000631944	142.955
XM_044311574.1	4.60309	0	4.49751	7.23249	18.1382
XR_006394329.1	0	0	0	0	0
XR_006395319.1	219.397	263.61	105.888	184.262	286.432
XM_044320645.1	0.0146047	24.2503	18.008	17.7744	0
XR_006393893.1	41.4353	1.7713	24.8023	4.91995	150.901
XM_029335884.2	100.17	100.77	0	100.208	33.5861
XM_029350452.2	45.5009	2.57776e-08	9.3812e-05	0	278.681
XM_029332793.2	248.188	74.5918	40.7637	128.399	68.1494
XM_044309348.1	1680.61	1066.5	1199.71	1169.89	4314.75
XM_044316872.1	91.5572	0.0172027	0.00356416	0.0082272	0.00888306
XM_044325340.1	0.00364842	0	0	0	0
XM_044312521.1	149.953	30.9073	0	0	0.000119666
XM_029329890.2	1362	1365	833	1466	1108
XM_029335562.2	13.5942	0	0	0	35.8279
XR_006395903.1	5.4693	0	0	0	0
XM_044316495.1	0	21	14	0	20
XM_044326662.1	0	0	0	0	0
XM_044315053.1	0	0	0	0	0
XM_044321891.1	751	745	378	695	627
XM_044328579.1	97.9487	0	55.3684	110.328	5.17877e-06
XR_006394538.1	0	0	0	0	0
