"qseqid" "sseqid" "pident" "length" "mismatch" "gapopen" "qstart" "qend" "sstart" "send" "evalue" "bitscore"
"1" "transcript::ntLink_6:5155137-5159371" "Cluster_1832::ntLink_6:5157537-5157626(+)" 100 90 0 0 2400 2489 1 90 7.22e-43 163
"2" "transcript::ntLink_6:5155137-5159371" "Cluster_1832::ntLink_6:5157537-5157626(+)" 100 90 0 0 2400 2489 1 90 7.22e-43 163
"3" "transcript::ntLink_6:5156340-5159371" "Cluster_1832::ntLink_6:5157537-5157626(+)" 100 90 0 0 1197 1286 1 90 5.16e-43 163
"4" "transcript::ntLink_6:4834719-4876081" "Cluster_1826::ntLink_6:4847443-4847535(-)" 100 93 0 0 12724 12816 93 1 1.6e-43 168
"5" "transcript::ntLink_6:13329954-13369257" "Cluster_1951::ntLink_6:13351746-13351842(-)" 100 97 0 0 21792 21888 97 1 1.02e-45 176
"6" "transcript::ptg000001l:5544306-5580019" "Cluster_2463::ptg000001l:5548841-5548934(-)" 100 94 0 0 4535 4628 94 1 3.96e-44 170
"7" "transcript::ptg000002l:14041039-14052409" "Cluster_3367::ptg000002l:14046541-14046634(+)" 100 94 0 0 5502 5595 1 94 1.28e-44 170
"8" "transcript::ptg000002l:14041039-14052409" "Cluster_3366::ptg000002l:14046235-14046328(+)" 100 94 0 0 5196 5289 1 94 1.28e-44 170
"9" "transcript::ptg000007l:908509-921806" "Cluster_4220::ptg000007l:915905-916002(-)" 100 98 0 0 7396 7493 98 1 1e-46 178
"10" "transcript::ptg000009l:611774-618362" "Cluster_5900::ptg000009l:616579-616673(-)" 100 95 0 0 4805 4899 95 1 2.14e-45 172
"11" "transcript::ptg000009l:611774-618362" "Cluster_5899::ptg000009l:616285-616377(-)" 100 93 0 0 4511 4603 93 1 2.61e-44 168
"12" "transcript::ptg000009l:613601-618362" "Cluster_5900::ptg000009l:616579-616673(-)" 100 95 0 0 2978 3072 95 1 1.57e-45 172
"13" "transcript::ptg000009l:613601-618362" "Cluster_5899::ptg000009l:616285-616377(-)" 100 93 0 0 2684 2776 93 1 1.91e-44 168
"14" "transcript::ptg000009l:4929027-4948436" "Cluster_5981::ptg000009l:4940515-4940609(-)" 100 95 0 0 11488 11582 95 1 6.24e-45 172
"15" "transcript::ptg000016l:7787959-7823075" "Cluster_10051::ptg000016l:7795508-7795602(+)" 100 95 0 0 7549 7643 1 95 1.11e-44 172
"16" "transcript::ptg000016l:8593882-8603986" "Cluster_10057::ptg000016l:8599833-8599925(-)" 100 93 0 0 5951 6043 93 1 4.01e-44 168
"17" "transcript::ptg000016l:11748348-11760789" "Cluster_10093::ptg000016l:11751358-11751448(-)" 100 91 0 0 3010 3100 91 1 5.93e-43 165
"18" "transcript::ptg000016l:11748351-11760789" "Cluster_10093::ptg000016l:11751358-11751448(-)" 100 91 0 0 3007 3097 91 1 5.93e-43 165
"19" "transcript::ptg000016l:11748671-11760568" "Cluster_10093::ptg000016l:11751358-11751448(-)" 100 91 0 0 2687 2777 91 1 5.67e-43 165
"20" "transcript::ptg000016l:11748715-11760789" "Cluster_10093::ptg000016l:11751358-11751448(-)" 100 91 0 0 2643 2733 91 1 5.76e-43 165
"21" "transcript::ptg000018l:2280996-2290234" "Cluster_10419::ptg000018l:2286780-2286870(+)" 100 91 0 0 5784 5874 1 91 4.46e-43 165
"22" "transcript::ptg000023l:18698522-18723762" "Cluster_14402::ptg000023l:18708903-18708996(+)" 100 94 0 0 10381 10474 1 94 2.8e-44 170
"23" "transcript::ptg000023l:37964178-37968910" "Cluster_14768::ptg000023l:37965243-37965338(+)" 100 96 0 0 1065 1160 1 96 4.46e-46 174
"24" "transcript::ptg000023l:38035263-38040884" "Cluster_14768::ptg000023l:37965243-37965338(+)" 100 96 0 0 1070 1165 1 96 5.23e-46 174
"25" "transcript::ptg000024l:4085668-4087287" "Cluster_15316::ptg000024l:4086202-4086295(+)" 100 94 0 0 534 627 1 94 1.87e-45 170
"26" "transcript::ptg000025l:1976289-1990446" "Cluster_15671::ptg000025l:1981692-1981783(+)" 100 92 0 0 5403 5494 1 92 1.93e-43 167
"27" "transcript::ptg000025l:10491944-10502595" "Cluster_15851::ptg000025l:10501030-10501125(+)" 100 96 0 0 9086 9181 1 96 9.93e-46 174
"28" "transcript::ptg000025l:10491944-10502595" "Cluster_15851::ptg000025l:10501030-10501125(+)" 100 96 0 0 9086 9181 1 96 9.93e-46 174
"29" "transcript::ptg000025l:10668087-10677231" "Cluster_15854::ptg000025l:10668901-10668998(-)" 100 98 0 0 814 911 98 1 7e-47 178
"30" "transcript::ptg000035l:5335161-5347816" "Cluster_18728::ptg000035l:5346032-5346127(+)" 100 96 0 0 10871 10966 1 96 1.17e-45 174
"31" "transcript::ptg000035l:5335634-5347816" "Cluster_18728::ptg000035l:5346032-5346127(+)" 100 96 0 0 10398 10493 1 96 1.12e-45 174
"32" "transcript::ptg000035l:5336170-5347816" "Cluster_18728::ptg000035l:5346032-5346127(+)" 100 96 0 0 9862 9957 1 96 1.07e-45 174
"33" "transcript::ptg000035l:5336225-5347816" "Cluster_18728::ptg000035l:5346032-5346127(+)" 100 96 0 0 9807 9902 1 96 1.07e-45 174
"34" "transcript::ptg000035l:5336231-5347816" "Cluster_18728::ptg000035l:5346032-5346127(+)" 100 96 0 0 9801 9896 1 96 1.07e-45 174
"35" "transcript::ptg000035l:4337555-4340587" "Cluster_18711::ptg000035l:4339550-4339641(-)" 100 92 0 0 1995 2086 92 1 4.24e-44 167
"36" "transcript::ptg000039l:33382-41881" "Cluster_19193::ptg000039l:35764-35856(-)" 100 93 0 0 2382 2474 93 1 3.37e-44 168
