"target","PCC.cor","p_value","given_miRNA_name","gene","type"
"Pocillopora_meandrina_HIv1___RNAseq.g13326.t1",0.959194987668137,0.00983394845986057,"ptuh-mir-novel-7","USP48-201","epimachinery"
"Pocillopora_meandrina_HIv1___RNAseq.g14958.t1",0.927936814689763,0.0229695778538617,"ptuh-mir-novel-3","BAP1-202","epimachinery"
"Pocillopora_meandrina_HIv1___RNAseq.g3032.t1",-0.8821591030364,0.0476923187328992,"ptuh-mir-novel-32","Hdac4-201; Hdac5-201; Hdac7-204; Hdac9-204","epimachinery"
"Pocillopora_meandrina_HIv1___RNAseq.g1868.t2",-0.919577770180048,0.0270450904634974,"ptuh-mir-novel-33","Sirt7-201","epimachinery"
"Pocillopora_meandrina_HIv1___RNAseq.g4104.t1",0.878873396965531,0.0496753425334264,"ptuh-mir-novel-26","Kat2a-202; Kat2b-201","epimachinery"
"Pocillopora_meandrina_HIv1___RNAseq.g14538.t3",0.884148822126808,0.0465039524686314,"ptuh-mir-novel-16","MCM3AP-201","epimachinery"
"Pocillopora_meandrina_HIv1___RNAseq.g9373.t1",0.90656188463062,0.0338016180075663,"ptuh-mir-novel-6","Hspbap1-202","epimachinery"
"Pocillopora_meandrina_HIv1___RNAseq.g6837.t1",-0.89278917720902,0.0414554336883265,"ptuh-mir-novel-33","PKN1-201","epimachinery"
"Pocillopora_meandrina_HIv1___RNAseq.g21765.t1",0.895630469714758,0.0398360150268936,"ptuh-mir-novel-24","HNRNPA2B1-201","epimachinery"
"Pocillopora_meandrina_HIv1___RNAseq.g6000.t1",-0.96651066577516,0.00731981147339898,"ptuh-mir-novel-10","UBR2-202","epimachinery"
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1",0.92628888480603,0.0237559451001681,"ptuh-mir-novel-24","DIS3L","ncRNA machinery"
"Pocillopora_meandrina_HIv1___RNAseq.g1120.t1",-0.904967505976228,0.0346619015642873,"ptuh-mir-novel-4","TNRC6","ncRNA machinery"
"Pocillopora_meandrina_HIv1___RNAseq.g17125.t1",0.964768718331666,0.00789619771820488,"ptuh-mir-novel-5","MTREX","ncRNA machinery"
"Pocillopora_meandrina_HIv1___RNAseq.g29941.t1",0.896907582608973,0.0391148363976501,"ptuh-mir-novel-6","AGO3; AGO4; AGO1; AGO2","ncRNA machinery"
"Pocillopora_meandrina_HIv1___RNAseq.g7872.t2",-0.92263620402981,0.0255290985393237,"ptuh-mir-novel-6","KHSRP","ncRNA machinery"
"Pocillopora_meandrina_HIv1___RNAseq.g23590.t1",0.959056511548265,0.00988384161945378,"ptuh-mir-novel-7","LIN28A","ncRNA machinery"
