"target","PCC.cor","p_value","given_miRNA_name","gene","type","species","category"
"FUN_006885",0.890234055258189,0.0429291540093052,"apul-mir-novel-19","USP19-205","epimachinery","A. pulchra","Ubiquitin signaling"
"FUN_034727",0.956914300026385,0.0106661266299942,"apul-mir-novel-15","USP7-201","epimachinery","A. pulchra","Ubiquitin signaling"
"FUN_038060",-0.895464634291254,0.0399299687648798,"apul-mir-100","USP31-201; USP43-201","epimachinery","A. pulchra","Ubiquitin signaling"
"FUN_022863",0.964482351901114,0.00799231837934494,"apul-mir-novel-15","PAN2-201","epimachinery","A. pulchra","ncRNA biogenesis & silencing"
"FUN_038633",-0.965103191651987,0.00778441455860867,"apul-mir-novel-8a; apul-mir-novel-8b","JOSD1-210; JOSD2-204","epimachinery","A. pulchra","Ubiquitin signaling"
"FUN_032607",-0.975958718540844,0.0044585937900913,"apul-mir-2022","PSMD14-201","epimachinery","A. pulchra","Ubiquitin signaling"
"FUN_041920",0.888825447744244,0.0437485594212139,"apul-mir-novel-31","COPS6-201","epimachinery","A. pulchra","Ubiquitin signaling"
"FUN_001354",0.900622422690111,0.0370411435512327,"apul-mir-novel-23","Parp5a-Tnks-201; Parp5b-Tnks2-201","epimachinery","A. pulchra","ADP-ribosylation"
"FUN_040029",0.913195885033744,0.0302975307260697,"apul-mir-novel-17","Parp7-Tiparp-201","epimachinery","A. pulchra","ADP-ribosylation"
"FUN_035359",0.950197872299795,0.0132414190229134,"apul-mir-novel-13","Parp9-203; Parp14-201; PARP15-202","epimachinery","A. pulchra","ADP-ribosylation"
"FUN_038088",0.948635703744417,0.0138660003857955,"apul-mir-novel-9","Arh1-Adprh-201","epimachinery","A. pulchra","ADP-ribosylation"
"FUN_004512",0.894727717810455,0.0403483184310343,"apul-mir-novel-31","Kat14-201","epimachinery","A. pulchra","Histone modification"
"FUN_001425",0.979904384096992,0.00340935625727997,"apul-mir-novel-23","Kdm3a-201; Kdm3b-201; Kdm3c-Jmjd1c-211","epimachinery","A. pulchra","Histone modification"
"FUN_028309",0.924708079938328,0.0245182704045562,"apul-mir-novel-23","Kdm6a-202; Uty-201","epimachinery","A. pulchra","Histone modification"
"FUN_017901",-0.890212748647493,0.0429415116607347,"apul-mir-2030","MAP3K12-205","epimachinery","A. pulchra","Chromatin signaling"
"FUN_036826",0.899082054157667,0.037896631914403,"apul-mir-2023","Chuk-201","epimachinery","A. pulchra","Chromatin signaling"
"FUN_011179",0.965113242711184,0.00778106354057356,"apul-mir-novel-9","Kmt5a—Setd8-202","epimachinery","A. pulchra","Histone modification"
"FUN_040713",-0.951339321136891,0.0127910297919774,"apul-mir-novel-27","Mbd2-201; Mbd3-201","epimachinery","A. pulchra","DNA methylation & reading"
"FUN_038347",0.907645280935313,0.0332210094732376,"apul-mir-novel-30","DUS1L-201","epimachinery","A. pulchra","RNA modification"
"FUN_032162",-0.970090512303536,0.00618143417402044,"apul-mir-novel-4","PPP1CB-203","epimachinery","A. pulchra","Chromatin signaling"
"FUN_035067",0.880936261852716,0.0484273554370008,"apul-mir-novel-28","Prmt7-201","epimachinery","A. pulchra","Histone modification"
"FUN_013560",-0.947119107794458,0.01448127612975,"apul-mir-novel-29","PPP1R7-201","epimachinery","A. pulchra","Chromatin signaling"
"FUN_023552",-0.90606763539217,0.0340675612019095,"apul-mir-100","TRMT1-202","epimachinery","A. pulchra","RNA modification"
"FUN_022390",-0.894394994611713,0.0405376606201293,"apul-mir-novel-34","TRMT61A-202","epimachinery","A. pulchra","RNA modification"
"FUN_028279",0.879262759299749,0.0494390196716612,"apul-mir-novel-7","PUS7L-201","epimachinery","A. pulchra","RNA modification"
"FUN_028279",0.929859950783501,0.0220627789356135,"apul-mir-novel-9","PUS7L-201","epimachinery","A. pulchra","RNA modification"
"FUN_037383",0.918909104941592,0.0273802661228337,"apul-mir-novel-5","ADAR-202","epimachinery","A. pulchra","RNA modification"
"FUN_022341",-0.878565015008816,0.0498627668770586,"apul-mir-novel-14","Tet3-203","epimachinery","A. pulchra","DNA methylation & reading"
"FUN_016340",-0.922194300210192,0.0257463934193829,"apul-mir-novel-10","UBE4A-201","epimachinery","A. pulchra","Ubiquitin signaling"
"FUN_033843",0.985432747417414,0.00210595497996595,"apul-mir-novel-15","DDB1-201","epimachinery","A. pulchra","Ubiquitin signaling"
"FUN_032193",-0.883441421529368,0.046925362011231,"apul-mir-2050","EXOSC6","ncRNA machinery","A. pulchra","ncRNA biogenesis & silencing"
"FUN_041827",0.999644742810618,8.03757477851832e-06,"apul-mir-2023","INTS6","ncRNA machinery","A. pulchra","ncRNA biogenesis & silencing"
"FUN_000213",-0.960747631922995,0.00928023441631077,"apul-mir-novel-28","RDRP","ncRNA machinery","A. pulchra","ncRNA biogenesis & silencing"
"FUN_032699",0.965932109750805,0.00750965302512432,"apul-mir-novel-32","AGO3; AGO4; AGO1; AGO2","ncRNA machinery","A. pulchra","ncRNA biogenesis & silencing"
"FUN_008664",0.88089978514717,0.0484493357400938,"apul-mir-novel-31","PQBP1","ncRNA machinery","A. pulchra","ncRNA biogenesis & silencing"
"Peve_00006231",0.999963027291266,0.00547440714279664,"peve-mir-novel-39","VCPIP1-201","epimachinery","P. evermanni","Ubiquitin signaling"
"Peve_00030641",0.998537133427223,0.0344389923541351,"peve-mir-novel-39","PSMD14-201","epimachinery","P. evermanni","Ubiquitin signaling"
"Peve_00029338",0.99719372066599,0.0477048115691659,"peve-mir-novel-39","Kat6a-201; Kat6b-214","epimachinery","P. evermanni","Histone modification"
"Peve_00026823",-0.999206634909042,0.0253606500537378,"peve-mir-novel-2","MCM3AP-201","epimachinery","P. evermanni","DNA methylation & reading"
"Peve_00026823",0.99870790080121,0.0323660591219525,"peve-mir-novel-3","MCM3AP-201","epimachinery","P. evermanni","DNA methylation & reading"
"Peve_00018941",-0.999999932848589,0.000233304273359623,"peve-mir-novel-6","Riox1-201","epimachinery","P. evermanni","Histone modification"
"Peve_00026671",-0.997785330464857,0.0423769572915879,"peve-mir-novel-40","MAP2K1-201","epimachinery","P. evermanni","Chromatin signaling"
"Peve_00016482",-0.999812133109256,0.0123403376847463,"peve-mir-novel-25","Prdm14-201","epimachinery","P. evermanni","DNA methylation & reading"
"Peve_00036939",-0.998665116899834,0.0328976640349452,"peve-mir-novel-2","UBE2D1-201; UBE2D2-202; UBE2D3-210","epimachinery","P. evermanni","Ubiquitin signaling"
"Peve_00045265",0.998095362879249,0.03929797736504,"peve-mir-100","UBE3A-226","epimachinery","P. evermanni","Ubiquitin signaling"
"Peve_00011277",-0.998762352756012,0.0316765855529158,"peve-mir-novel-6","UBR2-202","epimachinery","P. evermanni","Ubiquitin signaling"
"Peve_00007386",-0.99829893378936,0.0371378974490168,"peve-mir-novel-2","CUL4A-202","epimachinery","P. evermanni","Ubiquitin signaling"
"Peve_00024196",-0.999884477330218,0.00967682551674024,"peve-mir-novel-2","ZFC3H1","ncRNA machinery","P. evermanni","ncRNA biogenesis & silencing"
"Peve_00007872",-0.998303813951919,0.0370845719252309,"peve-mir-novel-7","INTS4","ncRNA machinery","P. evermanni","ncRNA biogenesis & silencing"
"Peve_00014560",-0.997728095293297,0.0429212571353912,"peve-mir-novel-2","SRRT","ncRNA machinery","P. evermanni","ncRNA biogenesis & silencing"
"Pocillopora_meandrina_HIv1___RNAseq.g13326.t1",0.959194987668137,0.00983394845986057,"ptuh-mir-novel-7","USP48-201","epimachinery","P. tuahiniensis","Ubiquitin signaling"
"Pocillopora_meandrina_HIv1___RNAseq.g14958.t1",0.927936814689763,0.0229695778538617,"ptuh-mir-novel-3","BAP1-202","epimachinery","P. tuahiniensis","Ubiquitin signaling"
"Pocillopora_meandrina_HIv1___RNAseq.g3032.t1",-0.8821591030364,0.0476923187328992,"ptuh-mir-novel-32","Hdac4-201; Hdac5-201; Hdac7-204; Hdac9-204","epimachinery","P. tuahiniensis","Histone modification"
"Pocillopora_meandrina_HIv1___RNAseq.g1868.t2",-0.919577770180048,0.0270450904634974,"ptuh-mir-novel-33","Sirt7-201","epimachinery","P. tuahiniensis","Histone modification"
"Pocillopora_meandrina_HIv1___RNAseq.g4104.t1",0.878873396965531,0.0496753425334264,"ptuh-mir-novel-26","Kat2a-202; Kat2b-201","epimachinery","P. tuahiniensis","Histone modification"
"Pocillopora_meandrina_HIv1___RNAseq.g14538.t3",0.884148822126808,0.0465039524686314,"ptuh-mir-novel-16","MCM3AP-201","epimachinery","P. tuahiniensis","DNA methylation & reading"
"Pocillopora_meandrina_HIv1___RNAseq.g9373.t1",0.90656188463062,0.0338016180075663,"ptuh-mir-novel-6","Hspbap1-202","epimachinery","P. tuahiniensis","Histone modification"
"Pocillopora_meandrina_HIv1___RNAseq.g6837.t1",-0.89278917720902,0.0414554336883265,"ptuh-mir-novel-33","PKN1-201","epimachinery","P. tuahiniensis","Histone modification"
"Pocillopora_meandrina_HIv1___RNAseq.g21765.t1",0.895630469714758,0.0398360150268936,"ptuh-mir-novel-24","HNRNPA2B1-201","epimachinery","P. tuahiniensis","RNA modification"
"Pocillopora_meandrina_HIv1___RNAseq.g6000.t1",-0.96651066577516,0.00731981147339898,"ptuh-mir-novel-10","UBR2-202","epimachinery","P. tuahiniensis","Ubiquitin signaling"
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1",0.92628888480603,0.0237559451001681,"ptuh-mir-novel-24","DIS3L","ncRNA machinery","P. tuahiniensis","ncRNA biogenesis & silencing"
"Pocillopora_meandrina_HIv1___RNAseq.g1120.t1",-0.904967505976228,0.0346619015642873,"ptuh-mir-novel-4","TNRC6","ncRNA machinery","P. tuahiniensis","ncRNA biogenesis & silencing"
"Pocillopora_meandrina_HIv1___RNAseq.g17125.t1",0.964768718331666,0.00789619771820488,"ptuh-mir-novel-5","MTREX","ncRNA machinery","P. tuahiniensis","ncRNA biogenesis & silencing"
"Pocillopora_meandrina_HIv1___RNAseq.g29941.t1",0.896907582608973,0.0391148363976501,"ptuh-mir-novel-6","AGO3; AGO4; AGO1; AGO2","ncRNA machinery","P. tuahiniensis","ncRNA biogenesis & silencing"
"Pocillopora_meandrina_HIv1___RNAseq.g7872.t2",-0.92263620402981,0.0255290985393237,"ptuh-mir-novel-6","KHSRP","ncRNA machinery","P. tuahiniensis","ncRNA biogenesis & silencing"
"Pocillopora_meandrina_HIv1___RNAseq.g23590.t1",0.959056511548265,0.00988384161945378,"ptuh-mir-novel-7","LIN28A","ncRNA machinery","P. tuahiniensis","ncRNA biogenesis & silencing"
