"","miRNA","lncRNA","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","PCC.cor","p_value","adjusted_p_value"
"1","Cluster_10060","lncRNA_2491",160,-20.18,"2 21","190 208",19,"73.68%","84.21%",-0.732992461699907,0.47624607954137,0.98228265447747
"2","Cluster_10060","lncRNA_4290",170,-21.32,"2 19","4966 4987",17,"82.35%","88.24%",-0.733927229577413,0.475370600323803,0.98228265447747
"3","Cluster_10060","lncRNA_5195",168,-20.16,"2 21","2408 2429",19,"73.68%","84.21%",-0.761044116360571,0.44937409400969,0.98228265447747
"4","Cluster_10060","lncRNA_6126",177,-25.69,"2 21","1566 1587",20,"90.00%","90.00%",-0.576053570197658,0.609183913404623,0.98228265447747
"5","Cluster_10060","lncRNA_7155",167,-20.4,"2 21","1008 1030",20,"75.00%","85.00%",-0.671976292667125,0.530891334814931,0.98228265447747
"6","Cluster_10060","lncRNA_9072",166,-20.16,"2 21","1244 1264",19,"73.68%","89.47%",-0.851706805048034,0.351135566310527,0.98228265447747
"7","Cluster_10061","lncRNA_1100",182,-28.4,"2 19","901 922",17,"88.24%","100.00%",-0.633891283681637,0.562913316969923,0.98228265447747
"8","Cluster_10061","lncRNA_1272",167,-20.77,"2 17","499 521",16,"87.50%","93.75%",-0.372433992321983,0.757046595301229,0.98650082313936
"9","Cluster_10061","lncRNA_1427",169,-22.19,"2 20","99 122",20,"80.00%","90.00%",-0.830041287084466,0.376633562021144,0.98228265447747
"10","Cluster_10061","lncRNA_1437",175,-22.25,"2 20","6052 6073",18,"83.33%","88.89%",-0.564963620922323,0.617780387558162,0.98228265447747
"11","Cluster_10061","lncRNA_1437",175,-22.25,"2 20","730 751",18,"83.33%","88.89%",-0.564963620922323,0.617780387558162,0.98228265447747
"12","Cluster_10061","lncRNA_1614",173,-21.05,"2 18","5746 5767",16,"87.50%","93.75%",-0.363809783022885,0.762951632642807,0.987112778515763
"13","Cluster_10061","lncRNA_2471",170,-20.54,"2 15","10259 10280",13,"100.00%","100.00%",-0.446163103454783,0.705580246348526,0.98228265447747
"14","Cluster_10061","lncRNA_2472",170,-20.54,"2 15","9722 9743",13,"100.00%","100.00%",-0.446164715603822,0.70557909955317,0.98228265447747
"15","Cluster_10061","lncRNA_325",166,-20.06,"2 21","13423 13447",22,"77.27%","81.82%",-0.185942384857645,0.88093243955644,0.998154420922017
"16","Cluster_10061","lncRNA_3796",184,-22.57,"2 21","62 83",19,"89.47%","89.47%",-0.213868859065144,0.862786953118643,0.995971053942317
"17","Cluster_10061","lncRNA_3796",184,-22.57,"2 21","816 837",19,"89.47%","89.47%",-0.213868859065144,0.862786953118643,0.995971053942317
"18","Cluster_10061","lncRNA_4058",175,-22.25,"2 20","1351 1372",18,"83.33%","88.89%",-0.627669036807168,0.568018256559482,0.98228265447747
"19","Cluster_10061","lncRNA_4059",166,-20.91,"2 15","1 14",13,"92.31%","100.00%",-0.612486230524835,0.580338982880416,0.98228265447747
"20","Cluster_10061","lncRNA_4109",158,-20.34,"2 21","196 224",26,"69.23%","73.08%",-0.420878971305035,0.723443410408069,0.98387767144224
"21","Cluster_10061","lncRNA_4549",171,-21,"2 21","81 105",22,"72.73%","86.36%",-0.391604941628353,0.743839994696527,0.985564310587514
"22","Cluster_10061","lncRNA_4555",169,-22.42,"2 18","2551 2572",16,"81.25%","93.75%",-0.324654793944219,0.789503754421041,0.992356352573655
"23","Cluster_10061","lncRNA_4854",165,-21.64,"2 20","2299 2323",21,"76.19%","85.71%",0.626160215667143,0.569251167167972,0.98228265447747
