"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Pocillopora_meandrina_HIv1___RNAseq.g9747.t1","GO:0021554","optic nerve development",28,5,1.55,0.01835,"Biological Processes",598,"Cluster_1938",0.174445504136901,0.779020802858661,0.988870840437291,155,-20.49,"2 16","353 375",14,"71.43%","92.86%"
"2","Pocillopora_meandrina_HIv1___RNAseq.g17768.t1","GO:0060384","innervation",53,9,2.93,0.0031,"Biological Processes",3384,"Cluster_1938",0.0690349790428928,0.912171802557062,0.99803914203185,149,-22.37,"2 22","269 294",24,"66.67%","75.00%"
"3","Pocillopora_meandrina_HIv1___RNAseq.g27813.t1","GO:0046598","positive regulation of viral entry into host cell",3,2,0.17,0.0088,"Biological Processes",2742,"Cluster_4438",0.753558177334229,0.1413061992569,0.878064874806117,149,-21.4,"2 15","482 504",14,"78.57%","85.71%"
"4","Pocillopora_meandrina_HIv1___RNAseq.g21331.t1","GO:0033345","asparagine catabolic process via L-aspartate",3,2,0.17,0.0088,"Biological Processes",1092,"Cluster_2973",0.12308938800879,0.843674377754775,0.99490741342439,162,-25.3,"2 21","111 135",22,"68.18%","86.36%"
"5","Pocillopora_meandrina_HIv1___RNAseq.g2372.t1","GO:0043116","negative regulation of vascular permeability",16,5,0.88,0.00133,"Biological Processes",986,"Cluster_1296",0.18470779969655,0.766166909524517,0.986460870359965,146,-24,"2 21","786 806",19,"63.16%","73.68%"
"6","Pocillopora_meandrina_HIv1___RNAseq.g2372.t1","GO:0051899","membrane depolarization",93,9,5.13,0.00993,"Biological Processes",986,"Cluster_1296",0.18470779969655,0.766166909524517,0.986460870359965,146,-24,"2 21","786 806",19,"63.16%","73.68%"
"7","Pocillopora_meandrina_HIv1___TS.g790.t1","GO:0007094","mitotic spindle assembly checkpoint signaling",38,6,2.1,0.0169,"Biological Processes",3305,"Cluster_2837",0.855414840680184,0.0645459473969683,0.811505854351999,166,-21.59,"2 19","731 752",17,"82.35%","82.35%"
"8","Pocillopora_meandrina_HIv1___RNAseq.g22817.t1","GO:1904358","positive regulation of telomere maintenance via tel...",23,6,1.27,0.01684,"Biological Processes",2436,"Cluster_4040",0.961709601999612,0.00894248971622488,0.667107103030148,158,-21.97,"2 20","279 302",20,"70.00%","80.00%"
"9","Pocillopora_meandrina_HIv1___RNAseq.g28224.t1","GO:0034316","negative regulation of Arp2/3 complex-mediated acti...",5,3,0.28,0.00154,"Biological Processes",1678,"Cluster_21",0.179929866733191,0.772148394690226,0.987642426411189,179,-27.78,"2 21","744 766",20,"85.00%","90.00%"
"10","Pocillopora_meandrina_HIv1___RNAseq.g28153.t1","GO:0030207","chondroitin sulfate catabolic process",16,4,0.88,0.00985,"Biological Processes",1264,"Cluster_4438",0.672923099913743,0.213186992236625,0.918672019624771,159,-21.37,"2 21","371 393",20,"70.00%","80.00%"
"11","Pocillopora_meandrina_HIv1___RNAseq.g11274.t1","GO:0001501","skeletal system development",370,27,20.42,0.00357,"Biological Processes",3213,"Cluster_1953",0.253083517927312,0.681237823911546,0.979639664445142,153,-20.65,"2 14","15 36",12,"83.33%","91.67%"
"12","Pocillopora_meandrina_HIv1___RNAseq.g22246.t1","GO:0006487","protein N-linked glycosylation",88,9,4.86,0.01244,"Biological Processes",572,"Cluster_1015",0.35528408529153,0.557343797538235,0.973839008969298,145,-21.67,"2 20","517 541",21,"61.90%","76.19%"
"13","Pocillopora_meandrina_HIv1___RNAseq.g22246.t1","GO:0055088","lipid homeostasis",121,12,6.68,0.00667,"Biological Processes",572,"Cluster_1015",0.35528408529153,0.557343797538235,0.973839008969298,145,-21.67,"2 20","517 541",21,"61.90%","76.19%"
"14","Pocillopora_meandrina_HIv1___RNAseq.g24734.t1","GO:0001525","angiogenesis",471,31,26,0.02063,"Biological Processes",3262,"Cluster_4437",0.42471849943262,0.475960452012614,0.970290044126995,158,-22.3,"2 20","307 329",20,"70.00%","80.00%"
"15","Pocillopora_meandrina_HIv1___RNAseq.g5125.t1","GO:0050784","cocaine catabolic process",3,2,0.17,0.0088,"Biological Processes",1454,"Cluster_3661",0.825208120239781,0.0853862822925241,0.833423139049395,156,-23.48,"2 17","227 248",15,"80.00%","80.00%"
"16","Pocillopora_meandrina_HIv1___RNAseq.g26466.t1","GO:0010804","negative regulation of tumor necrosis factor-mediat...",11,3,0.61,0.01981,"Biological Processes",109,"Cluster_21",0.751849570870196,0.14273843600377,0.878645527111465,163,-22.32,"2 16","297 318",14,"85.71%","92.86%"
"17","Pocillopora_meandrina_HIv1___RNAseq.g26466.t1","GO:0046330","positive regulation of JNK cascade",87,10,4.8,0.02135,"Biological Processes",109,"Cluster_21",0.751849570870196,0.14273843600377,0.878645527111465,163,-22.32,"2 16","297 318",14,"85.71%","92.86%"
"18","Pocillopora_meandrina_HIv1___RNAseq.g26466.t1","GO:0046456","icosanoid biosynthetic process",44,5,2.43,0.01095,"Biological Processes",109,"Cluster_21",0.751849570870196,0.14273843600377,0.878645527111465,163,-22.32,"2 16","297 318",14,"85.71%","92.86%"
"19","Pocillopora_meandrina_HIv1___TS.g24890.t1","GO:0048678","response to axon injury",95,8,5.24,0.00394,"Biological Processes",2405,"Cluster_1952",0.0229076970337294,0.970835565415809,0.999610930147471,145,-21.48,"2 10","448 469",8,"100.00%","100.00%"
"20","Pocillopora_meandrina_HIv1___TS.g2358.t1","GO:0043525","positive regulation of neuron apoptotic process",94,15,5.19,0.00035,"Biological Processes",1044,"Cluster_4572",0.0737923492529447,0.906130001951251,0.997033432013062,170,-20.96,"2 21","340 360",19,"78.95%","89.47%"
"21","Pocillopora_meandrina_HIv1___TS.g2358.t1","GO:0070227","lymphocyte apoptotic process",39,6,2.15,0.01091,"Biological Processes",1044,"Cluster_4572",0.0737923492529447,0.906130001951251,0.997033432013062,170,-20.96,"2 21","340 360",19,"78.95%","89.47%"
