"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Pocillopora_meandrina_HIv1___RNAseq.g13850.t1","GO:0032024","positive regulation of insulin secretion",67,2,0.06,0.00146,"Biological Processes",1762,"Cluster_1793",0.226409281568046,0.714208912789037,0.982185628634319,154,-20.44,"2 20","185 210",23,"69.57%","69.57%"
"2","Pocillopora_meandrina_HIv1___RNAseq.g13850.t1","GO:0034201","response to oleic acid",2,1,0,0.00174,"Biological Processes",1762,"Cluster_1793",0.226409281568046,0.714208912789037,0.982185628634319,154,-20.44,"2 20","185 210",23,"69.57%","69.57%"
"3","Pocillopora_meandrina_HIv1___RNAseq.g13850.t1","GO:0050872","white fat cell differentiation",7,1,0.01,0.00607,"Biological Processes",1762,"Cluster_1793",0.226409281568046,0.714208912789037,0.982185628634319,154,-20.44,"2 20","185 210",23,"69.57%","69.57%"
"4","Pocillopora_meandrina_HIv1___RNAseq.g13850.t1","GO:0060612","adipose tissue development",42,1,0.04,0.03595,"Biological Processes",1762,"Cluster_1793",0.226409281568046,0.714208912789037,0.982185628634319,154,-20.44,"2 20","185 210",23,"69.57%","69.57%"
"5","Pocillopora_meandrina_HIv1___RNAseq.g13850.t1","GO:0071394","cellular response to testosterone stimulus",7,1,0.01,0.00607,"Biological Processes",1762,"Cluster_1793",0.226409281568046,0.714208912789037,0.982185628634319,154,-20.44,"2 20","185 210",23,"69.57%","69.57%"
"6","Pocillopora_meandrina_HIv1___RNAseq.g13850.t1","GO:0071397","cellular response to cholesterol",16,1,0.01,0.01384,"Biological Processes",1762,"Cluster_1793",0.226409281568046,0.714208912789037,0.982185628634319,154,-20.44,"2 20","185 210",23,"69.57%","69.57%"
"7","Pocillopora_meandrina_HIv1___RNAseq.g15259.t1","GO:0015801","aromatic amino acid transport",44,1,0.04,0.03764,"Biological Processes",1690,"Cluster_1793",0.125108324504449,0.841123659437517,0.994770429144228,153,-20.03,"2 20","25 44",18,"72.22%","77.78%"
"8","Pocillopora_meandrina_HIv1___RNAseq.g15259.t1","GO:0070327","thyroid hormone transport",37,1,0.03,0.03174,"Biological Processes",1690,"Cluster_1793",0.125108324504449,0.841123659437517,0.994770429144228,153,-20.03,"2 20","25 44",18,"72.22%","77.78%"
"9","Pocillopora_meandrina_HIv1___RNAseq.g1554.t1","GO:0006695","cholesterol biosynthetic process",22,1,0.02,0.01898,"Biological Processes",779,"Cluster_1793",0.208666977715302,0.736257802850991,0.983747568449399,162,-22.16,"2 20","761 785",22,"72.73%","77.27%"
"10","Pocillopora_meandrina_HIv1___RNAseq.g1554.t1","GO:0033384","geranyl diphosphate biosynthetic process",3,1,0,0.00261,"Biological Processes",779,"Cluster_1793",0.208666977715302,0.736257802850991,0.983747568449399,162,-22.16,"2 20","761 785",22,"72.73%","77.27%"
"11","Pocillopora_meandrina_HIv1___RNAseq.g1554.t1","GO:0045337","farnesyl diphosphate biosynthetic process",4,1,0,0.00348,"Biological Processes",779,"Cluster_1793",0.208666977715302,0.736257802850991,0.983747568449399,162,-22.16,"2 20","761 785",22,"72.73%","77.27%"
