"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Pocillopora_meandrina_HIv1___RNAseq.g20534.t1","GO:0000398","mRNA splicing, via spliceosome",235,25,13.76,0.0093,"Biological Processes",2926,"Cluster_925",-0.809409883031846,0.0969754093610288,0.849254380510551,160,-22.02,"2 19","276 296",17,"82.35%","82.35%"
"2","Pocillopora_meandrina_HIv1___RNAseq.g27813.t1","GO:0030335","positive regulation of cell migration",352,29,20.61,0.01168,"Biological Processes",2741,"Cluster_4437",-0.148769212177393,0.811282205931846,0.993550492679752,153,-20.5,"2 20","479 503",22,"72.73%","72.73%"
"3","Pocillopora_meandrina_HIv1___RNAseq.g27811.t1","GO:0051726","regulation of cell cycle",819,62,47.96,0.02673,"Biological Processes",3242,"Cluster_4437",-0.57061083473964,0.315094623917398,0.95557448140604,175,-23.14,"2 20","442 462",18,"83.33%","88.89%"
"4","Pocillopora_meandrina_HIv1___RNAseq.g302.t1","GO:0000245","spliceosomal complex assembly",50,7,2.93,0.02556,"Biological Processes",2965,"Cluster_4439",-0.309894799106687,0.61183934906222,0.976732732570479,143,-22.01,"2 21","962 984",20,"65.00%","65.00%"
"5","Pocillopora_meandrina_HIv1___RNAseq.g302.t1","GO:0000398","mRNA splicing, via spliceosome",235,25,13.76,0.0093,"Biological Processes",2965,"Cluster_4439",-0.309894799106687,0.61183934906222,0.976732732570479,143,-22.01,"2 21","962 984",20,"65.00%","65.00%"
"6","Pocillopora_meandrina_HIv1___RNAseq.g19569.t1","GO:0000398","mRNA splicing, via spliceosome",235,25,13.76,0.0093,"Biological Processes",1303,"Cluster_4118",-0.685890462327436,0.201072467332791,0.914627933158622,160,-20.99,"2 21","486 504",19,"73.68%","84.21%"
"7","Pocillopora_meandrina_HIv1___RNAseq.g26370.t1","GO:0009058","biosynthetic process",5866,346,343.49,0.01145,"Biological Processes",2777,"Cluster_2793",-0.142791606054572,0.818811811013082,0.994371078408775,171,-24.37,"2 20","808 828",18,"77.78%","88.89%"
"8","Pocillopora_meandrina_HIv1___RNAseq.g16001.t1","GO:0007156","homophilic cell adhesion via plasma membrane adhesi...",280,27,16.4,0.01105,"Biological Processes",2760,"Cluster_5612",-0.45686653399401,0.439221823372121,0.970249219679797,175,-22.09,"2 20","173 193",18,"83.33%","88.89%"
"9","Pocillopora_meandrina_HIv1___RNAseq.g16001.t1","GO:0030335","positive regulation of cell migration",352,29,20.61,0.01168,"Biological Processes",2760,"Cluster_5612",-0.45686653399401,0.439221823372121,0.970249219679797,175,-22.09,"2 20","173 193",18,"83.33%","88.89%"
"10","Pocillopora_meandrina_HIv1___TS.g23223.t1","GO:0032233","positive regulation of actin filament bundle assemb...",29,3,1.7,0.019,"Biological Processes",2234,"Cluster_1938",-0.177521502754771,0.775165445495221,0.988173149315141,161,-24.83,"2 19","739 762",18,"72.22%","88.89%"
"11","Pocillopora_meandrina_HIv1___TS.g23223.t1","GO:1901381","positive regulation of potassium ion transmembrane ...",31,6,1.82,0.02943,"Biological Processes",2234,"Cluster_1938",-0.177521502754771,0.775165445495221,0.988173149315141,161,-24.83,"2 19","739 762",18,"72.22%","88.89%"
"12","Pocillopora_meandrina_HIv1___TS.g23223.t1","GO:1902396","protein localization to bicellular tight junction",5,2,0.29,0.03042,"Biological Processes",2234,"Cluster_1938",-0.177521502754771,0.775165445495221,0.988173149315141,161,-24.83,"2 19","739 762",18,"72.22%","88.89%"
"13","Pocillopora_meandrina_HIv1___RNAseq.g26368.t1","GO:0009058","biosynthetic process",5866,346,343.49,0.01145,"Biological Processes",2564,"Cluster_1015",-0.794189614353521,0.108555312321393,0.861773270306387,159,-20.73,"2 21","562 584",20,"75.00%","75.00%"
"14","Pocillopora_meandrina_HIv1___RNAseq.g10988.t1","GO:0000398","mRNA splicing, via spliceosome",235,25,13.76,0.0093,"Biological Processes",1085,"Cluster_1952",-0.451496405616296,0.445313367564615,0.970249219679797,172,-29.84,"2 21","548 569",19,"73.68%","89.47%"
"15","Pocillopora_meandrina_HIv1___RNAseq.g10988.t1","GO:0000398","mRNA splicing, via spliceosome",235,25,13.76,0.0093,"Biological Processes",1088,"Cluster_4438",-0.19924504177009,0.748001973700926,0.98546673330334,158,-21.95,"2 19","653 674",17,"70.59%","82.35%"
"16","Pocillopora_meandrina_HIv1___RNAseq.g27212.t1","GO:0009308","amine metabolic process",146,14,8.55,0.0089,"Biological Processes",288,"Cluster_1938",-0.811858561292989,0.0951498034565385,0.846487659427614,150,-21.55,"2 22","406 426",20,"65.00%","75.00%"
"17","Pocillopora_meandrina_HIv1___RNAseq.g27212.t1","GO:0051923","sulfation",30,7,1.76,0.0049,"Biological Processes",288,"Cluster_1938",-0.811858561292989,0.0951498034565385,0.846487659427614,150,-21.55,"2 22","406 426",20,"65.00%","75.00%"
"18","Pocillopora_meandrina_HIv1___RNAseq.g297.t1","GO:0000245","spliceosomal complex assembly",50,7,2.93,0.02556,"Biological Processes",2563,"Cluster_4439",-0.903191179650026,0.0356284636438881,0.754981681938814,143,-22.01,"2 21","965 987",20,"65.00%","65.00%"
"19","Pocillopora_meandrina_HIv1___RNAseq.g297.t1","GO:0000398","mRNA splicing, via spliceosome",235,25,13.76,0.0093,"Biological Processes",2563,"Cluster_4439",-0.903191179650026,0.0356284636438881,0.754981681938814,143,-22.01,"2 21","965 987",20,"65.00%","65.00%"
"20","Pocillopora_meandrina_HIv1___RNAseq.g8198.t1","GO:0034122","negative regulation of toll-like receptor signaling...",13,4,0.76,0.00546,"Biological Processes",810,"Cluster_2793",-0.444100762689519,0.453732887632189,0.970249219679797,158,-21.35,"2 20","662 683",19,"73.68%","78.95%"
"21","Pocillopora_meandrina_HIv1___RNAseq.g14895.t1","GO:0150104","transport across blood-brain barrier",57,8,3.34,0.01733,"Biological Processes",2877,"Cluster_1068",-0.554979635664724,0.33154540124624,0.961100015118024,145,-20.55,"2 10","957 978",8,"100.00%","100.00%"
"22","Pocillopora_meandrina_HIv1___RNAseq.g14895.t1","GO:1902004","positive regulation of amyloid-beta formation",42,7,2.46,0.01032,"Biological Processes",2877,"Cluster_1068",-0.554979635664724,0.33154540124624,0.961100015118024,145,-20.55,"2 10","957 978",8,"100.00%","100.00%"
"23","Pocillopora_meandrina_HIv1___RNAseq.g27133.t1","GO:0071555","cell wall organization",27,6,1.58,0.02224,"Biological Processes",552,"Cluster_2793",-0.0890508072079242,0.886767024951271,0.997033432013062,173,-21.85,"2 20","635 654",18,"88.89%","88.89%"
"24","Pocillopora_meandrina_HIv1___RNAseq.g26385.t1","GO:0034122","negative regulation of toll-like receptor signaling...",13,4,0.76,0.00546,"Biological Processes",1798,"Cluster_1793",-0.932581359475561,0.0207999595040796,0.687095063784668,165,-21.95,"2 20","905 924",18,"77.78%","88.89%"
"25","Pocillopora_meandrina_HIv1___RNAseq.g28254.t1","GO:0048681","negative regulation of axon regeneration",43,7,2.52,0.01937,"Biological Processes",3358,"Cluster_1793",-0.409872202200825,0.493138619969187,0.973552982047009,170,-21.8,"2 20","661 682",19,"78.95%","89.47%"
"26","Pocillopora_meandrina_HIv1___RNAseq.g1374.t1","GO:0006858","extracellular transport",58,8,3.4,0.00076,"Biological Processes",1484,"Cluster_1938",-0.177454305608334,0.775249645152425,0.988180990833756,161,-20.05,"2 18","800 822",16,"75.00%","87.50%"
"27","Pocillopora_meandrina_HIv1___TS.g18926.t1","GO:0030335","positive regulation of cell migration",352,29,20.61,0.01168,"Biological Processes",2515,"Cluster_1938",-0.571125595727082,0.314556501665444,0.955408321292073,169,-26.93,"2 22","542 564",20,"70.00%","85.00%"
"28","Pocillopora_meandrina_HIv1___TS.g18926.t1","GO:1902396","protein localization to bicellular tight junction",5,2,0.29,0.03042,"Biological Processes",2515,"Cluster_1938",-0.571125595727082,0.314556501665444,0.955408321292073,169,-26.93,"2 22","542 564",20,"70.00%","85.00%"
"29","Pocillopora_meandrina_HIv1___RNAseq.g14977.t1","GO:0000398","mRNA splicing, via spliceosome",235,25,13.76,0.0093,"Biological Processes",131,"Cluster_2973",-0.893222380847293,0.0412072014052563,0.765459130560606,162,-22.12,"2 20","88 110",19,"73.68%","84.21%"
"30","Pocillopora_meandrina_HIv1___RNAseq.g7376.t1","GO:0051726","regulation of cell cycle",819,62,47.96,0.02673,"Biological Processes",1520,"Cluster_4439",-0.531968475901314,0.356138413401816,0.964740261214248,151,-21.69,"2 16","973 994",14,"71.43%","85.71%"
"31","Pocillopora_meandrina_HIv1___RNAseq.g29320.t1","GO:0051726","regulation of cell cycle",819,62,47.96,0.02673,"Biological Processes",607,"Cluster_4439",-0.896641214423056,0.0392649064343625,0.760878962620343,157,-28.78,"2 20","416 436",18,"77.78%","77.78%"
"32","Pocillopora_meandrina_HIv1___RNAseq.g29501.t1","GO:0002841","negative regulation of T cell mediated immune respo...",3,2,0.18,0.00988,"Biological Processes",918,"Cluster_390",-0.327549064330193,0.590533855647965,0.976732732570479,178,-22.82,"2 19","762 783",17,"88.24%","94.12%"
"33","Pocillopora_meandrina_HIv1___RNAseq.g29501.t1","GO:0002841","negative regulation of T cell mediated immune respo...",3,2,0.18,0.00988,"Biological Processes",919,"Cluster_1793",-0.62973128973004,0.254906120921997,0.93828324090191,182,-23.33,"2 19","763 783",17,"94.12%","94.12%"
"34","Pocillopora_meandrina_HIv1___RNAseq.g29501.t1","GO:0006805","xenobiotic metabolic process",81,10,4.74,0.02043,"Biological Processes",918,"Cluster_390",-0.327549064330193,0.590533855647965,0.976732732570479,178,-22.82,"2 19","762 783",17,"88.24%","94.12%"
