"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g22310.t1",-0.947470580577219,0.014337910840886,0.674410729954456,156,-21.25,"2 19","1 19",17,"76.47%","82.35%"
"2","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g25291.t1",-0.947885623670125,0.0141692154004804,0.674410729954456,159,-20.09,"2 21","843 865",20,"70.00%","80.00%"
"3","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g10347.t1",-0.981685694822283,0.00296703624850707,0.667107103030148,161,-21.71,"2 22","912 934",20,"65.00%","80.00%"
"4","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451082,0.0143025887628348,0.674410729954456,179,-21.73,"2 20","180 201",18,"88.89%","88.89%"
"5","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451082,0.0143025887628348,0.674410729954456,179,-21.73,"2 20","300 321",18,"88.89%","88.89%"
"6","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451082,0.0143025887628348,0.674410729954456,179,-21.73,"2 20","420 441",18,"88.89%","88.89%"
"7","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451082,0.0143025887628348,0.674410729954456,179,-21.73,"2 20","540 561",18,"88.89%","88.89%"
"8","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451082,0.0143025887628348,0.674410729954456,179,-21.73,"2 20","60 81",18,"88.89%","88.89%"
"9","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451082,0.0143025887628348,0.674410729954456,179,-21.73,"2 20","780 801",18,"88.89%","88.89%"
"10","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451082,0.0143025887628348,0.674410729954456,179,-21.73,"2 20","900 921",18,"88.89%","88.89%"
"11","Cluster_1793","Pocillopora_meandrina_HIv1___RNAseq.g26466.t1",-0.945332798083424,0.0152170504006999,0.674410729954456,155,-20.66,"2 20","548 566",18,"77.78%","83.33%"
"12","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g14977.t1",-0.893222380847293,0.0412072014052563,0.765459130560606,162,-22.12,"2 20","88 110",19,"73.68%","84.21%"
"13","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g18208.t1",-0.987781180181153,0.00161837872676051,0.667107103030148,150,-22.2,"2 11","94 115",9,"100.00%","100.00%"
"14","Cluster_5612","Pocillopora_meandrina_HIv1___RNAseq.g20733.t1",0.965837666525896,0.00754079408094519,0.667107103030148,162,-20.42,"2 19","249 269",17,"76.47%","82.35%"
"15","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g627.t1b",-0.981986205789269,0.00289444080290829,0.667107103030148,160,-20.15,"2 17","49 71",15,"73.33%","93.33%"
"16","Cluster_2973","Pocillopora_meandrina_HIv1___TS.g5059.t2",-0.948228376602944,0.0140303943154319,0.674410729954456,165,-23.5,"2 20","500 520",18,"77.78%","88.89%"
"17","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g15252.t1",-0.906915771266693,0.0336116107239258,0.745895262324212,154,-21.45,"2 17","233 253",15,"80.00%","86.67%"
"18","Cluster_4572","Pocillopora_meandrina_HIv1___RNAseq.g22666.t1",0.944276647979206,0.015657628567809,0.674410729954456,163,-20.93,"2 21","950 972",20,"70.00%","85.00%"
"19","Cluster_1938","Pocillopora_meandrina_HIv1___TS.g23997.t1",-0.973476758566561,0.00516461966995309,0.667107103030148,154,-21.64,"2 22","372 394",21,"61.90%","85.71%"
"20","Cluster_3661","Pocillopora_meandrina_HIv1___RNAseq.g29298.t1",-0.936432153585129,0.0190548323623486,0.682865205121046,161,-21.45,"2 21","774 793",19,"73.68%","84.21%"
"21","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g1869.t1",-0.941039814196233,0.0170330917830081,0.674410729954456,147,-21.76,"2 12","160 182",10,"80.00%","100.00%"
"22","Cluster_4823","Pocillopora_meandrina_HIv1___TS.g20484.t1",0.911291572874924,0.0312907762846992,0.736910690193223,154,-23.39,"2 20","61 85",21,"66.67%","76.19%"
"23","Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g21083.t1",0.956448139631391,0.0108389263729232,0.669023010123194,153,-20.38,"2 18","755 776",16,"68.75%","81.25%"
"24","Cluster_1296","Pocillopora_meandrina_HIv1___TS.g29797.t1a",-0.932325817028201,0.0209175111668753,0.687095063784668,151,-22.51,"2 21","755 777",20,"70.00%","70.00%"
"25","Cluster_360","Pocillopora_meandrina_HIv1___RNAseq.g13929.t1",-0.907972271074224,0.0330464043737505,0.743976475491441,154,-20.96,"2 20","747 769",19,"68.42%","78.95%"
"26","Cluster_1952","Pocillopora_meandrina_HIv1___RNAseq.g10343.t1",0.906723839752342,0.0337146192139057,0.746402549010385,150,-20.76,"2 20","229 252",20,"65.00%","75.00%"
"27","Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g14845.t1",0.950813862951001,0.0129977311084385,0.674410729954456,158,-23.77,"2 17","492 512",15,"80.00%","93.33%"
"28","Cluster_1296","Pocillopora_meandrina_HIv1___RNAseq.g15866.t1",-0.941449087059813,0.0168571020246148,0.674410729954456,155,-20.37,"2 20","95 116",18,"72.22%","72.22%"
"29","Cluster_3661","Pocillopora_meandrina_HIv1___RNAseq.g13578.t1",-0.888771752750386,0.0437798916917371,0.774412092014666,152,-24,"2 21","563 587",23,"69.57%","78.26%"
"30","Cluster_2839","Pocillopora_meandrina_HIv1___RNAseq.g28481.t1",-0.968528512591818,0.00667035424164858,0.667107103030148,160,-21.43,"2 17","447 468",15,"80.00%","86.67%"
"31","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g549.t1b",0.93082688656806,0.0216113335862708,0.691602866826245,157,-21.47,"2 20","777 797",18,"66.67%","88.89%"
"32","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g7360.t1",0.983640847512444,0.0025055696496044,0.667107103030148,168,-21.01,"2 21","40 61",19,"73.68%","84.21%"
"33","Cluster_3392","Pocillopora_meandrina_HIv1___RNAseq.g2388.t1",0.925501651855861,0.0241346074574254,0.700163465919694,160,-20.29,"2 18","188 211",18,"72.22%","88.89%"
"34","Cluster_3392","Pocillopora_meandrina_HIv1___TS.g5141.t1",0.967616283342235,0.00696150235743325,0.667107103030148,159,-21.84,"2 21","240 266",24,"62.50%","79.17%"
"35","Cluster_4572","Pocillopora_meandrina_HIv1___RNAseq.g28898.t1",0.885183202030468,0.0458899280579826,0.781067345867753,162,-20.67,"2 20","592 615",20,"75.00%","80.00%"
"36","Cluster_4439","Pocillopora_meandrina_HIv1___RNAseq.g29320.t1",-0.896641214423056,0.0392649064343625,0.760878962620343,157,-28.78,"2 20","416 436",18,"77.78%","77.78%"
"37","Cluster_2973","Pocillopora_meandrina_HIv1___TS.g16575.t1",0.982768196936009,0.00270834633033423,0.667107103030148,158,-20.2,"2 20","921 943",19,"73.68%","78.95%"
