species,miRNA_id,chr,start,end,strand,genomic_class,host_gene_id
Apul,Cluster_1826,ntLink_6,4847443,4847535,-,intergenic,
Apul,Cluster_1832,ntLink_6,5157537,5157626,+,intragenic,FUN_000619
Apul,Cluster_1862,ntLink_6,7263486,7263580,-,intergenic,
Apul,Cluster_1951,ntLink_6,13351746,13351842,-,intragenic,FUN_001531
Apul,Cluster_2463,ptg000001l,5548841,5548934,-,intragenic,FUN_005907
Apul,Cluster_2859,ptg000001l,20063072,20063168,+,intergenic,
Apul,Cluster_3250,ptg000002l,7337508,7337601,+,intragenic,FUN_008026
Apul,Cluster_3366,ptg000002l,14046235,14046328,+,intragenic,FUN_008652
Apul,Cluster_3367,ptg000002l,14046541,14046634,+,intragenic,FUN_008652
Apul,Cluster_3437,ptg000004l,1859862,1859953,-,intragenic,FUN_009041
Apul,Cluster_4220,ptg000007l,915905,916002,-,intragenic,FUN_010624
Apul,Cluster_4254,ptg000007l,3377283,3377376,+,intergenic,
Apul,Cluster_5012,ptg000008l,10754767,10754862,-,intergenic,
Apul,Cluster_5899,ptg000009l,616285,616377,-,intragenic,FUN_014488
Apul,Cluster_5900,ptg000009l,616579,616673,-,intragenic,FUN_014488
Apul,Cluster_5981,ptg000009l,4940515,4940609,-,intragenic,FUN_014977
Apul,Cluster_10051,ptg000016l,7795508,7795602,+,intragenic,FUN_022340
Apul,Cluster_10057,ptg000016l,8599833,8599925,-,intragenic,FUN_022395
Apul,Cluster_10093,ptg000016l,11751358,11751448,-,intragenic,FUN_022639
Apul,Cluster_10207,ptg000017l,6374963,6375054,-,intragenic,FUN_023324
Apul,Cluster_10228,ptg000017l,7471118,7471210,+,intergenic,
Apul,Cluster_10419,ptg000018l,2286780,2286870,+,intragenic,FUN_024113
Apul,Cluster_14402,ptg000023l,18708903,18708996,+,intragenic,FUN_031267
Apul,Cluster_14768,ptg000023l,37965243,37965338,+,intergenic,
Apul,Cluster_15316,ptg000024l,4086202,4086295,+,intergenic,
Apul,Cluster_15340,ptg000024l,5256454,5256549,-,intragenic,FUN_034135
Apul,Cluster_15671,ptg000025l,1981692,1981783,+,intergenic,
Apul,Cluster_15775,ptg000025l,7472531,7472623,-,intergenic,
Apul,Cluster_15851,ptg000025l,10501030,10501125,+,intergenic,
Apul,Cluster_15854,ptg000025l,10668901,10668998,-,intergenic,
Apul,Cluster_15928,ptg000025l,15156415,15156507,+,intragenic,FUN_036074
Apul,Cluster_16409,ptg000026l,8745540,8745635,-,intergenic,
Apul,Cluster_17776,ptg000031l,5461305,5461397,-,intergenic,
Apul,Cluster_17791,ptg000031l,6751935,6752029,-,intergenic,
Apul,Cluster_18711,ptg000035l,4339550,4339641,-,intragenic,FUN_041495
Apul,Cluster_18723,ptg000035l,4808338,4808432,+,intragenic,FUN_041524
Apul,Cluster_18728,ptg000035l,5346032,5346127,+,intergenic,
Apul,Cluster_18772,ptg000035l,8367726,8367821,-,intergenic,
Apul,Cluster_19193,ptg000039l,35764,35856,-,intragenic,FUN_042585
Peve,Cluster_29,Porites_evermani_scaffold_1,1404250,1404342,-,intragenic,gene-Peve_00000077
Peve,Cluster_589,Porites_evermani_scaffold_16,383386,383478,-,intragenic,gene-Peve_00008791
Peve,Cluster_796,Porites_evermani_scaffold_26,382550,382645,-,intragenic,gene-Peve_00019270
Peve,Cluster_1140,Porites_evermani_scaffold_47,475972,476066,-,intragenic,gene-Peve_00032303
Peve,Cluster_1167,Porites_evermani_scaffold_49,151587,151681,-,intragenic,gene-Peve_00033113
Peve,Cluster_2787,Porites_evermani_scaffold_138,127944,128038,+,intragenic,gene-Peve_00005902
Peve,Cluster_2854,Porites_evermani_scaffold_145,5384,5473,+,intergenic,
Peve,Cluster_2882,Porites_evermani_scaffold_148,94531,94624,-,intragenic,gene-Peve_00007217
Peve,Cluster_4079,Porites_evermani_scaffold_253,200943,201039,+,intragenic,gene-Peve_00018698
Peve,Cluster_4080,Porites_evermani_scaffold_253,202235,202327,+,intragenic,gene-Peve_00018698
Peve,Cluster_4115,Porites_evermani_scaffold_257,110308,110402,-,intragenic,gene-Peve_00018966
Peve,Cluster_4629,Porites_evermani_scaffold_316,88415,88506,-,intragenic,gene-Peve_00023764
Peve,Cluster_4735,Porites_evermani_scaffold_334,153554,153646,-,intragenic,gene-Peve_00024908
Peve,Cluster_5563,Porites_evermani_scaffold_430,205865,205960,-,intergenic,
Peve,Cluster_5882,Porites_evermani_scaffold_461,215454,215549,+,intragenic,gene-Peve_00031963
Peve,Cluster_6255,Porites_evermani_scaffold_502,58948,59038,-,intragenic,gene-Peve_00033721
Peve,Cluster_6904,Porites_evermani_scaffold_590,199106,199199,+,intragenic,gene-Peve_00036728
Peve,Cluster_6905,Porites_evermani_scaffold_590,199370,199465,+,intragenic,gene-Peve_00036728
Peve,Cluster_6906,Porites_evermani_scaffold_590,199803,199896,+,intragenic,gene-Peve_00036728
Peve,Cluster_6914,Porites_evermani_scaffold_594,158176,158270,+,intergenic,
Peve,Cluster_7053,Porites_evermani_scaffold_613,156453,156546,+,intragenic,gene-Peve_00037424
Peve,Cluster_7657,Porites_evermani_scaffold_730,81363,81456,-,intragenic,gene-Peve_00040305
Peve,Cluster_7658,Porites_evermani_scaffold_730,82401,82494,-,intragenic,gene-Peve_00040305
Peve,Cluster_7855,Porites_evermani_scaffold_768,137973,138066,+,intragenic,gene-Peve_00041010
Peve,Cluster_8634,Porites_evermani_scaffold_866,22803,22895,-,intergenic,
Peve,Cluster_8884,Porites_evermani_scaffold_910,99233,99322,+,intragenic,gene-Peve_00043933
Peve,Cluster_8887,Porites_evermani_scaffold_910,118720,118809,+,intergenic,
Peve,Cluster_8888,Porites_evermani_scaffold_910,139331,139420,+,intergenic,
Peve,Cluster_8988,Porites_evermani_scaffold_942,133648,133739,+,intergenic,
Peve,Cluster_9149,Porites_evermani_scaffold_984,51832,51924,-,intergenic,
Peve,Cluster_9983,Porites_evermani_scaffold_1128,125526,125618,-,intragenic,gene-Peve_00002249
Peve,Cluster_10060,Porites_evermani_scaffold_1159,6653,6743,+,intragenic,gene-Peve_00002673
Peve,Cluster_10061,Porites_evermani_scaffold_1159,7406,7500,+,intragenic,gene-Peve_00002673
Peve,Cluster_10934,Porites_evermani_scaffold_1415,72049,72142,+,intragenic,gene-Peve_00006453
Peve,Cluster_10965,Porites_evermani_scaffold_1429,47235,47326,-,intragenic,gene-Peve_00006602
Peve,Cluster_11134,Porites_evermani_scaffold_1503,47558,47651,+,intragenic,gene-Peve_00007592
Peve,Cluster_11135,Porites_evermani_scaffold_1503,47749,47842,+,intragenic,gene-Peve_00007592
Peve,Cluster_11997,Porites_evermani_scaffold_1732,76482,76574,+,intragenic,gene-Peve_00010404
