species,feature_type,feature_id,genomic_class,host_gene_id,chr,promoter_start,promoter_end,strand
Apul,lncRNA,lncRNA_001,lncRNA,,ntLink_0,23762,25661,+
Apul,lncRNA,lncRNA_002,lncRNA,,ntLink_0,23763,25662,+
Apul,lncRNA,lncRNA_003,lncRNA,,ntLink_0,83077,84976,+
Apul,lncRNA,lncRNA_004,lncRNA,,ntLink_0,21905,23804,+
Apul,lncRNA,lncRNA_005,lncRNA,,ntLink_1,5986,7885,+
Apul,lncRNA,lncRNA_006,lncRNA,,ntLink_1,12513,14412,+
Apul,lncRNA,lncRNA_007,lncRNA,,ntLink_1,49767,51666,+
Apul,lncRNA,lncRNA_008,lncRNA,,ntLink_2,370730,372629,+
Apul,lncRNA,lncRNA_009,lncRNA,,ntLink_2,37124,39023,+
Apul,lncRNA,lncRNA_010,lncRNA,,ntLink_2,211175,213074,+
Apul,lncRNA,lncRNA_011,lncRNA,,ntLink_2,215843,217742,+
Apul,lncRNA,lncRNA_012,lncRNA,,ntLink_2,329053,330952,+
Apul,lncRNA,lncRNA_013,lncRNA,,ntLink_3,55202,57101,+
Apul,lncRNA,lncRNA_014,lncRNA,,ntLink_3,75069,76968,+
Apul,lncRNA,lncRNA_015,lncRNA,,ntLink_3,94234,96133,+
Apul,lncRNA,lncRNA_016,lncRNA,,ntLink_3,118293,120192,+
Apul,lncRNA,lncRNA_017,lncRNA,,ntLink_3,9711,11610,+
Apul,lncRNA,lncRNA_018,lncRNA,,ntLink_3,38225,40124,+
Apul,lncRNA,lncRNA_019,lncRNA,,ntLink_3,66453,68352,+
Apul,lncRNA,lncRNA_020,lncRNA,,ntLink_3,8296,10195,+
Apul,lncRNA,lncRNA_021,lncRNA,,ntLink_3,39264,41163,+
Apul,lncRNA,lncRNA_022,lncRNA,,ntLink_3,47868,49767,+
Apul,lncRNA,lncRNA_023,lncRNA,,ntLink_3,106571,108470,+
Apul,lncRNA,lncRNA_024,lncRNA,,ntLink_4,49437,51336,+
Apul,lncRNA,lncRNA_025,lncRNA,,ntLink_4,171640,173539,+
