"","V1","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","V4.y","PCC.cor","p_value","adjusted_p_value"
"1","Cluster_10060","Porites_evermani_scaffold_1755:94665-95665",176,-22.19,2,18,899,921,17,"94.12%","94.12%","Peve_00010610",-0.186221181778393,0.880751796865079,0.998935627800807
"2","Cluster_10060","Porites_evermani_scaffold_1891:50981-51981",162,-20.99,2,20,726,749,20,"75.00%","80.00%","Peve_00012152",NA,NA,NA
"3","Cluster_10060","Porites_evermani_scaffold_1:919565-920565",177,-24.72,2,21,797,816,19,"89.47%","89.47%","Peve_00000049",-0.0344953421434075,0.978035225581731,0.999448381576871
"4","Cluster_10060","Porites_evermani_scaffold_1977:56240-57240",163,-20.82,2,21,905,927,20,"70.00%","85.00%","Peve_00013076",NA,NA,NA
"5","Cluster_10060","Porites_evermani_scaffold_209:141486-142486",158,-20.22,2,21,781,801,19,"68.42%","84.21%","Peve_00014408",NA,NA,NA
"6","Cluster_10060","Porites_evermani_scaffold_285:306283-307283",166,-20.5,2,20,353,376,20,"75.00%","85.00%","Peve_00021276",NA,NA,NA
"7","Cluster_10060","Porites_evermani_scaffold_311:126053-127053",167,-20.71,2,16,703,724,14,"85.71%","100.00%","Peve_00023467",NA,NA,NA
"8","Cluster_10060","Porites_evermani_scaffold_3744:8542-9542",169,-22.61,2,19,22,45,19,"78.95%","89.47%","Peve_00027308",0.258435386498628,0.833586180557278,0.995934364227446
"9","Cluster_10060","Porites_evermani_scaffold_3868:34389-35389",173,-20.78,2,20,309,329,18,"88.89%","88.89%","Peve_00027983",-0.779699360883204,0.430743806610484,0.978262075707395
"10","Cluster_10060","Porites_evermani_scaffold_422:57577-58262",167,-21.66,2,21,359,381,20,"75.00%","85.00%","Peve_00029974",0.999736312730338,0.0146200630686234,0.734958779208245
"11","Cluster_10060","Porites_evermani_scaffold_5347:10045-11045",184,-21.27,2,21,157,178,19,"84.21%","94.74%","Peve_00034902",NA,NA,NA
"12","Cluster_10060","Porites_evermani_scaffold_640:44753-45753",167,-22.12,2,21,310,332,20,"75.00%","85.00%","Peve_00038162",NA,NA,NA
"13","Cluster_10060","Porites_evermani_scaffold_674:36934-37934",173,-21,2,20,874,894,18,"88.89%","88.89%","Peve_00038919",NA,NA,NA
"14","Cluster_10060","Porites_evermani_scaffold_752:6900-7900",166,-20.16,2,21,204,224,19,"73.68%","89.47%","Peve_00040742",-0.999019150266648,0.0281988803309955,0.902129556693968
"15","Cluster_10060","Porites_evermani_scaffold_991:125134-126134",168,-21.08,2,18,878,900,17,"82.35%","94.12%","Peve_00045251",-0.0583399343807917,0.96283854375754,0.999448381576871
"16","Cluster_10061","Porites_evermani_scaffold_1090:55420-56420",163,-20.97,2,17,698,721,17,"82.35%","88.24%","Peve_00001612",NA,NA,NA
"17","Cluster_10061","Porites_evermani_scaffold_1186:61087-62087",179,-23.24,2,20,725,746,18,"88.89%","88.89%","Peve_00003122",-0.265726517903424,0.828776365879978,0.995934364227446
"18","Cluster_10061","Porites_evermani_scaffold_1186:74639-75639",179,-21.05,2,20,721,742,18,"88.89%","88.89%","Peve_00003113",-0.696836398553476,0.509180714719917,0.978262075707395
"19","Cluster_10061","Porites_evermani_scaffold_1221:71064-72064",168,-21.39,2,19,369,389,17,"88.24%","88.24%","Peve_00003694",-0.446077406355246,0.705641205133228,0.978262075707395
"20","Cluster_10061","Porites_evermani_scaffold_1221:71135-72135",168,-21.39,2,19,298,318,17,"88.24%","88.24%","Peve_00003695",-0.99199485658194,0.0806064549183684,0.978262075707395
"21","Cluster_10061","Porites_evermani_scaffold_1269:83151-84151",171,-22.04,2,20,181,202,18,"77.78%","88.89%","Peve_00004323",-0.172899716820532,0.889372692042876,0.999448381576871
"22","Cluster_10061","Porites_evermani_scaffold_1329:31126-32126",182,-28.4,2,19,634,655,17,"88.24%","100.00%","Peve_00005180",-0.783545101783734,0.426818694653127,0.978262075707395
"23","Cluster_10061","Porites_evermani_scaffold_139:79341-80341",172,-21.82,2,18,208,230,17,"88.24%","94.12%","Peve_00006031",NA,NA,NA
"24","Cluster_10061","Porites_evermani_scaffold_139:79341-80341",172,-21.82,2,18,328,350,17,"88.24%","94.12%","Peve_00006031",NA,NA,NA
"25","Cluster_10061","Porites_evermani_scaffold_1833:64421-65421",169,-22.25,2,18,352,373,16,"75.00%","100.00%","Peve_00011535",-0.990584526872304,0.0874294088582374,0.978262075707395
"26","Cluster_10061","Porites_evermani_scaffold_184:344967-345967",159,-21.63,2,21,61,85,22,"63.64%","81.82%","Peve_00011589",-0.448543039306733,0.703886164166127,0.978262075707395
"27","Cluster_10061","Porites_evermani_scaffold_1854:80326-81326",159,-20.36,2,21,201,226,23,"69.57%","73.91%","Peve_00011752",-0.446077406355246,0.705641205133228,0.978262075707395
"28","Cluster_10061","Porites_evermani_scaffold_190:99320-100320",170,-20.02,2,21,916,936,19,"84.21%","84.21%","Peve_00012292",-0.634781973431444,0.562179825338467,0.978262075707395
"29","Cluster_10061","Porites_evermani_scaffold_1939:46940-47940",160,-20.49,2,19,107,127,17,"70.59%","94.12%","Peve_00012696",NA,NA,NA
"30","Cluster_10061","Porites_evermani_scaffold_2161:1161-2161",158,-20.45,2,20,399,425,23,"69.57%","73.91%","Peve_00015166",-0.310086733470883,0.799283805240007,0.995934364227446
"31","Cluster_10061","Porites_evermani_scaffold_2229:13161-14161",174,-20.22,2,20,405,428,20,"85.00%","85.00%","Peve_00015845",-0.62367202905205,0.571280175998745,0.978262075707395
"32","Cluster_10061","Porites_evermani_scaffold_2351:48966-49966",165,-21.25,2,20,86,109,20,"80.00%","85.00%","Peve_00017023",NA,NA,NA
"33","Cluster_10061","Porites_evermani_scaffold_239:57853-58853",172,-20.49,2,21,639,660,19,"73.68%","89.47%","Peve_00017320",-0.750011420638398,0.46009592009726,0.978262075707395
"34","Cluster_10061","Porites_evermani_scaffold_29:239887-240887",169,-20.7,2,21,947,968,20,"80.00%","90.00%","Peve_00021693",-0.754899233417341,0.455371491238179,0.978262075707395
"35","Cluster_10061","Porites_evermani_scaffold_2951:35792-36792",165,-20.58,2,20,245,265,18,"77.78%","88.89%","Peve_00022068",-0.733525650668393,0.475746867850307,0.978262075707395
"36","Cluster_10061","Porites_evermani_scaffold_3268:22076-23076",174,-20.4,2,21,526,546,19,"84.21%","89.47%","Peve_00024420",NA,NA,NA
"37","Cluster_10061","Porites_evermani_scaffold_342:245853-246853",162,-20.08,2,15,30,51,13,"84.62%","100.00%","Peve_00025417",-0.128787782015985,0.9177827944628,0.999448381576871
"38","Cluster_10061","Porites_evermani_scaffold_3726:7672-8672",143,-20.03,2,21,2,32,28,"53.57%","67.86%","Peve_00027231",NA,NA,NA
"39","Cluster_10061","Porites_evermani_scaffold_3775:27917-28917",175,-23.52,2,21,249,272,21,"80.95%","85.71%","Peve_00027461",-0.981320798954527,0.123240263698277,0.978262075707395
"40","Cluster_10061","Porites_evermani_scaffold_397:104724-105724",173,-23.25,2,18,604,625,16,"87.50%","93.75%","Peve_00028560",-0.286575280096669,0.814966292437932,0.995934364227446
