"","V1","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","V4.y","PCC.cor","p_value","adjusted_p_value"
"1","Cluster_1140","Porites_evermani_scaffold_1106:66548-127626",178,-22.2,2,21,28589,28609,19,"89.47%","89.47%","Peve_00001942",-0.987270772829329,0.101685236804897,0.978262075707395
"2","Cluster_1140","Porites_evermani_scaffold_1158:40952-51791",170,-20.37,2,20,6821,6845,21,"76.19%","85.71%","Peve_00002662",-0.664053357124033,0.537669528243047,0.978262075707395
"3","Cluster_1140","Porites_evermani_scaffold_1161:135902-148682",169,-20.2,2,19,1009,1031,18,"83.33%","88.89%","Peve_00002765",0.860330196122848,0.340514694121851,0.978262075707395
"4","Cluster_1140","Porites_evermani_scaffold_1:220724-266805",175,-20.39,2,21,2909,2932,21,"80.95%","85.71%","Peve_00000108",-0.998781804329405,0.0314266250831325,0.903929377050813
"5","Cluster_1140","Porites_evermani_scaffold_123:90709-121509",177,-22.69,2,20,26764,26787,20,"90.00%","90.00%","Peve_00003798",-0.964304622043049,0.170608832202224,0.978262075707395
"6","Cluster_1140","Porites_evermani_scaffold_128:200708-217003",184,-22.26,2,21,10475,10496,19,"84.21%","94.74%","Peve_00004495",NA,NA,NA
"7","Cluster_1140","Porites_evermani_scaffold_1343:14876-17605",178,-20.32,2,21,1096,1116,19,"89.47%","89.47%","Peve_00005408",0.255969863279213,0.835210425573922,0.995934364227446
"8","Cluster_1140","Porites_evermani_scaffold_1481:46895-59102",167,-20.19,2,17,256,278,16,"87.50%","93.75%","Peve_00007251",-0.977927792177911,0.134004715557961,0.978262075707395
"9","Cluster_1140","Porites_evermani_scaffold_1520:3641-7272",183,-21.81,2,20,313,334,18,"83.33%","100.00%","Peve_00007790",NA,NA,NA
"10","Cluster_1140","Porites_evermani_scaffold_1645:93221-95533",180,-22.69,2,21,1181,1202,19,"84.21%","89.47%","Peve_00009344",NA,NA,NA
"11","Cluster_1140","Porites_evermani_scaffold_1:65319-86407",150,-20.66,2,21,4146,4175,27,"62.96%","70.37%","Peve_00000013",-0.950544177607321,0.201052813124765,0.978262075707395
"12","Cluster_1140","Porites_evermani_scaffold_165:323644-327106",167,-20.89,2,21,934,957,21,"76.19%","80.95%","Peve_00009409",NA,NA,NA
"13","Cluster_1140","Porites_evermani_scaffold_1655:18837-47102",177,-21.62,2,18,307,328,16,"87.50%","100.00%","Peve_00009466",-0.977743420813182,0.134565313506282,0.978262075707395
"14","Cluster_1140","Porites_evermani_scaffold_1823:47250-69122",180,-22.69,2,21,440,461,19,"84.21%","89.47%","Peve_00011435",-0.998365252615658,0.0364065585365617,0.909359886114279
"15","Cluster_1140","Porites_evermani_scaffold_1963:20398-23043",179,-21.62,2,21,2045,2068,21,"85.71%","85.71%","Peve_00012974",NA,NA,NA
"16","Cluster_1140","Porites_evermani_scaffold_20:736906-745988",182,-23.35,2,20,5728,5750,19,"89.47%","94.74%","Peve_00013493",-0.99364902167058,0.0717869585897249,0.978262075707395
"17","Cluster_1140","Porites_evermani_scaffold_2190:33921-38474",171,-20.6,2,21,4388,4410,20,"80.00%","85.00%","Peve_00015430",-0.293928479604155,0.810074495058862,0.995934364227446
"18","Cluster_1140","Porites_evermani_scaffold_2278:54546-72207",183,-20.92,2,21,11306,11328,20,"90.00%","90.00%","Peve_00016286",-0.371610434039001,0.757611430524061,0.988219883885475
"19","Cluster_1140","Porites_evermani_scaffold_2278:54546-72207",183,-20.92,2,21,7936,7958,20,"90.00%","90.00%","Peve_00016286",-0.371610434039001,0.757611430524061,0.988219883885475
"20","Cluster_1140","Porites_evermani_scaffold_2297:49754-79803",177,-20.33,2,21,27215,27234,19,"89.47%","89.47%","Peve_00016457",-0.868967878411863,0.329567545037126,0.978262075707395
