"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region"
"1","Peve_00000805","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_11134",0.355817293881413,0.768405080625913,0.990527675986719,162,-20.08,"2 20","114 136",19,"68.42%","89.47%","3UTR"
"2","Peve_00001259","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_8988",0.994081018583608,0.0692999716482651,0.978262075707395,166,-20.46,"2 21","562 582",19,"78.95%","84.21%","5UTR"
"3","Peve_00001262","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_29",0.309808847515195,0.799469876266897,0.995934364227446,146,-20.38,"2 21","2935 2958",21,"57.14%","80.95%","CDS"
"4","Peve_00001263","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_2787",0.487460815258244,0.675846394228443,0.978262075707395,171,-22.35,"2 20","305 326",18,"77.78%","88.89%","CDS"
"5","Peve_00002388","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_796",0.425188957373802,0.720415284635826,0.981561847514617,164,-23.89,"2 21","843 864",19,"73.68%","78.95%","CDS"
"6","Peve_00002402","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_1167",0.580618079904618,0.605621924033292,0.978262075707395,159,-20.79,"2 21","43191 43214",21,"71.43%","76.19%","CDS"
"7","Peve_00002402","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_2787",0.086174677232781,0.945071368983319,0.999448381576871,166,-23.61,"2 21","46840 46860",19,"78.95%","84.21%","CDS"
"8","Peve_00002402","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_2854",0.419124205401452,0.724674363784877,0.982960404268835,169,-23.27,"2 18","32309 32330",16,"81.25%","93.75%","CDS"
"9","Peve_00002445","GO:0004177","aminopeptidase activity",2,2,0.43,0.047,"Molecular Functions","Cluster_2787",0.965603807841492,0.16745690839155,0.978262075707395,170,-25.1,"2 21","7803 7823",19,"78.95%","89.47%","CDS"
"10","Peve_00003207","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_796",0.978222668883333,0.133103281203077,0.978262075707395,171,-26.67,"2 20","1182 1203",18,"83.33%","83.33%","CDS"
"11","Peve_00003209","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_1167",0.805438541690496,0.403859678371795,0.978262075707395,158,-20.94,"2 21","329 349",19,"73.68%","78.95%","CDS"
"12","Peve_00003218","GO:0005506","iron ion binding",8,5,1.73,0.014,"Molecular Functions","Cluster_1167",0.294943563334553,0.809398297620773,0.995934364227446,153,-21.65,"2 20","1533 1553",18,"72.22%","77.78%","CDS"
