"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region"
"1","Peve_00000350","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.995760531403778,0.0586414071433723,0.978262075707395,160,-22.33,"2 21","18042 18063",19,"68.42%","78.95%","CDS"
"2","Peve_00000351","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2882",-0.992600976670709,0.0774908567782603,0.978262075707395,150,-20.1,"2 11","6054 6075",9,"100.00%","100.00%","CDS"
"3","Peve_00000409","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2882",-0.754394103938288,0.455861599555879,0.978262075707395,159,-21.94,"2 21","18694 18716",20,"75.00%","75.00%","CDS"
"4","Peve_00000728","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_796",-0.0696341159246929,0.955633640840684,0.999448381576871,152,-21.1,"2 19","30006 30026",17,"76.47%","76.47%","CDS"
"5","Peve_00002111","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_4079",-0.796272454187231,0.413604356922386,0.978262075707395,159,-20.1,"2 21","2093 2115",20,"70.00%","80.00%","CDS"
"6","Peve_00003331","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_796",-0.823843352343981,0.383651115515221,0.978262075707395,145,-20.62,"2 10","2116 2137",8,"100.00%","100.00%","CDS"
"7","Peve_00003585","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.928279409699844,0.242575828732353,0.978262075707395,143,-20.51,"2 12","6140 6161",10,"80.00%","90.00%","CDS"
"8","Peve_00003586","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2882",-0.998590344098593,0.033806694422102,0.909359886114279,160,-20.54,"2 21","38432 38453",19,"68.42%","78.95%","CDS"
"9","Peve_00003586","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2882",-0.998590344098593,0.033806694422102,0.909359886114279,160,-22.57,"2 21","31069 31090",19,"73.68%","73.68%","CDS"
"10","Peve_00003586","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4115",-0.712377765861547,0.495236581322891,0.978262075707395,154,-20.72,"2 21","23204 23228",22,"68.18%","77.27%","CDS"
"11","Peve_00003830","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_4115",-0.942535436283676,0.216868838451685,0.978262075707395,167,-20.11,"2 20","6260 6281",18,"72.22%","88.89%","CDS"
"12","Peve_00004279","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.832001768223017,0.374389772546901,0.978262075707395,171,-33.35,"2 21","16132 16154",20,"80.00%","85.00%","CDS"
"13","Peve_00005574","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4115",-0.940850549985987,0.220056786112923,0.978262075707395,179,-21.12,"2 20","18737 18758",18,"83.33%","94.44%","CDS"
"14","Peve_00006198","GO:0004972","NMDA glutamate receptor activity",2,2,0.42,0.044,"Molecular Functions","Cluster_1167",-0.511591173923624,0.65811249694873,0.978262075707395,168,-23.66,"2 21","2499 2520",19,"78.95%","78.95%","CDS"
"15","Peve_00007482","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2882",-0.948138976586998,0.205925761244801,0.978262075707395,159,-21.09,"2 16","368 389",14,"85.71%","85.71%","3UTR"
"16","Peve_00010926","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.907225778445657,0.276391705454962,0.978262075707395,159,-21.58,"2 20","2980 3001",18,"66.67%","83.33%","CDS"
"17","Peve_00011022","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_2882",-0.898389711968954,0.289475524970989,0.978262075707395,166,-21.16,"2 21","6394 6417",21,"80.95%","80.95%","CDS"
"18","Peve_00011022","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_29",-0.368569774287229,0.759695126986102,0.988219883885475,158,-20.81,"2 20","12653 12676",20,"70.00%","80.00%","CDS"
"19","Peve_00011022","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_5882",-0.27814091057559,0.820563558554478,0.995934364227446,157,-20.69,"2 21","376 400",22,"72.73%","81.82%","5UTR"
"20","Peve_00011526","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4629",-0.470485049948399,0.688157924644645,0.978262075707395,153,-20.61,"2 18","922 943",16,"62.50%","87.50%","5UTR"
"21","Peve_00013351","GO:0004972","NMDA glutamate receptor activity",2,2,0.42,0.044,"Molecular Functions","Cluster_11134",-0.45050973187836,0.702484527536259,0.978262075707395,164,-27.19,"2 21","443 464",19,"63.16%","89.47%","5UTR"
"22","Peve_00014007","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4079",-0.796272454187231,0.413604356922386,0.978262075707395,153,-20.36,"2 17","2450 2469",15,"80.00%","86.67%","CDS"
"23","Peve_00014687","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_6904",-0.488306671739018,0.675229503764934,0.978262075707395,151,-20.43,"2 21","96 118",20,"65.00%","75.00%","5UTR"
"24","Peve_00015613","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_2882",-0.889280874352787,0.302410882980199,0.978262075707395,153,-21.16,"2 18","8678 8697",16,"81.25%","87.50%","CDS"
"25","Peve_00017871","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4629",-0.402844269576366,0.736043240625227,0.986102778584839,161,-27.09,"2 20","875 898",20,"75.00%","85.00%","3UTR"
"26","Peve_00018801","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_1167",-0.00448381691036851,0.997145503934372,0.999448381576871,154,-20.1,"2 20","627 649",19,"73.68%","73.68%","CDS"
"27","Peve_00018858","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_589",-0.992260720420171,0.0792548559226469,0.978262075707395,166,-22.29,"2 20","8786 8808",19,"78.95%","84.21%","CDS"
"28","Peve_00018937","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_2882",-0.898389711968954,0.289475524970989,0.978262075707395,157,-20.2,"2 21","27480 27499",19,"73.68%","78.95%","CDS"
"29","Peve_00018937","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_4080",-0.235777127616489,0.848472931070267,0.995934364227446,174,-23.22,"2 21","11246 11269",21,"80.95%","90.48%","CDS"
