"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region"
"1","Peve_00000226","GO:0006886","intracellular protein transport",1,1,0.03,0.026,"Biological Processes","Cluster_1167",0.999909726776791,0.00855416971793389,0.573710369894872,147,-21.83,"2 17","25698 25722",18,"72.22%","72.22%","CDS"
"2","Peve_00013797","GO:0006886","intracellular protein transport",1,1,0.03,0.026,"Biological Processes","Cluster_4115",0.997419073679286,0.0457484490353859,0.933976570634822,148,-20.68,"2 17","12268 12289",15,"66.67%","80.00%","CDS"
"3","Peve_00036963","GO:0006886","intracellular protein transport",1,1,0.03,0.026,"Biological Processes","Cluster_4080",0.999351594621176,0.0229267182870592,0.843538272975541,167,-21.47,"2 20","777 798",18,"77.78%","83.33%","5UTR"
"4","Peve_00040588","GO:0002224","toll-like receptor signaling pathway",1,1,0.03,0.026,"Biological Processes","Cluster_1167",0.999909726776791,0.00855416971793915,0.573710369894872,145,-20.61,"2 10","8978 8999",8,"100.00%","100.00%","CDS"
"5","Peve_00000772","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_2854",0.999952919799256,0.0061775458534996,0.573710369894872,156,-22.12,"2 20","20005 20032",24,"75.00%","75.00%","CDS"
"6","Peve_00002111","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_1167",0.999909726776791,0.00855416971793389,0.573710369894872,143,-22.64,"2 12","6428 6449",10,"80.00%","90.00%","CDS"
"7","Peve_00003099","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_1167",0.998614570448091,0.0335148667827687,0.909359886114279,156,-24.94,"2 21","22156 22177",19,"63.16%","78.95%","CDS"
"8","Peve_00005214","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_1167",0.999909726776791,0.00855416971792863,0.573710369894872,152,-22.04,"2 19","1775 1795",17,"76.47%","76.47%","CDS"
"9","Peve_00005214","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_1167",0.999909726776791,0.00855416971792863,0.573710369894872,156,-25.71,"2 19","2214 2241",23,"73.91%","73.91%","CDS"
"10","Peve_00013972","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_2854",0.999962448044095,0.00551712420276981,0.551398425649056,166,-20.5,"2 21","65 85",19,"73.68%","89.47%","5UTR"
"11","Peve_00020149","GO:0004364","glutathione transferase activity",1,1,0.04,0.0361,"Molecular Functions","Cluster_1167",0.99989178672184,0.00936567997820576,0.602207777435852,142,-20.6,"2 11","1212 1233",9,"88.89%","88.89%","CDS"
"12","Peve_00020151","GO:0004364","glutathione transferase activity",1,1,0.04,0.0361,"Molecular Functions","Cluster_1167",0.999909726776791,0.00855416971793915,0.573710369894872,145,-23.56,"2 21","2151 2179",26,"65.38%","69.23%","CDS"
"13","Peve_00020723","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_1167",0.999909726776791,0.00855416971794441,0.573710369894872,145,-20.42,"2 19","4394 4416",18,"66.67%","72.22%","CDS"
"14","Peve_00030693","GO:0000026","alpha-1,2-mannosyltransferase activity",1,1,0.04,0.0361,"Molecular Functions","Cluster_6906",0.999488224375111,0.0203682371525405,0.810097073649321,155,-20.73,"2 21","558 576",19,"73.68%","84.21%","3UTR"
"15","Peve_00037939","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_2854",0.999962448044095,0.00551712420276981,0.551398425649056,159,-20.51,"2 20","12628 12646",18,"77.78%","83.33%","CDS"
"16","Peve_00042134","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_1167",0.999909726776791,0.00855416971793915,0.573710369894872,142,-20.81,"2 20","363 386",20,"65.00%","65.00%","5UTR"
"17","Peve_00042916","GO:0004140","dephospho-CoA kinase activity",1,1,0.04,0.0361,"Molecular Functions","Cluster_4735",0.999824590062268,0.011924181187447,0.672885963152335,173,-22.62,"2 18","311 332",16,"87.50%","93.75%","3UTR"
"18","Peve_00043468","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_1167",0.999909726776791,0.00855416971793915,0.573710369894872,155,-21.49,"2 21","742 764",20,"70.00%","75.00%","3UTR"
"19","Peve_00043653","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.29,0.0066,"Molecular Functions","Cluster_1167",0.999909726776791,0.00855416971793389,0.573710369894872,152,-23.21,"2 13","35454 35475",11,"90.91%","90.91%","CDS"
