"sample140" "sample145" "sample150" "sample173" "sample178"
"XM_044313592.1" 108 46 63 105 131
"XR_006395886.1" 0 0 0 6 139
"XM_029343024.2" 467 337 362 570 1234
"XM_044327972.1" 43 21 5 12 41
"XR_006392795.1" 108 0 0 0 0
"XM_044315346.1" 20 0 21 18 232
"XM_044309244.1" 5 26 23 24 73
"XM_044326194.1" 55 65 9 0 7
"XM_044314742.1" 73 155 36 270 1
"XR_006392295.1" 120 30 11 38 43
"XM_029342319.2" 0 0 2 0 18
"XM_029328980.2" 42 0 0 0 0
"XM_029330965.1" 2056 1394 1037 1456 1394
"XM_029351061.2" 0 0 0 0 186
"XM_044327462.1" 1179 703 547 890 769
"XM_029349959.2" 694 212 303 561 105
"XM_044318636.1" 5 4 7 13 25
"XR_006397562.1" 8 3 26 89 28
"XM_044328392.1" 1441 924 792 1079 1246
"XM_044321678.1" 36 114 137 86 38
"XM_029333713.2" 38 31 18 72 55
"XM_029352718.2" 63 528 321 46 448
"XM_044318270.1" 1239 797 942 3247 1382
"XM_029345015.2" 505 381 230 651 505
"XR_006396656.1" 619 573 225 515 414
"XM_044323596.1" 11 0 22 0 0
"XM_044322370.1" 18 14 0 1 220
"XM_029334675.2" 740 505 500 774 894
"XM_029330060.2" 61 50 72 33 0
"XM_044315445.1" 2 140 2 26 0
"XM_044317870.1" 20 10 0 7 17
"XR_006393279.1" 25 25 37 44 83
"XM_044306976.1" 406 320 303 330 404
"XM_044318031.1" 65 20 45 62 47
"XR_006397318.1" 201 82 12 126 163
"XM_029337337.2" 123 108 30 0 68
"XR_006395618.1" 135 56 95 152 172
"XM_029332465.2" 0 0 0 0 7
"XM_029331931.2" 707 306 456 980 911
"XR_003826325.2" 24 14 54 30 23
"XM_044315417.1" 277 0 281 0 0
"XR_003827962.2" 185 20 116 125 248
"XM_044311906.1" 157 53 8 18 33
"XM_044323690.1" 10 0 1 0 15
"XM_044317898.1" 14 19 36 51 13
"XM_044325680.1" 5 15 82 10 49
"XR_006396092.1" 138 16 22 35 17
"XM_044315675.1" 0 14 3 0 18
"XM_044323687.1" 2 1 0 24 0
"XM_044316066.1" 3 0 0 27 0
"XR_006397303.1" 1 0 13 4 6
"XM_044322516.1" 26 0 3 4 39
"XR_006392013.1" 241 1 33 17 69
"XM_029335367.2" 4109 4578 3797 4217 4187
"XM_029354142.2" 207 12 0 28 364
"XM_044314550.1" 1 7 11 1 9
"XM_029338156.2" 1230 944 1792 11350 3037
"XM_029350361.2" 0 43 50 68 19
"XM_029351145.2" 0 30 14 81 46
"XM_029337805.2" 1304 865 1461 1121 1215
"XM_044307687.1" 0 125 36 72 116
"XM_029329527.2" 4448 3044 2537 3532 2840
"XM_044321358.1" 64 10 109 0 22
"XM_029341410.2" 34 76 32 38 130
"XM_029325183.2" 18 138 54 247 127
"XM_044307023.1" 0 0 2 0 8
"XM_029333541.2" 3713 5804 2790 3085 2604
"XM_044313596.1" 134 121 0 155 276
"XM_029331475.2" 197 368 60 20 125
"XM_029343026.2" 523 378 361 273 1009
