,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value,interaction_support
1,apul-mir-novel-23,FUN_043573,3UTR,FUN_043573;2 18;743 766,-24.7,18,72.22%,83.33%,0.929674659349317,0.929674659349317,1,0.0221496324840345,predicted binding + coexpression
2,apul-mir-novel-15,FUN_025197,3UTR,FUN_025197;2 21;778 800,-21.7,20,80.00%,85.00%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
3,apul-mir-novel-34,FUN_019843,3UTR,FUN_019843;2 20;515 537,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653,predicted binding + coexpression
4,apul-mir-novel-34,FUN_019846,3UTR,FUN_019846;2 20;511 533,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653,predicted binding + coexpression
5,apul-mir-novel-15,FUN_014343,3UTR,FUN_014343;2 21;255 276,-20.65,20,70.00%,85.00%,0.938315097289955,0.938315097289955,1,0.0182197517071088,predicted binding + coexpression
6,apul-mir-novel-21,FUN_029385,3UTR,FUN_029385;2 20;682 707,-22.39,22,72.73%,77.27%,0.918700592430811,0.918700592430811,1,0.0274850568020725,predicted binding + coexpression
7,apul-mir-novel-34,FUN_020652,3UTR,FUN_020652;2 20;523 545,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653,predicted binding + coexpression
8,apul-mir-novel-23,FUN_043328,3UTR,FUN_043328;2 19;931 954,-22.26,19,84.21%,89.47%,0.965914639369325,0.965914639369325,1,0.00751541039444425,predicted binding + coexpression
9,apul-mir-novel-33,FUN_034923,3UTR,FUN_034923;2 22;665 686,-21.08,20,80.00%,90.00%,0.952463395955054,0.952463395955054,1,0.0123525010315663,predicted binding + coexpression
10,apul-mir-novel-33,FUN_027826,3UTR,FUN_027826;2 22;966 997,-20.73,29,65.52%,68.97%,0.915440855529146,0.915440855529146,1,0.0291399046285765,predicted binding + coexpression
