,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value,interaction_support
1,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___RNAseq.g10347.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g10347.t1;2 22;912 934,-21.71,20,65.00%,80.00%,-0.981685694822282,0.981685694822282,-1,0.00296703624850726,predicted binding + coexpression
2,ptuh-mir-novel-13,Pocillopora_meandrina_HIv1___RNAseq.g18208.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g18208.t1;2 11;94 115,-22.2,9,100.00%,100.00%,-0.987781180181153,0.987781180181153,-1,0.00161837872676055,predicted binding + coexpression
3,ptuh-mir-novel-21,Pocillopora_meandrina_HIv1___RNAseq.g20733.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g20733.t1;2 19;249 269,-20.42,17,76.47%,82.35%,0.965837666525896,0.965837666525896,1,0.00754079408094521,predicted binding + coexpression
4,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___RNAseq.g627.t1b,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g627.t1b;2 17;49 71,-20.15,15,73.33%,93.33%,-0.981986205789269,0.981986205789269,-1,0.00289444080290838,predicted binding + coexpression
5,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___TS.g23997.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g23997.t1;2 22;372 394,-21.64,21,61.90%,85.71%,-0.97347675856656,0.97347675856656,-1,0.00516461966995338,predicted binding + coexpression
6,ptuh-mir-novel-25,Pocillopora_meandrina_HIv1___RNAseq.g28481.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g28481.t1;2 17;447 468,-21.43,15,80.00%,86.67%,-0.968528512591817,0.968528512591817,-1,0.00667035424164904,predicted binding + coexpression
7,ptuh-mir-2030,Pocillopora_meandrina_HIv1___RNAseq.g7360.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g7360.t1;2 21;40 61,-21.01,19,73.68%,84.21%,0.983640847512444,0.983640847512444,1,0.00250556964960435,predicted binding + coexpression
8,ptuh-mir-novel-10,Pocillopora_meandrina_HIv1___TS.g5141.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g5141.t1;2 21;240 266,-21.84,24,62.50%,79.17%,0.967616283342236,0.967616283342236,1,0.0069615023574331,predicted binding + coexpression
9,ptuh-mir-2030,Pocillopora_meandrina_HIv1___TS.g16575.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g16575.t1;2 20;921 943,-20.2,19,73.68%,78.95%,0.982768196936009,0.982768196936009,1,0.00270834633033426,predicted binding + coexpression
10,ptuh-mir-2030,Pocillopora_meandrina_HIv1___RNAseq.g21663.t3,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g21663.t3;2 21;134 157,-21.44,21,71.43%,80.95%,0.98901770010242,0.98901770010242,1,0.00137929473649854,predicted binding + coexpression
11,ptuh-mir-novel-9,Pocillopora_meandrina_HIv1___TS.g12427.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g12427.t1;2 21;426 448,-24.35,20,80.00%,95.00%,0.974320381559136,0.974320381559136,1,0.00492081150775928,predicted binding + coexpression
12,ptuh-mir-novel-23,Pocillopora_meandrina_HIv1___TS.g6076.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g6076.t1;2 20;480 503,-21.49,20,80.00%,85.00%,0.984428566503814,0.984428566503814,1,0.00232707166309416,predicted binding + coexpression
13,ptuh-mir-novel-17,Pocillopora_meandrina_HIv1___TS.g9480.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g9480.t1;2 18;838 859,-20.5,16,68.75%,93.75%,-0.9816904077195,0.9816904077195,-1,0.00296589315169402,predicted binding + coexpression
14,ptuh-mir-novel-19,Pocillopora_meandrina_HIv1___RNAseq.g5368.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g5368.t1;2 20;459 480,-20.5,19,73.68%,84.21%,0.997797300050035,0.997797300050035,1,0.000124057585767372,predicted binding + coexpression
15,ptuh-mir-novel-31,Pocillopora_meandrina_HIv1___RNAseq.g18023.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g18023.t1;2 20;866 886,-21.45,18,77.78%,83.33%,-0.960310243284543,0.960310243284543,-1,0.00943515284188613,predicted binding + coexpression
16,ptuh-mir-2030,Pocillopora_meandrina_HIv1___RNAseq.g16419.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g16419.t1;2 20;916 938,-20.2,19,73.68%,78.95%,0.973906530382202,0.973906530382202,1,0.00503992918544744,predicted binding + coexpression
17,ptuh-mir-2030,Pocillopora_meandrina_HIv1___RNAseq.g22875.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g22875.t1;2 19;811 832,-20.28,18,66.67%,83.33%,-0.969434363395785,0.969434363395785,-1,0.00638532169500294,predicted binding + coexpression
18,ptuh-mir-novel-26,Pocillopora_meandrina_HIv1___RNAseq.g2284.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g2284.t1;2 21;818 838,-22.28,19,73.68%,84.21%,0.960253555050915,0.960253555050915,1,0.00945529270598953,predicted binding + coexpression
19,ptuh-mir-novel-16,Pocillopora_meandrina_HIv1___RNAseq.g23266.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g23266.t1;2 21;19 41,-22.24,20,65.00%,80.00%,-0.987634431609457,0.987634431609457,-1,0.00164758487769032,predicted binding + coexpression
20,ptuh-mir-novel-16,Pocillopora_meandrina_HIv1___RNAseq.g23266.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g23266.t1;2 21;198 220,-22.24,20,65.00%,80.00%,-0.987634431609457,0.987634431609457,-1,0.00164758487769032,predicted binding + coexpression
21,ptuh-mir-novel-16,Pocillopora_meandrina_HIv1___RNAseq.g23266.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g23266.t1;2 21;387 408,-22.56,19,68.42%,84.21%,-0.987634431609457,0.987634431609457,-1,0.00164758487769032,predicted binding + coexpression
22,ptuh-mir-novel-16,Pocillopora_meandrina_HIv1___RNAseq.g12113.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g12113.t1;2 21;413 437,-20.93,22,81.82%,81.82%,-0.96164990501802,0.96164990501802,-1,0.00896332937875625,predicted binding + coexpression
23,ptuh-mir-novel-9,Pocillopora_meandrina_HIv1___RNAseq.g24014.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g24014.t1;2 17;639 661,-21.22,16,87.50%,93.75%,0.97443907899697,0.97443907899697,1,0.00488682092941097,predicted binding + coexpression
24,ptuh-mir-2030,Pocillopora_meandrina_HIv1___RNAseq.g490.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g490.t1;2 20;807 827,-21.64,18,77.78%,83.33%,0.959831636100303,0.959831636100303,1,0.00960563113758652,predicted binding + coexpression
25,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___RNAseq.g14695.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g14695.t1;2 18;253 277,-24.96,18,72.22%,77.78%,-0.971309164464342,0.971309164464342,-1,0.00580859025100978,predicted binding + coexpression
26,ptuh-mir-novel-9,Pocillopora_meandrina_HIv1___RNAseq.g13302.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g13302.t1;2 21;469 488,-20.9,19,73.68%,84.21%,-0.969770316734252,0.969770316734252,-1,0.00628065756643079,predicted binding + coexpression
27,ptuh-mir-2030,Pocillopora_meandrina_HIv1___RNAseq.g12008.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g12008.t1;2 18;904 925,-20.15,16,75.00%,87.50%,-0.979171224688622,0.979171224688622,-1,0.00359722763403827,predicted binding + coexpression
28,ptuh-mir-novel-11; ptuh-mir-novel-15,Pocillopora_meandrina_HIv1___RNAseq.g5747.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g5747.t1;2 18;619 637,-21.26,16,81.25%,81.25%,0.973469289464184,0.973469289464184,1,0.00516679556528131,predicted binding + coexpression
29,ptuh-mir-novel-28,Pocillopora_meandrina_HIv1___RNAseq.g22817.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g22817.t1;2 20;279 302,-21.97,20,70.00%,80.00%,0.961709601999612,0.961709601999612,1,0.00894248971622479,predicted binding + coexpression
30,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___RNAseq.g17919.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g17919.t1;2 22;270 293,-25.08,21,66.67%,80.95%,-0.991500685182147,0.991500685182147,-1,0.000939410209737783,predicted binding + coexpression
31,ptuh-mir-novel-13,Pocillopora_meandrina_HIv1___RNAseq.g2373.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g2373.t1;2 21;647 671,-22.7,22,63.64%,68.18%,-0.971793746076959,0.971793746076959,-1,0.0056624702103398,predicted binding + coexpression
32,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___RNAseq.g12751.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g12751.t1;2 17;658 683,-20.83,18,72.22%,83.33%,-0.969995954728004,0.969995954728004,-1,0.00621068187581405,predicted binding + coexpression
33,ptuh-mir-novel-33,Pocillopora_meandrina_HIv1___RNAseq.g22695.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g22695.t1;2 21;126 148,-21.54,20,70.00%,75.00%,-0.980759439431009,0.980759439431009,-1,0.00319450114866316,predicted binding + coexpression
34,ptuh-mir-novel-28,Pocillopora_meandrina_HIv1___RNAseq.g22032.t2,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g22032.t2;2 20;946 966,-20.61,18,77.78%,77.78%,0.991502069323671,0.991502069323671,1,0.000939180935532144,predicted binding + coexpression
35,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___RNAseq.g21904.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g21904.t1;2 20;253 277,-23.64,20,65.00%,85.00%,-0.994151970879155,0.994151970879155,-1,0.000536372885840094,predicted binding + coexpression
36,ptuh-mir-novel-4,Pocillopora_meandrina_HIv1___TS.g25423.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g25423.t1;2 20;188 210,-20.63,19,73.68%,84.21%,0.959673772990187,0.959673772990187,1,0.00966208058410447,predicted binding + coexpression
37,ptuh-mir-novel-11; ptuh-mir-novel-15,Pocillopora_meandrina_HIv1___RNAseq.g808.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g808.t1;2 17;203 225,-22.31,16,81.25%,87.50%,0.964333755036781,0.964333755036781,1,0.00804234617936397,predicted binding + coexpression
38,ptuh-mir-novel-4,Pocillopora_meandrina_HIv1___RNAseq.g14719.t1c,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g14719.t1c;2 21;598 619,-21.45,20,75.00%,90.00%,-0.993229105062834,0.993229105062834,-1,0.000668130648396527,predicted binding + coexpression
39,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___RNAseq.g13574.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g13574.t1;2 18;136 160,-20.37,18,61.11%,83.33%,0.985997914465537,0.985997914465537,1,0.00198476314732131,predicted binding + coexpression
40,ptuh-mir-novel-11; ptuh-mir-novel-15,Pocillopora_meandrina_HIv1___RNAseq.g5374.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g5374.t1;2 21;462 484,-20.74,20,70.00%,85.00%,-0.973512660116348,0.973512660116348,-1,0.00515416506623908,predicted binding + coexpression
41,ptuh-mir-novel-16,Pocillopora_meandrina_HIv1___TS.g20446.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g20446.t1;2 16;4 25,-27.14,14,85.71%,100.00%,-0.99438839183868,0.99438839183868,-1,0.000504195498156251,predicted binding + coexpression
42,ptuh-mir-2023,Pocillopora_meandrina_HIv1___RNAseq.g23519.t1a,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g23519.t1a;2 20;312 337,-20.44,23,69.57%,69.57%,-0.96217995143436,0.96217995143436,-1,0.00877885307613457,predicted binding + coexpression
43,ptuh-mir-novel-5,Pocillopora_meandrina_HIv1___RNAseq.g22365.t1,CDS,Pocillopora_meandrina_HIv1___RNAseq.g22365.t1;2 16;57 79,-20.03,15,80.00%,80.00%,0.986004128784104,0.986004128784104,1,0.00198344385347784,predicted binding + coexpression
44,ptuh-mir-novel-5,Pocillopora_meandrina_HIv1___TS.g28963.t1,CDS,Pocillopora_meandrina_HIv1___TS.g28963.t1;2 21;8535 8556,-21.19,19,63.16%,73.68%,-0.975409013502542,0.975409013502542,-1,0.00461200018262166,predicted binding + coexpression
45,ptuh-mir-novel-5,Pocillopora_meandrina_HIv1___RNAseq.3177_t,CDS,Pocillopora_meandrina_HIv1___RNAseq.3177_t;2 21;6469 6490,-22.82,19,57.89%,84.21%,0.973205839682071,0.973205839682071,1,0.00524373661525445,predicted binding + coexpression
46,ptuh-mir-novel-5,Pocillopora_meandrina_HIv1___RNAseq.g19972.t1,CDS,Pocillopora_meandrina_HIv1___RNAseq.g19972.t1;2 17;3213 3239,-24.52,20,70.00%,75.00%,0.965924966013335,0.965924966013335,1,0.00751200707062743,predicted binding + coexpression
47,ptuh-mir-novel-5,Pocillopora_meandrina_HIv1___RNAseq.8254_t,CDS,Pocillopora_meandrina_HIv1___RNAseq.8254_t;2 18;5824 5845,-20.82,16,68.75%,81.25%,0.973420510644559,0.973420510644559,1,0.0051810132167092,predicted binding + coexpression
48,ptuh-mir-novel-5,Pocillopora_meandrina_HIv1___RNAseq.g23824.t1,CDS,Pocillopora_meandrina_HIv1___RNAseq.g23824.t1;2 19;635 656,-20.19,17,64.71%,70.59%,0.971289075176257,0.971289075176257,1,0.0058146743817068,predicted binding + coexpression
49,ptuh-mir-novel-5,Pocillopora_meandrina_HIv1___RNAseq.g23314.t1,CDS,Pocillopora_meandrina_HIv1___RNAseq.g23314.t1;2 21;2215 2239,-22.65,22,63.64%,77.27%,0.973526906616148,0.973526906616148,1,0.00515001839310857,predicted binding + coexpression
