,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value,interaction_support
1,peve-mir-novel-35,Peve_00027432,3UTR,Peve_00027432;2 21;242 264,-20.62,22,72.73%,77.27%,-0.99995514319204,0.99995514319204,-1,0.00602991134659825,predicted binding + coexpression
2,peve-mir-novel-10,Peve_00017735,3UTR,Peve_00017735;2 20;661 685,-20.33,21,66.67%,71.43%,0.997938030915672,0.997938030915672,1,0.0408894104551393,predicted binding + coexpression
3,peve-mir-100,Peve_00020387,3UTR,Peve_00020387;2 21;935 956,-20.73,19,68.42%,73.68%,0.997608159669892,0.997608159669892,1,0.0440400511406639,predicted binding + coexpression
4,peve-mir-novel-3,Peve_00020926,3UTR,Peve_00020926;2 21;197 216,-25.6,19,78.95%,78.95%,0.99976239721897,0.99976239721897,1,0.0138780829858655,predicted binding + coexpression
5,peve-mir-novel-41,Peve_00015952,3UTR,Peve_00015952;2 19;471 492,-21.27,17,76.47%,82.35%,0.997844556977271,0.997844556977271,1,0.0418062711782387,predicted binding + coexpression
6,peve-mir-novel-36,Peve_00013095,3UTR,Peve_00013095;2 21;676 697,-23.84,19,84.21%,89.47%,-0.99757658370632,0.99757658370632,-1,0.0443299128918105,predicted binding + coexpression
7,peve-mir-novel-10,Peve_00034505,3UTR,Peve_00034505;2 20;824 846,-20.97,19,68.42%,84.21%,0.997938030915673,0.997938030915673,1,0.0408894104551382,predicted binding + coexpression
8,peve-mir-novel-10,Peve_00029667,3UTR,Peve_00029667;2 19;313 334,-20.44,17,70.59%,76.47%,0.997938030915673,0.997938030915673,1,0.0408894104551382,predicted binding + coexpression
9,peve-mir-novel-3,Peve_00031940,3UTR,Peve_00031940;2 21;182 200,-20.27,19,78.95%,78.95%,-0.999663016871668,0.999663016871668,-1,0.0165276609923165,predicted binding + coexpression
10,peve-mir-novel-24,Peve_00008275,3UTR,Peve_00008275;2 20;190 211,-24.67,18,66.67%,83.33%,1,1,1,0,predicted binding + coexpression
11,peve-mir-100,Peve_00008279,3UTR,Peve_00008279;2 20;557 582,-21.82,22,63.64%,68.18%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
12,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00026650,3UTR,Peve_00026650;2 21;106 132,-20.08,24,58.33%,70.83%,-0.998173851896017,0.998173851896017,-1,0.0384794833063837,predicted binding + coexpression
13,peve-mir-novel-10,Peve_00010128,3UTR,Peve_00010128;2 20;86 111,-20.17,22,59.09%,68.18%,0.997938030915672,0.997938030915672,1,0.0408894104551393,predicted binding + coexpression
14,peve-mir-novel-15,Peve_00029665,3UTR,Peve_00029665;2 21;933 956,-21.73,21,71.43%,76.19%,-0.997478929018431,0.997478929018431,-1,0.0452146257420912,predicted binding + coexpression
15,peve-mir-novel-24,Peve_00034585,3UTR,Peve_00034585;2 12;409 430,-22.51,10,80.00%,100.00%,1,1,1,9.48637384723993e-09,predicted binding + coexpression
16,peve-mir-novel-9,Peve_00008964,3UTR,Peve_00008964;2 20;61 82,-22.26,18,77.78%,88.89%,-0.999794894490907,0.999794894490907,-1,0.0128941051315395,predicted binding + coexpression
17,peve-mir-novel-40,Peve_00023739,3UTR,Peve_00023739;2 20;334 359,-22.98,22,72.73%,77.27%,0.999976082283725,0.999976082283725,1,0.004403072548434,predicted binding + coexpression
18,peve-mir-novel-35,Peve_00020651,3UTR,Peve_00020651;2 21;742 771,-26.8,27,66.67%,70.37%,-0.998224476405987,0.998224476405987,-1,0.0379422100483605,predicted binding + coexpression
19,peve-mir-100,Peve_00027965,3UTR,Peve_00027965;2 18;436 460,-23.67,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
20,peve-mir-novel-8,Peve_00002333,3UTR,Peve_00002333;2 21;460 487,-25.73,25,64.00%,76.00%,-0.99984182162055,0.99984182162055,-1,0.0113233363162533,predicted binding + coexpression
21,peve-mir-novel-24,Peve_00032772,3UTR,Peve_00032772;2 14;548 569,-20.73,12,66.67%,83.33%,1,1,1,9.48637384723993e-09,predicted binding + coexpression
22,peve-mir-novel-35,Peve_00027699,3UTR,Peve_00027699;2 21;27 48,-24.61,19,78.95%,78.95%,-0.99781061214271,0.99781061214271,-1,0.0421342959844262,predicted binding + coexpression
23,peve-mir-100,Peve_00023767,3UTR,Peve_00023767;2 21;87 107,-20.46,19,73.68%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
24,peve-mir-novel-30,Peve_00030028,3UTR,Peve_00030028;2 20;224 247,-26.78,20,75.00%,90.00%,-0.999412779421733,0.999412779421733,-1,0.0218181040468405,predicted binding + coexpression
25,peve-mir-novel-36,Peve_00015742,3UTR,Peve_00015742;2 21;849 868,-20.18,19,73.68%,78.95%,-0.998127395584257,0.998127395584257,-1,0.0389660099841794,predicted binding + coexpression
26,peve-mir-novel-8,Peve_00017580,3UTR,Peve_00017580;2 20;777 798,-21.45,18,77.78%,83.33%,-0.999998957645573,0.999998957645573,-1,0.000919184867929113,predicted binding + coexpression
27,peve-mir-novel-24,Peve_00037587,3UTR,Peve_00037587;2 9;365 386,-21.11,7,100.00%,100.00%,-0.997642761939907,0.997642761939907,-1,0.0437202051657,predicted binding + coexpression
28,peve-mir-novel-39,Peve_00040680,3UTR,Peve_00040680;2 21;126 149,-24.52,21,80.95%,85.71%,0.999851452010528,0.999851452010528,1,0.0109732149417988,predicted binding + coexpression
29,peve-mir-100,Peve_00043419,3UTR,Peve_00043419;2 20;290 312,-20.65,19,73.68%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
30,peve-mir-2025,Peve_00024854,3UTR,Peve_00024854;2 21;853 876,-20.02,21,71.43%,80.95%,-0.999571546587002,0.999571546587002,-1,0.0186364175217764,predicted binding + coexpression
31,peve-mir-novel-2,Peve_00035783,3UTR,Peve_00035783;2 21;547 571,-30.37,22,72.73%,77.27%,-0.997488611107799,0.997488611107799,-1,0.0451276831430894,predicted binding + coexpression
32,peve-mir-novel-13,Peve_00018121,3UTR,Peve_00018121;2 19;46 68,-20.08,18,83.33%,83.33%,-0.998399871033844,0.998399871033844,-1,0.0360189079935825,predicted binding + coexpression
33,peve-mir-novel-24,Peve_00006544,3UTR,Peve_00006544;2 10;1 16,-20.18,8,100.00%,100.00%,0.999971585054582,0.999971585054582,1,0.00479920788265011,predicted binding + coexpression
34,peve-mir-novel-24,Peve_00022361,3UTR,Peve_00022361;2 13;11 32,-24.22,11,100.00%,100.00%,-0.999345600152943,0.999345600152943,-1,0.0230324640380137,predicted binding + coexpression
35,peve-mir-novel-20,Peve_00013542,3UTR,Peve_00013542;2 19;214 238,-21.36,21,76.19%,76.19%,-0.998136715854457,0.998136715854457,-1,0.0388688885892676,predicted binding + coexpression
36,peve-mir-novel-2,Peve_00034862,3UTR,Peve_00034862;2 12;279 300,-23.55,10,100.00%,100.00%,-0.996949252337422,0.996949252337422,-1,0.0497403384974724,predicted binding + coexpression
37,peve-mir-100,Peve_00004995,3UTR,Peve_00004995;2 11;93 114,-20.57,9,88.89%,88.89%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
38,peve-mir-novel-7,Peve_00015748,3UTR,Peve_00015748;2 20;227 252,-22.68,22,68.18%,72.73%,-0.999044377811527,0.999044377811527,-1,0.0278338206502373,predicted binding + coexpression
39,peve-mir-100,Peve_00041754,3UTR,Peve_00041754;2 11;782 803,-20.26,9,88.89%,88.89%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
40,peve-mir-novel-10,Peve_00014587,3UTR,Peve_00014587;2 21;545 566,-22.43,19,68.42%,78.95%,0.997938030915673,0.997938030915673,1,0.0408894104551382,predicted binding + coexpression
41,peve-mir-novel-28,Peve_00042220,3UTR,Peve_00042220;2 21;131 158,-22.16,25,64.00%,72.00%,0.998758250045999,0.998758250045999,1,0.0317290557481559,predicted binding + coexpression
42,peve-mir-100,Peve_00031993,3UTR,Peve_00031993;2 20;269 290,-22.03,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
43,peve-mir-100,Peve_00024388,3UTR,Peve_00024388;2 12;579 600,-23.33,10,90.00%,100.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
44,peve-mir-novel-8,Peve_00031324,3UTR,Peve_00031324;2 20;9 30,-20.17,18,77.78%,88.89%,0.999992290678624,0.999992290678624,1,0.00249978970397961,predicted binding + coexpression
45,peve-mir-novel-30,Peve_00035315,3UTR,Peve_00035315;2 21;718 740,-24.46,20,75.00%,80.00%,0.997089150362585,0.997089150362585,1,0.0485859177132707,predicted binding + coexpression
46,peve-mir-novel-9,Peve_00043301,3UTR,Peve_00043301;2 19;351 374,-22.8,19,78.95%,89.47%,-0.999473741771815,0.999473741771815,-1,0.0206544492090428,predicted binding + coexpression
47,peve-mir-novel-7,Peve_00030841,3UTR,Peve_00030841;2 13;341 362,-22.37,11,100.00%,100.00%,-0.997945022574284,0.997945022574284,-1,0.0408200045387614,predicted binding + coexpression
48,peve-mir-2023,Peve_00006285,3UTR,Peve_00006285;2 20;107 128,-20.29,19,73.68%,78.95%,0.999973885825882,0.999973885825882,1,0.00460080910062486,predicted binding + coexpression
49,peve-mir-novel-15,Peve_00011900,3UTR,Peve_00011900;2 18;850 871,-22.41,16,75.00%,81.25%,0.999023739066517,0.999023739066517,1,0.0281328295255526,predicted binding + coexpression
50,peve-mir-novel-10,Peve_00021553,3UTR,Peve_00021553;2 20;95 120,-20.07,22,63.64%,72.73%,0.997938030915672,0.997938030915672,1,0.0408894104551393,predicted binding + coexpression
51,peve-mir-novel-11,Peve_00013205,3UTR,Peve_00013205;2 21;196 221,-24.01,23,73.91%,73.91%,-0.999762368280092,0.999762368280092,-1,0.013878928135551,predicted binding + coexpression
