,id,type,special_status,notes
1,peve-mir-novel-35,miRNA,NA,NA
2,peve-mir-novel-24,miRNA,NA,NA
3,peve-mir-100,miRNA,epi-miRNA,NA
4,peve-mir-novel-40,miRNA,epi-miRNA,NA
5,peve-mir-novel-8,miRNA,NA,NA
6,peve-mir-2023,miRNA,NA,NA
7,peve-mir-novel-42,miRNA,NA,NA
8,peve-mir-novel-34,miRNA,NA,NA
9,peve-mir-novel-10,miRNA,NA,NA
10,peve-mir-novel-39,miRNA,epi-miRNA,NA
11,peve-mir-novel-3,miRNA,epi-miRNA,NA
12,peve-mir-novel-22,miRNA,NA,NA
13,peve-mir-novel-38,miRNA,NA,NA
14,peve-mir-2036,miRNA,NA,NA
15,peve-mir-novel-36,miRNA,NA,NA
16,peve-mir-novel-11,miRNA,NA,NA
17,peve-mir-novel-30,miRNA,NA,NA
18,peve-mir-novel-14a; peve-mir-novel-14b,miRNA,NA,NA
19,peve-mir-novel-7,miRNA,epi-miRNA,NA
20,peve-mir-novel-2,miRNA,epi-miRNA,NA
21,peve-mir-novel-21,miRNA,NA,NA
22,peve-mir-novel-6,miRNA,epi-miRNA,NA
23,peve-mir-novel-1,miRNA,NA,NA
24,peve-mir-novel-28,miRNA,NA,NA
25,peve-mir-novel-31,miRNA,NA,NA
26,peve-mir-2025,miRNA,NA,NA
27,peve-mir-2030,miRNA,NA,NA
28,peve-mir-novel-15,miRNA,NA,NA
29,peve-mir-novel-16,miRNA,NA,NA
30,peve-mir-novel-19,miRNA,NA,NA
31,peve-mir-novel-13,miRNA,NA,NA
32,lncRNA_5660,lncRNA,ceRNA,NA
33,lncRNA_7296,lncRNA,ceRNA,NA
34,lncRNA_7297,lncRNA,ceRNA,NA
35,lncRNA_7298,lncRNA,ceRNA,NA
36,lncRNA_7745,lncRNA,ceRNA,NA
37,lncRNA_1481,lncRNA,ceRNA,NA
38,lncRNA_2034,lncRNA,ceRNA,NA
39,lncRNA_787,lncRNA,ceRNA,NA
40,lncRNA_8483,lncRNA,ceRNA,NA
41,lncRNA_8551,lncRNA,ceRNA,NA
42,lncRNA_9933,lncRNA,ceRNA,NA
43,lncRNA_8084,lncRNA,ceRNA,NA
44,lncRNA_8151,lncRNA,ceRNA,NA
45,lncRNA_9154,lncRNA,ceRNA,NA
46,lncRNA_583,lncRNA,ceRNA,NA
47,lncRNA_5928,lncRNA,ceRNA,NA
48,lncRNA_2689,lncRNA,ceRNA,NA
49,lncRNA_1257,lncRNA,ceRNA,NA
50,lncRNA_1258,lncRNA,ceRNA,NA
51,lncRNA_4891,lncRNA,ceRNA,NA
52,lncRNA_7239,lncRNA,ceRNA,NA
53,lncRNA_7359,lncRNA,ceRNA,NA
54,lncRNA_7664,lncRNA,ceRNA,NA
55,lncRNA_8149,lncRNA,ceRNA,NA
56,lncRNA_9182,lncRNA,ceRNA,NA
57,lncRNA_1267,lncRNA,ceRNA,NA
58,lncRNA_1438,lncRNA,ceRNA,NA
59,lncRNA_1439,lncRNA,ceRNA,NA
60,lncRNA_3454,lncRNA,ceRNA,NA
61,lncRNA_10040,lncRNA,ceRNA,NA
62,lncRNA_7510,lncRNA,ceRNA,NA
63,lncRNA_1578,lncRNA,ceRNA,NA
64,lncRNA_8099,lncRNA,ceRNA,NA
65,Peve_00027432,gene,NA,NA
66,Peve_00008275,gene,NA,NA
67,Peve_00008279,gene,NA,NA
68,Peve_00034585,gene,NA,NA
69,Peve_00023739,gene,NA,NA
70,Peve_00027965,gene,NA,NA
71,Peve_00032772,gene,NA,NA
72,Peve_00023767,gene,NA,NA
73,Peve_00017580,gene,NA,NA
74,Peve_00043419,gene,NA,NA
75,Peve_00006544,gene,NA,NA
76,Peve_00004995,gene,NA,NA
77,Peve_00041754,gene,NA,NA
78,Peve_00031993,gene,NA,NA
79,Peve_00024388,gene,NA,NA
80,Peve_00031324,gene,NA,NA
81,Peve_00006285,gene,NA,NA
82,Peve_00032724,gene,NA,NA
83,Peve_00043468,gene,NA,NA
84,Peve_00008133,gene,NA,NA
85,Peve_00030612,gene,NA,NA
86,Peve_00006413,gene,NA,NA
87,Peve_00013947,gene,NA,NA
88,Peve_00043123,gene,NA,NA
