,source,target,PCC.cor,PCC_magnitude,PCC_direction,p_value,interaction_support
1,peve-mir-novel-35,Peve_00027432,-0.99995514319204,0.99995514319204,-1,0.00602991134659825,predicted binding + coexpression
2,peve-mir-novel-24,Peve_00008275,1,1,1,0,predicted binding + coexpression
3,peve-mir-100,Peve_00008279,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
4,peve-mir-novel-24,Peve_00034585,1,1,1,9.48637384723993e-09,predicted binding + coexpression
5,peve-mir-novel-40,Peve_00023739,0.999976082283725,0.999976082283725,1,0.004403072548434,predicted binding + coexpression
6,peve-mir-100,Peve_00027965,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
7,peve-mir-novel-24,Peve_00032772,1,1,1,9.48637384723993e-09,predicted binding + coexpression
8,peve-mir-100,Peve_00023767,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
9,peve-mir-novel-8,Peve_00017580,-0.999998957645573,0.999998957645573,-1,0.000919184867929113,predicted binding + coexpression
10,peve-mir-100,Peve_00043419,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
11,peve-mir-novel-24,Peve_00006544,0.999971585054582,0.999971585054582,1,0.00479920788265011,predicted binding + coexpression
12,peve-mir-100,Peve_00004995,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
13,peve-mir-100,Peve_00041754,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
14,peve-mir-100,Peve_00031993,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
15,peve-mir-100,Peve_00024388,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
16,peve-mir-novel-8,Peve_00031324,0.999992290678624,0.999992290678624,1,0.00249978970397961,predicted binding + coexpression
17,peve-mir-2023,Peve_00006285,0.999973885825882,0.999973885825882,1,0.00460080910062486,predicted binding + coexpression
18,peve-mir-novel-42,Peve_00032724,0.999974190676381,0.999974190676381,1,0.00457387578916138,predicted binding + coexpression
19,peve-mir-100,Peve_00043468,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
20,peve-mir-novel-24,Peve_00008133,-0.999965637301935,0.999965637301935,-1,0.00527764279292991,predicted binding + coexpression
21,peve-mir-novel-35,Peve_00030612,1,1,1,1.34157585525081e-08,predicted binding + coexpression
22,peve-mir-novel-34,Peve_00006413,-0.999945819357893,0.999945819357893,-1,0.0066270333402645,predicted binding + coexpression
23,peve-mir-100,Peve_00013947,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
24,peve-mir-novel-24,Peve_00043123,1,1,1,0,predicted binding + coexpression
25,peve-mir-novel-40,Peve_00021216,0.999962448044095,0.999962448044095,1,0.00551712420276166,predicted binding + coexpression
