,id,type,special_status,notes
1,peve-mir-novel-35,miRNA,NA,NA
2,peve-mir-novel-10,miRNA,NA,NA
3,peve-mir-100,miRNA,epi-miRNA,NA
4,peve-mir-novel-3,miRNA,epi-miRNA,NA
5,peve-mir-novel-41,miRNA,NA,NA
6,peve-mir-novel-36,miRNA,NA,NA
7,peve-mir-novel-24,miRNA,NA,NA
8,peve-mir-novel-14a; peve-mir-novel-14b,miRNA,NA,NA
9,peve-mir-novel-15,miRNA,NA,NA
10,peve-mir-novel-9,miRNA,NA,NA
11,peve-mir-novel-40,miRNA,epi-miRNA,NA
12,peve-mir-novel-8,miRNA,NA,NA
13,peve-mir-novel-30,miRNA,NA,NA
14,peve-mir-novel-39,miRNA,epi-miRNA,NA
15,peve-mir-2025,miRNA,NA,NA
16,peve-mir-novel-2,miRNA,epi-miRNA,NA
17,peve-mir-novel-13,miRNA,NA,NA
18,peve-mir-novel-20,miRNA,NA,NA
19,peve-mir-novel-7,miRNA,epi-miRNA,NA
20,peve-mir-novel-28,miRNA,NA,NA
21,peve-mir-2023,miRNA,NA,NA
22,peve-mir-novel-11,miRNA,NA,NA
23,peve-mir-novel-42,miRNA,NA,NA
24,peve-mir-novel-27,miRNA,NA,NA
25,peve-mir-novel-16,miRNA,NA,NA
26,peve-mir-novel-34,miRNA,NA,NA
27,peve-mir-novel-31,miRNA,NA,NA
28,peve-mir-novel-22,miRNA,NA,NA
29,peve-mir-novel-17a; peve-mir-novel-17b,miRNA,NA,NA
30,peve-mir-novel-38,miRNA,NA,NA
31,peve-mir-2036,miRNA,NA,NA
32,peve-mir-novel-23,miRNA,NA,NA
33,peve-mir-novel-1,miRNA,NA,NA
34,peve-mir-novel-19,miRNA,NA,NA
35,peve-mir-novel-6,miRNA,epi-miRNA,NA
36,peve-mir-novel-18,miRNA,NA,NA
37,peve-mir-novel-21,miRNA,NA,NA
38,peve-mir-novel-4,miRNA,NA,NA
39,peve-mir-novel-26,miRNA,NA,NA
40,peve-mir-2030,miRNA,NA,NA
41,peve-mir-novel-25,miRNA,epi-miRNA,NA
42,peve-mir-novel-32,miRNA,NA,NA
43,lncRNA_5660,lncRNA,ceRNA,NA
44,lncRNA_7296,lncRNA,ceRNA,NA
45,lncRNA_7297,lncRNA,ceRNA,NA
46,lncRNA_7298,lncRNA,ceRNA,NA
47,lncRNA_7745,lncRNA,ceRNA,NA
48,lncRNA_9613,lncRNA,ceRNA,NA
49,lncRNA_1481,lncRNA,ceRNA,NA
50,lncRNA_2034,lncRNA,ceRNA,NA
51,lncRNA_3203,lncRNA,ceRNA,NA
52,lncRNA_787,lncRNA,ceRNA,NA
53,lncRNA_8483,lncRNA,ceRNA,NA
54,lncRNA_8551,lncRNA,ceRNA,NA
55,lncRNA_9933,lncRNA,ceRNA,NA
56,lncRNA_8084,lncRNA,ceRNA,NA
57,lncRNA_8151,lncRNA,ceRNA,NA
58,lncRNA_9154,lncRNA,ceRNA,NA
59,lncRNA_583,lncRNA,ceRNA,NA
60,lncRNA_5928,lncRNA,ceRNA,NA
61,lncRNA_2689,lncRNA,ceRNA,NA
62,lncRNA_1257,lncRNA,ceRNA,NA
63,lncRNA_1258,lncRNA,ceRNA,NA
64,lncRNA_4891,lncRNA,ceRNA,NA
65,lncRNA_5387,lncRNA,ceRNA,NA
66,lncRNA_5654,lncRNA,ceRNA,NA
67,lncRNA_7239,lncRNA,ceRNA,NA
68,lncRNA_7359,lncRNA,ceRNA,NA
69,lncRNA_7664,lncRNA,ceRNA,NA
70,lncRNA_8149,lncRNA,ceRNA,NA
71,lncRNA_9182,lncRNA,ceRNA,NA
72,lncRNA_1267,lncRNA,ceRNA,NA
73,lncRNA_1438,lncRNA,ceRNA,NA
74,lncRNA_1439,lncRNA,ceRNA,NA
75,lncRNA_3454,lncRNA,ceRNA,NA
76,lncRNA_5218,lncRNA,ceRNA,NA
77,lncRNA_10040,lncRNA,ceRNA,NA
