,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value,interaction_support
1,apul-mir-novel-15,FUN_025197,3UTR,FUN_025197;2 21;778 800,-21.7,20,80.00%,85.00%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
2,apul-mir-novel-23,FUN_043328,3UTR,FUN_043328;2 19;931 954,-22.26,19,84.21%,89.47%,0.965914639369325,0.965914639369325,1,0.00751541039444425,predicted binding + coexpression
3,apul-mir-novel-15,FUN_013927,3UTR,FUN_013927;2 18;385 407,-21.17,17,76.47%,76.47%,0.978580789954303,0.978580789954303,1,0.00375092828341024,predicted binding + coexpression
4,apul-mir-novel-10,FUN_041670,3UTR,FUN_041670;2 21;240 267,-20.77,25,60.00%,64.00%,-0.963033219379839,0.963033219379839,-1,0.0084845415358989,predicted binding + coexpression
5,apul-mir-2023,FUN_035855,3UTR,FUN_035855;2 20;752 770,-20.3,18,77.78%,83.33%,0.9658101093013,0.9658101093013,1,0.00754988858923516,predicted binding + coexpression
6,apul-mir-novel-5,FUN_032449,3UTR,FUN_032449;2 21;213 240,-20.24,23,78.26%,78.26%,0.995693532787135,0.995693532787135,1,0.00033902742814575,predicted binding + coexpression
7,apul-mir-novel-21,FUN_000258,3UTR,FUN_000258;2 21;785 807,-21.54,20,75.00%,85.00%,0.977388854104582,0.977388854104582,1,0.00406760929145233,predicted binding + coexpression
8,apul-mir-novel-9,FUN_030107,3UTR,FUN_030107;2 16;252 275,-24.76,15,93.33%,93.33%,0.965113242711184,0.965113242711184,1,0.00778106354057353,predicted binding + coexpression
9,apul-mir-novel-9,FUN_041289,3UTR,FUN_041289;2 22;196 219,-21.49,21,61.90%,80.95%,0.965113242711184,0.965113242711184,1,0.00778106354057353,predicted binding + coexpression
10,apul-mir-novel-9,FUN_016608,3UTR,FUN_016608;2 21;477 497,-20.92,19,78.95%,84.21%,0.994627225901417,0.994627225901417,1,0.000472369028023397,predicted binding + coexpression
11,apul-mir-novel-12,FUN_013364,3UTR,FUN_013364;2 22;888 911,-20.23,21,71.43%,85.71%,-0.971490463332523,0.971490463332523,-1,0.00575377810454247,predicted binding + coexpression
