"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"1",1,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:10682641-10683007",163,-24.82,2,21,325,347,20,"70.00%","85.00%","Pocillopora_meandrina_HIv1___RNAseq.g21937.t1",NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:13392853-13393853",158,-22.97,2,21,698,723,23,"69.57%","78.26%","Pocillopora_meandrina_HIv1___TS.g26974.t1",-0.39035775535808,0.515909114093723,0.973552982047016,"Q5ZIA0","RNA N6-adenosine-methyltransferase METTL16 (Methyltransferase 10 domain-containing protein) (Methyltransferase-like protein 16) (N6-adenosine-methyltransferase METTL16) (EC 2.1.1.348) (U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase) (EC 2.1.1.346)","Gallus gallus (Chicken)","mRNA catabolic process [GO:0006402]; mRNA destabilization [GO:0061157]; mRNA methylation [GO:0080009]; post-transcriptional regulation of gene expression [GO:0010608]; regulation of mRNA splicing, via spliceosome [GO:0048024]; rRNA base methylation [GO:0070475]; S-adenosylmethionine biosynthetic process [GO:0006556]; snRNA (adenine-N6)-methylation [GO:0120049]","GO:0001734; GO:0003723; GO:0005634; GO:0005737; GO:0006402; GO:0006556; GO:0010608; GO:0030629; GO:0035613; GO:0048024; GO:0052907; GO:0061157; GO:0070475; GO:0080009; GO:0120048; GO:0120049"
"3",3,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:17014660-17015383",155,-21.37,2,18,6,26,16,"75.00%","87.50%","Pocillopora_meandrina_HIv1___TS.g27144.t2",-0.437033368758449,0.461810979392649,0.97024921967979,"Q99MP8","BRCA1-associated protein (EC 2.3.2.27) (BRAP2) (Impedes mitogenic signal propagation) (IMP) (RING-type E3 ubiquitin transferase BRAP2)","Mus musculus (Mouse)","MAPK cascade [GO:0000165]; negative regulation of signal transduction [GO:0009968]; protein ubiquitination [GO:0016567]; Ras protein signal transduction [GO:0007265]","GO:0000151; GO:0000165; GO:0003676; GO:0004842; GO:0005654; GO:0005737; GO:0005829; GO:0007265; GO:0008139; GO:0008270; GO:0009968; GO:0016567; GO:0031965; GO:0042802; GO:0061630"
"4",4,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:17014660-17015383",155,-21.37,2,18,6,26,16,"75.00%","87.50%","Pocillopora_meandrina_HIv1___RNAseq.g22380.t1a",-0.682514069233956,0.204207658458042,0.916420776581405,NA,NA,NA,NA,NA
"5",5,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:435489-436489",158,-22.38,2,17,434,454,15,"80.00%","93.33%","Pocillopora_meandrina_HIv1___RNAseq.g20949.t2",-0.484750997549092,0.407900968283479,0.968377289947408,"P58197","Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2)","Rattus norvegicus (Rat)","anatomical structure development [GO:0048856]; anterior neuropore closure [GO:0021506]; basement membrane organization [GO:0071711]; bone morphogenesis [GO:0060349]; cell population proliferation [GO:0008283]; cellular response to iron ion [GO:0071281]; cornea development in camera-type eye [GO:0061303]; embryonic body morphogenesis [GO:0010172]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic forelimb morphogenesis [GO:0035115]; embryonic pattern specification [GO:0009880]; epidermal growth factor receptor signaling pathway [GO:0007173]; epidermis morphogenesis [GO:0048730]; eyelid development in camera-type eye [GO:0061029]; face morphogenesis [GO:0060325]; fibroblast migration [GO:0010761]; forebrain neuron development [GO:0021884]; forelimb morphogenesis [GO:0035136]; inner ear morphogenesis [GO:0042472]; keratinocyte development [GO:0003334]; kidney development [GO:0001822]; lens induction in camera-type eye [GO:0060235]; lens morphogenesis in camera-type eye [GO:0002089]; metanephric nephron development [GO:0072210]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of transcription by competitive promoter binding [GO:0010944]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; neural crest cell development [GO:0014032]; neural tube closure [GO:0001843]; neuron apoptotic process [GO:0051402]; oculomotor nerve formation [GO:0021623]; optic cup structural organization [GO:0003409]; optic vesicle morphogenesis [GO:0003404]; outflow tract morphogenesis [GO:0003151]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cell migration [GO:0030335]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of tooth mineralization [GO:0070172]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]; regulation of DNA-templated transcription [GO:0006355]; regulation of neuron differentiation [GO:0045664]; regulation of transcription by RNA polymerase II [GO:0006357]; response to lipopolysaccharide [GO:0032496]; response to water deprivation [GO:0009414]; retina layer formation [GO:0010842]; roof of mouth development [GO:0060021]; Schwann cell development [GO:0014044]; sensory organ development [GO:0007423]; sensory perception of sound [GO:0007605]; skeletal system morphogenesis [GO:0048705]; skin development [GO:0043588]; sympathetic nervous system development [GO:0048485]; transcription by RNA polymerase II [GO:0006366]; trigeminal nerve development [GO:0021559]","GO:0000122; GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0000987; GO:0001227; GO:0001228; GO:0001822; GO:0001843; GO:0002089; GO:0003151; GO:0003334; GO:0003404; GO:0003409; GO:0003677; GO:0003682; GO:0003700; GO:0003713; GO:0003714; GO:0005634; GO:0005905; GO:0006355; GO:0006357; GO:0006366; GO:0007173; GO:0007399; GO:0007423; GO:0007605; GO:0008283; GO:0008285; GO:0009414; GO:0009880; GO:0010172; GO:0010628; GO:0010761; GO:0010763; GO:0010842; GO:0010944; GO:0014032; GO:0014044; GO:0021506; GO:0021559; GO:0021623; GO:0021884; GO:0030335; GO:0030501; GO:0032496; GO:0035115; GO:0035136; GO:0042059; GO:0042127; GO:0042472; GO:0042802; GO:0043066; GO:0043524; GO:0043525; GO:0043565; GO:0043588; GO:0045595; GO:0045664; GO:0045892; GO:0045893; GO:0045944; GO:0048485; GO:0048596; GO:0048701; GO:0048705; GO:0048730; GO:0048856; GO:0051402; GO:0060021; GO:0060235; GO:0060325; GO:0060349; GO:0061029; GO:0061303; GO:0070172; GO:0071281; GO:0071711; GO:0072210; GO:0140536; GO:1990837; GO:2000378"
"6",6,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:7937437-7938437",160,-20.28,2,21,701,722,19,"68.42%","78.95%","Pocillopora_meandrina_HIv1___TS.g26435.t1",0.678561876833328,0.207894725235047,0.917126038663203,"P19493","Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)","Rattus norvegicus (Rat)","chemical synaptic transmission [GO:0007268]; chemical synaptic transmission, postsynaptic [GO:0099565]; ion transmembrane transport [GO:0034220]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; regulation of postsynaptic membrane potential [GO:0060078]; regulation of synapse structure or activity [GO:0050803]; response to fungicide [GO:0060992]","GO:0004970; GO:0004971; GO:0005886; GO:0007268; GO:0008328; GO:0014069; GO:0015276; GO:0030425; GO:0032281; GO:0032983; GO:0034220; GO:0034392; GO:0038023; GO:0042802; GO:0043025; GO:0043195; GO:0043197; GO:0045202; GO:0048787; GO:0050803; GO:0050804; GO:0051968; GO:0060078; GO:0060992; GO:0098839; GO:0098978; GO:0099507; GO:0099565; GO:1904315"
"7",7,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:10534064-10535064",162,-23.1,2,19,76,97,17,"76.47%","82.35%","Pocillopora_meandrina_HIv1___RNAseq.g19581.t1",0.554110207234212,0.332466587658076,0.961508159299429,"Q09575","Uncharacterized protein K02A2.6","Caenorhabditis elegans","DNA integration [GO:0015074]","GO:0003676; GO:0003887; GO:0005737; GO:0008270; GO:0015074; GO:0019899; GO:0042575"
"8",8,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:10606736-10607736",153,-21.02,2,20,173,197,21,"66.67%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g19593.t1",0.70948423282791,0.179553261749536,0.900037956413122,NA,NA,NA,NA,NA
"9",9,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:10678236-10679236",153,-21.02,2,20,172,196,21,"66.67%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g19605.t1",0.685167361470398,0.201742764564993,0.915176310418163,NA,NA,NA,NA,NA
"10",10,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:12936815-12937656",154,-20.17,2,21,725,748,21,"66.67%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g19736.t1b",NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:1761491-1762491",159,-21.89,2,20,559,580,18,"66.67%","83.33%","Pocillopora_meandrina_HIv1___RNAseq.g18697.t1",NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:17632702-17633702",150,-22.27,2,20,283,306,20,"70.00%","70.00%","Pocillopora_meandrina_HIv1___TS.g29539.t1",0.209158627414724,0.735645627895485,0.983628803736785,NA,NA,NA,NA,NA
"13",13,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:19965279-19966279",148,-20.02,2,21,730,751,19,"57.89%","73.68%","Pocillopora_meandrina_HIv1___TS.g29791.t1",-0.602371878904877,0.282343695517652,0.946534529352551,NA,NA,NA,NA,NA
"14",14,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:21453112-21454112",156,-20.6,2,17,716,737,15,"73.33%","86.67%","Pocillopora_meandrina_HIv1___RNAseq.g20543.t1",0.667170323456175,0.218624203208208,0.923150665629671,"Q6ZZY0","Cryptochrome-1","Sylvia borin (Garden warbler)","circadian rhythm [GO:0007623]; negative regulation of gluconeogenesis [GO:0045721]; response to light stimulus [GO:0009416]","GO:0000166; GO:0005634; GO:0005829; GO:0007623; GO:0009416; GO:0009881; GO:0042622; GO:0045721; GO:0097381"
"15",15,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:2668529-2669529",162,-20.68,2,21,929,949,19,"73.68%","84.21%","Pocillopora_meandrina_HIv1___RNAseq.g18790.t1",NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:7497384-7498384",159,-21.67,2,21,73,96,21,"66.67%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g19234.t1",-0.54967364880761,0.337177203714459,0.963126824822425,NA,NA,NA,NA,NA
"17",17,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:8190148-8190438",144,-20.3,2,19,255,275,17,"70.59%","70.59%","Pocillopora_meandrina_HIv1___RNAseq.g19297.t1b",-0.143185773169217,0.818315098904419,0.994226782982918,NA,NA,NA,NA,NA
"18",18,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:8864632-8864831",159,-20.43,2,20,93,114,18,"72.22%","77.78%","Pocillopora_meandrina_HIv1___TS.g28780.t1",NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:10958353-10959353",162,-22.28,2,21,24,44,19,"68.42%","89.47%","Pocillopora_meandrina_HIv1___TS.g1030.t3",0.0413713807270643,0.947339352435572,0.999610930147471,"O75445","Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein)","Homo sapiens (Human)","animal organ morphogenesis [GO:0009887]; cell migration [GO:0016477]; establishment of localization in cell [GO:0051649]; establishment of protein localization [GO:0045184]; hair cell differentiation [GO:0035315]; inner ear auditory receptor cell differentiation [GO:0042491]; inner ear receptor cell differentiation [GO:0060113]; maintenance of animal organ identity [GO:0048496]; photoreceptor cell maintenance [GO:0045494]; response to stimulus [GO:0050896]; sensory perception of light stimulus [GO:0050953]; sensory perception of sound [GO:0007605]; substrate adhesion-dependent cell spreading [GO:0034446]; tissue development [GO:0009888]; visual perception [GO:0007601]","GO:0001917; GO:0002141; GO:0002142; GO:0005518; GO:0005576; GO:0005604; GO:0005737; GO:0007601; GO:0007605; GO:0009887; GO:0009888; GO:0016324; GO:0016477; GO:0017022; GO:0032391; GO:0032421; GO:0034446; GO:0035315; GO:0036064; GO:0042491; GO:0042802; GO:0045184; GO:0045494; GO:0048496; GO:0050896; GO:0050953; GO:0051649; GO:0060113; GO:0060171; GO:1990075; GO:1990696"
"20",20,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:15013273-15014273",149,-20.8,2,21,484,510,24,"70.83%","70.83%","Pocillopora_meandrina_HIv1___RNAseq.g7669.t1a",-0.204304159496662,0.741693000496165,0.984861897367748,NA,NA,NA,NA,NA
"21",21,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:4862537-4863090",159,-20.38,2,21,458,481,21,"71.43%","76.19%","Pocillopora_meandrina_HIv1___RNAseq.g6838.t1",0.166141349931606,0.789439510430903,0.99019648649664,"Q8I7P9","Retrovirus-related Pol polyprotein from transposon opus [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","Drosophila melanogaster (Fruit fly)","DNA integration [GO:0015074]; proteolysis [GO:0006508]; transposition, DNA-mediated [GO:0006313]","GO:0003676; GO:0003887; GO:0003964; GO:0004519; GO:0005634; GO:0006313; GO:0006508; GO:0008233; GO:0015074; GO:0042575"
"22",22,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:4862537-4863090",159,-20.38,2,21,458,481,21,"71.43%","76.19%","Pocillopora_meandrina_HIv1___TS.g580.t1",0.298933675497424,0.625133042529134,0.977982859683049,"Q96FZ2","Abasic site processing protein HMCES (Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein) (ES cell-specific 5hmC-binding protein) (Peptidase HMCES) (EC 3.4.-.-) (SRAP domain-containing protein 1)","Homo sapiens (Human)","cellular response to DNA damage stimulus [GO:0006974]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; positive regulation of isotype switching [GO:0045830]; protein-DNA covalent cross-linking [GO:0018142]; proteolysis [GO:0006508]","GO:0003697; GO:0005657; GO:0006508; GO:0006974; GO:0008233; GO:0018142; GO:0045830; GO:0097681"
"23",23,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:6137470-6138470",144,-20.3,2,19,289,309,17,"70.59%","70.59%","Pocillopora_meandrina_HIv1___TS.g664.t1",-0.741009632836905,0.151922838186248,0.884628771942152,NA,NA,NA,NA,NA
"24",24,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:9804337-9805337",152,-22.64,2,21,320,341,19,"57.89%","78.95%","Pocillopora_meandrina_HIv1___RNAseq.g7188.t1",-0.741009632836905,0.151922838186248,0.884628771942152,NA,NA,NA,NA,NA
"25",25,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:9836558-9837558",159,-21.31,2,21,349,371,20,"70.00%","80.00%","Pocillopora_meandrina_HIv1___TS.g933.t1",-0.985707447203347,0.00204675233781541,0.667107103030161,"Q60803","TNF receptor-associated factor 3 (EC 2.3.2.27) (CD40 receptor-associated factor 1) (CRAF1) (CD40-binding protein) (CD40BP) (RING-type E3 ubiquitin transferase TRAF3)","Mus musculus (Mouse)","apoptotic process [GO:0006915]; innate immune response [GO:0045087]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; positive regulation of JNK cascade [GO:0046330]; protein K63-linked ubiquitination [GO:0070534]; regulation of apoptotic process [GO:0042981]; regulation of cytokine production [GO:0001817]; regulation of defense response to virus [GO:0050688]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of interferon-beta production [GO:0032648]; regulation of proteolysis [GO:0030162]; Toll signaling pathway [GO:0008063]; toll-like receptor signaling pathway [GO:0002224]; tumor necrosis factor-mediated signaling pathway [GO:0033209]","GO:0001817; GO:0002224; GO:0005164; GO:0005739; GO:0005768; GO:0006915; GO:0008063; GO:0008270; GO:0009898; GO:0016740; GO:0019901; GO:0019903; GO:0030162; GO:0031625; GO:0031996; GO:0032088; GO:0032648; GO:0033209; GO:0035631; GO:0042802; GO:0042981; GO:0043122; GO:0045087; GO:0046330; GO:0050688; GO:0070534"
"26",26,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:9836566-9837566",159,-21.31,2,21,341,363,20,"70.00%","80.00%","Pocillopora_meandrina_HIv1___TS.g934.t1",-0.831943392519504,0.0805850853536322,0.825560640900936,NA,NA,NA,NA,NA
"27",27,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:11378241-11379241",152,-21.06,2,20,176,199,21,"71.43%","76.19%","Pocillopora_meandrina_HIv1___RNAseq.g16066.t1",NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:11382067-11383067",163,-21.03,2,20,692,713,18,"72.22%","83.33%","Pocillopora_meandrina_HIv1___RNAseq.g16067.t1",0.181660849258904,0.76998075913896,0.987293955905966,"Q09575","Uncharacterized protein K02A2.6","Caenorhabditis elegans","DNA integration [GO:0015074]","GO:0003676; GO:0003887; GO:0005737; GO:0008270; GO:0015074; GO:0019899; GO:0042575"
"29",29,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:12350587-12351587",156,-20.22,2,13,678,699,11,"90.91%","100.00%","Pocillopora_meandrina_HIv1___TS.g11157.t1",NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:14159940-14160334",156,-22.63,2,21,45,64,19,"73.68%","84.21%","Pocillopora_meandrina_HIv1___RNAseq.g16262.t1",0.274601261699513,0.654811969821886,0.977982859683049,NA,NA,NA,NA,NA
"31",31,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:14159940-14160334",156,-22.63,2,21,45,64,19,"73.68%","84.21%","Pocillopora_meandrina_HIv1___RNAseq.g16263.t1",NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:14159940-14160334",156,-22.63,2,21,45,64,19,"73.68%","84.21%","Pocillopora_meandrina_HIv1___TS.g11289.t1",-0.311746641402588,0.609598297770533,0.976732732570472,NA,NA,NA,NA,NA
"33",33,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:1839701-1840701",145,-20.86,2,10,745,766,8,"100.00%","100.00%","Pocillopora_meandrina_HIv1___RNAseq.g15280.t1",-0.346159484868921,0.568223584284576,0.975202448828972,NA,NA,NA,NA,NA
"34",34,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:3813049-3814049",160,-24.18,2,13,660,681,11,"100.00%","100.00%","Pocillopora_meandrina_HIv1___RNAseq.g15488.t1",NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:5087396-5088396",158,-22.7,2,19,327,348,17,"70.59%","82.35%","Pocillopora_meandrina_HIv1___RNAseq.g15546.t1",-0.451599742978902,0.445195971784437,0.97024921967979,"Q9QXA6","b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)","Mus musculus (Mouse)","amino acid transport [GO:0006865]; L-cystine transport [GO:0015811]; neutral amino acid transport [GO:0015804]","GO:0005886; GO:0006865; GO:0015171; GO:0015175; GO:0015179; GO:0015184; GO:0015804; GO:0015811; GO:0016324; GO:0031526; GO:0042605"
"36",36,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:5940971-5941708",151,-22.59,2,20,96,116,19,"68.42%","84.21%","Pocillopora_meandrina_HIv1___RNAseq.g15623.t1b",0.580662465079295,0.304629617250351,0.953095941815672,NA,NA,NA,NA,NA
"37",37,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:6112830-6113830",159,-24.41,2,18,810,830,16,"81.25%","87.50%","Pocillopora_meandrina_HIv1___RNAseq.g15638.t2",-0.479348846094933,0.413927276585973,0.969384112656508,"Q9UPV0","Centrosomal protein of 164 kDa (Cep164)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; cilium assembly [GO:0060271]; DNA repair [GO:0006281]","GO:0005615; GO:0005654; GO:0005813; GO:0005814; GO:0005829; GO:0006281; GO:0007049; GO:0051301; GO:0060271; GO:0097539"
"38",38,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000004:11568902-11569902",165,-23.09,2,18,19,40,16,"81.25%","87.50%","Pocillopora_meandrina_HIv1___RNAseq.g25007.t1",NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000004:11808266-11809266",165,-23.09,2,18,19,40,16,"81.25%","87.50%","Pocillopora_meandrina_HIv1___RNAseq.g25014.t1",NA,NA,NA,NA,NA,NA,NA,NA
