"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"25",25,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:9836558-9837558",159,-21.31,2,21,349,371,20,"70.00%","80.00%","Pocillopora_meandrina_HIv1___TS.g933.t1",-0.985707447203347,0.00204675233781541,0.667107103030161,"Q60803","TNF receptor-associated factor 3 (EC 2.3.2.27) (CD40 receptor-associated factor 1) (CRAF1) (CD40-binding protein) (CD40BP) (RING-type E3 ubiquitin transferase TRAF3)","Mus musculus (Mouse)","apoptotic process [GO:0006915]; innate immune response [GO:0045087]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; positive regulation of JNK cascade [GO:0046330]; protein K63-linked ubiquitination [GO:0070534]; regulation of apoptotic process [GO:0042981]; regulation of cytokine production [GO:0001817]; regulation of defense response to virus [GO:0050688]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of interferon-beta production [GO:0032648]; regulation of proteolysis [GO:0030162]; Toll signaling pathway [GO:0008063]; toll-like receptor signaling pathway [GO:0002224]; tumor necrosis factor-mediated signaling pathway [GO:0033209]","GO:0001817; GO:0002224; GO:0005164; GO:0005739; GO:0005768; GO:0006915; GO:0008063; GO:0008270; GO:0009898; GO:0016740; GO:0019901; GO:0019903; GO:0030162; GO:0031625; GO:0031996; GO:0032088; GO:0032648; GO:0033209; GO:0035631; GO:0042802; GO:0042981; GO:0043122; GO:0045087; GO:0046330; GO:0050688; GO:0070534"
"44",44,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000004:14085901-14086901",155,-20.37,2,17,577,599,16,"75.00%","87.50%","Pocillopora_meandrina_HIv1___RNAseq.g25124.t1",0.902074662164159,0.03624033280485,0.757701026778115,NA,NA,NA,NA,NA
"84",84,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000008:12220857-12221857",161,-23.61,2,21,277,298,20,"80.00%","80.00%","Pocillopora_meandrina_HIv1___RNAseq.g2747.t1",-0.940728314065524,0.0171674364095079,0.674410729954476,NA,NA,NA,NA,NA
"121",121,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000018:480449-481449",162,-26.15,2,21,504,527,21,"76.19%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g28187.t1",-0.924664032495435,0.0245396228914054,0.703130666452922,NA,NA,NA,NA,NA
"125",125,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000019:5135697-5136037",158,-23.19,2,15,160,181,13,"84.62%","92.31%","Pocillopora_meandrina_HIv1___RNAseq.g18288.t1",-0.884601429844997,0.0462349592609459,0.782119655312028,NA,NA,NA,NA,NA
"146",146,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000028:1530363-1531067",155,-21.4,2,12,225,246,10,"100.00%","100.00%","Pocillopora_meandrina_HIv1___RNAseq.g898.t1",0.952401399552824,0.0123765568551861,0.674410729954476,NA,NA,NA,NA,NA
"148",148,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000028:417744-418744",164,-26.54,2,18,695,717,17,"82.35%","88.24%","Pocillopora_meandrina_HIv1___RNAseq.25719_t",-0.9403739893379,0.0173206670722916,0.674410729954476,NA,NA,NA,NA,NA
"151",151,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000031:487162-488162",162,-24.46,2,21,396,416,19,"68.42%","89.47%","Pocillopora_meandrina_HIv1___RNAseq.g1339.t1",0.993733437088484,0.000594934716821626,0.667107103030161,"Q2TBK5","Transmembrane emp24 domain-containing protein 1 (p24 family protein gamma-1) (p24gamma1)","Bos taurus (Bovine)","endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]","GO:0005783; GO:0005789; GO:0005793; GO:0005794; GO:0005886; GO:0006886; GO:0006888; GO:0007030; GO:0030134; GO:0033116"
"177",177,"Cluster_1068","Pocillopora_meandrina_HIv1___Sc0000000:4178754-4179754",151,-24.4,2,21,208,234,24,"66.67%","66.67%","Pocillopora_meandrina_HIv1___RNAseq.g21352.t1",-0.948311815246023,0.0139966677002161,0.674410729954476,NA,NA,NA,NA,NA
"194",194,"Cluster_1068","Pocillopora_meandrina_HIv1___Sc0000003:11037531-11038531",146,-30.01,2,21,828,856,26,"65.38%","65.38%","Pocillopora_meandrina_HIv1___RNAseq.g16022.t1",0.938779898628061,0.0180154908165704,0.674410729954476,NA,NA,NA,NA,NA
