# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/01.61-lncRNA-pipeline/Peve_lncRNA_fixed.gtf" "-o" "../output/01.61-lncRNA-pipeline/Peve_counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/01.61-lncRNA-pipeline/RNA-POR-71-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-73-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-76-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-79-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-82-S1-TP2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/01.61-lncRNA-pipeline/RNA-POR-71-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-73-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-76-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-79-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-82-S1-TP2.sorted.bam
lncRNA_1	Porites_evermani_scaffold_1	7719	11436	+	3718	0	0	0	0	0
lncRNA_2	Porites_evermani_scaffold_1	8491	11436	+	2946	0	0	0	0	0
lncRNA_3	Porites_evermani_scaffold_1	26133	26404	+	272	0	0	0	0	0
lncRNA_4	Porites_evermani_scaffold_1	30312	43810	+	13499	314	6	41	18	2
lncRNA_5	Porites_evermani_scaffold_1	142120	149639	+	7520	1785	1092	2127	1077	2711
lncRNA_6	Porites_evermani_scaffold_1	220724	266809	+	46086	0	0	0	0	0
lncRNA_7	Porites_evermani_scaffold_1	220753	266809	+	46057	0	0	0	0	0
lncRNA_8	Porites_evermani_scaffold_1	294365	306746	+	12382	110	36	271	34	143
lncRNA_9	Porites_evermani_scaffold_1	358045	370239	+	12195	138	54	161	148	70
lncRNA_10	Porites_evermani_scaffold_1	413465	423945	+	10481	108	53	246	77	208
lncRNA_11	Porites_evermani_scaffold_1	414968	420513	+	5546	0	0	0	0	0
lncRNA_12	Porites_evermani_scaffold_1	429393	438909	+	9517	105	60	456	51	53
lncRNA_13	Porites_evermani_scaffold_1	448044	460031	+	11988	0	0	0	0	0
lncRNA_14	Porites_evermani_scaffold_1	448073	462439	+	14367	0	0	0	0	0
lncRNA_15	Porites_evermani_scaffold_1	448080	462439	+	14360	0	0	0	0	0
lncRNA_16	Porites_evermani_scaffold_1	549082	552387	+	3306	120	154	426	145	286
lncRNA_17	Porites_evermani_scaffold_1	577250	577956	+	707	11	2	6	16	49
lncRNA_18	Porites_evermani_scaffold_1	578190	580955	+	2766	0	0	0	0	0
lncRNA_19	Porites_evermani_scaffold_1	578221	581946	+	3726	4	0	0	3	0
lncRNA_20	Porites_evermani_scaffold_1	646712	647465	+	754	0	0	0	0	0
lncRNA_21	Porites_evermani_scaffold_1	649101	649467	+	367	0	0	0	0	0
lncRNA_22	Porites_evermani_scaffold_1	669241	676100	+	6860	837	580	685	540	762
lncRNA_23	Porites_evermani_scaffold_1	669356	672011	+	2656	0	0	0	0	0
lncRNA_24	Porites_evermani_scaffold_1	688204	690745	+	2542	0	0	0	0	0
lncRNA_25	Porites_evermani_scaffold_1	703981	704337	+	357	0	0	0	0	0
lncRNA_26	Porites_evermani_scaffold_1	861827	912543	+	50717	24	22	65	79	77
lncRNA_27	Porites_evermani_scaffold_1	882548	912543	+	29996	0	0	0	0	0
lncRNA_28	Porites_evermani_scaffold_1	920565	973715	+	53151	7	11	0	48	26
lncRNA_29	Porites_evermani_scaffold_1	943644	974204	+	30561	36	1	38	36	84
lncRNA_30	Porites_evermani_scaffold_1	1206472	1206925	+	454	0	0	0	0	0
lncRNA_31	Porites_evermani_scaffold_1	1320175	1320885	+	711	2	0	0	0	0
lncRNA_32	Porites_evermani_scaffold_1	1333444	1348996	+	15553	16	15	88	7	31
lncRNA_33	Porites_evermani_scaffold_1	1361414	1369482	+	8069	0	0	0	0	0
lncRNA_34	Porites_evermani_scaffold_1	1361438	1369482	+	8045	0	0	0	0	0
