"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X.1","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Pocillopora_meandrina_HIv1___RNAseq.g302.t1","GO:0000245","spliceosomal complex assembly",4,2,0.31,0.031,"Biological Processes",2965,862241,"Cluster_4439",-0.309894799106678,0.611839349062231,0.976732732570472,143,-22.01,"2 21","962 984",20,"65.00%","65.00%"
"2","Pocillopora_meandrina_HIv1___RNAseq.g297.t1","GO:0000245","spliceosomal complex assembly",4,2,0.31,0.031,"Biological Processes",2563,749132,"Cluster_4439",-0.903191179650025,0.0356284636438891,0.754981681938833,143,-22.01,"2 21","965 987",20,"65.00%","65.00%"
"3","Pocillopora_meandrina_HIv1___TS.g7057.t1","GO:0000245","spliceosomal complex assembly",4,2,0.31,0.031,"Biological Processes",1642,476849,"Cluster_4439",-0.371074895552805,0.538611390378473,0.973552982047016,143,-22.01,"2 21","965 987",20,"65.00%","65.00%"
"4","Pocillopora_meandrina_HIv1___RNAseq.g12783.t1","GO:0000245","spliceosomal complex assembly",4,2,0.31,0.031,"Biological Processes",1376,390123,"Cluster_4754",-0.0134561362551437,0.982867632249714,0.999610930147471,181,-25.02,"2 18","668 689",16,"93.75%","100.00%"
"5","Pocillopora_meandrina_HIv1___RNAseq.g298.t1","GO:0000245","spliceosomal complex assembly",4,2,0.31,0.031,"Biological Processes",737,210634,"Cluster_4439",-0.413569418962004,0.48884868385907,0.973463498630664,143,-22.09,"2 21","963 985",20,"60.00%","70.00%"
"6","Pocillopora_meandrina_HIv1___RNAseq.g303.t1","GO:0000245","spliceosomal complex assembly",4,2,0.31,0.031,"Biological Processes",1782,520990,"Cluster_4439",-0.676609600628501,0.209722828096261,0.917126038663203,143,-22.01,"2 21","963 985",20,"65.00%","65.00%"
"7","Pocillopora_meandrina_HIv1___RNAseq.g301.t1","GO:0000245","spliceosomal complex assembly",4,2,0.31,0.031,"Biological Processes",1384,394117,"Cluster_4439",-0.662843728300781,0.222738363175317,0.925678429135299,143,-22.09,"2 21","971 993",20,"60.00%","70.00%"
"8","Pocillopora_meandrina_HIv1___RNAseq.g14599.t1","GO:0005044","scavenger receptor activity",4,2,0.31,0.032,"Molecular Functions",1817,532390,"Cluster_5253",-0.52783485992268,0.360601812921909,0.965332296481758,170,-21.49,"2 20","479 502",20,"80.00%","85.00%"
"9","Pocillopora_meandrina_HIv1___TS.g6033.t1","GO:0005044","scavenger receptor activity",4,2,0.31,0.032,"Molecular Functions",367,107815,"Cluster_5253",-0.32811728759366,0.589850354236596,0.976732732570472,170,-21.49,"2 20","477 500",20,"80.00%","85.00%"
"10","Pocillopora_meandrina_HIv1___RNAseq.g14627.t1","GO:0005044","scavenger receptor activity",4,2,0.31,0.032,"Molecular Functions",2671,788060,"Cluster_5253",-0.468150986948486,0.426483219491587,0.97024921967979,170,-21.49,"2 20","479 502",20,"80.00%","85.00%"
"11","Pocillopora_meandrina_HIv1___RNAseq.g22401.t1","GO:0005044","scavenger receptor activity",4,2,0.31,0.032,"Molecular Functions",1245,353693,"Cluster_1116",-0.577876812627882,0.307520741800041,0.953095941815672,180,-25.83,"2 21","154 175",19,"84.21%","89.47%"
