"","X.1","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"5",5,1842,"Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g22310.t1",-0.947470580577219,0.0143379108408858,0.674410729954476,156,-21.25,"2 19","1 19",17,"76.47%","82.35%","Q9C3Z5","60S acidic ribosomal protein P2","Podospora anserina (Pleurage anserina)","cytoplasmic translational elongation [GO:0002182]","GO:0002182; GO:0003735; GO:0022625"
"20",20,6126,"Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g25291.t1",-0.947885623670125,0.0141692154004804,0.674410729954476,159,-20.09,"2 21","843 865",20,"70.00%","80.00%","Q5ZHW4","Ras-related protein Rab-5B (EC 3.6.5.2)","Gallus gallus (Chicken)","endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; regulation of endocytosis [GO:0030100]","GO:0003924; GO:0003925; GO:0005525; GO:0005768; GO:0005769; GO:0005886; GO:0006886; GO:0006897; GO:0012505; GO:0019003; GO:0030100; GO:0030139; GO:0031901"
"39",39,12705,"Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g10347.t1",-0.981685694822282,0.00296703624850726,0.667107103030161,161,-21.71,"2 22","912 934",20,"65.00%","80.00%","Q95245","Transmembrane ascorbate-dependent reductase CYB561 (EC 7.2.1.-) (Cytochrome b-561) (Cytochrome b561)","Sus scrofa (Pig)","ascorbate homeostasis [GO:0140576]","GO:0042584; GO:0046872; GO:0140575; GO:0140576"
"101",101,30226,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","180 201",18,"88.89%","88.89%","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"102",102,30226,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","300 321",18,"88.89%","88.89%","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"103",103,30226,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","420 441",18,"88.89%","88.89%","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"104",104,30226,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","540 561",18,"88.89%","88.89%","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"105",105,30226,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","60 81",18,"88.89%","88.89%","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"106",106,30226,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","780 801",18,"88.89%","88.89%","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"107",107,30226,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","900 921",18,"88.89%","88.89%","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
