"","X.1","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"1",1,12,"Cluster_1296","Pocillopora_meandrina_HIv1___RNAseq.g10047.t1",0.270299318914285,0.66008215780517,0.978631434746383,143,-21.19,"2 17","685 707",16,"68.75%","75.00%","Q6P9S7","Polypeptide N-acetylgalactosaminyltransferase 10 (EC 2.4.1.41) (Polypeptide GalNAc transferase 10) (GalNAc-T10) (pp-GaNTase 10) (Protein-UDP acetylgalactosaminyltransferase 10) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 10)","Mus musculus (Mouse)","O-glycan processing [GO:0016266]; protein O-linked glycosylation [GO:0006493]","GO:0000139; GO:0004653; GO:0005794; GO:0006493; GO:0016266; GO:0030246; GO:0046872"
"2",2,819,"Cluster_757","Pocillopora_meandrina_HIv1___TS.g16579.t1",-0.438772488543158,0.459820260326107,0.97024921967979,155,-23.52,"2 21","417 434",19,"73.68%","78.95%","P79888","S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]","Xenopus laevis (African clawed frog)","spermidine biosynthetic process [GO:0008295]; spermine biosynthetic process [GO:0006597]","GO:0004014; GO:0006597; GO:0008295"
"3",3,958,"Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g6291.t1",-0.351985765410856,0.561271986315343,0.97412091457539,152,-21.26,"2 21","6 27",19,"63.16%","73.68%",NA,NA,NA,NA,NA
"4",4,1819,"Cluster_925","Pocillopora_meandrina_HIv1___RNAseq.g22310.t1",-0.396120915342856,0.509162412119862,0.973552982047016,162,-21.53,"2 20","521 544",20,"75.00%","80.00%","Q9C3Z5","60S acidic ribosomal protein P2","Podospora anserina (Pleurage anserina)","cytoplasmic translational elongation [GO:0002182]","GO:0002182; GO:0003735; GO:0022625"
"5",5,1842,"Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g22310.t1",-0.947470580577219,0.0143379108408858,0.674410729954476,156,-21.25,"2 19","1 19",17,"76.47%","82.35%","Q9C3Z5","60S acidic ribosomal protein P2","Podospora anserina (Pleurage anserina)","cytoplasmic translational elongation [GO:0002182]","GO:0002182; GO:0003735; GO:0022625"
"6",6,1968,"Cluster_1015","Pocillopora_meandrina_HIv1___TS.g1125.t1",0.0716615932800143,0.908835779968447,0.997517921064577,162,-24.89,"2 21","790 815",23,"73.91%","78.26%","Q969H0","F-box/WD repeat-containing protein 7 (Archipelago homolog) (hAgo) (F-box and WD-40 domain-containing protein 7) (F-box protein FBX30) (SEL-10) (hCdc4)","Homo sapiens (Human)","cellular response to DNA damage stimulus [GO:0006974]; cellular response to UV [GO:0034644]; DNA repair [GO:0006281]; lipid homeostasis [GO:0055088]; lung development [GO:0030324]; negative regulation of gene expression [GO:0010629]; negative regulation of hepatocyte proliferation [GO:2000346]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of osteoclast development [GO:2001205]; negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding [GO:1903026]; negative regulation of SREBP signaling pathway [GO:2000639]; negative regulation of triglyceride biosynthetic process [GO:0010868]; Notch signaling pathway [GO:0007219]; positive regulation of epidermal growth factor-activated receptor activity [GO:0045741]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903378]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein destabilization [GO:0031648]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of cell cycle G1/S phase transition [GO:1902806]; regulation of cell migration involved in sprouting angiogenesis [GO:0090049]; regulation of circadian rhythm [GO:0042752]; regulation of lipid storage [GO:0010883]; regulation of protein localization [GO:0032880]; rhythmic process [GO:0048511]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; sister chromatid cohesion [GO:0007062]; ubiquitin recycling [GO:0010992]; vasculature development [GO:0001944]; vasculogenesis [GO:0001570]","GO:0001570; GO:0001944; GO:0005634; GO:0005654; GO:0005694; GO:0005730; GO:0005737; GO:0005739; GO:0005783; GO:0005794; GO:0005829; GO:0006281; GO:0006974; GO:0007062; GO:0007219; GO:0010629; GO:0010868; GO:0010883; GO:0010992; GO:0016567; GO:0019005; GO:0030324; GO:0030332; GO:0030674; GO:0031146; GO:0031398; GO:0031625; GO:0031648; GO:0032880; GO:0032991; GO:0034644; GO:0042752; GO:0042802; GO:0043130; GO:0043161; GO:0045741; GO:0045746; GO:0048471; GO:0048511; GO:0050816; GO:0050821; GO:0051443; GO:0055088; GO:0070374; GO:0090049; GO:0097027; GO:1901800; GO:1902806; GO:1903026; GO:1903146; GO:1903378; GO:1903955; GO:1990452; GO:2000060; GO:2000346; GO:2000639; GO:2001205"
"7",7,2275,"Cluster_2837","Pocillopora_meandrina_HIv1___RNAseq.16918_t",0.433299356656603,0.46609150259387,0.97024921967979,160,-24.83,"2 21","606 624",19,"73.68%","84.21%",NA,NA,NA,NA,NA
"8",8,2819,"Cluster_1015","Pocillopora_meandrina_HIv1___RNAseq.g2499.t1",0.563552832578883,0.322496446825643,0.957861852051684,157,-20.5,"2 18","152 173",16,"75.00%","81.25%",NA,NA,NA,NA,NA
"9",9,3022,"Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g28426.t1",-0.54781843815268,0.339151916041997,0.963617152970834,159,-23.68,"2 20","602 623",18,"66.67%","83.33%",NA,NA,NA,NA,NA
"10",10,3174,"Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g8983.t1",-0.80898261746785,0.0972950369617602,0.849622387229677,143,-20.02,"2 17","653 679",20,"65.00%","70.00%","Q5ZIL9","KIF-binding protein (KIF1-binding protein)","Gallus gallus (Chicken)","central nervous system projection neuron axonogenesis [GO:0021952]; microtubule cytoskeleton organization [GO:0000226]; mitochondrial transport [GO:0006839]; neuron projection maintenance [GO:1990535]","GO:0000226; GO:0005739; GO:0005856; GO:0006839; GO:0019894; GO:0021952; GO:1990535"
