"Species","Protein_ID","Protein_of_interest","Protein_of_interest_simplified"
"Apul","FUN_000213","RDRP","RDRP"
"Apul","FUN_000641","NFX1","NFX1"
"Apul","FUN_000894","AEBP2","AEBP2"
"Apul","FUN_001019","USP47","USP47"
"Apul","FUN_001086","PPP1R12A; PPP1R12B; PPP1R12C","PPP1R12"
"Apul","FUN_001141","KAT6A; KAT6B; KAT7","KAT"
"Apul","FUN_001172","PRMT3","PRMT3"
"Apul","FUN_001196","PPP6C","PPP6C"
"Apul","FUN_001341","UBE2D1; UBE2D2; UBE2D3","UBE2D"
"Apul","FUN_001342","SIRT1","SIRT1"
"Apul","FUN_001344","CDK1","CDK1"
"Apul","FUN_001354","PARP5A-TNKS; PARP5B-TNKS2","PARP5"
"Apul","FUN_001403","WEE1","WEE1"
"Apul","FUN_001417","CNOT2","CNOT2"
"Apul","FUN_001425","KDM3A; KDM3B; KDM3C-JMJD1C","KDM3"
"Apul","FUN_001593","SLK","SLK"
"Apul","FUN_001664","SETD3","SETD3"
"Apul","FUN_001671","ZFC3H1","ZFC3H1"
"Apul","FUN_001845","TARBP1","TARBP1"
"Apul","FUN_001947","USP50; USP8","USP"
"Apul","FUN_002092","ARH3-ADPRS","ARH3-ADPRS"
"Apul","FUN_002429","PRKCD","PRKCD"
"Apul","FUN_002454","PIM1","PIM1"
"Apul","FUN_002469","HUWE1","HUWE1"
"Apul","FUN_002813","BAP1","BAP1"
"Apul","FUN_003846","YTHDC1","YTHDC1"
"Apul","FUN_004040","TUT4; TUT7","TUT"
"Apul","FUN_004054","HDAC; HDAC3","HDAC3"
"Apul","FUN_004096","PRDM6","PRDM6"
"Apul","FUN_004339","PRDM14","PRDM14"
"Apul","FUN_004346","PRKAA1; PRKAA2","PRKAA"
"Apul","FUN_004375","EXOSC3","EXOSC3"
"Apul","FUN_004436","KDM4A; KDM4B; KDM4C; KDM4D","KDM4"
"Apul","FUN_004447","USP24","USP24"
"Apul","FUN_004470","JMJD7","JMJD7"
"Apul","FUN_004511","JAK2","JAK2"
"Apul","FUN_004512","KAT14","KAT14"
"Apul","FUN_004565","HNRNPK","HNRNPK"
"Apul","FUN_004714","DIS3L","DIS3L"
"Apul","FUN_004748","UBA6","UBA6"
"Apul","FUN_004860","PARP16","PARP16"
"Apul","FUN_004918","OTUD7A; OTUD7B","OTUD7"
"Apul","FUN_005063","YTHDC2","YTHDC2"
"Apul","FUN_005114","USP3; USP44; USP49","USP"
"Apul","FUN_005133","MAP2K1","MAP2K1"
"Apul","FUN_005315","SMG5","SMG5"
"Apul","FUN_005473","HYL1","HYL1"
"Apul","FUN_005808","USP11; USP15; USP4","USP"
"Apul","FUN_006104","HDAC; HDAC10; HDAC6","HDAC class IIb"
