Entry	GeneID	Gene Ontology IDs
A0A0C2SRU0	gene-Pocillopora_meandrina_HIv1___RNAseq.g1925.t1	GO:0004609; GO:0005739; GO:0006646
A0A0D3QS97	gene-Pocillopora_meandrina_HIv1___RNAseq.g25235.t1	GO:0005576; GO:0016055; GO:0090090; GO:1990699
A0A0D3QS97	gene-Pocillopora_meandrina_HIv1___RNAseq.g25230.t1	GO:0005576; GO:0016055; GO:0090090; GO:1990699
A0A0G2JXT6	gene-Pocillopora_meandrina_HIv1___RNAseq.g18909.t1	GO:0004438; GO:0005635; GO:0005737; GO:0005783; GO:0005793; GO:0006897; GO:0032587; GO:0046856; GO:0048471; GO:0052629; GO:0106018
A0A0G2JZ79	gene-Pocillopora_meandrina_HIv1___RNAseq.g2292.t1	GO:0000012; GO:0000122; GO:0000183; GO:0000720; GO:0000731; GO:0000785; GO:0000791; GO:0000792; GO:0000978; GO:0001525; GO:0001542; GO:0001678; GO:0001938; GO:0002039; GO:0002821; GO:0003713; GO:0003714; GO:0004407; GO:0005634; GO:0005635; GO:0005637; GO:0005654; GO:0005677; GO:0005730; GO:0005737; GO:0005739; GO:0005829; GO:0006325; GO:0006642; GO:0006974; GO:0006979; GO:0007005; GO:0007179; GO:0007283; GO:0007346; GO:0007517; GO:0007623; GO:0008047; GO:0008284; GO:0008630; GO:0009267; GO:0010046; GO:0010460; GO:0010628; GO:0010629; GO:0010659; GO:0010667; GO:0010824; GO:0010868; GO:0010875; GO:0010883; GO:0010898; GO:0010906; GO:0010918; GO:0010976; GO:0014858; GO:0016239; GO:0016567; GO:0016605; GO:0016922; GO:0017136; GO:0019213; GO:0019899; GO:0019904; GO:0030225; GO:0030424; GO:0030426; GO:0030512; GO:0031393; GO:0031507; GO:0031648; GO:0031667; GO:0032007; GO:0032041; GO:0032436; GO:0032720; GO:0032868; GO:0032922; GO:0032991; GO:0033210; GO:0033553; GO:0033558; GO:0034391; GO:0034979; GO:0035098; GO:0035331; GO:0035356; GO:0035358; GO:0035774; GO:0042127; GO:0042149; GO:0042220; GO:0042311; GO:0042393; GO:0042542; GO:0042595; GO:0042632; GO:0042771; GO:0042802; GO:0042981; GO:0043065; GO:0043066; GO:0043124; GO:0043161; GO:0043398; GO:0043422; GO:0043425; GO:0043518; GO:0043524; GO:0043536; GO:0044321; GO:0045348; GO:0045471; GO:0045599; GO:0045722; GO:0045739; GO:0045766; GO:0045786; GO:0045892; GO:0045944; GO:0046015; GO:0046628; GO:0046872; GO:0046969; GO:0046970; GO:0050872; GO:0051019; GO:0051152; GO:0051402; GO:0051658; GO:0051897; GO:0051898; GO:0055089; GO:0060125; GO:0060766; GO:0060907; GO:0061051; GO:0061773; GO:0070301; GO:0070403; GO:0070857; GO:0070914; GO:0071236; GO:0071303; GO:0071356; GO:0071456; GO:0071479; GO:0089720; GO:0090335; GO:0090400; GO:0097009; GO:0097193; GO:0106230; GO:0106231; GO:0140297; GO:0140861; GO:0140937; GO:0141050; GO:0141208; GO:0160012; GO:1900181; GO:1901797; GO:1902166; GO:1902176; GO:1902237; GO:1902617; GO:1903427; GO:1904178; GO:1904179; GO:1904373; GO:1904638; GO:1904639; GO:1904644; GO:1904646; GO:1904648; GO:1904710; GO:1990254; GO:1990830; GO:1990841; GO:2000111; GO:2000270; GO:2000614; GO:2000655; GO:2000773; GO:2000774; GO:2000781; GO:2001171
A0A0G2JZ79	gene-Pocillopora_meandrina_HIv1___RNAseq.g12407.t1	GO:0000012; GO:0000122; GO:0000183; GO:0000720; GO:0000731; GO:0000785; GO:0000791; GO:0000792; GO:0000978; GO:0001525; GO:0001542; GO:0001678; GO:0001938; GO:0002039; GO:0002821; GO:0003713; GO:0003714; GO:0004407; GO:0005634; GO:0005635; GO:0005637; GO:0005654; GO:0005677; GO:0005730; GO:0005737; GO:0005739; GO:0005829; GO:0006325; GO:0006642; GO:0006974; GO:0006979; GO:0007005; GO:0007179; GO:0007283; GO:0007346; GO:0007517; GO:0007623; GO:0008047; GO:0008284; GO:0008630; GO:0009267; GO:0010046; GO:0010460; GO:0010628; GO:0010629; GO:0010659; GO:0010667; GO:0010824; GO:0010868; GO:0010875; GO:0010883; GO:0010898; GO:0010906; GO:0010918; GO:0010976; GO:0014858; GO:0016239; GO:0016567; GO:0016605; GO:0016922; GO:0017136; GO:0019213; GO:0019899; GO:0019904; GO:0030225; GO:0030424; GO:0030426; GO:0030512; GO:0031393; GO:0031507; GO:0031648; GO:0031667; GO:0032007; GO:0032041; GO:0032436; GO:0032720; GO:0032868; GO:0032922; GO:0032991; GO:0033210; GO:0033553; GO:0033558; GO:0034391; GO:0034979; GO:0035098; GO:0035331; GO:0035356; GO:0035358; GO:0035774; GO:0042127; GO:0042149; GO:0042220; GO:0042311; GO:0042393; GO:0042542; GO:0042595; GO:0042632; GO:0042771; GO:0042802; GO:0042981; GO:0043065; GO:0043066; GO:0043124; GO:0043161; GO:0043398; GO:0043422; GO:0043425; GO:0043518; GO:0043524; GO:0043536; GO:0044321; GO:0045348; GO:0045471; GO:0045599; GO:0045722; GO:0045739; GO:0045766; GO:0045786; GO:0045892; GO:0045944; GO:0046015; GO:0046628; GO:0046872; GO:0046969; GO:0046970; GO:0050872; GO:0051019; GO:0051152; GO:0051402; GO:0051658; GO:0051897; GO:0051898; GO:0055089; GO:0060125; GO:0060766; GO:0060907; GO:0061051; GO:0061773; GO:0070301; GO:0070403; GO:0070857; GO:0070914; GO:0071236; GO:0071303; GO:0071356; GO:0071456; GO:0071479; GO:0089720; GO:0090335; GO:0090400; GO:0097009; GO:0097193; GO:0106230; GO:0106231; GO:0140297; GO:0140861; GO:0140937; GO:0141050; GO:0141208; GO:0160012; GO:1900181; GO:1901797; GO:1902166; GO:1902176; GO:1902237; GO:1902617; GO:1903427; GO:1904178; GO:1904179; GO:1904373; GO:1904638; GO:1904639; GO:1904644; GO:1904646; GO:1904648; GO:1904710; GO:1990254; GO:1990830; GO:1990841; GO:2000111; GO:2000270; GO:2000614; GO:2000655; GO:2000773; GO:2000774; GO:2000781; GO:2001171
A0A0G2K2P5	gene-Pocillopora_meandrina_HIv1___RNAseq.g2544.t1	GO:0001825; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0005911; GO:0005912; GO:0005921; GO:0005923; GO:0007605; GO:0008013; GO:0008284; GO:0009410; GO:0009986; GO:0014704; GO:0016020; GO:0016301; GO:0016323; GO:0016324; GO:0016327; GO:0019904; GO:0030036; GO:0030054; GO:0030335; GO:0031032; GO:0031410; GO:0032496; GO:0032991; GO:0034334; GO:0036305; GO:0043066; GO:0043116; GO:0043296; GO:0044325; GO:0045177; GO:0045216; GO:0045471; GO:0046581; GO:0050839; GO:0051493; GO:0051497; GO:0070160; GO:0070830; GO:0071000; GO:0071253; GO:0071277; GO:0071333; GO:0071896; GO:0090557; GO:0098609; GO:0150105; GO:1901888; GO:1902396; GO:1903672; GO:1905605; GO:2000049; GO:2000810
A0A0G2KIZ8	gene-Pocillopora_meandrina_HIv1___RNAseq.g17235.t1	GO:0003341; GO:0005737
A0A0R0H9T5	gene-Pocillopora_meandrina_HIv1___RNAseq.g4660.t1	GO:0003755; GO:0005634; GO:0005737; GO:0005886; GO:0006457; GO:0009737; GO:0010555; GO:0016018; GO:1901002; GO:1902074
A0A0R0H9T5	gene-Pocillopora_meandrina_HIv1___RNAseq.g5129.t1	GO:0003755; GO:0005634; GO:0005737; GO:0005886; GO:0006457; GO:0009737; GO:0010555; GO:0016018; GO:1901002; GO:1902074
