"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","PCC.cor","p_value","adjusted_p_value"
"1","Pocillopora_meandrina_HIv1___RNAseq.g27720.t1","GO:0003333","amino acid transmembrane transport",2,2,0.28,0.02,"Biological Processes",4361,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000006:10200518-10209090",153,-20.91,2,20,147,168,18,"72.22%","77.78%",-0.499007668450437,0.392096782687992,0.967903306776112
"2","Pocillopora_meandrina_HIv1___TS.g14852.t1","GO:0003333","amino acid transmembrane transport",2,2,0.28,0.02,"Biological Processes",543,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000006:7813235-7821327",160,-22.87,2,21,6772,6793,19,"73.68%","73.68%",-0.044913603216815,0.942833456269985,0.999610930147471
"3","Pocillopora_meandrina_HIv1___RNAseq.g770.t1","GO:0003333","amino acid transmembrane transport",2,2,0.28,0.02,"Biological Processes",7949,"Cluster_360","Pocillopora_meandrina_HIv1___Sc0000028:180154-185714",165,-23.98,2,21,92,113,20,"80.00%","85.00%",-0.504588989268588,0.385949906057531,0.967903306776112
"4","Pocillopora_meandrina_HIv1___RNAseq.g19943.t1","GO:0003333","amino acid transmembrane transport",2,2,0.28,0.02,"Biological Processes",3654,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000001:15620573-15625843",168,-25.87,2,22,4500,4524,22,"63.64%","90.91%",-0.813246303385585,0.0941198827919989,0.845220108251109
"5","Pocillopora_meandrina_HIv1___TS.g20687.t1","GO:0003333","amino acid transmembrane transport",2,2,0.28,0.02,"Biological Processes",4845,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000011:9334472-9348036",159,-21.13,2,22,11714,11735,20,"65.00%","85.00%",-0.126187994716369,0.839759875210414,0.994770429144229
"6","Pocillopora_meandrina_HIv1___RNAseq.g16665.t1","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",5617,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000025:920673-953440",165,-22.33,2,22,574,596,20,"60.00%","90.00%",-0.0554433610822613,0.929443503457927,0.999025486905667
"7","Pocillopora_meandrina_HIv1___RNAseq.g16665.t1","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",5618,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000025:920673-953440",167,-25.7,2,22,20145,20166,20,"65.00%","95.00%",-0.0554433610822613,0.929443503457927,0.999025486905667
"8","Pocillopora_meandrina_HIv1___TS.g4918.t1","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",7680,"Cluster_360","Pocillopora_meandrina_HIv1___Sc0000008:8461682-8497102",163,-20.44,2,21,1371,1393,20,"75.00%","80.00%",-0.337768751002968,0.578262889806751,0.975809408787736
"9","Pocillopora_meandrina_HIv1___RNAseq.g3525.t1","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",4902,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000013:6146215-6148987",175,-31.68,2,20,1045,1067,18,"77.78%","94.44%",-0.120922056359283,0.846413294194132,0.995270168866079
"10","Pocillopora_meandrina_HIv1___TS.g17559.t2","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",8882,"Cluster_390","Pocillopora_meandrina_HIv1___Sc0000025:1672364-1731596",170,-21.16,2,21,40949,40969,19,"78.95%","89.47%",-0.414567471506973,0.487691980070788,0.973195056135203
"11","Pocillopora_meandrina_HIv1___TS.g17559.t2","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",8883,"Cluster_390","Pocillopora_meandrina_HIv1___Sc0000025:1672364-1731596",174,-22.59,2,21,35064,35084,19,"84.21%","89.47%",-0.414567471506973,0.487691980070788,0.973195056135203
"12","Pocillopora_meandrina_HIv1___TS.g17559.t2","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",8884,"Cluster_390","Pocillopora_meandrina_HIv1___Sc0000025:1672364-1731596",174,-22.59,2,21,36625,36645,19,"84.21%","89.47%",-0.414567471506973,0.487691980070788,0.973195056135203
"13","Pocillopora_meandrina_HIv1___TS.g17451.t1","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",1155,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000025:281862-312950",153,-20.89,2,18,12524,12545,16,"62.50%","87.50%",-0.19034855581687,0.759112300671049,0.98558661030171
"14","Pocillopora_meandrina_HIv1___TS.g17451.t1","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",5594,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000025:281862-312950",155,-22.16,2,20,24884,24906,18,"66.67%","77.78%",-0.162124654219731,0.794484364787846,0.991028690050617
"15","Pocillopora_meandrina_HIv1___RNAseq.g25346.t1","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",8047,"Cluster_360","Pocillopora_meandrina_HIv1___Sc0000041:1576836-1605673",157,-20.95,2,21,20699,20720,20,"75.00%","80.00%",-0.151625193134574,0.807687109837927,0.992772652715612
"16","Pocillopora_meandrina_HIv1___RNAseq.g25346.t1","GO:0004725","protein tyrosine phosphatase activity",2,2,0.25,0.015,"Molecular Functions",9030,"Cluster_390","Pocillopora_meandrina_HIv1___Sc0000041:1576836-1605673",155,-21.22,2,21,17237,17259,20,"65.00%","80.00%",-0.23648370853464,0.70173010060421,0.982185628634329
