"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"39",39,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:16832807-16843334",150,-20.03,2,16,57,79,15,"80.00%","80.00%","Pocillopora_meandrina_HIv1___RNAseq.g22365.t1",0.986004128784104,0.00198344385347784,0.667107103030161,"Q5XIP1","Protein pelota homolog (EC 3.1.-.-)","Rattus norvegicus (Rat)","cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome organization [GO:0051276]; endoderm development [GO:0007492]; inner cell mass cell proliferation [GO:0001833]; mesenchymal to epithelial transition [GO:0060231]; nonfunctional rRNA decay [GO:0070651]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; positive regulation of BMP signaling pathway [GO:0030513]; regulation of translation [GO:0006417]; ribosome disassembly [GO:0032790]; RNA surveillance [GO:0071025]; stem cell population maintenance [GO:0019827]","GO:0001833; GO:0004519; GO:0005634; GO:0005737; GO:0006417; GO:0007049; GO:0007492; GO:0019827; GO:0030513; GO:0032790; GO:0046872; GO:0051276; GO:0051301; GO:0060231; GO:0070481; GO:0070651; GO:0070966; GO:0071025"
"46",46,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:1768978-1788898",152,-20.51,2,20,13916,13937,19,"73.68%","78.95%","Pocillopora_meandrina_HIv1___RNAseq.g21104.t1",-0.898122333545707,0.0384327812346385,0.760878962620332,"Q69ZX6","ATPase MORC2A (EC 3.6.1.-) (MORC family CW-type zinc finger protein 2A) (Zinc finger CW-type coiled-coil domain protein 1)","Mus musculus (Mouse)","cellular response to DNA damage stimulus [GO:0006974]; chromatin remodeling [GO:0006338]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045869]; positive regulation of DNA methylation-dependent heterochromatin formation [GO:0090309]","GO:0000287; GO:0000792; GO:0003682; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006338; GO:0006974; GO:0008270; GO:0016363; GO:0016887; GO:0042393; GO:0042802; GO:0042803; GO:0045814; GO:0045869; GO:0090309"
"47",47,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:1768978-1788898",159,-20.15,2,21,6312,6334,20,"65.00%","85.00%","Pocillopora_meandrina_HIv1___RNAseq.g21104.t1",-0.898122333545707,0.0384327812346385,0.760878962620332,"Q69ZX6","ATPase MORC2A (EC 3.6.1.-) (MORC family CW-type zinc finger protein 2A) (Zinc finger CW-type coiled-coil domain protein 1)","Mus musculus (Mouse)","cellular response to DNA damage stimulus [GO:0006974]; chromatin remodeling [GO:0006338]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045869]; positive regulation of DNA methylation-dependent heterochromatin formation [GO:0090309]","GO:0000287; GO:0000792; GO:0003682; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006338; GO:0006974; GO:0008270; GO:0016363; GO:0016887; GO:0042393; GO:0042802; GO:0042803; GO:0045814; GO:0045869; GO:0090309"
"56",56,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:19935812-19947237",149,-20.52,2,21,4772,4797,23,"69.57%","73.91%","Pocillopora_meandrina_HIv1___RNAseq.g22634.t1",-0.894755945334234,0.040332268032286,0.761940295872914,"Q6PFJ7","Sphingomyelin phosphodiesterase 4 (EC 3.1.4.12) (Neutral sphingomyelinase 3) (nSMase-3) (nSMase3) (Neutral sphingomyelinase III)","Danio rerio (Zebrafish) (Brachydanio rerio)","cellular response to tumor necrosis factor [GO:0071356]; ceramide biosynthetic process [GO:0046513]; glycerophospholipid catabolic process [GO:0046475]; sphingomyelin catabolic process [GO:0006685]","GO:0000139; GO:0004767; GO:0005635; GO:0005783; GO:0005789; GO:0006685; GO:0042383; GO:0046475; GO:0046513; GO:0046872; GO:0050290; GO:0071356"
"69",69,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:2120954-2128251",158,-20.55,2,21,6152,6172,19,"68.42%","84.21%","Pocillopora_meandrina_HIv1___RNAseq.g21142.t1",0.888607358030948,0.0438758640615833,0.774766699317231,"Q99571","P2X purinoceptor 4 (P2X4) (ATP receptor) (Purinergic receptor)","Homo sapiens (Human)","apoptotic signaling pathway [GO:0097190]; behavioral response to pain [GO:0048266]; calcium ion transmembrane transport [GO:0070588]; calcium-mediated signaling [GO:0019722]; cellular response to ATP [GO:0071318]; cellular response to zinc ion [GO:0071294]; endothelial cell activation [GO:0042118]; ion transmembrane transport [GO:0034220]; membrane depolarization [GO:0051899]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; neuronal action potential [GO:0019228]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of microglial cell migration [GO:1904141]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of prostaglandin secretion [GO:0032308]; positive regulation of protein kinase B signaling [GO:0051897]; purinergic nucleotide receptor signaling pathway [GO:0035590]; regulation of blood pressure [GO:0008217]; regulation of cardiac muscle contraction [GO:0055117]; regulation of chemotaxis [GO:0050920]; regulation of sodium ion transport [GO:0002028]; relaxation of cardiac muscle [GO:0055119]; response to ATP [GO:0033198]; response to axon injury [GO:0048678]; response to fluid shear stress [GO:0034405]; response to ischemia [GO:0002931]; sensory perception of pain [GO:0019233]; sensory perception of touch [GO:0050975]; signal transduction [GO:0007165]; tissue homeostasis [GO:0001894]","GO:0001614; GO:0001894; GO:0002028; GO:0002931; GO:0004931; GO:0005102; GO:0005507; GO:0005524; GO:0005637; GO:0005765; GO:0005886; GO:0007165; GO:0008217; GO:0008270; GO:0010524; GO:0010614; GO:0014069; GO:0016020; GO:0019228; GO:0019233; GO:0019722; GO:0030054; GO:0032308; GO:0033198; GO:0034220; GO:0034405; GO:0035590; GO:0042118; GO:0042802; GO:0043025; GO:0043195; GO:0043197; GO:0043536; GO:0044297; GO:0045296; GO:0045429; GO:0048266; GO:0048471; GO:0048678; GO:0050850; GO:0050920; GO:0050975; GO:0051897; GO:0051899; GO:0051928; GO:0055117; GO:0055119; GO:0070062; GO:0070588; GO:0071294; GO:0071318; GO:0097190; GO:0099604; GO:1904141; GO:2001028"
"126",126,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:10539111-10553432",152,-21.19,2,21,8535,8556,19,"63.16%","73.68%","Pocillopora_meandrina_HIv1___TS.g28963.t1",-0.975409013502542,0.00461200018262166,0.667107103030161,NA,NA,NA,NA,NA
"133",133,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:11677639-11689461",156,-22.82,2,21,6469,6490,19,"57.89%","84.21%","Pocillopora_meandrina_HIv1___RNAseq.3177_t",0.973205839682071,0.00524373661525445,0.667107103030161,"Q8K2Y0","ORC ubiquitin ligase 1 (OBI1) (EC 2.3.2.27) (RING finger protein 219)","Mus musculus (Mouse)","positive regulation of mRNA splicing, via spliceosome [GO:0048026]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; regulation of DNA replication [GO:0006275]","GO:0000785; GO:0003682; GO:0004842; GO:0006275; GO:0006513; GO:0046872; GO:0048026; GO:0051865"
"144",144,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:14950866-14974804",169,-28.46,2,20,3853,3873,18,"77.78%","94.44%","Pocillopora_meandrina_HIv1___TS.g29288.t1",-0.923169692807867,0.0252675617787121,0.707036133699858,"P36888","Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)","Homo sapiens (Human)","animal organ regeneration [GO:0031100]; B cell differentiation [GO:0030183]; cellular response to cytokine stimulus [GO:0071345]; cellular response to glucocorticoid stimulus [GO:0071385]; common myeloid progenitor cell proliferation [GO:0035726]; cytokine-mediated signaling pathway [GO:0019221]; dendritic cell differentiation [GO:0097028]; hemopoiesis [GO:0030097]; leukocyte homeostasis [GO:0001776]; lymphocyte proliferation [GO:0046651]; myeloid progenitor cell differentiation [GO:0002318]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; pro-B cell differentiation [GO:0002328]; protein autophosphorylation [GO:0046777]; regulation of apoptotic process [GO:0042981]; response to organonitrogen compound [GO:0010243]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]","GO:0001776; GO:0002318; GO:0002328; GO:0004713; GO:0004714; GO:0004896; GO:0005021; GO:0005524; GO:0005634; GO:0005783; GO:0005788; GO:0005829; GO:0005886; GO:0007169; GO:0008284; GO:0010008; GO:0010243; GO:0014068; GO:0018108; GO:0019221; GO:0019838; GO:0030097; GO:0030183; GO:0031100; GO:0033674; GO:0035259; GO:0035726; GO:0042531; GO:0042981; GO:0043235; GO:0043406; GO:0043410; GO:0043552; GO:0043621; GO:0044877; GO:0046651; GO:0046777; GO:0071345; GO:0071385; GO:0097028"
"148",148,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:15885727-15891281",146,-24.52,2,17,3213,3239,20,"70.00%","75.00%","Pocillopora_meandrina_HIv1___RNAseq.g19972.t1",0.965924966013335,0.00751200707062743,0.667107103030161,NA,NA,NA,NA,NA
"173",173,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:19440921-19443261",156,-22.39,2,20,1959,1980,19,"78.95%","78.95%","Pocillopora_meandrina_HIv1___TS.g29722.t1",0.898141278554238,0.0384221743606322,0.760878962620332,"Q60809","CCR4-NOT transcription complex subunit 7 (EC 3.1.13.4) (CCR4-associated factor 1) (CAF-1)","Mus musculus (Mouse)","deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; defense response to virus [GO:0051607]; exonucleolytic catabolism of deadenylated mRNA [GO:0043928]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; P-body assembly [GO:0033962]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of mRNA catabolic process [GO:0061014]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of viral genome replication [GO:0045070]; regulation of tyrosine phosphorylation of STAT protein [GO:0042509]; RNA-mediated gene silencing [GO:0031047]","GO:0000175; GO:0000289; GO:0000290; GO:0000932; GO:0003714; GO:0003723; GO:0004532; GO:0004535; GO:0005634; GO:0005737; GO:0008284; GO:0008285; GO:0010629; GO:0016604; GO:0016607; GO:0030014; GO:0030015; GO:0031047; GO:0033962; GO:0042509; GO:0043928; GO:0045070; GO:0045892; GO:0045944; GO:0046872; GO:0051607; GO:0060213; GO:0060339; GO:0061014; GO:0140297; GO:1900153"
