"","X.1","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"1",1,300,"Cluster_9149","Peve_00009100",-0.477251674802156,0.683266023614316,0.978262075707395,168,-20.39,"2 21","322 343",19,"73.68%","84.21%","Q92005","Elongation factor 1-alpha (EF-1-alpha)","Danio rerio (Zebrafish) (Brachydanio rerio)","translation [GO:0006412]; translational elongation [GO:0006414]","GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006412; GO:0006414"
"2",2,300,"Cluster_9149","Peve_00009100",-0.477251674802156,0.683266023614316,0.978262075707395,168,-20.39,"2 21","661 682",19,"73.68%","84.21%","Q92005","Elongation factor 1-alpha (EF-1-alpha)","Danio rerio (Zebrafish) (Brachydanio rerio)","translation [GO:0006412]; translational elongation [GO:0006414]","GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006412; GO:0006414"
"3",3,335,"Cluster_6914","Peve_00009103",0.453964509159405,0.700018570003482,0.978262075707395,169,-21.38,"2 20","302 321",18,"83.33%","88.89%","Q9NR30","Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)","Homo sapiens (Human)","chromatin remodeling [GO:0006338]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; osteoblast differentiation [GO:0001649]; positive regulation of histone acetylation [GO:0035066]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by RNA polymerase III [GO:0045945]; R-loop processing [GO:0062176]; response to exogenous dsRNA [GO:0043330]; rRNA processing [GO:0006364]; transcription by RNA polymerase II [GO:0006366]","GO:0001649; GO:0002735; GO:0003723; GO:0003724; GO:0003725; GO:0005524; GO:0005654; GO:0005694; GO:0005730; GO:0005739; GO:0005829; GO:0006338; GO:0006364; GO:0006366; GO:0016020; GO:0016887; GO:0019843; GO:0030515; GO:0035066; GO:0035198; GO:0042802; GO:0043123; GO:0043330; GO:0045087; GO:0045943; GO:0045944; GO:0045945; GO:0051607; GO:0062176; GO:0097322; GO:0110016"
"4",4,1234,"Cluster_6906","Peve_00018268",-0.686063329690759,0.518674561276582,0.978262075707395,150,-22.14,"2 16","36 60",17,"76.47%","76.47%",NA,NA,NA,NA,NA
"5",5,1847,"Cluster_589","Peve_00028953",-0.958159297400556,0.184807938297357,0.978262075707395,152,-23.43,"2 13","168 189",11,"90.91%","90.91%","P08775","DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase II subunit A) (DNA-directed RNA polymerase III largest subunit)","Mus musculus (Mouse)","cellular response to oxygen levels [GO:0071453]; DNA-templated transcription termination [GO:0006353]; positive regulation of RNA splicing [GO:0033120]; response to organic cyclic compound [GO:0014070]; transcription by RNA polymerase II [GO:0006366]","GO:0000791; GO:0000974; GO:0001046; GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005737; GO:0006353; GO:0006366; GO:0008022; GO:0014070; GO:0019900; GO:0031625; GO:0033120; GO:0046872; GO:0071453; GO:1990841"
"6",6,2211,"Cluster_2787","Peve_00018488",0.867933894665659,0.330895275232091,0.978262075707395,163,-22.5,"2 21","241 264",21,"71.43%","80.95%",NA,NA,NA,NA,NA
"7",7,2437,"Cluster_2854","Peve_00004351",-0.854036371945205,0.34829511323424,0.978262075707395,167,-20.27,"2 21","118 140",20,"80.00%","80.00%","P10894","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 (EC 3.1.4.11) (PLC-154) (Phosphoinositide phospholipase C-beta-1) (Phospholipase C-beta-1) (PLC-beta-1)","Bos taurus (Bovine)","interleukin-1-mediated signaling pathway [GO:0070498]; interleukin-12-mediated signaling pathway [GO:0035722]; interleukin-15-mediated signaling pathway [GO:0035723]; lipid catabolic process [GO:0016042]; memory [GO:0007613]; phosphatidylinositol metabolic process [GO:0046488]; phosphatidylinositol-mediated signaling [GO:0048015]; positive regulation of JNK cascade [GO:0046330]","GO:0004435; GO:0005096; GO:0005509; GO:0005516; GO:0005546; GO:0005737; GO:0005829; GO:0007613; GO:0016042; GO:0016607; GO:0019899; GO:0031965; GO:0035722; GO:0035723; GO:0046330; GO:0046488; GO:0048015; GO:0070498"
"8",8,2481,"Cluster_2787","Peve_00009105",0.867933894665659,0.330895275232091,0.978262075707395,161,-22.23,"2 20","545 565",18,"77.78%","83.33%",NA,NA,NA,NA,NA
"9",9,2852,"Cluster_6904","Peve_00031158",-0.951310992493219,0.199475076059675,0.978262075707395,152,-20.61,"2 17","390 411",15,"73.33%","80.00%",NA,NA,NA,NA,NA
"10",10,3062,"Cluster_589","Peve_00000508",0.89265946901885,0.297673769512557,0.978262075707395,155,-21.63,"2 12","139 160",10,"100.00%","100.00%","Q62717","Calcium-dependent secretion activator 1 (Calcium-dependent activator protein for secretion 1) (CAPS-1) (rCAPS)","Rattus norvegicus (Rat)","catecholamine secretion [GO:0050432]; establishment of localization in cell [GO:0051649]; exocytosis [GO:0006887]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; positive regulation of exocytosis [GO:0045921]; presynaptic dense core vesicle exocytosis [GO:0099525]; protein transport [GO:0015031]; regulated exocytosis [GO:0045055]; synaptic vesicle priming [GO:0016082]; vesicle organization [GO:0016050]","GO:0005509; GO:0005546; GO:0006887; GO:0015031; GO:0016050; GO:0016082; GO:0019901; GO:0031045; GO:0031410; GO:0045055; GO:0045921; GO:0045956; GO:0050432; GO:0051649; GO:0098674; GO:0098793; GO:0098978; GO:0099525"
