"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X.1","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Peve_00001176","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",3330,1221915,"Cluster_9149",-0.781214490118773,0.429201023777014,0.978262075707395,174,-28.6,"2 20","356 378",19,"84.21%","89.47%"
"2","Peve_00001293","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",2897,1057080,"Cluster_9149",-0.492856672172889,0.671905378723263,0.978262075707395,144,-20.63,"2 14","466 488",13,"76.92%","84.62%"
"3","Peve_00003800","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",403,141110,"Cluster_10965",-0.853846084715342,0.348527910559181,0.978262075707395,151,-21.59,"2 17","888 912",18,"72.22%","77.78%"
"4","Peve_00004621","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",2134,776106,"Cluster_11134",-0.486166661370526,0.676789586704249,0.978262075707395,151,-22.66,"2 20","142 163",18,"66.67%","72.22%"
"5","Peve_00007720","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",1449,528705,"Cluster_16738",-0.688786809403726,0.516287212419881,0.978262075707395,174,-24.09,"2 21","175 195",19,"84.21%","89.47%"
"6","Peve_00009466","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",156,59002,"Cluster_2854",-0.845973210128434,0.358040470050356,0.978262075707395,157,-20.21,"2 21","45 67",21,"71.43%","80.95%"
"7","Peve_00010321","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",240,84522,"Cluster_4629",-0.554554668634826,0.625777256211528,0.978262075707395,145,-23.15,"2 20","900 926",23,"60.87%","73.91%"
"8","Peve_00011272","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",2994,1097694,"Cluster_4079",-0.730316314598218,0.478745351346636,0.978262075707395,167,-22.7,"2 17","524 547",17,"88.24%","88.24%"
"9","Peve_00012111","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",2066,753362,"Cluster_6904",-0.950273700713649,0.201606476953246,0.978262075707395,159,-21,"2 21","401 423",20,"70.00%","80.00%"
"10","Peve_00012111","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",2067,753362,"Cluster_6904",-0.950273700713649,0.201606476953246,0.978262075707395,159,-21,"2 21","701 723",20,"70.00%","80.00%"
"11","Peve_00012111","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",2068,753364,"Cluster_6906",-0.683623681548398,0.520805962170153,0.978262075707395,159,-20.6,"2 21","401 423",20,"70.00%","80.00%"
"12","Peve_00012111","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",2069,753364,"Cluster_6906",-0.683623681548398,0.520805962170153,0.978262075707395,159,-20.6,"2 21","701 723",20,"70.00%","80.00%"
"13","Peve_00014547","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",2519,917268,"Cluster_10061",-0.994674815384296,0.0657287492865934,0.978262075707395,167,-20.12,"2 21","581 603",20,"75.00%","85.00%"
"14","Peve_00015180","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",806,277030,"Cluster_4080",-0.409738447062385,0.731239938716994,0.984802736331943,157,-20.14,"2 21","79 101",21,"71.43%","80.95%"
"15","Peve_00015748","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",774,264339,"Cluster_4079",-0.999044377811527,0.0278338206502373,0.899469696283718,149,-22.68,"2 20","227 252",22,"68.18%","72.73%"
"16","Peve_00026446","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",271,101496,"Cluster_7053",-0.651871021090641,0.547968690754946,0.978262075707395,155,-20.25,"2 12","454 475",10,"100.00%","100.00%"
"17","Peve_00028602","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",2240,814451,"Cluster_14999",-0.385628098915349,0.747969567283086,0.988162023688381,175,-22,"2 20","375 396",18,"77.78%","94.44%"
"18","Peve_00029609","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",108,40682,"Cluster_589",-0.642203340279065,0.556040956302545,0.978262075707395,155,-23.41,"2 12","527 548",10,"100.00%","100.00%"
"19","Peve_00030827","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",1740,639531,"Cluster_11134",-0.298926150269215,0.806743148428903,0.995934364227446,164,-24.46,"2 21","485 506",19,"73.68%","78.95%"
"20","Peve_00030917","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",1500,547515,"Cluster_16738",-0.290399938539647,0.812423319196466,0.995934364227446,174,-24.09,"2 21","105 125",19,"84.21%","89.47%"
"21","Peve_00031577","GO:0001822","kidney development",9,3,0.66,0.022,"Biological Processes",1236,447846,"Cluster_2787",-0.699646228116051,0.506681914223417,0.978262075707395,157,-23.25,"2 17","520 541",16,"87.50%","87.50%"
