"","X.1","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"1",1,562,"Cluster_5981","FUN_028147",0.682553735869812,0.204170746585591,0.998649612991003,146,-22.19,"2 21","185 209",21,"66.67%","71.43%",NA,NA,NA,NA,NA,NA
"2",2,767,"Cluster_15340","FUN_013332",0.637106963313786,0.247639328065974,0.998649612991003,158,-23.15,"2 20","198 220",19,"68.42%","84.21%",NA,NA,NA,NA,NA,NA
"3",3,796,"Cluster_5981","FUN_041253",-0.225086871247346,0.715849193093627,0.998649612991003,153,-20.5,"2 21","699 719",19,"73.68%","73.68%",NA,NA,NA,NA,NA,NA
"4",4,1100,"Cluster_3366","FUN_010827",0.367100453028676,0.543314510733555,0.998649612991003,163,-22.14,"2 18","346 368",16,"81.25%","93.75%","ptg000007l:3284932-3304784","Q5ZKU4","Integrator complex subunit 2 (Int2)","Gallus gallus (Chicken)","snRNA 3'-end processing [GO:0034472]","GO:0031965; GO:0032039; GO:0034472"
"5",5,1101,"Cluster_3367","FUN_010827",0.536930377663939,0.350798710057061,0.998649612991003,163,-22.14,"2 18","346 368",16,"81.25%","93.75%","ptg000007l:3284932-3304784","Q5ZKU4","Integrator complex subunit 2 (Int2)","Gallus gallus (Chicken)","snRNA 3'-end processing [GO:0034472]","GO:0031965; GO:0032039; GO:0034472"
"6",6,2093,"Cluster_15340","FUN_003342",0.109621339796859,0.8607058214219,0.998649612991003,154,-20.65,"2 20","562 585",20,"65.00%","80.00%",NA,NA,NA,NA,NA,NA
"7",7,2509,"Cluster_5012","FUN_022172",0.0626971125530698,0.920223887814174,0.998649612991003,148,-21.05,"2 20","253 277",23,"65.22%","73.91%",NA,NA,NA,NA,NA,NA
"8",8,2732,"Cluster_1832","FUN_022178",-0.0299702136637902,0.961846452097585,0.998649612991003,173,-22.07,"2 18","557 577",16,"81.25%","100.00%","ptg000016l:6014001-6014952","P09019","Homeobox protein Hox-B5 (Xhox-1B) (XlHbox-4)","Xenopus laevis (African clawed frog)","","GO:0000981; GO:0003677; GO:0005634"
"9",9,3385,"Cluster_15928","FUN_009931",0.274931638951159,0.654407510817774,0.998649612991003,172,-28.13,"2 21","161 182",19,"73.68%","89.47%","ptg000004l:13266425-13276358","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"10",10,3508,"Cluster_18728","FUN_009936",-0.0156933474781461,0.980019429605182,0.998649612991003,151,-24.2,"2 12","50 71",10,"90.00%","100.00%",NA,NA,NA,NA,NA,NA
"11",11,4004,"Cluster_15340","FUN_032353",0.177774782321261,0.774848089369129,0.998649612991003,155,-22,"2 21","931 955",22,"68.18%","72.73%",NA,NA,NA,NA,NA,NA
"12",12,4501,"Cluster_5981","FUN_038718",0.365460147321754,0.545257871168856,0.998649612991003,152,-23.12,"2 21","745 765",19,"73.68%","78.95%",NA,NA,NA,NA,NA,NA
"13",13,4667,"Cluster_15340","FUN_028921",-0.064876952510843,0.91745408205935,0.998649612991003,162,-21.5,"2 21","130 154",22,"72.73%","81.82%",NA,NA,NA,NA,NA,NA
"14",14,4717,"Cluster_18728","FUN_028920",0.610006615820625,0.274612552616899,0.998649612991003,159,-20.89,"2 16","497 518",14,"85.71%","85.71%",NA,NA,NA,NA,NA,NA
"15",15,5181,"Cluster_17776","FUN_011224",-0.567413208615718,0.318442605892392,0.998649612991003,153,-25.5,"2 15","502 524",14,"85.71%","85.71%",NA,NA,NA,NA,NA,NA
"16",16,5848,"Cluster_18728","FUN_025430",0.159802422332245,0.797402566495713,0.998649612991003,157,-24.27,"2 15","154 177",15,"86.67%","86.67%","ptg000019l:2504704-2608286","Q3ZBV2","ATP-dependent RNA helicase DDX19A (EC 3.6.4.13) (DEAD box protein 19A)","Bos taurus (Bovine)","poly(A)+ mRNA export from nucleus [GO:0016973]","GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0010494; GO:0016887; GO:0016973"
"17",17,5921,"Cluster_16409","FUN_020848",-0.443608069463593,0.454295025254346,0.998649612991003,170,-23.37,"2 20","540 562",19,"78.95%","89.47%",NA,NA,NA,NA,NA,NA
"18",18,6199,"Cluster_18728","FUN_022994",0.0931818687097166,0.881529077429151,0.998649612991003,143,-22.64,"2 12","243 264",10,"80.00%","90.00%",NA,NA,NA,NA,NA,NA
"19",19,6595,"Cluster_1951","FUN_012148",-0.749613034886426,0.144619610809357,0.998649612991003,171,-20.48,"2 21","680 703",21,"76.19%","85.71%",NA,NA,NA,NA,NA,NA
"20",20,6763,"Cluster_5981","FUN_012147",0.677352537556959,0.209026618350687,0.998649612991003,168,-28.4,"2 22","109 132",21,"71.43%","85.71%",NA,NA,NA,NA,NA,NA
"21",21,6901,"Cluster_18728","FUN_011050",0.0809170724326444,0.897085723474687,0.998649612991003,157,-26.06,"2 16","690 710",14,"85.71%","92.86%","ptg000007l:5847377-5895797","Q9JK25","CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 170) (CLIP-170) (Restin)","Rattus norvegicus (Rat)","cytoplasmic microtubule organization [GO:0031122]; microtubule bundle formation [GO:0001578]; positive regulation of dendrite development [GO:1900006]; positive regulation of microtubule polymerization [GO:0031116]; protein transport into plasma membrane raft [GO:0044861]","GO:0001578; GO:0001726; GO:0005634; GO:0005635; GO:0005737; GO:0005813; GO:0005874; GO:0005881; GO:0008017; GO:0008270; GO:0015630; GO:0015631; GO:0016020; GO:0030659; GO:0031116; GO:0031122; GO:0035371; GO:0044861; GO:0051010; GO:1900006"
"22",22,7963,"Cluster_3250","FUN_005144",-0.294876168865974,0.630066258134949,0.998649612991003,176,-24.67,"2 21","886 907",19,"78.95%","89.47%",NA,NA,NA,NA,NA,NA
"23",23,8372,"Cluster_15340","FUN_009542",0.164908820986767,0.790987167273334,0.998649612991003,165,-21.28,"2 20","376 396",18,"83.33%","83.33%",NA,NA,NA,NA,NA,NA
"24",24,8652,"Cluster_17776","FUN_009545",0.185479658457039,0.765201129708606,0.998649612991003,157,-26.99,"2 14","930 951",12,"83.33%","100.00%","ptg000004l:8344037-8347797","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"25",25,9285,"Cluster_1862","FUN_022430",0.0370903213695475,0.952785966151581,0.998649612991003,171,-25.31,"2 23","719 745",24,"75.00%","87.50%",NA,NA,NA,NA,NA,NA
"26",26,9301,"Cluster_10093","FUN_022430",0.115478970818314,0.853295053696592,0.998649612991003,169,-20.25,"2 19","260 282",18,"83.33%","88.89%",NA,NA,NA,NA,NA,NA
"27",27,9402,"Cluster_1862","FUN_039839",-0.561615998222225,0.324535231329676,0.998649612991003,161,-20.32,"2 23","427 451",22,"68.18%","77.27%",NA,NA,NA,NA,NA,NA
