"target","protein_name","gene_name","std_gene_name","species","accession","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"FUN_004714-T1","DIS3-like exonuclease 1","Dis3l","DIS3L","Stylophora pistillata","A0A2B4RZH6",68.786,1054,256,7,1,982,1,1053,0,1493
"FUN_004714-T1","DIS3-like exonuclease 1","pdam_00009030","DIS3L","Pocillopora damicornis","A0A3M6T9B7",72.365,1053,285,5,165,1215,5,1053,0,1597
"FUN_004714-T1","DIS3-like exonuclease 1","LOC116305674","DIS3L","Actinia tenebrosa","A0A6P8IWP8",62.03,1064,381,10,1,1052,1,1053,0,1362
"FUN_004714-T1","DIS3-like exonuclease 1","DIS3L OS=Clytia hemisphaerica OX=252671","DIS3L","Clytia hemisphaerica","A0A7M5X8U0",47.664,1070,534,14,2,1061,1,1054,0,1002
"FUN_004714-T1","DIS3-like exonuclease 1","DIS3L OS=Exaiptasia diaphana OX=2652724","DIS3L","Exaiptasia diaphana","A0A913XIF9",62.004,1058,393,6,1,1053,1,1054,0,1377
"FUN_004714-T1","DIS3-like exonuclease 1","P5673_007777","DIS3L","Acropora cervicornis","A0AAD9VBE9",80.114,1056,17,8,1,863,1,1056,0,1652
"FUN_004714-T1","DIS3-like exonuclease 1","PMEA_00010508","DIS3L","Pocillopora meandrina","A0AAU9VML6",75.996,1054,250,3,1,1052,1,1053,0,1709
"FUN_004714-T1","DIS3-like exonuclease 1","NEMVEDRAFT_v1g107726","DIS3L","Nematostella vectensis","A7S7H2",59.564,1056,414,8,1,1047,1,1052,0,1308
"FUN_013145-T1","Exosome complex component 10","pdam_00003117","EXOSC10","Pocillopora damicornis","A0A3M6T9L7",65.143,875,274,12,1,869,9,858,0,1130
"FUN_013145-T1","Exosome complex component 10","LOC116289250","EXOSC10","Actinia tenebrosa","A0A6P8H6I1",50.674,742,312,15,6,727,151,858,0,712
"FUN_013145-T1","Exosome complex component 10","LOC116303017","EXOSC10","Actinia tenebrosa","A0A6P8IPB7",52.666,769,334,13,13,760,24,783,0,785
"FUN_013145-T1","Exosome complex component 10","PACLA_8A054231","EXOSC10","Paramuricea clavata","A0A6S7JXZ3",47.423,873,393,17,1,841,9,847,0,752
"FUN_013145-T1","Exosome complex component 10","EXOSC10 OS=Clytia hemisphaerica OX=252671","EXOSC10","Clytia hemisphaerica","A0A7M5X161",41.253,846,432,17,1,792,9,843,0,625
"FUN_013145-T1","Exosome complex component 10","EXOSC10 OS=Clytia hemisphaerica OX=252671","EXOSC10","Clytia hemisphaerica","A0A7M5X1L0",41.156,848,432,18,1,794,9,843,0,621
"FUN_013145-T1","Exosome complex component 10","EXOSC10 OS=Exaiptasia diaphana OX=2652724","EXOSC10","Exaiptasia diaphana","A0A913YD70",52.091,574,240,9,1,558,207,761,0,574
"FUN_013145-T1","Exosome complex component 10","PMEA_00016072","EXOSC10","Pocillopora meandrina","A0AAU9X394",65.486,875,271,12,1,869,9,858,0,1139
"FUN_013145-T1","Exosome complex component 10 homolog","EXOSC10","EXOSC10","Hydra vulgaris","T2ME73",40.745,832,405,19,4,756,21,843,0,560
"FUN_013145-T1","Exosome complex component 10 isoform X2","LOC100209380","EXOSC10","Hydra vulgaris","A0ABM4CIG1",40.499,842,401,19,366,1122,17,843,0,561
"FUN_023643-T1","Exosome complex component CSL4","EXOSC1","EXOSC1","Hydra vulgaris","T2M320",61.481,135,51,1,58,192,48,181,6.17e-54,170
"FUN_032193-T1","Exosome complex component MTR3","LOC116290412","EXOSC6","Actinia tenebrosa","A0A6P8HE33",55.682,264,117,0,3,266,2,265,4.34e-109,316
"FUN_032193-T1","Exosome complex component MTR3-like","PACLA_8A000183","EXOSC6","Paramuricea clavata","A0A6S7GJ09",48.889,135,67,1,1,135,1,133,3.76e-42,141
"FUN_032193-T1","Exosome complex component MTR3","EXOSC6 OS=Exaiptasia diaphana OX=2652724","EXOSC6","Exaiptasia diaphana","A0A913WZJ6",54.717,265,120,0,3,267,2,266,1e-105,307
"FUN_032193-T1","Exosome complex component MTR3","P5673_017063","EXOSC6","Acropora cervicornis","A0AAD9V3T6",81.967,122,0,1,32,131,76,197,1.11e-61,191
"FUN_032193-T1","Exosome complex component MTR3","PMEA_00019616","EXOSC6","Pocillopora meandrina","A0AAU9X9S1",73.585,265,70,0,1,265,1,265,3.15e-150,420
"FUN_032193-T1","Exosome complex component MTR3 isoform X2","LOC100207150","EXOSC6","Hydra vulgaris","A0ABM4C6I8",41.379,261,143,5,1,256,1,256,4.73e-66,206
"FUN_032193-T1","Exosome complex component MTR3","NEMVEDRAFT_v1g180736","EXOSC6","Nematostella vectensis","A7RQ94",58.687,259,107,0,1,259,1,259,3.46e-116,334
"FUN_023943-T1","Exosome complex component RRP45","Exosc9","EXOSC9","Stylophora pistillata","A0A2B4RAA2",81.818,198,36,0,33,230,51,248,2.7e-119,350
"FUN_008428-T1","Exosome complex component RRP46","Exosc5","EXOSC5","Stylophora pistillata","A0A2B4RF23",61.682,214,35,1,20,233,1,167,2.62e-86,253
"FUN_039874-T1","Exosome complex component RRP4","Exosc2","EXOSC2","Stylophora pistillata","A0A2B4S5V0",83.502,297,49,0,1,297,1,297,0,513
"FUN_004375-T1","Exosome complex component RRP40","exosc3","EXOSC3","Stylophora pistillata","A0A2B4SR58",73.967,242,61,1,1,242,1,240,3.83e-136,382
"FUN_023943-T2","Exosome complex component RRP45","pdam_00009552","EXOSC9","Pocillopora damicornis","A0A3M6UQC0",66.818,440,142,2,1,436,1,440,0,596
"FUN_039874-T1","Exosome complex component RRP4","pdam_00007007","EXOSC2","Pocillopora damicornis","A0A3M6UUQ1",82.492,297,52,0,1,297,1,297,0,509
"FUN_008428-T1","Exosome complex component RRP46","pdam_00007805","EXOSC5","Pocillopora damicornis","A0A3M6V4C8",63.084,214,32,1,20,233,1,167,3.77e-89,260
"FUN_023943-T1","Exosome complex component RRP45","LOC116300293","EXOSC9","Actinia tenebrosa","A0A6P8IEZ0",72.059,204,57,0,1,204,1,204,1.51e-113,329
"FUN_039874-T1","Exosome complex component RRP4","LOC116303449","EXOSC2","Actinia tenebrosa","A0A6P8IPQ4",70.946,296,86,0,1,296,1,296,2.88e-159,445
"FUN_004375-T1","Exosome complex component RRP40","LOC116304424","EXOSC3","Actinia tenebrosa","A0A6P8IV31",65.948,232,78,1,6,237,10,240,1.82e-118,337
"FUN_004375-T1","Exosome complex component RRP40","PACLA_8A022679","EXOSC3","Paramuricea clavata","A0A6S7G1C4",53.68,231,107,0,11,241,10,240,2.02e-90,266
"FUN_024561-T1","Exosome complex component RRP43","PACLA_8A023843","EXOSC2","Paramuricea clavata","A0A6S7HA05",54.074,135,61,1,1,135,141,274,6.3e-45,147
"FUN_039874-T1","Exosome complex component RRP4","PACLA_8A071563","EXOSC2","Paramuricea clavata","A0A6S7J9K2",68.692,214,63,1,3,216,2,211,2.4e-107,311
"FUN_024561-T1","Exosome complex component RRP43, partial","PACLA_8A023843","EXOSC2","Paramuricea clavata","A0A7D9I466",55.484,155,68,1,2,156,121,274,7.5e-56,176
"FUN_024561-T1","Exosome complex component RRP43","PACLA_8A023843","EXOSC2","Paramuricea clavata","A0A7D9I844",60.331,121,48,0,2,122,121,241,5.3e-47,153
"FUN_023943-T1","Exosome complex component RRP45","PACLA_8A072350","EXOSC9","Paramuricea clavata","A0A7D9L738",65.827,278,95,0,1,278,1,278,9.05e-137,392
"FUN_023943-T1","Exosome complex component RRP45","EXOSC9 OS=Clytia hemisphaerica OX=252671","EXOSC9","Clytia hemisphaerica","A0A7M5WMX1",46.579,380,188,6,1,379,1,366,1.35e-114,342
"FUN_008428-T1","Exosome complex component RRP46","EXOSC5 OS=Exaiptasia diaphana OX=2652724","EXOSC5","Exaiptasia diaphana","A0A913XB37",46.635,208,64,1,14,221,1,161,4.02e-62,191
"FUN_039874-T1","Exosome complex component RRP4","EXOSC2 OS=Exaiptasia diaphana OX=2652724","EXOSC2","Exaiptasia diaphana","A0A913XN19",72.297,296,81,1,1,295,1,296,2.26e-161,451
"FUN_023943-T2","Exosome complex component RRP45","EXOSC9 OS=Exaiptasia diaphana OX=2652724","EXOSC9","Exaiptasia diaphana","A0A913Y5G0",59.382,453,162,7,7,441,1,449,0,529
"FUN_004375-T1","Exosome complex component RRP40","EXOSC3 OS=Exaiptasia diaphana OX=2652724","EXOSC3","Exaiptasia diaphana","A0A913Y852",64.629,229,81,0,9,237,12,240,1.05e-117,335
"FUN_023943-T2","Exosome complex component RRP45","EXOSC9 OS=Exaiptasia diaphana OX=2652724","EXOSC9","Exaiptasia diaphana","A0A913YV10",59.471,454,163,6,7,444,1,449,0,529
"FUN_022663-T1","Exosome complex component RRP41","EXOSC4","EXOSC4","Desmophyllum pertusum","A0A9W9YAL0",96.8,125,4,0,1,125,1,125,4.27e-86,254
"FUN_023943-T2","Exosome complex component RRP45","EXOSC9","EXOSC9","Desmophyllum pertusum","A0A9W9YLS2",75.19,395,92,4,1,392,1,392,0,608
"FUN_039874-T1","Exosome complex component RRP4","EXOSC2","EXOSC2","Desmophyllum pertusum","A0A9X0CGQ7",85.281,231,33,1,1,230,1,231,5.02e-148,414
"FUN_023943-T2","Exosome complex component RRP45","P5673_013236","EXOSC9","Acropora cervicornis","A0AAD9QLH6",99.51,204,1,0,1,204,1,204,1.71e-150,425
"FUN_004375-T1","Exosome complex component RRP40","P5673_005421","EXOSC3","Acropora cervicornis","A0AAD9QY03",99.167,240,2,0,1,240,1,240,1.32e-178,489
"FUN_039874-T1","Exosome complex component RRP4","P5673_022786","EXOSC2","Acropora cervicornis","A0AAD9UZC1",90.031,321,6,2,1,318,1,298,0,574
"FUN_039874-T1","Exosome complex component RRP4","PMEA_00021516","EXOSC2","Pocillopora meandrina","A0AAU9VU96",82.155,297,53,0,1,297,1,297,0,509
"FUN_008428-T1","Exosome complex component RRP46","PMEA_00031659","EXOSC5","Pocillopora meandrina","A0AAU9VZK7",63.084,214,32,1,20,233,1,167,3.94e-89,260
"FUN_023943-T2","Exosome complex component RRP45","PMEA_00012340","EXOSC9","Pocillopora meandrina","A0AAU9WU01",64.238,453,142,3,384,832,4,440,0,578
"FUN_004375-T1","Exosome complex component RRP40","PMEA_00013752","EXOSC3","Pocillopora meandrina","A0AAU9WXP4",72.917,240,65,0,1,240,1,240,2.69e-135,380
"FUN_022663-T1","Exosome complex component RRP41","LOC100202311","EXOSC4","Hydra vulgaris","A0ABM4BSR1",65.086,232,81,0,1,232,1,232,1.03e-117,336
"FUN_023943-T2","Exosome complex component RRP45","LOC100212566","EXOSC9","Hydra vulgaris","A0ABM4D7J1",43.192,426,210,3,1,397,1,423,8.48e-119,354
"FUN_023943-T2","Exosome complex component RRP45","PLOB_00043031","EXOSC9","Porites lobata","A0ABN8N3W7",70.889,450,126,4,24,471,1,447,0,656
"FUN_008428-T1","Exosome complex component RRP46","PEVE_00009801","EXOSC5","Porites evermanni","A0ABN8R6C4",64.019,214,30,1,20,233,1,167,1.19e-91,266
"FUN_023943-T2","Exosome complex component RRP45","PEVE_00023222","EXOSC9","Porites evermanni","A0ABN8SQP2",71.141,447,123,4,24,468,1,443,0,652
