"miRNA_cluster"	"miRNA_location"	"mRNA_FUNid"	"mRNA_location"	"score"	"energy"	"miRNA_start"	"miRNA_end"	"target_start"	"target_end"	"aln_length"	"subject_identity"	"Qquery_identity"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_000580"	"ntLink_6:4580655-4581655"	162	-20.38	2	21	11	31	19	"73.68%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_000640"	"ntLink_6:5278186-5279186"	156	-20.16	2	17	132	153	15	"73.33%"	"86.67%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_001049"	"ntLink_6:7885174-7886174"	169	-23.61	2	20	195	218	20	"80.00%"	"90.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_001564"	"ntLink_6:13794539-13795539"	163	-21.78	2	16	237	258	14	"85.71%"	"92.86%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_002479"	"ntLink_8:2255969-2256969"	166	-24.91	2	21	413	433	19	"73.68%"	"89.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_002556"	"ntLink_8:3610299-3611299"	159	-22.63	2	21	537	559	20	"65.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_002557"	"ntLink_8:3610744-3611744"	159	-22.63	2	21	92	114	20	"65.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_002849"	"ntLink_8:6882212-6883212"	158	-21.97	2	21	278	301	21	"66.67%"	"85.71%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_004284"	"ntLink_8:21502480-21503480"	158	-20.07	2	16	562	584	15	"80.00%"	"93.33%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_004395"	"ntLink_8:22747564-22748564"	155	-23.67	2	21	865	887	20	"70.00%"	"75.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_004740"	"ntLink_8:26404465-26405465"	149	-21.57	2	21	518	539	20	"65.00%"	"80.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_006330"	"ptg000001l:10958762-10959762"	161	-21.8	2	21	374	393	19	"78.95%"	"78.95%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_006757"	"ptg000001l:16281539-16282539"	164	-20.66	2	18	563	585	17	"82.35%"	"88.24%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_006976"	"ptg000001l:18938389-18939389"	159	-21.14	2	20	215	234	18	"83.33%"	"83.33%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_007035"	"ptg000001l:19591128-19592128"	152	-20.86	2	21	299	320	19	"63.16%"	"73.68%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_007155"	"ptg000001l:21076775-21077775"	165	-24.62	2	19	896	918	18	"77.78%"	"88.89%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_007609"	"ptg000002l:2414366-2415366"	165	-22.11	2	19	612	634	18	"77.78%"	"88.89%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_008731"	"ptg000002l:14926166-14927166"	155	-21.24	2	12	511	532	10	"100.00%"	"100.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_009531"	"ptg000004l:8121992-8122992"	148	-22.36	2	13	761	782	11	"81.82%"	"90.91%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_011339"	"ptg000007l:9020630-9021630"	158	-20.54	2	15	592	613	13	"84.62%"	"92.31%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_012264"	"ptg000008l:7017576-7018576"	162	-23.1	2	20	898	921	20	"70.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_012265"	"ptg000008l:7017762-7018762"	162	-23.1	2	20	712	735	20	"70.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013770"	"ptg000008l:26446111-26447111"	160	-21.17	2	18	531	553	17	"82.35%"	"82.35%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013771"	"ptg000008l:26479222-26480222"	152	-21.17	2	18	385	407	17	"76.47%"	"76.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013777"	"ptg000008l:26600403-26601403"	152	-22.29	2	18	250	272	17	"76.47%"	"76.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013799"	"ptg000008l:26972150-26973150"	152	-22.29	2	18	370	392	17	"76.47%"	"76.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013801"	"ptg000008l:27023321-27024321"	152	-22.29	2	18	370	392	17	"76.47%"	"76.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013844"	"ptg000008l:27582928-27583928"	152	-22.29	2	18	374	396	17	"76.47%"	"76.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013859"	"ptg000008l:27876166-27877166"	161	-21.64	2	19	843	865	18	"77.78%"	"83.33%"
