,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value
1,peve-mir-novel-35,Peve_00027432,3UTR,Peve_00027432;2 21;242 264,-20.62,22,72.73%,77.27%,-0.99995514319204,0.99995514319204,-1,0.00602991134659825
2,peve-mir-novel-24,Peve_00008275,3UTR,Peve_00008275;2 20;190 211,-24.67,18,66.67%,83.33%,1,1,1,0
3,peve-mir-100,Peve_00008279,3UTR,Peve_00008279;2 20;557 582,-21.82,22,63.64%,68.18%,0.999909726776791,0.999909726776791,1,0.00855416971793915
4,peve-mir-novel-24,Peve_00034585,3UTR,Peve_00034585;2 12;409 430,-22.51,10,80.00%,100.00%,1,1,1,9.48637384723993e-09
5,peve-mir-novel-40,Peve_00023739,3UTR,Peve_00023739;2 20;334 359,-22.98,22,72.73%,77.27%,0.999976082283725,0.999976082283725,1,0.004403072548434
6,peve-mir-100,Peve_00027965,3UTR,Peve_00027965;2 18;436 460,-23.67,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389
7,peve-mir-novel-24,Peve_00032772,3UTR,Peve_00032772;2 14;548 569,-20.73,12,66.67%,83.33%,1,1,1,9.48637384723993e-09
8,peve-mir-100,Peve_00023767,3UTR,Peve_00023767;2 21;87 107,-20.46,19,73.68%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389
9,peve-mir-novel-8,Peve_00017580,3UTR,Peve_00017580;2 20;777 798,-21.45,18,77.78%,83.33%,-0.999998957645573,0.999998957645573,-1,0.000919184867929113
10,peve-mir-100,Peve_00043419,3UTR,Peve_00043419;2 20;290 312,-20.65,19,73.68%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389
11,peve-mir-novel-24,Peve_00006544,3UTR,Peve_00006544;2 10;1 16,-20.18,8,100.00%,100.00%,0.999971585054582,0.999971585054582,1,0.00479920788265011
12,peve-mir-100,Peve_00004995,3UTR,Peve_00004995;2 11;93 114,-20.57,9,88.89%,88.89%,0.999909726776791,0.999909726776791,1,0.00855416971793389
13,peve-mir-100,Peve_00041754,3UTR,Peve_00041754;2 11;782 803,-20.26,9,88.89%,88.89%,0.999909726776791,0.999909726776791,1,0.00855416971793389
14,peve-mir-100,Peve_00031993,3UTR,Peve_00031993;2 20;269 290,-22.03,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793915
15,peve-mir-100,Peve_00024388,3UTR,Peve_00024388;2 12;579 600,-23.33,10,90.00%,100.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389
16,peve-mir-novel-8,Peve_00031324,3UTR,Peve_00031324;2 20;9 30,-20.17,18,77.78%,88.89%,0.999992290678624,0.999992290678624,1,0.00249978970397961
17,peve-mir-2023,Peve_00006285,3UTR,Peve_00006285;2 20;107 128,-20.29,19,73.68%,78.95%,0.999973885825882,0.999973885825882,1,0.00460080910062486
18,peve-mir-novel-42,Peve_00032724,3UTR,Peve_00032724;2 18;554 575,-21.23,16,87.50%,87.50%,0.999974190676381,0.999974190676381,1,0.00457387578916138
19,peve-mir-100,Peve_00043468,3UTR,Peve_00043468;2 21;742 764,-21.49,20,70.00%,75.00%,0.999909726776791,0.999909726776791,1,0.00855416971793915
20,peve-mir-novel-24,Peve_00008133,3UTR,Peve_00008133;2 20;190 209,-20.98,18,83.33%,83.33%,-0.999965637301935,0.999965637301935,-1,0.00527764279292991
21,peve-mir-novel-35,Peve_00030612,3UTR,Peve_00030612;2 21;67 89,-23.05,20,70.00%,80.00%,1,1,1,1.34157585525081e-08
22,peve-mir-novel-34,Peve_00006413,3UTR,Peve_00006413;2 21;758 783,-21.66,23,73.91%,78.26%,-0.999945819357893,0.999945819357893,-1,0.0066270333402645
23,peve-mir-100,Peve_00013947,3UTR,Peve_00013947;2 12;681 701,-21.45,10,90.00%,90.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389
24,peve-mir-novel-24,Peve_00043123,3UTR,Peve_00043123;2 21;803 824,-23.58,20,75.00%,80.00%,1,1,1,0
25,peve-mir-novel-40,Peve_00021216,3UTR,Peve_00021216;2 20;190 209,-20.4,18,72.22%,83.33%,0.999962448044095,0.999962448044095,1,0.00551712420276166
26,peve-mir-100,Peve_00015043,3UTR,Peve_00015043;2 21;395 419,-29.94,22,68.18%,72.73%,0.999909726776791,0.999909726776791,1,0.00855416971793915
27,peve-mir-novel-10,Peve_00011858,3UTR,Peve_00011858;2 21;146 170,-22.01,22,77.27%,77.27%,-0.999998482798634,0.999998482798634,-1,0.00110896231522268
28,peve-mir-novel-10,Peve_00011858,3UTR,Peve_00011858;2 21;586 610,-22.01,22,77.27%,77.27%,-0.999998482798634,0.999998482798634,-1,0.00110896231522268
29,peve-mir-100,Peve_00029393,3UTR,Peve_00029393;2 20;154 174,-22.43,18,72.22%,72.22%,0.999909726776791,0.999909726776791,1,0.00855416971793389
30,peve-mir-novel-39,Peve_00039724,3UTR,Peve_00039724;2 19;175 197,-22.45,18,72.22%,88.89%,-0.999918519895221,0.999918519895221,-1,0.0081268802250093
31,peve-mir-novel-35,Peve_00007613,3UTR,Peve_00007613;2 15;292 315,-20.89,15,86.67%,86.67%,0.999883443510219,0.999883443510219,1,0.00972002918842882
32,peve-mir-novel-3,Peve_00023049,3UTR,Peve_00023049;2 21;271 297,-21.71,24,62.50%,70.83%,0.9999733342158,0.9999733342158,1,0.00464914686852433
33,peve-mir-novel-24,Peve_00021224,3UTR,Peve_00021224;2 18;333 357,-21.08,19,68.42%,68.42%,1,1,1,0
34,peve-mir-novel-22,Peve_00025328,3UTR,Peve_00025328;2 20;922 939,-22.08,18,77.78%,83.33%,0.999964597582385,0.999964597582385,1,0.00535689165213977
35,peve-mir-novel-24,Peve_00026910,3UTR,Peve_00026910;2 19;663 685,-22,18,83.33%,83.33%,1,1,1,0
36,peve-mir-novel-24,Peve_00012722,3UTR,Peve_00012722;2 15;768 788,-25.13,13,84.62%,92.31%,1,1,1,0
37,peve-mir-novel-38,Peve_00011733,3UTR,Peve_00011733;2 21;10 31,-20.57,20,80.00%,90.00%,0.99999477106698,0.99999477106698,1,0.00205874164373314
38,peve-mir-novel-24,Peve_00004871,3UTR,Peve_00004871;2 12;622 643,-21.53,10,80.00%,100.00%,1,1,1,0
39,peve-mir-novel-35,Peve_00014069,3UTR,Peve_00014069;2 20;861 888,-23.14,24,66.67%,70.83%,1,1,1,9.48637384723993e-09
40,peve-mir-novel-40,Peve_00013531,3UTR,Peve_00013531;2 21;596 617,-25.43,19,84.21%,84.21%,-0.999994747981342,0.999994747981342,-1,0.00206328129499564
41,peve-mir-2036,Peve_00029721,3UTR,Peve_00029721;2 21;925 945,-22.23,19,84.21%,89.47%,0.999970783906393,0.999970783906393,1,0.00486639381889994
42,peve-mir-novel-36,Peve_00032829,3UTR,Peve_00032829;2 21;284 304,-22.12,19,73.68%,84.21%,-0.999967287119389,0.999967287119389,-1,0.00514938897746555
43,peve-mir-100,Peve_00043521,3UTR,Peve_00043521;2 21;190 214,-23.91,22,63.64%,72.73%,0.999909606796706,0.999909606796706,1,0.00855985249202504
44,peve-mir-novel-40,Peve_00001444,3UTR,Peve_00001444;2 21;203 228,-21.78,23,69.57%,78.26%,0.999962776498024,0.999962776498024,1,0.00549294287464855
45,peve-mir-novel-24,Peve_00040370,3UTR,Peve_00040370;2 19;356 380,-25.16,20,75.00%,80.00%,1,1,1,0
46,peve-mir-novel-24,Peve_00000334,3UTR,Peve_00000334;2 21;482 502,-28.39,19,73.68%,84.21%,1,1,1,0
47,peve-mir-100,Peve_00008498,3UTR,Peve_00008498;2 21;811 830,-22.35,19,68.42%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793915
48,peve-mir-novel-11,Peve_00037304,3UTR,Peve_00037304;2 18;62 87,-24.43,20,70.00%,80.00%,0.99999940598563,0.99999940598563,1,0.000693894776259953
49,peve-mir-2023,Peve_00007832,3UTR,Peve_00007832;2 20;603 625,-25.93,20,80.00%,85.00%,-0.999985569263183,0.999985569263183,-1,0.00342010859677409
50,peve-mir-novel-30,Peve_00002105,3UTR,Peve_00002105;2 19;607 630,-20.4,19,68.42%,78.95%,0.999968584764073,0.999968584764073,1,0.00504622278903583
51,peve-mir-100,Peve_00000213,3UTR,Peve_00000213;2 21;370 395,-21.79,23,60.87%,65.22%,0.999909726776791,0.999909726776791,1,0.00855416971793915
52,peve-mir-novel-3,Peve_00038927,3UTR,Peve_00038927;2 20;939 958,-21.21,18,83.33%,83.33%,0.999994129428633,0.999994129428633,1,0.00218140105711895
53,peve-mir-novel-24,Peve_00020364,3UTR,Peve_00020364;2 14;333 355,-20.73,13,76.92%,92.31%,1,1,1,0
54,peve-mir-100,Peve_00006941,3UTR,Peve_00006941;2 21;29 48,-20.61,19,63.16%,84.21%,0.999909726776791,0.999909726776791,1,0.00855416971793915
55,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00016785,3UTR,Peve_00016785;2 17;770 790,-24.85,15,86.67%,93.33%,-0.99999862897499,0.99999862897499,-1,0.0010541874922422
56,peve-mir-novel-40,Peve_00038025,3UTR,Peve_00038025;2 21;561 583,-20.06,21,76.19%,76.19%,0.999962448044095,0.999962448044095,1,0.00551712420276166
57,peve-mir-100,Peve_00028838,3UTR,Peve_00028838;2 20;439 461,-24.63,19,68.42%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793915
58,peve-mir-novel-7,Peve_00044680,3UTR,Peve_00044680;2 21;269 291,-20.12,20,60.00%,85.00%,0.999969908751759,0.999969908751759,1,0.00493874168584727
59,peve-mir-novel-2,Peve_00026462,3UTR,Peve_00026462;2 21;265 286,-21.22,19,68.42%,73.68%,-0.999999797342096,0.999999797342096,-1,0.00040530027750834
60,peve-mir-novel-24,Peve_00038441,3UTR,Peve_00038441;2 12;945 966,-23.7,10,80.00%,90.00%,1,1,1,0
61,peve-mir-100,Peve_00042442,3UTR,Peve_00042442;2 14;426 447,-21.05,12,83.33%,83.33%,0.999909726776791,0.999909726776791,1,0.00855416971793915
62,peve-mir-novel-24,Peve_00014601,3UTR,Peve_00014601;2 21;899 920,-22.38,19,63.16%,78.95%,1,1,1,0
63,peve-mir-novel-35,Peve_00034555,3UTR,Peve_00034555;2 20;598 619,-20.04,18,83.33%,83.33%,0.999999835926399,0.999999835926399,1,0.000364682128698326
64,peve-mir-novel-36,Peve_00027583,3UTR,Peve_00027583;2 21;702 726,-22.27,22,77.27%,81.82%,-0.999998513833777,0.999998513833777,-1,0.00109756150847525
65,peve-mir-novel-24,Peve_00032177,3UTR,Peve_00032177;2 18;853 876,-22.28,18,77.78%,77.78%,1,1,1,9.48637384723993e-09
66,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00039844,3UTR,Peve_00039844;2 21;24 48,-23.05,22,63.64%,77.27%,0.999999795128444,0.999999795128444,1,0.000407507833291957
67,peve-mir-novel-42,Peve_00010457,3UTR,Peve_00010457;2 21;323 343,-23.26,19,73.68%,89.47%,0.999924418203837,0.999924418203837,1,0.00782720053096207
68,peve-mir-novel-21,Peve_00003756,3UTR,Peve_00003756;2 20;549 570,-21.23,19,68.42%,78.95%,-0.999888656727405,0.999888656727405,-1,0.00950016485251684
69,peve-mir-novel-35,Peve_00033678,3UTR,Peve_00033678;2 18;144 166,-20.13,17,88.24%,88.24%,0.999904013014523,0.999904013014523,1,0.0088207349235263
70,peve-mir-novel-24,Peve_00041933,3UTR,Peve_00041933;2 16;888 909,-21.67,14,71.43%,71.43%,1,1,1,0
71,peve-mir-novel-11,Peve_00026202,3UTR,Peve_00026202;2 21;946 968,-23.8,20,70.00%,80.00%,0.99999940598563,0.99999940598563,1,0.000693894776195108
