,id,type
1,peve-mir-novel-35,miRNA
2,peve-mir-novel-10,miRNA
3,peve-mir-100,miRNA
4,peve-mir-novel-3,miRNA
5,peve-mir-novel-41,miRNA
6,peve-mir-novel-36,miRNA
7,peve-mir-novel-24,miRNA
8,peve-mir-novel-14a; peve-mir-novel-14b,miRNA
9,peve-mir-novel-15,miRNA
10,peve-mir-novel-9,miRNA
11,peve-mir-novel-40,miRNA
12,peve-mir-novel-8,miRNA
13,peve-mir-novel-30,miRNA
14,peve-mir-novel-39,miRNA
15,peve-mir-2025,miRNA
16,peve-mir-novel-2,miRNA
17,peve-mir-novel-13,miRNA
18,peve-mir-novel-20,miRNA
19,peve-mir-novel-7,miRNA
20,peve-mir-novel-28,miRNA
21,peve-mir-2023,miRNA
22,peve-mir-novel-11,miRNA
23,peve-mir-novel-42,miRNA
24,peve-mir-novel-27,miRNA
25,peve-mir-novel-16,miRNA
26,peve-mir-novel-34,miRNA
27,peve-mir-novel-31,miRNA
28,peve-mir-novel-22,miRNA
29,peve-mir-novel-17a; peve-mir-novel-17b,miRNA
30,peve-mir-novel-38,miRNA
31,peve-mir-2036,miRNA
32,peve-mir-novel-23,miRNA
33,peve-mir-novel-1,miRNA
34,peve-mir-novel-19,miRNA
35,peve-mir-novel-6,miRNA
36,peve-mir-novel-18,miRNA
37,peve-mir-novel-21,miRNA
38,peve-mir-novel-4,miRNA
39,peve-mir-novel-26,miRNA
40,peve-mir-2030,miRNA
41,peve-mir-novel-25,miRNA
42,peve-mir-novel-32,miRNA
43,Peve_00027432,gene
44,Peve_00017735,gene
45,Peve_00020387,gene
46,Peve_00020926,gene
47,Peve_00015952,gene
48,Peve_00013095,gene
49,Peve_00034505,gene
50,Peve_00029667,gene
51,Peve_00031940,gene
52,Peve_00008275,gene
53,Peve_00008279,gene
54,Peve_00026650,gene
55,Peve_00010128,gene
56,Peve_00029665,gene
57,Peve_00034585,gene
58,Peve_00008964,gene
59,Peve_00023739,gene
60,Peve_00020651,gene
61,Peve_00027965,gene
62,Peve_00002333,gene
63,Peve_00032772,gene
64,Peve_00027699,gene
65,Peve_00023767,gene
66,Peve_00030028,gene
67,Peve_00015742,gene
68,Peve_00017580,gene
69,Peve_00037587,gene
70,Peve_00040680,gene
71,Peve_00043419,gene
72,Peve_00024854,gene
73,Peve_00035783,gene
74,Peve_00018121,gene
75,Peve_00006544,gene
76,Peve_00022361,gene
77,Peve_00013542,gene
78,Peve_00034862,gene
79,Peve_00004995,gene
80,Peve_00015748,gene
81,Peve_00041754,gene
82,Peve_00014587,gene
83,Peve_00042220,gene
84,Peve_00031993,gene
85,Peve_00024388,gene
86,Peve_00031324,gene
87,Peve_00035315,gene
88,Peve_00043301,gene
89,Peve_00030841,gene
90,Peve_00006285,gene
91,Peve_00011900,gene
92,Peve_00021553,gene
93,Peve_00013205,gene
94,Peve_00032724,gene
95,Peve_00031409,gene
96,Peve_00013596,gene
97,Peve_00043468,gene
98,Peve_00008133,gene
99,Peve_00001878,gene
100,Peve_00036519,gene
101,Peve_00030612,gene
102,Peve_00037399,gene
103,Peve_00038107,gene
104,Peve_00034300,gene
105,Peve_00019126,gene
106,Peve_00006413,gene
107,Peve_00013947,gene
108,Peve_00043123,gene
109,Peve_00030693,gene
110,Peve_00000601,gene
111,Peve_00012638,gene
112,Peve_00003000,gene
113,Peve_00021216,gene
114,Peve_00015043,gene
115,Peve_00002637,gene
116,Peve_00001935,gene
117,Peve_00044964,gene
118,Peve_00036516,gene
119,Peve_00011858,gene
120,Peve_00029393,gene
121,Peve_00019237,gene
122,Peve_00039724,gene
123,Peve_00022350,gene
124,Peve_00001193,gene
125,Peve_00012907,gene
126,Peve_00037614,gene
127,Peve_00018844,gene
128,Peve_00000256,gene
129,Peve_00007613,gene
130,Peve_00022342,gene
131,Peve_00014436,gene
132,Peve_00023049,gene
133,Peve_00012607,gene
134,Peve_00006347,gene
135,Peve_00043325,gene
136,Peve_00021224,gene
137,Peve_00025328,gene
138,Peve_00026910,gene
139,Peve_00025489,gene
140,Peve_00021676,gene
141,Peve_00012722,gene
142,Peve_00014491,gene
143,Peve_00011733,gene
144,Peve_00004871,gene
145,Peve_00028810,gene
146,Peve_00014069,gene
147,Peve_00002661,gene
148,Peve_00013531,gene
149,Peve_00000891,gene
150,Peve_00029721,gene
151,Peve_00032829,gene
152,Peve_00043724,gene
153,Peve_00025970,gene
154,Peve_00025028,gene
155,Peve_00043521,gene
156,Peve_00039320,gene
157,Peve_00000786,gene
158,Peve_00040282,gene
159,Peve_00033364,gene
160,Peve_00022058,gene
161,Peve_00024049,gene
162,Peve_00007535,gene
163,Peve_00044580,gene
164,Peve_00044581,gene
165,Peve_00021049,gene
166,Peve_00036804,gene
167,Peve_00023227,gene
168,Peve_00020556,gene
169,Peve_00001444,gene
170,Peve_00013823,gene
171,Peve_00040371,gene
172,Peve_00040370,gene
173,Peve_00041130,gene
174,Peve_00000334,gene
175,Peve_00008498,gene
176,Peve_00029820,gene
177,Peve_00037304,gene
178,Peve_00027617,gene
179,Peve_00017540,gene
180,Peve_00029618,gene
181,Peve_00019763,gene
182,Peve_00007832,gene
183,Peve_00002105,gene
184,Peve_00028990,gene
185,Peve_00003561,gene
186,Peve_00045236,gene
187,Peve_00000213,gene
188,Peve_00038927,gene
189,Peve_00026145,gene
190,Peve_00042916,gene
191,Peve_00002033,gene
192,Peve_00019364,gene
193,Peve_00020364,gene
194,Peve_00006941,gene
195,Peve_00031444,gene
196,Peve_00016785,gene
197,Peve_00012516,gene
198,Peve_00038025,gene
199,Peve_00039177,gene
200,Peve_00012704,gene
201,Peve_00034569,gene
202,Peve_00023336,gene
203,Peve_00028838,gene
204,Peve_00035609,gene
205,Peve_00044680,gene
206,Peve_00023421,gene
207,Peve_00026462,gene
208,Peve_00006824,gene
209,Peve_00041291,gene
210,Peve_00021707,gene
211,Peve_00033304,gene
212,Peve_00010520,gene
213,Peve_00000224,gene
214,Peve_00021191,gene
215,Peve_00021645,gene
216,Peve_00038441,gene
217,Peve_00042442,gene
218,Peve_00037191,gene
219,Peve_00014601,gene
220,Peve_00033630,gene
221,Peve_00007302,gene
222,Peve_00043672,gene
223,Peve_00034555,gene
224,Peve_00045100,gene
225,Peve_00024638,gene
226,Peve_00027583,gene
227,Peve_00024588,gene
228,Peve_00000905,gene
229,Peve_00032177,gene
