,id,type
1,peve-mir-novel-35,miRNA
2,peve-mir-novel-24,miRNA
3,peve-mir-100,miRNA
4,peve-mir-novel-40,miRNA
5,peve-mir-novel-8,miRNA
6,peve-mir-2023,miRNA
7,peve-mir-novel-42,miRNA
8,peve-mir-novel-34,miRNA
9,peve-mir-novel-10,miRNA
10,peve-mir-novel-39,miRNA
11,peve-mir-novel-3,miRNA
12,peve-mir-novel-22,miRNA
13,peve-mir-novel-38,miRNA
14,peve-mir-2036,miRNA
15,peve-mir-novel-36,miRNA
16,peve-mir-novel-11,miRNA
17,peve-mir-novel-30,miRNA
18,peve-mir-novel-14a; peve-mir-novel-14b,miRNA
19,peve-mir-novel-7,miRNA
20,peve-mir-novel-2,miRNA
21,peve-mir-novel-21,miRNA
22,peve-mir-novel-6,miRNA
23,peve-mir-novel-1,miRNA
24,peve-mir-novel-28,miRNA
25,peve-mir-novel-31,miRNA
26,peve-mir-2025,miRNA
27,peve-mir-2030,miRNA
28,peve-mir-novel-15,miRNA
29,peve-mir-novel-16,miRNA
30,peve-mir-novel-19,miRNA
31,peve-mir-novel-13,miRNA
32,Peve_00027432,gene
33,Peve_00008275,gene
34,Peve_00008279,gene
35,Peve_00034585,gene
36,Peve_00023739,gene
37,Peve_00027965,gene
38,Peve_00032772,gene
39,Peve_00023767,gene
40,Peve_00017580,gene
41,Peve_00043419,gene
42,Peve_00006544,gene
43,Peve_00004995,gene
44,Peve_00041754,gene
45,Peve_00031993,gene
46,Peve_00024388,gene
47,Peve_00031324,gene
48,Peve_00006285,gene
49,Peve_00032724,gene
50,Peve_00043468,gene
51,Peve_00008133,gene
52,Peve_00030612,gene
53,Peve_00006413,gene
54,Peve_00013947,gene
55,Peve_00043123,gene
56,Peve_00021216,gene
57,Peve_00015043,gene
58,Peve_00011858,gene
59,Peve_00029393,gene
60,Peve_00039724,gene
61,Peve_00007613,gene
62,Peve_00023049,gene
63,Peve_00021224,gene
64,Peve_00025328,gene
65,Peve_00026910,gene
66,Peve_00012722,gene
67,Peve_00011733,gene
68,Peve_00004871,gene
69,Peve_00014069,gene
70,Peve_00013531,gene
71,Peve_00029721,gene
72,Peve_00032829,gene
73,Peve_00043521,gene
74,Peve_00001444,gene
75,Peve_00040370,gene
76,Peve_00000334,gene
77,Peve_00008498,gene
78,Peve_00037304,gene
79,Peve_00007832,gene
80,Peve_00002105,gene
81,Peve_00000213,gene
82,Peve_00038927,gene
83,Peve_00020364,gene
84,Peve_00006941,gene
85,Peve_00016785,gene
86,Peve_00038025,gene
87,Peve_00028838,gene
88,Peve_00044680,gene
89,Peve_00026462,gene
90,Peve_00038441,gene
91,Peve_00042442,gene
92,Peve_00014601,gene
93,Peve_00034555,gene
94,Peve_00027583,gene
95,Peve_00032177,gene
96,Peve_00039844,gene
97,Peve_00010457,gene
98,Peve_00003756,gene
99,Peve_00033678,gene
100,Peve_00041933,gene
101,Peve_00026202,gene
102,Peve_00000226,gene
103,Peve_00000536,gene
104,Peve_00001544,gene
105,Peve_00001636,gene
106,Peve_00001859,gene
107,Peve_00002111,gene
108,Peve_00002130,gene
109,Peve_00002245,gene
110,Peve_00003793,gene
111,Peve_00004232,gene
112,Peve_00005112,gene
113,Peve_00004764,gene
114,Peve_00005214,gene
115,Peve_00005941,gene
116,Peve_00007688,gene
117,Peve_00008195,gene
118,Peve_00008266,gene
119,Peve_00008387,gene
120,Peve_00009220,gene
121,Peve_00008801,gene
122,Peve_00009822,gene
123,Peve_00009873,gene
