"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1","FUN_000185","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"2","FUN_000209","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"3","FUN_000210","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"4","FUN_000212","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"5","FUN_000228","GO:0016192","vesicle-mediated transport",401,281,296.2,0.0211,"Biological Processes",0.70074812967581
"6","FUN_000229","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"7","FUN_000265","GO:0010629","negative regulation of gene expression",543,413,401.09,0.02375,"Biological Processes",0.760589318600368
"8","FUN_000316","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"9","FUN_000323","GO:0007015","actin filament organization",66,62,48.75,0.03917,"Biological Processes",0.939393939393939
"10","FUN_000323","GO:0016192","vesicle-mediated transport",401,281,296.2,0.0211,"Biological Processes",0.70074812967581
"11","FUN_000323","GO:0032869","cellular response to insulin stimulus",45,42,33.24,0.04689,"Biological Processes",0.933333333333333
"12","FUN_000329","GO:0015031","protein transport",328,277,242.28,0.00655,"Biological Processes",0.844512195121951
"13","FUN_000329","GO:0051028","mRNA transport",19,18,14.03,0.04806,"Biological Processes",0.947368421052632
"14","FUN_000334","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"15","FUN_000335","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"16","FUN_000336","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"17","FUN_000341","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"18","FUN_000342","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"19","FUN_000343","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
