mRNA	GO
FUN_000046	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000047	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000048	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000049	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000050	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000051	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000052	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000053	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000054	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000055	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000056	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000057	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000058	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000059	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000060	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000061	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000062	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000063	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000064	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000065	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000066	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000067	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000068	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000069	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000070	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000071	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000072	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000073	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000074	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000075	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000076	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000077	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000078	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000079	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000080	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000081	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000082	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000083	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000084	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000085	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
