source,target
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g22310.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g25291.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g10347.t1
ptuh-mir-novel-23,gene-Pocillopora_meandrina_HIv1___TS.g821.t1
ptuh-mir-2023,gene-Pocillopora_meandrina_HIv1___RNAseq.g26466.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g14977.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g18208.t1
ptuh-mir-novel-21,gene-Pocillopora_meandrina_HIv1___RNAseq.g20733.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g627.t1b
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___TS.g5059.t2
ptuh-mir-novel-16,gene-Pocillopora_meandrina_HIv1___RNAseq.g15252.t1
ptuh-mir-novel-19,gene-Pocillopora_meandrina_HIv1___RNAseq.g22666.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___TS.g23997.t1
ptuh-mir-novel-17,gene-Pocillopora_meandrina_HIv1___RNAseq.g29298.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g1869.t1
ptuh-mir-novel-16,gene-Pocillopora_meandrina_HIv1___TS.g20484.t1
ptuh-mir-novel-28,gene-Pocillopora_meandrina_HIv1___RNAseq.g21083.t1
ptuh-mir-100,gene-Pocillopora_meandrina_HIv1___TS.g29797.t1a
ptuh-mir-novel-32,gene-Pocillopora_meandrina_HIv1___RNAseq.g13929.t1
ptuh-mir-novel-4,gene-Pocillopora_meandrina_HIv1___RNAseq.g10343.t1
ptuh-mir-novel-28,gene-Pocillopora_meandrina_HIv1___RNAseq.g14845.t1
ptuh-mir-100,gene-Pocillopora_meandrina_HIv1___RNAseq.g15866.t1
ptuh-mir-novel-17,gene-Pocillopora_meandrina_HIv1___RNAseq.g13578.t1
ptuh-mir-novel-25,gene-Pocillopora_meandrina_HIv1___RNAseq.g28481.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g549.t1b
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g7360.t1
ptuh-mir-novel-10,gene-Pocillopora_meandrina_HIv1___RNAseq.g2388.t1
ptuh-mir-novel-10,gene-Pocillopora_meandrina_HIv1___TS.g5141.t1
ptuh-mir-novel-19,gene-Pocillopora_meandrina_HIv1___RNAseq.g28898.t1
ptuh-mir-novel-12,gene-Pocillopora_meandrina_HIv1___RNAseq.g29320.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___TS.g16575.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g21663.t3
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g1558.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g18290.t1
ptuh-mir-novel-4,gene-Pocillopora_meandrina_HIv1___RNAseq.g5133.t1
ptuh-mir-novel-9,gene-Pocillopora_meandrina_HIv1___TS.g12427.t1
ptuh-mir-novel-28,gene-Pocillopora_meandrina_HIv1___RNAseq.g22440.t1
ptuh-mir-novel-23,gene-Pocillopora_meandrina_HIv1___TS.g6076.t1
ptuh-mir-novel-11; ptuh-mir-novel-15,gene-Pocillopora_meandrina_HIv1___TS.g2276.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___TS.g2276.t1
ptuh-mir-novel-33,gene-Pocillopora_meandrina_HIv1___RNAseq.g22816.t2
ptuh-mir-novel-12,gene-Pocillopora_meandrina_HIv1___RNAseq.g22088.t1
ptuh-mir-novel-17,gene-Pocillopora_meandrina_HIv1___TS.g9480.t1
ptuh-mir-novel-19,gene-Pocillopora_meandrina_HIv1___RNAseq.g5368.t1
ptuh-mir-novel-22,gene-Pocillopora_meandrina_HIv1___RNAseq.g16818.t2
