source,target
ptuh-mir-novel-5,lncRNA_10109
ptuh-mir-novel-5,lncRNA_10250
ptuh-mir-novel-5,lncRNA_10290
ptuh-mir-novel-5,lncRNA_11040
ptuh-mir-novel-5,lncRNA_11224
ptuh-mir-novel-5,lncRNA_11237
ptuh-mir-novel-5,lncRNA_11238
ptuh-mir-novel-5,lncRNA_11239
ptuh-mir-novel-5,lncRNA_11240
ptuh-mir-novel-5,lncRNA_11306
ptuh-mir-novel-5,lncRNA_11308
ptuh-mir-novel-5,lncRNA_11309
ptuh-mir-novel-5,lncRNA_11310
ptuh-mir-novel-5,lncRNA_11311
ptuh-mir-novel-5,lncRNA_12026
ptuh-mir-novel-5,lncRNA_12742
ptuh-mir-novel-5,lncRNA_12743
ptuh-mir-novel-5,lncRNA_12744
ptuh-mir-novel-5,lncRNA_13179
ptuh-mir-novel-5,lncRNA_13208
ptuh-mir-novel-5,lncRNA_13305
ptuh-mir-novel-5,lncRNA_13306
ptuh-mir-novel-5,lncRNA_13372
ptuh-mir-novel-5,lncRNA_13373
ptuh-mir-novel-5,lncRNA_13374
ptuh-mir-novel-5,lncRNA_13376
ptuh-mir-novel-5,lncRNA_13377
ptuh-mir-novel-5,lncRNA_13869
ptuh-mir-novel-5,lncRNA_13870
ptuh-mir-novel-5,lncRNA_14671
ptuh-mir-novel-5,lncRNA_15438
ptuh-mir-novel-5,lncRNA_15439
ptuh-mir-novel-5,lncRNA_15440
ptuh-mir-novel-5,lncRNA_1808
ptuh-mir-novel-5,lncRNA_1852
ptuh-mir-novel-5,lncRNA_1950
ptuh-mir-novel-5,lncRNA_196
ptuh-mir-novel-5,lncRNA_2123
ptuh-mir-novel-5,lncRNA_2707
ptuh-mir-novel-5,lncRNA_2708
ptuh-mir-novel-5,lncRNA_2711
ptuh-mir-novel-5,lncRNA_2929
ptuh-mir-novel-5,lncRNA_334
ptuh-mir-novel-5,lncRNA_335
ptuh-mir-novel-5,lncRNA_3360
ptuh-mir-novel-5,lncRNA_3373
ptuh-mir-novel-5,lncRNA_4005
ptuh-mir-novel-5,lncRNA_4464
ptuh-mir-novel-5,lncRNA_5126
ptuh-mir-novel-5,lncRNA_5183
ptuh-mir-novel-5,lncRNA_6291
ptuh-mir-novel-5,lncRNA_6410
ptuh-mir-novel-5,lncRNA_7795
ptuh-mir-novel-5,lncRNA_8004
ptuh-mir-novel-5,lncRNA_8005
ptuh-mir-novel-5,lncRNA_8024
ptuh-mir-novel-5,lncRNA_8025
ptuh-mir-novel-5,lncRNA_8026
ptuh-mir-novel-5,lncRNA_8155
ptuh-mir-novel-5,lncRNA_9463
ptuh-mir-100,lncRNA_10581
ptuh-mir-100,lncRNA_1072
ptuh-mir-100,lncRNA_10839
ptuh-mir-100,lncRNA_11222
ptuh-mir-100,lncRNA_11709
ptuh-mir-100,lncRNA_12180
ptuh-mir-100,lncRNA_13703
ptuh-mir-100,lncRNA_14058
ptuh-mir-100,lncRNA_14099
ptuh-mir-100,lncRNA_14661
ptuh-mir-100,lncRNA_14668
ptuh-mir-100,lncRNA_14872
ptuh-mir-100,lncRNA_14998
ptuh-mir-100,lncRNA_2169
ptuh-mir-100,lncRNA_217
ptuh-mir-100,lncRNA_2908
ptuh-mir-100,lncRNA_2922
ptuh-mir-100,lncRNA_2923
ptuh-mir-100,lncRNA_3194
ptuh-mir-100,lncRNA_322
ptuh-mir-100,lncRNA_323
ptuh-mir-100,lncRNA_367
ptuh-mir-100,lncRNA_368
ptuh-mir-100,lncRNA_371
ptuh-mir-100,lncRNA_460
ptuh-mir-100,lncRNA_497
ptuh-mir-100,lncRNA_6043
ptuh-mir-100,lncRNA_6822
ptuh-mir-100,lncRNA_7190
ptuh-mir-100,lncRNA_9482
ptuh-mir-novel-6,lncRNA_4695
ptuh-mir-novel-6,lncRNA_9817
ptuh-mir-novel-4,lncRNA_13992
ptuh-mir-novel-4,lncRNA_3521
ptuh-mir-novel-4,lncRNA_4595
ptuh-mir-novel-3,lncRNA_10569
ptuh-mir-novel-3,lncRNA_10582
ptuh-mir-novel-3,lncRNA_10658
ptuh-mir-novel-3,lncRNA_11474
ptuh-mir-novel-3,lncRNA_11500
ptuh-mir-novel-3,lncRNA_11548
ptuh-mir-novel-3,lncRNA_11551
ptuh-mir-novel-3,lncRNA_13179
ptuh-mir-novel-3,lncRNA_14998
ptuh-mir-novel-3,lncRNA_15434
ptuh-mir-novel-3,lncRNA_15438
ptuh-mir-novel-3,lncRNA_15439
ptuh-mir-novel-3,lncRNA_15440
ptuh-mir-novel-3,lncRNA_1852
ptuh-mir-novel-3,lncRNA_2024
ptuh-mir-novel-3,lncRNA_2637
ptuh-mir-novel-3,lncRNA_5808
ptuh-mir-novel-3,lncRNA_5913
ptuh-mir-novel-3,lncRNA_5915
ptuh-mir-novel-3,lncRNA_5916
ptuh-mir-novel-3,lncRNA_6410
ptuh-mir-novel-3,lncRNA_7371
ptuh-mir-novel-3,lncRNA_7710
ptuh-mir-novel-3,lncRNA_8464
ptuh-mir-novel-3,lncRNA_8522
ptuh-mir-novel-31,lncRNA_11556
ptuh-mir-novel-31,lncRNA_11782
ptuh-mir-novel-31,lncRNA_13176
ptuh-mir-novel-31,lncRNA_13196
ptuh-mir-novel-31,lncRNA_14768
ptuh-mir-novel-31,lncRNA_3593
ptuh-mir-novel-31,lncRNA_3594
ptuh-mir-novel-31,lncRNA_5832
ptuh-mir-novel-31,lncRNA_6601
ptuh-mir-novel-31,lncRNA_7774
ptuh-mir-novel-31,lncRNA_8094
ptuh-mir-novel-31,lncRNA_8227
ptuh-mir-novel-31,lncRNA_9747
ptuh-mir-novel-31,lncRNA_9788
ptuh-mir-novel-31,lncRNA_9908
ptuh-mir-novel-20,lncRNA_7793
ptuh-mir-novel-26,lncRNA_10165
ptuh-mir-novel-26,lncRNA_12474
ptuh-mir-novel-26,lncRNA_13905
ptuh-mir-novel-26,lncRNA_14210
ptuh-mir-novel-26,lncRNA_14211
ptuh-mir-novel-26,lncRNA_2891
ptuh-mir-novel-25,lncRNA_12191
ptuh-mir-novel-18,lncRNA_7692
ptuh-mir-2030,lncRNA_5425
ptuh-mir-novel-10,lncRNA_5361
ptuh-mir-novel-10,lncRNA_5363
ptuh-mir-novel-32,lncRNA_2628
ptuh-mir-novel-32,lncRNA_2629
ptuh-mir-novel-32,lncRNA_2630
ptuh-mir-novel-32,lncRNA_2631
ptuh-mir-novel-17,lncRNA_12306
ptuh-mir-novel-17,lncRNA_12906
ptuh-mir-novel-17,lncRNA_13498
ptuh-mir-novel-17,lncRNA_15545
ptuh-mir-novel-17,lncRNA_15546
ptuh-mir-novel-17,lncRNA_2531
ptuh-mir-novel-17,lncRNA_2961
ptuh-mir-novel-17,lncRNA_7978
ptuh-mir-novel-17,lncRNA_928
ptuh-mir-novel-17,lncRNA_9439
ptuh-mir-novel-17,lncRNA_9440
ptuh-mir-novel-17,lncRNA_9516
ptuh-mir-novel-9,lncRNA_13096
ptuh-mir-novel-9,lncRNA_1823
ptuh-mir-novel-9,lncRNA_1824
ptuh-mir-novel-9,lncRNA_1825
ptuh-mir-novel-14,lncRNA_10318
ptuh-mir-novel-14,lncRNA_11314
ptuh-mir-novel-14,lncRNA_12307
ptuh-mir-novel-14,lncRNA_12308
ptuh-mir-novel-12,lncRNA_6689
ptuh-mir-novel-19,lncRNA_6433
ptuh-mir-novel-16,lncRNA_5860
