"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Cluster_19193","FUN_043573",0.929674659349317,0.0221496324840345,0.897955770703476,151,-24.7,"2 18","743 766",18,"72.22%","83.33%"
"2","Cluster_10051","FUN_025197",0.978580789954302,0.00375092828341026,0.545343267336266,171,-21.7,"2 21","778 800",20,"80.00%","85.00%"
"3","Cluster_16409","FUN_019843",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","515 537",19,"78.95%","89.47%"
"4","Cluster_16409","FUN_019846",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","511 533",19,"78.95%","89.47%"
"5","Cluster_10051","FUN_014343",0.938315097289955,0.0182197517071088,0.847898695599974,157,-20.65,"2 21","255 276",20,"70.00%","85.00%"
"6","Cluster_3250","FUN_029385",0.918700592430811,0.0274850568020725,0.914225011702335,157,-22.39,"2 20","682 707",22,"72.73%","77.27%"
"7","Cluster_16409","FUN_020652",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%"
"8","Cluster_19193","FUN_043328",0.965914639369325,0.00751541039444425,0.677079544727381,173,-22.26,"2 19","931 954",19,"84.21%","89.47%"
"9","Cluster_15775","FUN_034923",0.952463395955054,0.0123525010315663,0.766084851142397,175,-21.08,"2 22","665 686",20,"80.00%","90.00%"
"10","Cluster_15775","FUN_027826",0.915440855529146,0.0291399046285765,0.922979388371587,150,-20.73,"2 22","966 997",29,"65.52%","68.97%"
"11","Cluster_15928","FUN_008664",0.88089978514717,0.0484493357400938,0.96546924320845,162,-22.36,"2 21","280 304",22,"77.27%","77.27%"
"12","Cluster_10051","FUN_013927",0.978580789954303,0.00375092828341024,0.545343267336266,152,-21.17,"2 18","385 407",17,"76.47%","76.47%"
"13","Cluster_4254","FUN_042810",-0.911420631503238,0.0312231380321461,0.927224593598359,158,-20.43,"2 20","399 421",19,"73.68%","78.95%"
"14","Cluster_5981","FUN_018057",0.900789662401113,0.0369486378710841,0.96546924320845,147,-20.64,"2 16","945 967",14,"64.29%","85.71%"
"15","Cluster_18728","FUN_018057",-0.910263152536072,0.0318314343537556,0.931214853312136,150,-20.1,"2 11","750 771",9,"100.00%","100.00%"
"16","Cluster_17776","FUN_041481",0.891068009656766,0.0424463563461438,0.96546924320845,142,-22.29,"2 17","675 695",15,"66.67%","80.00%"
"17","Cluster_3366","FUN_035372",0.914870296887149,0.0294327402235506,0.922979388371587,178,-26.71,"2 23","141 164",21,"76.19%","85.71%"
"18","Cluster_15928","FUN_036130",0.939876771205326,0.0175364380491936,0.847898695599974,157,-20.15,"2 14","867 888",12,"91.67%","91.67%"
