"","V1","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","V4.y","PCC.cor","p_value","adjusted_p_value"
"1","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:10682641-10683007",163,-24.82,2,21,325,347,20,"70.00%","85.00%","Pocillopora_meandrina_HIv1___RNAseq.g21937.t1",NA,NA,NA
"2","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:13392853-13393853",158,-22.97,2,21,698,723,23,"69.57%","78.26%","Pocillopora_meandrina_HIv1___TS.g26974.t1",-0.39035775535808,0.515909114093723,0.973552982047016
"3","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:17014660-17015383",155,-21.37,2,18,6,26,16,"75.00%","87.50%","Pocillopora_meandrina_HIv1___TS.g27144.t2",-0.437033368758449,0.461810979392649,0.97024921967979
"4","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:17014660-17015383",155,-21.37,2,18,6,26,16,"75.00%","87.50%","Pocillopora_meandrina_HIv1___RNAseq.g22380.t1a",-0.682514069233956,0.204207658458042,0.916420776581405
"5","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:435489-436489",158,-22.38,2,17,434,454,15,"80.00%","93.33%","Pocillopora_meandrina_HIv1___RNAseq.g20949.t2",-0.484750997549092,0.407900968283479,0.968377289947408
"6","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000000:7937437-7938437",160,-20.28,2,21,701,722,19,"68.42%","78.95%","Pocillopora_meandrina_HIv1___TS.g26435.t1",0.678561876833328,0.207894725235047,0.917126038663203
"7","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:10534064-10535064",162,-23.1,2,19,76,97,17,"76.47%","82.35%","Pocillopora_meandrina_HIv1___RNAseq.g19581.t1",0.554110207234212,0.332466587658076,0.961508159299429
"8","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:10606736-10607736",153,-21.02,2,20,173,197,21,"66.67%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g19593.t1",0.70948423282791,0.179553261749536,0.900037956413122
"9","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:10678236-10679236",153,-21.02,2,20,172,196,21,"66.67%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g19605.t1",0.685167361470398,0.201742764564993,0.915176310418163
"10","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:12936815-12937656",154,-20.17,2,21,725,748,21,"66.67%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g19736.t1b",NA,NA,NA
"11","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:1761491-1762491",159,-21.89,2,20,559,580,18,"66.67%","83.33%","Pocillopora_meandrina_HIv1___RNAseq.g18697.t1",NA,NA,NA
"12","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:17632702-17633702",150,-22.27,2,20,283,306,20,"70.00%","70.00%","Pocillopora_meandrina_HIv1___TS.g29539.t1",0.209158627414724,0.735645627895485,0.983628803736785
"13","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:19965279-19966279",148,-20.02,2,21,730,751,19,"57.89%","73.68%","Pocillopora_meandrina_HIv1___TS.g29791.t1",-0.602371878904877,0.282343695517652,0.946534529352551
"14","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:21453112-21454112",156,-20.6,2,17,716,737,15,"73.33%","86.67%","Pocillopora_meandrina_HIv1___RNAseq.g20543.t1",0.667170323456175,0.218624203208208,0.923150665629671
"15","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:2668529-2669529",162,-20.68,2,21,929,949,19,"73.68%","84.21%","Pocillopora_meandrina_HIv1___RNAseq.g18790.t1",NA,NA,NA
"16","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:7497384-7498384",159,-21.67,2,21,73,96,21,"66.67%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g19234.t1",-0.54967364880761,0.337177203714459,0.963126824822425
"17","Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:8190148-8190438",144,-20.3,2,19,255,275,17,"70.59%","70.59%","Pocillopora_meandrina_HIv1___RNAseq.g19297.t1b",-0.143185773169217,0.818315098904419,0.994226782982918
