CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	251243	1380337	15.40	1631580
2	246836	2357601	9.48	2604437
3	190896	2659252	6.70	2850148
4	159607	2059544	7.19	2219151
5	87275	2595276	3.25	2682551
6	71184	1712074	3.99	1783258
7	66093	1637233	3.88	1703326
8	76738	1691017	4.34	1767755
9	70559	1672991	4.05	1743550
10	70482	1655180	4.08	1725662
11	98472	1674456	5.55	1772928
12	123777	1710414	6.75	1834191
13	90584	1719196	5.01	1809780
14	65262	1741994	3.61	1807256
15	65158	1787715	3.52	1852873
16	67950	1749973	3.74	1817923
17	62526	1760790	3.43	1823316
18	61498	1843650	3.23	1905148
19	60815	1791169	3.28	1851984
20	63664	1799987	3.42	1863651
21	62835	1826450	3.33	1889285
22	61385	1830545	3.24	1891930
23	60418	1841349	3.18	1901767
24	59218	1862089	3.08	1921307
25	60141	1846384	3.15	1906525
26	60918	1853121	3.18	1914039
27	58942	1874997	3.05	1933939
28	59588	1855806	3.11	1915394
29	59473	1858354	3.10	1917827
30	57946	1867485	3.01	1925431
31	58164	1858470	3.03	1916634
32	58264	1869986	3.02	1928250
33	57541	1883179	2.96	1940720
34	57411	1874580	2.97	1931991
35	57668	1889193	2.96	1946861
36	57031	1908801	2.90	1965832
37	57350	1894841	2.94	1952191
38	57850	1900268	2.95	1958118
39	56638	1910250	2.88	1966888
40	55983	1890751	2.88	1946734
41	56814	1888588	2.92	1945402
42	55413	1900148	2.83	1955561
43	55973	1881431	2.89	1937404
44	55586	1898985	2.84	1954571
45	55677	1909947	2.83	1965624
46	55561	1893523	2.85	1949084
47	56273	1906413	2.87	1962686
48	55636	1909158	2.83	1964794
49	54880	1890438	2.82	1945318
50	55403	1888910	2.85	1944313
51	54457	1898642	2.79	1953099
52	55106	1877322	2.85	1932428
53	54745	1872212	2.84	1926957
54	54430	1876664	2.82	1931094
55	54175	1859240	2.83	1913415
56	54250	1859661	2.83	1913911
57	54209	1865122	2.82	1919331
58	53601	1839242	2.83	1892843
59	54481	1844821	2.87	1899302
60	52882	1847573	2.78	1900455
61	53515	1819540	2.86	1873055
62	53931	1816570	2.88	1870501
63	53113	1808725	2.85	1861838
64	53517	1783633	2.91	1837150
65	52841	1768903	2.90	1821744
66	52406	1773098	2.87	1825504
67	52823	1750826	2.93	1803649
68	52689	1738818	2.94	1791507
69	52246	1731766	2.93	1784012
70	52380	1712827	2.97	1765207
71	51742	1702705	2.95	1754447
72	50974	1691598	2.93	1742572
73	51771	1660918	3.02	1712689
74	51380	1651045	3.02	1702425
75	50722	1641723	3.00	1692445
76	50266	1616066	3.02	1666332
77	50230	1600823	3.04	1651053
78	49578	1592837	3.02	1642415
79	49414	1566227	3.06	1615641
80	49456	1555591	3.08	1605047
81	48841	1541041	3.07	1589882
82	49030	1515788	3.13	1564818
83	48046	1499499	3.10	1547545
84	48099	1488358	3.13	1536457
85	48170	1461210	3.19	1509380
86	47573	1446616	3.18	1494189
87	46618	1430400	3.16	1477018
88	46321	1408540	3.18	1454861
89	46385	1394411	3.22	1440796
90	45698	1373432	3.22	1419130
91	45194	1347401	3.25	1392595
92	45400	1328130	3.31	1373530
93	44213	1311719	3.26	1355932
94	43945	1291061	3.29	1335006
95	43811	1275027	3.32	1318838
96	42741	1260733	3.28	1303474
97	42716	1229462	3.36	1272178
98	42300	1213295	3.37	1255595
99	41460	1198984	3.34	1240444
100	41108	1170766	3.39	1211874
101	41032	1154844	3.43	1195876
102	40239	1136364	3.42	1176603
103	39363	1110221	3.42	1149584
104	39444	1093883	3.48	1133327
105	39152	1079727	3.50	1118879
106	38327	1055199	3.50	1093526
107	38143	1042180	3.53	1080323
108	37274	1023015	3.52	1060289
109	36445	1001582	3.51	1038027
110	36511	986355	3.57	1022866
111	36011	971348	3.57	1007359
112	35519	946328	3.62	981847
113	35022	931563	3.62	966585
114	34219	912438	3.61	946657
115	33622	891018	3.64	924640
116	33806	877943	3.71	911749
117	33230	863094	3.71	896324
118	32774	842197	3.75	874971
119	32008	826190	3.73	858198
120	31562	815859	3.72	847421
121	31349	792911	3.80	824260
122	30756	777257	3.81	808013
123	30281	765355	3.81	795636
124	29803	744819	3.85	774622
125	29346	730043	3.86	759389
126	28584	713236	3.85	741820
127	28244	696094	3.90	724338
128	28063	683744	3.94	711807
129	27397	670117	3.93	697514
130	26836	652753	3.95	679589
131	26501	638300	3.99	664801
132	25949	625960	3.98	651909
133	25713	609504	4.05	635217
134	25229	597114	4.05	622343
135	24516	586044	4.02	610560
136	24475	568214	4.13	592689
137	24247	556262	4.18	580509
138	23231	544657	4.09	567888
139	22951	529105	4.16	552056
140	22257	517695	4.12	539952
141	21251	506152	4.03	527403
142	20553	492894	4.00	513447
143	20272	481077	4.04	501349
144	19799	471538	4.03	491337
145	19395	457397	4.07	476792
146	18950	449379	4.05	468329
147	19479	443913	4.20	463392
148	19787	433012	4.37	452799
149	20611	424580	4.63	445191
150	18716	418683	4.28	437399
151	17817	386512	4.41	404329

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	401572	4088932	8.94	4490504
2	242675	1471060	14.16	1713735
3	183068	2128509	7.92	2311577
4	157033	1854598	7.81	2011631
5	70220	2417459	2.82	2487679
6	51369	3059571	1.65	3110940
7	49216	1950174	2.46	1999390
8	52039	1922374	2.64	1974413
9	42475	1927125	2.16	1969600
10	73409	1881170	3.76	1954579
11	83682	1922129	4.17	2005811
12	42982	1987732	2.12	2030714
13	37476	2036579	1.81	2074055
14	45658	2024342	2.21	2070000
15	37233	2015275	1.81	2052508
16	50524	2007500	2.45	2058024
17	32243	2072812	1.53	2105055
18	29111	2074781	1.38	2103892
19	28267	2084736	1.34	2113003
20	30219	2042834	1.46	2073053
21	28121	2075442	1.34	2103563
22	26143	2125829	1.21	2151972
23	24849	2114848	1.16	2139697
