CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	443690	1622930	21.47	2066620
2	445787	2912703	13.27	3358490
3	375953	3318530	10.18	3694483
4	292477	2383907	10.93	2676384
5	138492	3149518	4.21	3288010
6	119790	2111596	5.37	2231386
7	114640	2028715	5.35	2143355
8	112951	2126193	5.04	2239144
9	112106	2091395	5.09	2203501
10	110761	2092770	5.03	2203531
11	114490	2133308	5.09	2247798
12	110936	2177073	4.85	2288009
13	105900	2182096	4.63	2287996
14	105069	2234199	4.49	2339268
15	104042	2289880	4.35	2393922
16	103460	2255583	4.39	2359043
17	102481	2262181	4.33	2364662
18	97967	2395406	3.93	2493373
19	96808	2320965	4.00	2417773
20	99059	2352216	4.04	2451275
21	96135	2380763	3.88	2476898
22	95574	2365980	3.88	2461554
23	94773	2393816	3.81	2488589
24	91810	2414404	3.66	2506214
25	92354	2403716	3.70	2496070
26	92915	2426842	3.69	2519757
27	90073	2463853	3.53	2553926
28	89818	2450223	3.54	2540041
29	89698	2458012	3.52	2547710
30	86980	2480969	3.39	2567949
31	87066	2462281	3.42	2549347
32	88749	2482383	3.45	2571132
33	85540	2494868	3.31	2580408
34	85344	2477452	3.33	2562796
35	85661	2500567	3.31	2586228
36	83405	2526401	3.20	2609806
37	84570	2512610	3.26	2597180
38	83783	2523767	3.21	2607550
39	81862	2537801	3.12	2619663
40	82334	2509671	3.18	2592005
41	82041	2508212	3.17	2590253
42	79764	2527735	3.06	2607499
43	79905	2501684	3.10	2581589
44	79950	2518210	3.08	2598160
45	79052	2540631	3.02	2619683
46	78758	2510147	3.04	2588905
47	79338	2527501	3.04	2606839
48	78555	2530310	3.01	2608865
49	77221	2506041	2.99	2583262
50	77715	2504518	3.01	2582233
51	76456	2513898	2.95	2590354
52	76949	2484101	3.00	2561050
53	76557	2477435	3.00	2553992
54	75660	2472272	2.97	2547932
55	75519	2449899	2.99	2525418
56	75175	2454778	2.97	2529953
57	74382	2459213	2.94	2533595
58	74080	2425381	2.96	2499461
59	75078	2429132	3.00	2504210
60	73512	2433603	2.93	2507115
61	73657	2394611	2.98	2468268
62	74038	2383832	3.01	2457870
63	72871	2379245	2.97	2452116
64	72899	2341475	3.02	2414374
65	73117	2324874	3.05	2397991
66	72549	2328725	3.02	2401274
67	72421	2296589	3.06	2369010
68	72278	2283584	3.07	2355862
69	71332	2273909	3.04	2345241
70	71277	2244810	3.08	2316087
71	71156	2234241	3.09	2305397
72	69971	2214399	3.06	2284370
73	71311	2175959	3.17	2247270
74	70563	2161877	3.16	2232440
75	69326	2146733	3.13	2216059
76	68767	2112882	3.15	2181649
77	69157	2092226	3.20	2161383
78	67756	2085326	3.15	2153082
79	67250	2048543	3.18	2115793
80	68191	2031033	3.25	2099224
81	66860	2015162	3.21	2082022
82	66664	1978205	3.26	2044869
83	66313	1962196	3.27	2028509
84	65669	1946781	3.26	2012450
85	65663	1911689	3.32	1977352
86	65228	1889250	3.34	1954478
87	64550	1869964	3.34	1934514
88	64092	1841409	3.36	1905501
89	63545	1822226	3.37	1885771
90	63337	1799410	3.40	1862747
91	62516	1767861	3.42	1830377
92	63108	1741486	3.50	1804594
93	61438	1724476	3.44	1785914
94	61660	1695714	3.51	1757374
95	60669	1671910	3.50	1732579
96	59891	1658448	3.49	1718339
97	59545	1620401	3.54	1679946
98	59092	1601975	3.56	1661067
99	58194	1578927	3.55	1637121
100	57766	1546466	3.60	1604232
101	57190	1527153	3.61	1584343
102	56237	1508383	3.59	1564620
103	56480	1475868	3.69	1532348
104	55144	1453462	3.66	1508606
105	54631	1439042	3.66	1493673
106	54663	1407596	3.74	1462259
107	54092	1392974	3.74	1447066
108	53419	1371682	3.75	1425101
109	52360	1344148	3.75	1396508
110	52216	1324374	3.79	1376590
111	51677	1310537	3.79	1362214
112	51378	1277909	3.87	1329287
113	50450	1263911	3.84	1314361
114	49618	1241292	3.84	1290910
115	49105	1214512	3.89	1263617
116	49282	1201783	3.94	1251065
117	48215	1180470	3.92	1228685
118	47778	1162656	3.95	1210434
119	47400	1139668	3.99	1187068
120	46667	1127621	3.97	1174288
121	45806	1100851	3.99	1146657
122	45767	1083469	4.05	1129236
123	45131	1068472	4.05	1113603
124	44269	1047660	4.05	1091929
125	43898	1026973	4.10	1070871
126	42911	1009332	4.08	1052243
127	42353	987676	4.11	1030029
128	42275	971964	4.17	1014239
129	41545	957173	4.16	998718
130	40545	937991	4.14	978536
131	40215	919588	4.19	959803
132	39557	908858	4.17	948415
133	39018	888796	4.21	927814
134	38552	872307	4.23	910859
135	38258	857831	4.27	896089
136	37554	838964	4.28	876518
137	37268	823067	4.33	860335
138	36619	812599	4.31	849218
139	36044	791949	4.35	827993
140	35530	776255	4.38	811785
141	34978	765275	4.37	800253
142	34386	747659	4.40	782045
143	33598	734178	4.38	767776
144	33234	721852	4.40	755086
145	32450	705152	4.40	737602
146	31988	693034	4.41	725022
147	32485	688001	4.51	720486
148	33333	675067	4.71	708400
149	35405	669276	5.02	704681
150	32381	653508	4.72	685889
151	30366	607658	4.76	638024

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	677565	5479980	11.00	6157545
2	436724	1873998	18.90	2310722
3	276333	2727393	9.20	3003726
4	245001	2361273	9.40	2606274
5	92964	3241468	2.79	3334432
6	88221	3961859	2.18	4050080
7	83339	2616375	3.09	2699714
8	80413	2614372	2.98	2694785
9	72519	2613797	2.70	2686316
10	80577	2573676	3.04	2654253
11	73406	2645034	2.70	2718440
12	66099	2737899	2.36	2803998
13	60393	2793452	2.12	2853845
14	72311	2789782	2.53	2862093
15	58838	2801424	2.06	2860262
16	65083	2804017	2.27	2869100
17	53932	2883104	1.84	2937036
18	47831	2882073	1.63	2929904
19	47081	2932142	1.58	2979223
20	48116	2890780	1.64	2938896
21	45097	2923050	1.52	2968147
22	43480	2964038	1.45	3007518
23	41784	2937738	1.40	2979522
24	39793	2951650	1.33	2991443
25	39263	3006574	1.29	3045837
26	38378	2964330	1.28	3002708
27	37168	2989860	1.23	3027028
28	36030	3010437	1.18	3046467
29	34790	3002206	1.15	3036996
30	33518	2995618	1.11	3029136
31	33175	3021674	1.09	3054849
32	31901	3023140	1.04	3055041
33	31423	3054430	1.02	3085853
34	30126	3031489	0.98	3061615
35	29865	3046996	0.97	3076861
36	28465	3049641	0.92	3078106
37	27970	3079842	0.90	3107812
38	27425	3039364	0.89	3066789
39	26728	3047642	0.87	3074370
40	26229	3064600	0.85	3090829
41	25473	3063152	0.82	3088625
42	24666	3055918	0.80	3080584
43	25031	3074550	0.81	3099581
44	23915	3063146	0.77	3087061
45	23655	3088999	0.76	3112654
46	23369	3084125	0.75	3107494
47	23049	3063274	0.75	3086323
48	22741	3066586	0.74	3089327
49	22823	3072215	0.74	3095038
50	22371	3046767	0.73	3069138
51	22195	3041960	0.72	3064155
52	22063	3058109	0.72	3080172
53	21723	3048282	0.71	3070005
54	21358	3026774	0.70	3048132
55	21626	3018969	0.71	3040595
56	21309	3000750	0.71	3022059
57	21312	3006272	0.70	3027584
58	21517	2990363	0.71	3011880
59	21874	2964657	0.73	2986531
60	21624	2954662	0.73	2976286
61	22304	2939893	0.75	2962197
62	21800	2917415	0.74	2939215
63	22695	2907941	0.77	2930636
64	23218	2889345	0.80	2912563
65	22919	2856978	0.80	2879897
66	23201	2839229	0.81	2862430
67	23417	2836196	0.82	2859613
68	23443	2801007	0.83	2824450
69	23913	2777045	0.85	2800958
70	23613	2742923	0.85	2766536
71	24139	2726496	0.88	2750635
72	24119	2702982	0.88	2727101
73	24392	2672140	0.90	2696532
74	24680	2635668	0.93	2660348
75	24816	2620592	0.94	2645408
76	25147	2595376	0.96	2620523
77	25061	2570324	0.97	2595385
78	25241	2541919	0.98	2567160
79	25879	2522888	1.02	2548767
80	25572	2478764	1.02	2504336
81	26378	2466716	1.06	2493094
82	26123	2421200	1.07	2447323
83	26194	2395176	1.08	2421370
84	26594	2374726	1.11	2401320
85	26666	2347606	1.12	2374272
86	26843	2318391	1.14	2345234
87	26953	2290752	1.16	2317705
88	27237	2255155	1.19	2282392
89	27392	2224554	1.22	2251946
90	27588	2203437	1.24	2231025
91	27659	2167201	1.26	2194860
92	27433	2136768	1.27	2164201
93	27309	2116876	1.27	2144185
94	27340	2075531	1.30	2102871
95	27637	2046545	1.33	2074182
96	27569	2022545	1.34	2050114
97	28079	2009000	1.38	2037079
98	27372	1961390	1.38	1988762
99	27878	1932098	1.42	1959976
100	27667	1902919	1.43	1930586
101	27766	1876456	1.46	1904222
102	27548	1842915	1.47	1870463
103	27663	1823488	1.49	1851151
104	27810	1787415	1.53	1815225
105	27011	1763033	1.51	1790044
106	27616	1737170	1.56	1764786
107	27499	1702294	1.59	1729793
108	27383	1682950	1.60	1710333
109	27589	1655870	1.64	1683459
110	27296	1622419	1.65	1649715
111	27266	1598162	1.68	1625428
112	27392	1575638	1.71	1603030
113	26911	1543879	1.71	1570790
114	26761	1518315	1.73	1545076
115	26909	1489733	1.77	1516642
116	26485	1471426	1.77	1497911
117	26432	1453801	1.79	1480233
118	26311	1420137	1.82	1446448
119	25986	1397085	1.83	1423071
120	26138	1374228	1.87	1400366
121	25970	1358796	1.88	1384766
122	25860	1325679	1.91	1351539
123	25489	1305088	1.92	1330577
124	25345	1279730	1.94	1305075
125	24964	1260589	1.94	1285553
126	25099	1238955	1.99	1264054
127	25072	1218647	2.02	1243719
128	24625	1191527	2.02	1216152
129	24605	1174116	2.05	1198721
130	24161	1146035	2.06	1170196
131	23695	1127281	2.06	1150976
132	23709	1108007	2.09	1131716
133	23570	1088577	2.12	1112147
134	23380	1065438	2.15	1088818
135	23179	1046456	2.17	1069635
136	22694	1025752	2.16	1048446
137	22786	1004924	2.22	1027710
138	22220	986498	2.20	1008718
139	21877	971071	2.20	992948
140	21912	949287	2.26	971199
141	21824	933983	2.28	955807
142	21117	914126	2.26	935243
143	20972	894138	2.29	915110
144	21224	880006	2.36	901230
145	21297	862822	2.41	884119
146	20788	851319	2.38	872107
147	21219	840433	2.46	861652
148	21535	825608	2.54	847143
149	22284	813734	2.67	836018
150	25541	817946	3.03	843487
151	31603	746358	4.06	777961

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2337425	6154663	27.52	8492088
2	2239907	7803689	22.30	10043596
3	1630496	7692967	17.49	9323463
4	1512950	7312740	17.14	8825690
5	617274	8833321	6.53	9450595
6	571062	9591448	5.62	10162510
7	551684	10652456	4.92	11204140
8	485469	10558041	4.40	11043510
9	474600	10336817	4.39	10811417
10	447250	10252724	4.18	10699974
11	444285	10232211	4.16	10676496
12	401013	10201014	3.78	10602027
13	384052	10209917	3.63	10593969
14	375266	10172860	3.56	10548126
15	364469	10103621	3.48	10468090
16	357332	10059119	3.43	10416451
17	335830	9977731	3.26	10313561
18	307749	9946901	3.00	10254650
19	304190	9880903	2.99	10185093
20	314440	9896411	3.08	10210851
21	288483	9869547	2.84	10158030
22	281167	9805141	2.79	10086308
23	277740	9859165	2.74	10136905
24	258515	9842406	2.56	10100921
25	254800	9829179	2.53	10083979
26	252041	9845460	2.50	10097501
27	245150	9863840	2.43	10108990
28	237154	9919896	2.33	10157050
29	234378	9947853	2.30	10182231
30	224878	9944662	2.21	10169540
31	224286	9968087	2.20	10192373
32	215441	10031846	2.10	10247287
33	207101	10047198	2.02	10254299
34	203243	10073038	1.98	10276281
35	200316	10130280	1.94	10330596
36	191381	10116119	1.86	10307500
37	188269	10168886	1.82	10357155
38	183594	10205442	1.77	10389036
39	180592	10220729	1.74	10401321
40	174339	10276623	1.67	10450962
41	171633	10316139	1.64	10487772
42	162449	10334297	1.55	10496746
43	164619	10330970	1.57	10495589
44	159083	10385258	1.51	10544341
45	151534	10347709	1.44	10499243
46	149429	10344734	1.42	10494163
47	148541	10346745	1.42	10495286
48	141399	10398232	1.34	10539631
49	140237	10378459	1.33	10518696
50	136987	10366235	1.30	10503222
51	136101	10373237	1.30	10509338
52	132232	10371338	1.26	10503570
53	129386	10365640	1.23	10495026
54	125691	10320628	1.20	10446319
55	128516	10319417	1.23	10447933
56	123662	10236824	1.19	10360486
57	122658	10209993	1.19	10332651
58	122936	10154384	1.20	10277320
59	123602	10107677	1.21	10231279
60	119039	10068084	1.17	10187123
61	120494	10028398	1.19	10148892
62	120123	9979410	1.19	10099533
63	121356	9913997	1.21	10035353
64	120141	9847896	1.21	9968037
65	121855	9778935	1.23	9900790
66	118802	9694427	1.21	9813229
67	120962	9604889	1.24	9725851
68	120327	9534032	1.25	9654359
69	121136	9442426	1.27	9563562
70	119879	9361314	1.26	9481193
71	124858	9309785	1.32	9434643
72	121766	9219866	1.30	9341632
73	124010	9105927	1.34	9229937
74	124299	9019445	1.36	9143744
75	124105	8955327	1.37	9079432
76	125943	8861659	1.40	8987602
77	126391	8777280	1.42	8903671
78	125110	8670561	1.42	8795671
79	127486	8551762	1.47	8679248
80	126714	8466569	1.47	8593283
81	127010	8377327	1.49	8504337
82	127374	8285581	1.51	8412955
83	130461	8184677	1.57	8315138
84	128793	8095214	1.57	8224007
85	130207	7995182	1.60	8125389
86	131071	7912547	1.63	8043618
87	131543	7809746	1.66	7941289
88	132134	7701718	1.69	7833852
89	132854	7612213	1.72	7745067
90	133598	7516075	1.75	7649673
91	135351	7414217	1.79	7549568
92	134608	7321224	1.81	7455832
93	134195	7209672	1.83	7343867
94	133766	7106545	1.85	7240311
95	135590	7001597	1.90	7137187
96	131879	6911920	1.87	7043799
97	133276	6812087	1.92	6945363
98	132779	6728161	1.94	6860940
99	134042	6622734	1.98	6756776
100	133207	6520588	2.00	6653795
101	133387	6434705	2.03	6568092
102	131654	6316699	2.04	6448353
103	132383	6224148	2.08	6356531
104	131950	6135563	2.11	6267513
105	131678	6032152	2.14	6163830
106	131995	5936590	2.18	6068585
107	132119	5855120	2.21	5987239
108	130858	5749761	2.23	5880619
109	130221	5652376	2.25	5782597
110	129022	5566721	2.27	5695743
111	129892	5480536	2.32	5610428
112	128803	5394212	2.33	5523015
113	129086	5289371	2.38	5418457
114	126680	5189016	2.38	5315696
115	126236	5107889	2.41	5234125
116	126335	5030920	2.45	5157255
117	124867	4954320	2.46	5079187
118	124524	4877092	2.49	5001616
119	123711	4784388	2.52	4908099
120	123116	4706044	2.55	4829160
121	122826	4623367	2.59	4746193
122	121913	4559492	2.60	4681405
123	121686	4475114	2.65	4596800
124	120209	4387333	2.67	4507542
125	119977	4320454	2.70	4440431
126	117241	4240157	2.69	4357398
127	117846	4168928	2.75	4286774
128	116382	4092813	2.76	4209195
129	115257	4019082	2.79	4134339
130	113788	3947205	2.80	4060993
131	113287	3880929	2.84	3994216
132	112121	3807325	2.86	3919446
133	111049	3741031	2.88	3852080
134	110227	3673067	2.91	3783294
135	109342	3606339	2.94	3715681
136	108130	3539591	2.96	3647721
137	107176	3475033	2.99	3582209
