CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	311089	1669048	15.71	1980137
2	296925	2707270	9.88	3004195
3	226114	3228193	6.55	3454307
4	182774	2527619	6.74	2710393
5	94946	3186295	2.89	3281241
6	77887	2161664	3.48	2239551
7	73153	2050079	3.45	2123232
8	80874	2135369	3.65	2216243
9	76292	2103935	3.50	2180227
10	75597	2086835	3.50	2162432
11	92731	2116247	4.20	2208978
12	106377	2161196	4.69	2267573
13	83845	2170158	3.72	2254003
14	74003	2207213	3.24	2281216
15	73286	2250138	3.15	2323424
16	74762	2199900	3.29	2274662
17	71276	2192960	3.15	2264236
18	69469	2295103	2.94	2364572
19	69582	2216507	3.04	2286089
20	71465	2241910	3.09	2313375
21	70012	2267719	2.99	2337731
22	70419	2260316	3.02	2330735
23	69811	2280310	2.97	2350121
24	67977	2305195	2.86	2373172
25	69383	2284664	2.95	2354047
26	69551	2289210	2.95	2358761
27	68082	2307141	2.87	2375223
28	68358	2287004	2.90	2355362
29	68854	2290062	2.92	2358916
30	66915	2300930	2.83	2367845
31	67746	2286078	2.88	2353824
32	69317	2290591	2.94	2359908
33	67453	2306706	2.84	2374159
34	67564	2289243	2.87	2356807
35	68209	2307252	2.87	2375461
36	67221	2323031	2.81	2390252
37	67381	2311905	2.83	2379286
38	68019	2305479	2.87	2373498
39	66633	2314739	2.80	2381372
40	66005	2287317	2.80	2353322
41	67300	2282842	2.86	2350142
42	65880	2291643	2.79	2357523
43	65957	2265716	2.83	2331673
44	66461	2274991	2.84	2341452
45	65673	2286174	2.79	2351847
46	65978	2261388	2.83	2327366
47	66351	2259857	2.85	2326208
48	65348	2263720	2.81	2329068
49	65934	2236016	2.86	2301950
50	65248	2223438	2.85	2288686
51	64179	2219882	2.81	2284061
52	64988	2192703	2.88	2257691
53	64603	2176469	2.88	2241072
54	63595	2167420	2.85	2231015
55	63959	2141537	2.90	2205496
56	63273	2134091	2.88	2197364
57	62757	2129800	2.86	2192557
58	62452	2090884	2.90	2153336
59	62646	2081759	2.92	2144405
60	61404	2072856	2.88	2134260
61	61861	2032685	2.95	2094546
62	61548	2011807	2.97	2073355
63	61088	1993145	2.97	2054233
64	60526	1955106	3.00	2015632
65	59818	1930068	3.01	1989886
66	59149	1918676	2.99	1977825
67	58773	1887504	3.02	1946277
68	58869	1864719	3.06	1923588
69	57698	1842427	3.04	1900125
70	57868	1807063	3.10	1864931
71	56508	1785431	3.07	1841939
72	55833	1757937	3.08	1813770
73	56340	1716488	3.18	1772828
74	54827	1692844	3.14	1747671
75	54028	1669326	3.14	1723354
76	53217	1631589	3.16	1684806
77	52455	1602128	3.17	1654583
78	52191	1581831	3.19	1634022
79	51272	1546069	3.21	1597341
80	51104	1518597	3.26	1569701
81	49836	1494152	3.23	1543988
82	49403	1455365	3.28	1504768
83	48949	1430456	3.31	1479405
84	47881	1409253	3.29	1457134
85	47622	1371334	3.36	1418956
86	46420	1341991	3.34	1388411
87	45635	1321643	3.34	1367278
88	44996	1291138	3.37	1336134
89	44515	1260062	3.41	1304577
90	43215	1234891	3.38	1278106
91	43003	1198898	3.46	1241901
92	42576	1173585	3.50	1216161
93	40970	1148000	3.45	1188970
94	40247	1119629	3.47	1159876
95	39717	1092828	3.51	1132545
96	38819	1072798	3.49	1111617
97	38318	1038583	3.56	1076901
98	37084	1014995	3.52	1052079
99	36984	993277	3.59	1030261
100	35863	959540	3.60	995403
101	35257	938537	3.62	973794
102	34372	916272	3.62	950644
103	33866	887736	3.67	921602
104	32901	865496	3.66	898397
105	31907	847050	3.63	878957
106	31473	820406	3.69	851879
107	31071	800542	3.74	831613
108	30160	779091	3.73	809251
109	29623	758006	3.76	787629
110	29090	737622	3.79	766712
111	28404	719777	3.80	748181
112	27606	694708	3.82	722314
113	27238	678881	3.86	706119
114	26440	656993	3.87	683433
115	25825	636925	3.90	662750
116	25763	622269	3.98	648032
117	24786	604196	3.94	628982
118	24091	586866	3.94	610957
119	23738	568840	4.01	592578
120	23139	556454	3.99	579593
121	22496	537132	4.02	559628
122	21916	520966	4.04	542882
123	21151	505055	4.02	526206
124	20815	488125	4.09	508940
125	20381	473465	4.13	493846
126	20015	458377	4.18	478392
127	19442	445841	4.18	465283
128	18933	431575	4.20	450508
129	18595	420316	4.24	438911
130	17903	405345	4.23	423248
131	17633	392471	4.30	410104
132	17069	382443	4.27	399512
133	16713	367376	4.35	384089
134	16345	356669	4.38	373014
135	15635	346088	4.32	361723
136	15443	334226	4.42	349669
137	14934	323383	4.41	338317
138	14792	314928	4.49	329720
139	14507	302205	4.58	316712
140	13860	293975	4.50	307835
141	13246	282940	4.47	296186
142	12825	273344	4.48	286169
143	12254	264602	4.43	276856
144	11879	256888	4.42	268767
145	11767	246937	4.55	258704
146	11401	239546	4.54	250947
147	11525	234546	4.68	246071
148	11844	228060	4.94	239904
149	12630	222315	5.38	234945
150	10948	217115	4.80	228063
151	10870	200445	5.14	211315

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	513024	4980576	9.34	5493600
2	281048	1869613	13.07	2150661
3	202787	2743811	6.88	2946598
4	170470	2311854	6.87	2482324
5	64001	3115979	2.01	3179980
6	53053	3845135	1.36	3898188
7	48410	2497659	1.90	2546069
8	49049	2484558	1.94	2533607
9	42301	2476745	1.68	2519046
10	60742	2424546	2.44	2485288
11	64421	2474513	2.54	2538934
12	39499	2558661	1.52	2598160
13	34921	2616146	1.32	2651067
14	40959	2585703	1.56	2626662
15	33977	2576159	1.30	2610136
16	41881	2562298	1.61	2604179
17	30941	2625328	1.16	2656269
18	28206	2609169	1.07	2637375
19	28092	2621130	1.06	2649222
20	29047	2591718	1.11	2620765
21	27890	2629240	1.05	2657130
22	26583	2661386	0.99	2687969
23	25558	2657165	0.95	2682723
24	25029	2659012	0.93	2684041
25	24781	2671387	0.92	2696168
26	24415	2630530	0.92	2654945
27	23997	2654169	0.90	2678166
28	23767	2667561	0.88	2691328
29	23608	2655293	0.88	2678901
30	23279	2654460	0.87	2677739
31	23907	2668771	0.89	2692678
32	23355	2667562	0.87	2690917
33	23463	2689660	0.86	2713123
34	23346	2670999	0.87	2694345
35	23612	2679401	0.87	2703013
36	23352	2686535	0.86	2709887
37	23439	2701767	0.86	2725206
38	23027	2664987	0.86	2688014
39	22816	2674930	0.85	2697746
40	23048	2673258	0.85	2696306
41	22863	2671132	0.85	2693995
42	22935	2661057	0.85	2683992
43	23321	2666989	0.87	2690310
44	22882	2649078	0.86	2671960
45	22959	2669380	0.85	2692339
46	23257	2650919	0.87	2674176
47	23219	2623260	0.88	2646479
48	23437	2627007	0.88	2650444
49	23544	2622457	0.89	2646001
50	23632	2585858	0.91	2609490
51	23409	2582429	0.90	2605838
52	23556	2577735	0.91	2601291
53	23627	2554468	0.92	2578095
54	23658	2535441	0.92	2559099
55	24134	2516668	0.95	2540802
56	24079	2492730	0.96	2516809
57	24880	2486076	0.99	2510956
58	24932	2458517	1.00	2483449
59	25084	2422718	1.02	2447802
60	25126	2411747	1.03	2436873
61	25636	2382736	1.06	2408372
62	25262	2339232	1.07	2364494
63	26212	2330401	1.11	2356613
64	26091	2299675	1.12	2325766
65	26323	2260542	1.15	2286865
66	26015	2238929	1.15	2264944
67	26302	2213406	1.17	2239708
68	26618	2175021	1.21	2201639
69	26690	2150250	1.23	2176940
70	26668	2111107	1.25	2137775
71	26425	2076940	1.26	2103365
72	26831	2051360	1.29	2078191
73	27342	2015102	1.34	2042444
74	26653	1969970	1.33	1996623
75	26960	1949452	1.36	1976412
76	26433	1910914	1.36	1937347
77	26987	1875798	1.42	1902785
78	26751	1844374	1.43	1871125
79	26457	1814172	1.44	1840629
80	26667	1764813	1.49	1791480
81	26747	1747987	1.51	1774734
82	26528	1702939	1.53	1729467
83	26296	1665085	1.55	1691381
84	25977	1640236	1.56	1666213
85	26492	1609970	1.62	1636462
86	26026	1567900	1.63	1593926
87	25676	1540397	1.64	1566073
88	25523	1506430	1.67	1531953
89	25138	1468835	1.68	1493973
90	25117	1440494	1.71	1465611
91	24561	1401145	1.72	1425706
92	24637	1368180	1.77	1392817
93	24513	1341145	1.79	1365658
94	24436	1306312	1.84	1330748
95	23918	1272996	1.84	1296914
96	23533	1247284	1.85	1270817
97	23369	1217841	1.88	1241210
98	23064	1179908	1.92	1202972
99	22714	1153856	1.93	1176570
100	22451	1122828	1.96	1145279
101	22385	1093307	2.01	1115692
102	22028	1063009	2.03	1085037
103	21732	1038698	2.05	1060430
104	21508	1006445	2.09	1027953
105	20822	985134	2.07	1005956
106	20643	957276	2.11	977919
107	20320	929653	2.14	949973
108	20063	910342	2.16	930405
109	19595	883104	2.17	902699
110	19748	853643	2.26	873391
111	19155	831090	2.25	850245
112	18876	808971	2.28	827847
113	18442	784152	2.30	802594
114	18035	763836	2.31	781871
115	18049	739296	2.38	757345
116	17570	719847	2.38	737417
117	17161	704881	2.38	722042
118	16538	677169	2.38	693707
119	16719	657535	2.48	674254
120	16141	641065	2.46	657206
121	15847	623690	2.48	639537
122	15654	599667	2.54	615321
123	15593	585613	2.59	601206
124	15098	564625	2.60	579723
125	14744	549860	2.61	564604
126	14417	533304	2.63	547721
127	14178	517289	2.67	531467
128	13978	500125	2.72	514103
129	13469	485507	2.70	498976
130	13244	468810	2.75	482054
131	13183	452482	2.83	465665
132	12924	440795	2.85	453719
133	12572	427685	2.86	440257
134	12309	410569	2.91	422878
135	11902	398803	2.90	410705
136	11649	385617	2.93	397266
137	11488	372213	2.99	383701
138	11176	360847	3.00	372023
139	11136	349968	3.08	361104
140	10781	336532	3.10	347313
141	10283	326589	3.05	336872
142	10037	315755	3.08	325792
143	9621	303832	3.07	313453
144	9394	294718	3.09	304112
145	9495	285047	3.22	294542
146	9167	277428	3.20	286595
147	9185	270737	3.28	279922
148	9291	262543	3.42	271834
149	9475	255047	3.58	264522
150	10238	256342	3.84	266580
151	14134	231227	5.76	245361

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1459008	5274076	21.67	6733084
2	1316752	6598345	16.64	7915097
3	990836	6289120	13.61	7279956
4	936317	5843680	13.81	6779997
5	453308	7048165	6.04	7501473
6	403188	7852310	4.88	8255498
7	367791	8949215	3.95	9317006
8	351202	8711417	3.88	9062619
9	315199	8413462	3.61	8728661
10	298849	8233247	3.50	8532096
11	311616	8110671	3.70	8422287
12	281704	8043014	3.38	8324718
13	272183	8065781	3.26	8337964
14	271043	8014890	3.27	8285933
15	278911	8000046	3.37	8278957
16	290666	7972864	3.52	8263530
17	261353	7923038	3.19	8184391
18	246950	7921093	3.02	8168043
19	251220	7914584	3.08	8165804
20	258571	7952745	3.15	8211316
21	244713	8002653	2.97	8247366
22	237142	7998860	2.88	8236002
23	234029	8052252	2.82	8286281
24	219673	8063020	2.65	8282693
25	220888	8094015	2.66	8314903
26	220425	8107195	2.65	8327620
27	218429	8154945	2.61	8373374
28	214009	8209073	2.54	8423082
29	215083	8240503	2.54	8455586
30	207232	8259000	2.45	8466232
31	208184	8270244	2.46	8478428
32	203672	8307834	2.39	8511506
33	198921	8312811	2.34	8511732
34	194670	8325101	2.28	8519771
35	194675	8336691	2.28	8531366
36	187105	8331549	2.20	8518654
37	187861	8353548	2.20	8541409
38	183086	8345022	2.15	8528108
39	183577	8336759	2.15	8520336
40	177978	8351779	2.09	8529757
41	176890	8360666	2.07	8537556
42	167970	8345250	1.97	8513220
43	168654	8315344	1.99	8483998
44	164522	8309254	1.94	8473776
45	158671	8263758	1.88	8422429
46	156016	8238048	1.86	8394064
47	155718	8199078	1.86	8354796
48	148752	8185750	1.78	8334502
49	148049	8143547	1.79	8291596
50	145039	8087570	1.76	8232609
51	144837	8055923	1.77	8200760
52	141511	8021837	1.73	8163348
53	139479	7971371	1.72	8110850
54	134469	7899327	1.67	8033796
55	138368	7848402	1.73	7986770
56	133578	7753142	1.69	7886720
57	133804	7697859	1.71	7831663
58	134716	7608685	1.74	7743401
59	135294	7530756	1.76	7666050
60	129985	7453861	1.71	7583846
61	131711	7375098	1.75	7506809
62	129703	7294957	1.75	7424660
63	130647	7211736	1.78	7342383
64	129416	7123560	1.78	7252976
65	131148	7029288	1.83	7160436
66	126672	6924267	1.80	7050939
67	127994	6822235	1.84	6950229
68	127648	6717553	1.86	6845201
69	126705	6608633	1.88	6735338
70	125432	6510028	1.89	6635460
71	127774	6423182	1.95	6550956
