HOG	OG	Gene Tree Parent Clade	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
N1.HOG0000000	OG0000000	n0	FUN_030462-T1, FUN_030464-T1, FUN_030244-T1, FUN_030403-T1, FUN_030530-T1, FUN_030349-T1, FUN_030225-T1, FUN_030405-T1, FUN_030236-T1, FUN_030210-T1, FUN_030248-T1, FUN_030208-T1, FUN_030238-T1, FUN_030206-T1, FUN_030217-T1, FUN_030288-T1, FUN_030215-T1, FUN_030246-T1, FUN_030233-T1, FUN_030229-T1, FUN_030219-T1, FUN_030213-T1, FUN_030250-T1, FUN_030379-T1, FUN_030231-T1, FUN_030254-T1, FUN_030242-T1, FUN_030227-T1, FUN_030252-T1, FUN_030221-T1, FUN_030223-T1, FUN_030204-T1, FUN_030341-T1, FUN_030262-T1, FUN_030381-T1, FUN_030329-T1, FUN_030389-T1, FUN_030273-T1, FUN_030457-T1, FUN_030482-T1, FUN_030449-T1, FUN_030290-T1, FUN_030258-T1, FUN_030397-T1, FUN_030486-T1, FUN_030387-T1, FUN_030443-T1, FUN_030431-T1, FUN_030401-T1, FUN_030331-T1, FUN_030383-T1, FUN_030275-T1, FUN_030298-T1, FUN_030353-T1, FUN_030311-T1, FUN_030490-T1, FUN_030406-T1, FUN_030478-T1, FUN_030391-T1, FUN_030359-T1, FUN_030435-T1, FUN_030325-T1, FUN_030488-T1, FUN_030265-T1, FUN_030476-T1, FUN_030408-T1, FUN_030484-T1, FUN_030278-T1, FUN_030385-T1, FUN_030447-T1, FUN_030415-T1, FUN_030323-T1, FUN_030441-T1, FUN_030377-T1, FUN_030315-T1, FUN_030309-T1, FUN_030455-T1, FUN_030369-T1, FUN_030423-T1, FUN_030466-T1, FUN_030468-T1, FUN_030395-T1, FUN_030427-T1, FUN_030367-T1, FUN_030470-T1, FUN_030357-T1, FUN_030361-T1, FUN_030313-T1, FUN_030294-T1, FUN_030355-T1, FUN_030363-T1, FUN_030282-T1, FUN_030327-T1, FUN_030410-T1, FUN_030421-T1, FUN_030451-T1, FUN_030269-T1, FUN_030335-T1, FUN_030375-T1, FUN_030373-T1, FUN_030337-T1, FUN_030271-T1, FUN_030333-T1, FUN_030339-T1, FUN_030417-T1, FUN_030429-T1, FUN_030317-T1, FUN_030260-T1, FUN_030365-T1, FUN_030439-T1, FUN_030296-T1, FUN_030399-T1, FUN_030286-T1, FUN_030371-T1, FUN_030284-T1, FUN_030433-T1, FUN_030480-T1, FUN_030345-T1, FUN_030437-T1, FUN_030292-T1, FUN_030280-T1, FUN_030301-T1, FUN_030351-T1, FUN_030453-T1, FUN_030307-T1, FUN_030445-T1, FUN_030256-T1, FUN_030343-T1, FUN_030240-T1, FUN_030305-T1, FUN_030321-T1, FUN_030267-T1, FUN_030303-T1, FUN_030319-T1		
N1.HOG0000001	OG0000001	n0	FUN_026906-T1, FUN_026048-T1, FUN_038111-T1, FUN_038110-T1, FUN_025955-T1, FUN_025991-T1, FUN_025998-T1, FUN_026002-T1, FUN_025956-T1, FUN_025999-T1, FUN_035149-T1, FUN_025959-T1, FUN_026001-T1, FUN_025996-T1, FUN_035137-T1, FUN_035138-T1, FUN_026004-T1, FUN_025997-T1, FUN_025952-T1, FUN_007783-T1, FUN_024308-T1, FUN_024272-T1, FUN_025829-T1, FUN_007827-T1, FUN_025828-T1, FUN_025831-T1, FUN_026047-T1, FUN_025995-T1, FUN_026000-T1, FUN_025990-T1, FUN_025992-T1, FUN_025957-T1, FUN_007777-T1, FUN_025954-T1, FUN_025958-T1, FUN_026043-T1, FUN_026042-T1, FUN_026627-T1, FUN_025859-T1, FUN_025869-T1, FUN_038751-T1, FUN_025870-T1, FUN_025856-T1, FUN_025864-T1, FUN_025855-T1, FUN_025860-T1, FUN_038750-T1, FUN_025857-T1, FUN_025851-T1, FUN_025850-T1, FUN_025866-T1, FUN_022516-T1, FUN_025886-T1, FUN_011817-T1, FUN_011827-T1, FUN_011838-T1, FUN_011835-T1, FUN_011821-T1, FUN_025903-T1, FUN_007828-T1, FUN_025906-T1, FUN_025887-T1, FUN_025893-T1, FUN_026060-T1, FUN_025890-T1, FUN_026063-T1, FUN_045193-T1, FUN_025891-T1, FUN_026045-T1, FUN_026044-T1, FUN_025897-T1, FUN_026041-T1, FUN_026039-T1, FUN_026046-T1, FUN_007830-T1, FUN_035143-T1, FUN_035148-T1, FUN_035124-T1, FUN_035139-T1, FUN_035150-T1, FUN_026077-T1, FUN_024290-T1, FUN_024325-T1, FUN_024252-T1, FUN_024295-T1, FUN_024244-T1, FUN_024280-T1, FUN_024315-T1, FUN_024213-T1, FUN_024270-T1, FUN_024284-T1, FUN_024319-T1, FUN_024233-T1, FUN_024281-T1, FUN_024316-T1, FUN_024260-T1, FUN_024306-T1, FUN_026903-T1, FUN_024264-T1, FUN_024249-T1, FUN_024286-T1, FUN_024321-T1, FUN_024242-T1, FUN_024310-T1, FUN_024274-T1, FUN_024237-T1, FUN_024226-T1, FUN_024232-T1, FUN_024257-T1, FUN_024303-T1, FUN_024268-T1, FUN_024323-T1, FUN_024251-T1, FUN_024288-T1, FUN_024209-T1, FUN_024254-T1, FUN_024300-T1	Pocillopora_meandrina_HIv1___RNAseq.g9905.t2	
N1.HOG0000002	OG0000002	n0	FUN_044614-T1		
N1.HOG0000003	OG0000003	n0	FUN_044108-T1, FUN_044123-T1, FUN_044126-T1, FUN_022791-T1, FUN_044151-T1, FUN_016173-T1, FUN_042785-T1, FUN_044133-T1, FUN_043941-T1, FUN_043876-T1, FUN_043884-T1, FUN_008864-T1, FUN_042792-T1, FUN_042789-T1, FUN_020882-T1, FUN_042794-T1, FUN_007188-T1, FUN_042802-T1, FUN_042800-T1, FUN_000033-T1, FUN_000008-T1, FUN_044049-T1, FUN_044202-T1, FUN_015176-T1, FUN_044241-T1, FUN_016214-T1, FUN_044129-T1, FUN_044231-T1, FUN_034772-T1, FUN_044226-T1, FUN_037888-T1, FUN_043885-T1, FUN_043878-T1, FUN_037886-T1, FUN_044203-T1, FUN_043934-T1, FUN_034769-T1, FUN_044111-T1, FUN_007186-T1, FUN_044105-T1, FUN_043669-T1, FUN_044114-T1, FUN_044208-T1, FUN_042781-T1, FUN_044052-T1, FUN_033659-T1, FUN_000002-T1, FUN_000005-T1, FUN_044132-T1, FUN_044145-T1, FUN_044120-T1, FUN_044148-T1, FUN_043889-T1, FUN_044058-T1, FUN_011662-T1, FUN_016277-T1, FUN_044236-T1, FUN_042787-T1, FUN_044294-T1, FUN_044205-T1, FUN_044210-T1, FUN_044092-T1, FUN_037885-T1, FUN_044300-T1, FUN_007204-T1, FUN_007191-T1, FUN_007194-T1, FUN_037882-T1, FUN_044213-T1, FUN_007199-T1, FUN_042056-T1, FUN_044103-T1, FUN_043880-T1, FUN_044097-T1, FUN_015173-T1, FUN_044201-T1, FUN_042778-T1, FUN_044217-T1, FUN_043937-T1, FUN_044137-T1, FUN_043895-T1, FUN_022793-T1, FUN_042797-T1, FUN_025705-T1, FUN_018960-T1, FUN_016171-T1, FUN_043666-T1, FUN_044220-T1, FUN_044293-T1, FUN_043891-T1, FUN_000007-T1, FUN_044048-T1, FUN_044134-T1, FUN_044116-T1, FUN_044130-T1, FUN_044228-T1, FUN_044240-T1, FUN_011659-T1, FUN_044214-T1, FUN_042777-T1, FUN_043881-T1, FUN_044221-T1, FUN_044301-T1, FUN_042055-T1, FUN_007190-T1, FUN_007193-T1, FUN_043892-T1, FUN_007198-T1, FUN_037881-T1, FUN_044096-T1, FUN_044200-T1, FUN_044102-T1, FUN_037884-T1, FUN_007203-T1		
N1.HOG0000004	OG0000004	n0	FUN_007307-T1, FUN_002276-T1, FUN_010534-T1, FUN_011614-T1, FUN_002290-T1, FUN_010547-T1, FUN_003197-T1, FUN_044308-T1, FUN_011613-T1, FUN_011644-T1, FUN_019174-T1, FUN_019200-T1, FUN_019233-T1, FUN_039520-T1, FUN_010548-T1, FUN_039114-T1, FUN_010137-T1, FUN_003215-T1, FUN_025193-T1, FUN_005414-T1, FUN_003196-T1, FUN_019199-T1, FUN_019173-T1, FUN_012945-T1, FUN_019247-T1, FUN_011646-T1, FUN_010145-T1, FUN_040947-T1, FUN_017728-T1, FUN_002267-T1, FUN_002278-T1, FUN_007308-T1, FUN_002292-T1, FUN_002229-T1, FUN_002251-T1, FUN_002277-T1, FUN_017727-T1, FUN_002291-T1, FUN_011645-T1, FUN_012946-T1, FUN_012935-T1, FUN_043846-T1, FUN_021087-T1, FUN_025172-T1, FUN_003354-T1, FUN_039624-T1, FUN_003342-T1, FUN_010536-T1, FUN_025203-T1, FUN_043873-T1, FUN_011615-T1, FUN_012957-T1, FUN_010535-T1, FUN_003343-T1, FUN_021066-T1, FUN_039113-T1, FUN_005395-T1, FUN_002217-T1, FUN_007266-T1, FUN_036501-T1, FUN_040946-T1, FUN_007293-T1, FUN_007247-T1, FUN_007274-T1, FUN_007256-T1, FUN_007285-T1, FUN_021053-T1, FUN_021078-T1, FUN_021086-T1, FUN_010545-T1, FUN_002228-T1, FUN_002266-T1, FUN_002250-T1, FUN_039519-T1, FUN_039623-T1, FUN_019234-T1, FUN_044366-T1, FUN_017726-T1, FUN_039112-T1, FUN_025184-T1, FUN_010146-T1, FUN_025134-T1, FUN_003198-T1, FUN_003344-T1, FUN_003355-T1, FUN_012958-T1, FUN_012947-T1, FUN_012936-T1, FUN_010531-T1, FUN_043867-T1, FUN_002289-T1, FUN_002275-T1, FUN_021065-T1, FUN_002216-T1, FUN_019201-T1, FUN_019175-T1, FUN_025171-T1, FUN_043874-T1, FUN_043847-T1		
N1.HOG0000005	OG0000005	n0		Pocillopora_meandrina_HIv1___RNAseq.g13090.t1	
N1.HOG0000006	OG0000006	n1	FUN_002113-T1	Pocillopora_meandrina_HIv1___RNAseq.g21924.t1	
N1.HOG0000007	OG0000006	n2	FUN_028541-T1	Pocillopora_meandrina_HIv1___RNAseq.g18472.t1, Pocillopora_meandrina_HIv1___RNAseq.g19477.t1, Pocillopora_meandrina_HIv1___RNAseq.g19486.t1, Pocillopora_meandrina_HIv1___RNAseq.g19471.t1, Pocillopora_meandrina_HIv1___RNAseq.g19498.t1, Pocillopora_meandrina_HIv1___RNAseq.g19489.t1, Pocillopora_meandrina_HIv1___RNAseq.g19493.t1, Pocillopora_meandrina_HIv1___RNAseq.g19507.t1, Pocillopora_meandrina_HIv1___RNAseq.g19483.t1, Pocillopora_meandrina_HIv1___RNAseq.g19503.t1, Pocillopora_meandrina_HIv1___RNAseq.g12464.t1, Pocillopora_meandrina_HIv1___RNAseq.g18490.t1, Pocillopora_meandrina_HIv1___RNAseq.g18507.t1, Pocillopora_meandrina_HIv1___RNAseq.g12470.t1, Pocillopora_meandrina_HIv1___RNAseq.g12447.t1, Pocillopora_meandrina_HIv1___RNAseq.g12459.t1, Pocillopora_meandrina_HIv1___RNAseq.g18478.t1, Pocillopora_meandrina_HIv1___RNAseq.g18466.t1, Pocillopora_meandrina_HIv1___RNAseq.g18453.t1, Pocillopora_meandrina_HIv1___TS.g26699.t1, Pocillopora_meandrina_HIv1___RNAseq.g21931.t1, Pocillopora_meandrina_HIv1___RNAseq.g12442.t1, Pocillopora_meandrina_HIv1___RNAseq.g18484.t1, Pocillopora_meandrina_HIv1___RNAseq.g12453.t1, Pocillopora_meandrina_HIv1___RNAseq.g18496.t1, Pocillopora_meandrina_HIv1___RNAseq.g18502.t1, Pocillopora_meandrina_HIv1___TS.g21490.t1, Pocillopora_meandrina_HIv1___RNAseq.g18449.t1, Pocillopora_meandrina_HIv1___RNAseq.g18481.t1, Pocillopora_meandrina_HIv1___RNAseq.g12439.t1, Pocillopora_meandrina_HIv1___TS.g3716.t1, Pocillopora_meandrina_HIv1___TS.g3706.t1, Pocillopora_meandrina_HIv1___TS.g21485.t1, Pocillopora_meandrina_HIv1___RNAseq.g18469.t1, Pocillopora_meandrina_HIv1___RNAseq.g13029.t1, Pocillopora_meandrina_HIv1___RNAseq.g13035.t1, Pocillopora_meandrina_HIv1___TS.g28861.t1, Pocillopora_meandrina_HIv1___RNAseq.g18458.t1, Pocillopora_meandrina_HIv1___RNAseq.g13024.t1, Pocillopora_meandrina_HIv1___RNAseq.g13067.t1, Pocillopora_meandrina_HIv1___RNAseq.g13071.t1, Pocillopora_meandrina_HIv1___RNAseq.g13052.t1, Pocillopora_meandrina_HIv1___RNAseq.g13057.t1, Pocillopora_meandrina_HIv1___TS.g2050.t1, Pocillopora_meandrina_HIv1___RNAseq.g13078.t1, Pocillopora_meandrina_HIv1___RNAseq.g13031.t1, Pocillopora_meandrina_HIv1___RNAseq.g13044.t1, Pocillopora_meandrina_HIv1___RNAseq.g13038.t1, Pocillopora_meandrina_HIv1___RNAseq.g13016.t1, Pocillopora_meandrina_HIv1___RNAseq.g18487.t1, Pocillopora_meandrina_HIv1___RNAseq.g18463.t1, Pocillopora_meandrina_HIv1___RNAseq.g18475.t1, Pocillopora_meandrina_HIv1___RNAseq.g12467.t1, Pocillopora_meandrina_HIv1___RNAseq.g18456.t1, Pocillopora_meandrina_HIv1___RNAseq.g12456.t1, Pocillopora_meandrina_HIv1___RNAseq.g18504.t1, Pocillopora_meandrina_HIv1___RNAseq.g21921.t1, Pocillopora_meandrina_HIv1___RNAseq.g13021.t1, Pocillopora_meandrina_HIv1___RNAseq.g29533.t1, Pocillopora_meandrina_HIv1___RNAseq.g21914.t1, Pocillopora_meandrina_HIv1___TS.g26688.t1, Pocillopora_meandrina_HIv1___RNAseq.g21927.t1, Pocillopora_meandrina_HIv1___RNAseq.g7155.t1, Pocillopora_meandrina_HIv1___RNAseq.g13048.t1, Pocillopora_meandrina_HIv1___TS.g1998.t1, Pocillopora_meandrina_HIv1___RNAseq.g13088.t1, Pocillopora_meandrina_HIv1___RNAseq.g19501.t1, Pocillopora_meandrina_HIv1___RNAseq.g13042.t1, Pocillopora_meandrina_HIv1___RNAseq.g13076.t1, Pocillopora_meandrina_HIv1___RNAseq.g19488.t1, Pocillopora_meandrina_HIv1___RNAseq.g21939.t1, Pocillopora_meandrina_HIv1___TS.g28850.t1, Pocillopora_meandrina_HIv1___TS.g26680.t1, Pocillopora_meandrina_HIv1___RNAseq.g19499.t1, Pocillopora_meandrina_HIv1___RNAseq.g18459.t1, Pocillopora_meandrina_HIv1___RNAseq.g13025.t1, Pocillopora_meandrina_HIv1___TS.g2022.t1, Pocillopora_meandrina_HIv1___RNAseq.g13020.t1, Pocillopora_meandrina_HIv1___RNAseq.g13011.t1, Pocillopora_meandrina_HIv1___RNAseq.g13017.t1, Pocillopora_meandrina_HIv1___RNAseq.g13047.t1, Pocillopora_meandrina_HIv1___RNAseq.g13041.t1	
N1.HOG0000008	OG0000007	n0		Pocillopora_meandrina_HIv1___RNAseq.g23297.t1	
N1.HOG0000009	OG0000008	n0	FUN_043987-T1, FUN_043956-T1, FUN_000061-T1, FUN_043985-T1, FUN_043948-T1, FUN_043960-T1, FUN_042742-T1, FUN_043954-T1, FUN_000134-T1, FUN_000110-T1, FUN_042764-T1, FUN_043983-T1, FUN_000053-T1, FUN_042746-T1, FUN_043972-T1, FUN_042766-T1, FUN_042768-T1, FUN_042774-T1, FUN_000171-T1, FUN_000157-T1, FUN_042772-T1, FUN_000136-T1, FUN_000086-T1, FUN_000163-T1, FUN_000177-T1, FUN_043958-T1, FUN_043952-T1, FUN_000088-T1, FUN_000161-T1, FUN_000077-T1, FUN_000063-T1, FUN_000094-T1, FUN_000049-T1, FUN_000129-T1, FUN_000100-T1, FUN_000143-T1, FUN_000102-T1, FUN_000119-T1, FUN_043976-T1, FUN_043968-T1, FUN_043991-T1, FUN_043989-T1, FUN_043978-T1, FUN_000055-T1, FUN_043993-T1, FUN_000127-T1, FUN_043970-T1, FUN_042770-T1, FUN_000125-T1, FUN_043974-T1, FUN_000090-T1, FUN_000159-T1, FUN_000092-T1, FUN_000153-T1, FUN_000051-T1, FUN_042762-T1, FUN_042754-T1, FUN_043966-T1, FUN_042756-T1, FUN_000057-T1, FUN_000175-T1, FUN_000117-T1, FUN_000173-T1, FUN_042744-T1, FUN_043962-T1, FUN_000123-T1, FUN_000115-T1, FUN_000155-T1, FUN_000165-T1, FUN_043950-T1, FUN_000169-T1, FUN_000059-T1, FUN_000084-T1, FUN_042748-T1, FUN_000067-T1, FUN_000151-T1, FUN_042760-T1, FUN_000098-T1, FUN_000179-T1, FUN_043964-T1, FUN_000167-T1, FUN_000096-T1, FUN_042758-T1		
