"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","PCC.cor","p_value","adjusted_p_value"
"1","Peve_00000084","GO:0005248","voltage-gated sodium channel activity",1,1,0.04,0.0442,"Molecular Functions",2338,"Cluster_4629","Porites_evermani_scaffold_1:1551339-1552339",172,-21,2,21,130,151,19,"78.95%","84.21%",-0.82233803091896,0.385338565133516,0.978262075707395
"2","Peve_00000308","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",1268,"Cluster_16738","Porites_evermani_scaffold_1004:48516-49516",159,-20.93,2,21,43,65,20,"70.00%","80.00%",-0.278306847399115,0.82045357742443,0.995934364227446
"3","Peve_00000691","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",1353,"Cluster_2787","Porites_evermani_scaffold_103:265240-266240",149,-20.12,2,20,546,569,20,"70.00%","75.00%",-0.567239649993248,0.616022648987077,0.978262075707395
"4","Peve_00002887","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",882,"Cluster_13502","Porites_evermani_scaffold_1170:30266-31266",160,-23.5,2,13,493,514,11,"100.00%","100.00%",-0.490352886787749,0.673735795143154,0.978262075707395
"5","Peve_00006860","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",4623,"Cluster_9149","Porites_evermani_scaffold_1450:55600-56600",157,-22.01,2,14,789,810,12,"91.67%","91.67%",-0.899871145993034,0.287320720902971,0.978262075707395
"6","Peve_00008737","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",3499,"Cluster_6905","Porites_evermani_scaffold_1599:41770-42770",150,-22.17,2,17,52,72,15,"80.00%","80.00%",-0.929945104908788,0.239708228175045,0.978262075707395
"7","Peve_00009152","GO:0004303","estradiol 17-beta-dehydrogenase activity",3,2,0.13,0.0055,"Molecular Functions",2007,"Cluster_4079","Porites_evermani_scaffold_163:356130-357130",147,-21.34,2,17,563,586,17,"70.59%","76.47%",-0.768368951198172,0.44213725356944,0.978262075707395
"8","Peve_00009152","GO:0004303","estradiol 17-beta-dehydrogenase activity",3,2,0.13,0.0055,"Molecular Functions",4656,"Cluster_9149","Porites_evermani_scaffold_163:356130-357130",143,-20.14,2,18,370,394,19,"68.42%","73.68%",-0.460696171451473,0.695199563313721,0.978262075707395
"9","Peve_00010809","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",3505,"Cluster_6905","Porites_evermani_scaffold_1773:87410-88410",148,-23.55,2,18,78,100,17,"70.59%","76.47%",-0.221959828748109,0.857509230108774,0.995934364227446
"10","Peve_00011363","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",235,"Cluster_11134","Porites_evermani_scaffold_1819:40455-41455",159,-22.23,2,21,380,404,22,"68.18%","77.27%",-0.0195622829453675,0.987545469442176,0.999448381576871
"11","Peve_00015807","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",547,"Cluster_11135","Porites_evermani_scaffold_2223:7228-8228",155,-21.99,2,19,496,520,20,"80.00%","80.00%",-0.990445528519332,0.0880734178317149,0.978262075707395
"12","Peve_00018407","GO:0004303","estradiol 17-beta-dehydrogenase activity",3,2,0.13,0.0055,"Molecular Functions",4745,"Cluster_9149","Porites_evermani_scaffold_25:18922-19922",146,-22.64,2,18,368,393,20,"70.00%","80.00%",-0.903991667305353,0.281246464876591,0.978262075707395
"13","Peve_00020127","GO:0004364","glutathione transferase activity",1,1,0.04,0.0442,"Molecular Functions",1483,"Cluster_2787","Porites_evermani_scaffold_2702:7294-8294",160,-21.65,2,20,821,842,19,"78.95%","84.21%",-0.0654582032015659,0.958298196860863,0.999448381576871
"14","Peve_00020151","GO:0004364","glutathione transferase activity",1,1,0.04,0.0442,"Molecular Functions",2723,"Cluster_4735","Porites_evermani_scaffold_2707:36085-37085",159,-23.29,2,16,160,181,14,"78.57%","92.86%",-0.500943642233887,0.665972771890438,0.978262075707395
"15","Peve_00020218","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",1311,"Cluster_16738","Porites_evermani_scaffold_2714:5418-6418",161,-21.83,2,14,340,361,12,"91.67%","100.00%",-0.833305914864995,0.372890573708838,0.978262075707395
"16","Peve_00023335","GO:0004303","estradiol 17-beta-dehydrogenase activity",3,2,0.13,0.0055,"Molecular Functions",1152,"Cluster_15726","Porites_evermani_scaffold_31:487572-488572",147,-24.17,2,21,420,437,19,"63.16%","78.95%",-0.923838715631536,0.250067892900169,0.978262075707395
"17","Peve_00024793","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",4821,"Cluster_9149","Porites_evermani_scaffold_3321:21740-22740",151,-21.29,2,14,567,587,12,"91.67%","91.67%",-0.5,0.666666666666667,0.978262075707395
"18","Peve_00025117","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",764,"Cluster_1167","Porites_evermani_scaffold_3375:38972-39972",148,-22.42,2,13,509,530,11,"81.82%","90.91%",-0.511591173923624,0.65811249694873,0.978262075707395
"19","Peve_00025643","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",2502,"Cluster_4629","Porites_evermani_scaffold_3456:11521-12521",151,-21.6,2,12,413,434,10,"90.00%","100.00%",-0.381422561612814,0.750868585911891,0.988219883885475
"20","Peve_00026225","GO:0005248","voltage-gated sodium channel activity",1,1,0.04,0.0442,"Molecular Functions",4835,"Cluster_9149","Porites_evermani_scaffold_3548:6188-7188",150,-21.47,2,21,855,872,19,"73.68%","78.95%",-0.5,0.666666666666667,0.978262075707395
"21","Peve_00026837","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",2189,"Cluster_4080","Porites_evermani_scaffold_3650:13586-14586",175,-22.05,2,20,906,927,18,"83.33%","88.89%",-0.133789061088581,0.914571077831633,0.999448381576871
"22","Peve_00027663","GO:0004303","estradiol 17-beta-dehydrogenase activity",3,2,0.13,0.0055,"Molecular Functions",4853,"Cluster_9149","Porites_evermani_scaffold_3804:13575-14575",160,-24.53,2,20,629,650,19,"73.68%","89.47%",-0.5,0.666666666666667,0.978262075707395
"23","Peve_00028059","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",1170,"Cluster_15726","Porites_evermani_scaffold_3882:13036-14036",166,-20.95,2,20,435,458,20,"75.00%","85.00%",-0.5,0.666666666666667,0.978262075707395
"24","Peve_00039146","GO:0005248","voltage-gated sodium channel activity",1,1,0.04,0.0442,"Molecular Functions",2604,"Cluster_4629","Porites_evermani_scaffold_6834:427-1427",160,-20.59,2,17,459,480,15,"80.00%","86.67%",-0.549020204121286,0.630001990941992,0.978262075707395
"25","Peve_00039162","GO:0001054","RNA polymerase I activity",1,1,0.04,0.0442,"Molecular Functions",4136,"Cluster_796","Porites_evermani_scaffold_6843:1025-2025",155,-20.56,2,21,519,537,19,"73.68%","84.21%",-0.923096672193702,0.251299141778145,0.978262075707395
"26","Peve_00040979","GO:0005248","voltage-gated sodium channel activity",1,1,0.04,0.0442,"Molecular Functions",2828,"Cluster_5563","Porites_evermani_scaffold_765:26293-27293",168,-20.58,2,19,799,820,17,"88.24%","88.24%",-0.0709040158716284,0.954823194005512,0.999448381576871
"27","Peve_00041924","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",5000,"Cluster_9149","Porites_evermani_scaffold_808:95156-96156",155,-22.57,2,12,583,604,10,"100.00%","100.00%",-0.352778877014107,0.77047357614903,0.991116147537857
"28","Peve_00042097","GO:0005109","frizzled binding",1,1,0.04,0.0442,"Molecular Functions",5003,"Cluster_9149","Porites_evermani_scaffold_815:161754-162754",146,-20.27,2,11,832,853,9,"88.89%","100.00%",-0.686867316036735,0.517970683296445,0.978262075707395
