"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"10",10,"Cluster_10060","Porites_evermani_scaffold_422:57577-58262",167,-21.66,2,21,359,381,20,"75.00%","85.00%","Peve_00029974",0.999736312730338,0.0146200630686234,0.734958779208245,NA,NA,NA,NA,NA
"14",14,"Cluster_10060","Porites_evermani_scaffold_752:6900-7900",166,-20.16,2,21,204,224,19,"73.68%","89.47%","Peve_00040742",-0.999019150266648,0.0281988803309955,0.902129556693968,NA,NA,NA,NA,NA
"62",62,"Cluster_10934","Porites_evermani_scaffold_1556:86789-87789",146,-23.41,2,21,504,521,19,"68.42%","78.95%","Peve_00008185",0.99960187302587,0.0179647150151243,0.782669382293497,NA,NA,NA,NA,NA
"68",68,"Cluster_10934","Porites_evermani_scaffold_165:252591-252781",155,-23.23,2,21,51,75,22,"63.64%","77.27%","Peve_00009398",0.998758250045998,0.0317290557481573,0.903929377050813,NA,NA,NA,NA,NA
"87",87,"Cluster_10934","Porites_evermani_scaffold_2614:64308-65308",162,-21.88,2,20,405,427,19,"73.68%","84.21%","Peve_00019390",0.998758250045999,0.0317290557481559,0.903929377050813,NA,NA,NA,NA,NA
"100",100,"Cluster_10934","Porites_evermani_scaffold_3423:11033-12033",147,-20.08,2,17,882,904,16,"75.00%","75.00%","Peve_00025441",0.999999242056246,0.00078381512101461,0.239778920002343,NA,NA,NA,NA,NA
"101",101,"Cluster_10934","Porites_evermani_scaffold_3423:7309-8309",147,-20.08,2,17,882,904,16,"75.00%","75.00%","Peve_00025440",0.999990991243872,0.00270226453852998,0.439065053827702,NA,NA,NA,NA,NA
"117",117,"Cluster_10934","Porites_evermani_scaffold_724:23743-24743",160,-20.06,2,20,942,961,18,"77.78%","83.33%","Peve_00040130",0.998758250045998,0.0317290557481573,0.903929377050813,NA,NA,NA,NA,NA
"171",171,"Cluster_11134","Porites_evermani_scaffold_1091:4675-5675",162,-25.57,2,21,114,140,24,"70.83%","79.17%","Peve_00001620",0.999331428228842,0.0232805554536455,0.848115847217852,"Q0VD42","TLC domain-containing protein 5 (Transmembrane protein 136)","Bos taurus (Bovine)","","GO:0016020"
"174",174,"Cluster_11134","Porites_evermani_scaffold_111:45436-46436",160,-20.3,2,17,930,951,15,"73.33%","93.33%","Peve_00002001",0.997882460106254,0.0414369314993325,0.909359886114279,NA,NA,NA,NA,NA
