"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"1",1,"Cluster_10060","Porites_evermani_scaffold_1755:94665-95665",176,-22.19,2,18,899,921,17,"94.12%","94.12%","Peve_00010610",-0.186221181778393,0.880751796865079,0.998935627800807,NA,NA,NA,NA,NA
"2",2,"Cluster_10060","Porites_evermani_scaffold_1891:50981-51981",162,-20.99,2,20,726,749,20,"75.00%","80.00%","Peve_00012152",NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Cluster_10060","Porites_evermani_scaffold_1:919565-920565",177,-24.72,2,21,797,816,19,"89.47%","89.47%","Peve_00000049",-0.0344953421434075,0.978035225581731,0.999448381576871,"P16065","Speract receptor (EC 4.6.1.2) (Guanylate cyclase)","Strongylocentrotus purpuratus (Purple sea urchin)","cGMP biosynthetic process [GO:0006182]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]; receptor guanylyl cyclase signaling pathway [GO:0007168]; signal transduction [GO:0007165]","GO:0001653; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0006468; GO:0007165; GO:0007168; GO:0035556"
"4",4,"Cluster_10060","Porites_evermani_scaffold_1977:56240-57240",163,-20.82,2,21,905,927,20,"70.00%","85.00%","Peve_00013076",NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Cluster_10060","Porites_evermani_scaffold_209:141486-142486",158,-20.22,2,21,781,801,19,"68.42%","84.21%","Peve_00014408",NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Cluster_10060","Porites_evermani_scaffold_285:306283-307283",166,-20.5,2,20,353,376,20,"75.00%","85.00%","Peve_00021276",NA,NA,NA,"P35384","Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (BoPCaR1) (PCaR1)","Bos taurus (Bovine)","calcium ion import [GO:0070509]; calcium ion transport [GO:0006816]; cellular calcium ion homeostasis [GO:0006874]; detection of calcium ion [GO:0005513]; G protein-coupled receptor signaling pathway [GO:0007186]; JNK cascade [GO:0007254]; ossification [GO:0001503]; positive regulation of ATP-dependent activity [GO:0032781]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; regulation of calcium ion transport [GO:0051924]; vasodilation [GO:0042311]","GO:0001503; GO:0004930; GO:0005509; GO:0005513; GO:0005886; GO:0006816; GO:0006874; GO:0007186; GO:0007254; GO:0008284; GO:0010628; GO:0016597; GO:0032781; GO:0042311; GO:0042803; GO:0043679; GO:0051924; GO:0070509"
"7",7,"Cluster_10060","Porites_evermani_scaffold_311:126053-127053",167,-20.71,2,16,703,724,14,"85.71%","100.00%","Peve_00023467",NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Cluster_10060","Porites_evermani_scaffold_3744:8542-9542",169,-22.61,2,19,22,45,19,"78.95%","89.47%","Peve_00027308",0.258435386498628,0.833586180557278,0.995934364227446,"Q9EQD2","Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (Neuropeptide G-protein coupled receptor)","Rattus norvegicus (Rat)","G protein-coupled receptor signaling pathway [GO:0007186]; regulation of adenylate cyclase activity [GO:0045761]; regulation of cAMP-dependent protein kinase activity [GO:2000479]; regulation of MAPK cascade [GO:0043408]","GO:0004930; GO:0005886; GO:0007186; GO:0008188; GO:0015629; GO:0031628; GO:0042277; GO:0043408; GO:0045761; GO:2000479"
"9",9,"Cluster_10060","Porites_evermani_scaffold_3868:34389-35389",173,-20.78,2,20,309,329,18,"88.89%","88.89%","Peve_00027983",-0.779699360883204,0.430743806610484,0.978262075707395,NA,NA,NA,NA,NA
"10",10,"Cluster_10060","Porites_evermani_scaffold_422:57577-58262",167,-21.66,2,21,359,381,20,"75.00%","85.00%","Peve_00029974",0.999736312730338,0.0146200630686234,0.734958779208245,NA,NA,NA,NA,NA
"11",11,"Cluster_10060","Porites_evermani_scaffold_5347:10045-11045",184,-21.27,2,21,157,178,19,"84.21%","94.74%","Peve_00034902",NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Cluster_10060","Porites_evermani_scaffold_640:44753-45753",167,-22.12,2,21,310,332,20,"75.00%","85.00%","Peve_00038162",NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Cluster_10060","Porites_evermani_scaffold_674:36934-37934",173,-21,2,20,874,894,18,"88.89%","88.89%","Peve_00038919",NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Cluster_10060","Porites_evermani_scaffold_752:6900-7900",166,-20.16,2,21,204,224,19,"73.68%","89.47%","Peve_00040742",-0.999019150266648,0.0281988803309955,0.902129556693968,NA,NA,NA,NA,NA
"15",15,"Cluster_10060","Porites_evermani_scaffold_991:125134-126134",168,-21.08,2,18,878,900,17,"82.35%","94.12%","Peve_00045251",-0.0583399343807917,0.96283854375754,0.999448381576871,NA,NA,NA,NA,NA
