miRNA	lncRNA	mRNA	PCC_lncRNA_mRNA	p_value_lncRNA_mRNA	FDR_lncRNA_mRNA
apul-mir-2028	lncRNA_17237	FUN_025105	0.934607049289873	0.0198757632177948	0.0329898029067172
apul-mir-novel-4	lncRNA_8218	FUN_024260	0.972366676309117	0.00549129997379403	0.0182419523024803
apul-mir-novel-4	lncRNA_8218	FUN_041591	0.950190311238315	0.0132444193751149	0.0273790222405032
apul-mir-novel-4	lncRNA_8218	FUN_022527	0.92991167376077	0.022038554013359	0.0345878376011989
apul-mir-novel-4	lncRNA_8218	FUN_031513	0.966827048050213	0.00721667493141717	0.020715932378312
apul-mir-novel-4	lncRNA_8218	FUN_032162	0.903318727056527	0.0355587777948509	0.043044783794772
apul-mir-novel-4	lncRNA_8218	FUN_042591	0.956619568796218	0.0107752740871268	0.0249182158633778
apul-mir-novel-4	lncRNA_8219	FUN_024260	0.972366676309117	0.00549129997379403	0.0182419523024803
apul-mir-novel-4	lncRNA_8219	FUN_041591	0.950190311238315	0.0132444193751149	0.0273790222405032
apul-mir-novel-4	lncRNA_8219	FUN_022527	0.92991167376077	0.022038554013359	0.0345878376011989
apul-mir-novel-4	lncRNA_8219	FUN_031513	0.966827048050213	0.00721667493141717	0.020715932378312
apul-mir-novel-4	lncRNA_8219	FUN_032162	0.903318727056527	0.0355587777948509	0.043044783794772
apul-mir-novel-4	lncRNA_8219	FUN_042591	0.956619568796218	0.0107752740871268	0.0249182158633778
apul-mir-novel-4	lncRNA_8220	FUN_024260	0.958689925636318	0.0100163218394204	0.0240989206700069
apul-mir-novel-4	lncRNA_8220	FUN_041591	0.958885096854969	0.00994571709736119	0.0240200080514531
apul-mir-novel-4	lncRNA_8220	FUN_022527	0.937282081310281	0.0186763878300025	0.032086257264143
apul-mir-novel-4	lncRNA_8220	FUN_029368	0.878831300468278	0.0497009142512912	0.0498622883950046
apul-mir-novel-4	lncRNA_8220	FUN_031513	0.97969915211119	0.00346161057965278	0.0146423926060471
apul-mir-novel-4	lncRNA_8220	FUN_032162	0.907975311017232	0.0330447824981949	0.0416180329834756
apul-mir-novel-4	lncRNA_8220	FUN_042591	0.972008847496285	0.00559800300456196	0.0184097351912672
apul-mir-2022	lncRNA_18690	FUN_012601	0.89389325522666	0.0408237173650942	0.0457244063649886
apul-mir-2022	lncRNA_18690	FUN_020870	0.93203560555489	0.0210512708078122	0.0338764428157563
apul-mir-2022	lncRNA_18690	FUN_025704	0.938312335520983	0.0182209676237502	0.031711763885611
