"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Peve_00000470","GO:0070125","mitochondrial translational elongation",5,1,0.02,0.0157,"Biological Processes",3385,"Cluster_5563",0.998070534296604,0.0395533713646963,0.909359886114302,161,-21.83,"2 20","946 970",20,"75.00%","85.00%"
"2","Peve_00001935","GO:0007200","phospholipase C-activating G protein-coupled recept...",213,3,0.67,0.0301,"Biological Processes",1379,"Cluster_796",0.998840928019511,0.0306543619898665,0.903929377050732,159,-24.54,"2 21","302 328",24,"70.83%","70.83%"
"3","Peve_00001935","GO:0043647","inositol phosphate metabolic process",26,2,0.08,0.0338,"Biological Processes",1379,"Cluster_796",0.998840928019511,0.0306543619898665,0.903929377050732,159,-24.54,"2 21","302 328",24,"70.83%","70.83%"
"4","Peve_00001935","GO:0090663","galanin-activated signaling pathway",7,1,0.02,0.022,"Biological Processes",1379,"Cluster_796",0.998840928019511,0.0306543619898665,0.903929377050732,159,-24.54,"2 21","302 328",24,"70.83%","70.83%"
"5","Peve_00003541","GO:0042373","vitamin K metabolic process",13,1,0.04,0.0404,"Biological Processes",3429,"Cluster_796",0.998317429681288,0.0369353863010858,0.909359886114302,163,-24.23,"2 21","376 398",20,"75.00%","80.00%"
"6","Peve_00006544","GO:0010344","seed oilbody biogenesis",5,1,0.02,0.0157,"Biological Processes",670,"Cluster_9149",0.999971585054582,0.00479920788265949,0.551398425649871,145,-20.18,"2 10","1 16",8,"100.00%","100.00%"
"7","Peve_00007613","GO:0042381","hemolymph coagulation",2,1,0.01,0.0063,"Biological Processes",1566,"Cluster_15726",0.999883443510219,0.00972002918842882,0.612877211000455,157,-20.89,"2 15","292 315",15,"86.67%","86.67%"
"8","Peve_00012722","GO:0007200","phospholipase C-activating G protein-coupled recept...",213,3,0.67,0.0301,"Biological Processes",1856,"Cluster_9149",1,0,0,152,-25.13,"2 15","768 788",13,"84.62%","92.31%"
"9","Peve_00013596","GO:0014824","artery smooth muscle contraction",8,1,0.03,0.0251,"Biological Processes",954,"Cluster_7053",0.999599711713374,0.0180134147972475,0.782669382293396,155,-20.38,"2 20","415 434",18,"72.22%","88.89%"
"10","Peve_00013596","GO:0038108","negative regulation of appetite by leptin-mediated ...",5,1,0.02,0.0157,"Biological Processes",954,"Cluster_7053",0.999599711713374,0.0180134147972475,0.782669382293396,155,-20.38,"2 20","415 434",18,"72.22%","88.89%"
"11","Peve_00013596","GO:0051131","chaperone-mediated protein complex assembly",11,1,0.03,0.0343,"Biological Processes",954,"Cluster_7053",0.999599711713374,0.0180134147972475,0.782669382293396,155,-20.38,"2 20","415 434",18,"72.22%","88.89%"
"12","Peve_00013596","GO:0060296","regulation of cilium beat frequency involved in cil...",11,1,0.03,0.0343,"Biological Processes",954,"Cluster_7053",0.999599711713374,0.0180134147972475,0.782669382293396,155,-20.38,"2 20","415 434",18,"72.22%","88.89%"
"13","Peve_00017540","GO:0071874","cellular response to norepinephrine stimulus",1,1,0,0.0032,"Biological Processes",2359,"Cluster_796",0.997011731357393,0.0492281083654383,0.950396228648085,156,-25.69,"2 19","770 790",17,"76.47%","82.35%"
"14","Peve_00017540","GO:0180011","cytosolic mRNA polyadenylation",1,1,0,0.0032,"Biological Processes",2359,"Cluster_796",0.997011731357393,0.0492281083654383,0.950396228648085,156,-25.69,"2 19","770 790",17,"76.47%","82.35%"
