"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Peve_00000084","GO:0071277","cellular response to calcium ion",60,6,2.47,0.03627,"Biological Processes",3605,"Cluster_2787",0.623605979332657,0.571333966310074,0.978262075707393,175,-24.28,"2 21","708 730",20,"80.00%","90.00%"
"2","Peve_00000728","GO:0010467","gene expression",5557,220,228.56,0.03545,"Biological Processes",1299,"Cluster_6904",0.742592842212242,0.46719159060699,0.978262075707393,162,-24.28,"2 21","730 750",19,"78.95%","78.95%"
"3","Peve_00000728","GO:0010467","gene expression",5557,220,228.56,0.03545,"Biological Processes",1300,"Cluster_6906",0.973101367926096,0.147992105390083,0.978262075707393,158,-22.36,"2 21","730 750",19,"73.68%","78.95%"
"4","Peve_00000787","GO:1902164","positive regulation of DNA damage response, signal ...",2,2,0.08,0.00169,"Biological Processes",2112,"Cluster_589",0.165142682092856,0.894383074900477,0.999448381576872,157,-20.74,"2 19","197 219",18,"72.22%","83.33%"
"5","Peve_00000787","GO:2000765","regulation of cytoplasmic translation",29,5,1.19,0.041,"Biological Processes",2112,"Cluster_589",0.165142682092856,0.894383074900477,0.999448381576872,157,-20.74,"2 19","197 219",18,"72.22%","83.33%"
"6","Peve_00000936","GO:1905936","regulation of germ cell proliferation",8,2,0.33,0.04012,"Biological Processes",2861,"Cluster_6905",0.0372109528664344,0.976305301345918,0.999448381576872,162,-22.34,"2 15","743 764",13,"92.31%","92.31%"
"7","Peve_00001160","GO:0160095","insect pharynx development",1,1,0.04,0.04113,"Biological Processes",1283,"Cluster_2787",0.754089155165785,0.456157270171844,0.978262075707393,166,-29.97,"2 21","924 949",23,"78.26%","78.26%"
"8","Peve_00001195","GO:0032869","cellular response to insulin stimulus",167,13,6.87,0.02663,"Biological Processes",3232,"Cluster_6904",0.0434594594154317,0.9723241321576,0.999448381576872,166,-23.09,"2 19","584 605",17,"76.47%","88.24%"
"9","Peve_00001493","GO:0050796","regulation of insulin secretion",183,10,7.53,0.02572,"Biological Processes",320,"Cluster_2787",0.107691523123755,0.931308233100356,0.999448381576872,165,-20.46,"2 20","266 286",18,"83.33%","83.33%"
"10","Peve_00002791","GO:0000387","spliceosomal snRNP assembly",44,7,1.81,0.00197,"Biological Processes",2324,"Cluster_796",0.896487397355407,0.29222083284091,0.978262075707393,151,-21.01,"2 20","666 687",18,"66.67%","72.22%"
