"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Peve_00001193","GO:0045200","establishment of neuroblast polarity",11,1,0.03,0.0272,"Biological Processes",1497,"Cluster_589",-0.999192784130991,0.0255810981952977,0.875092164569848,154,-23.1,"2 20","676 698",19,"68.42%","78.95%"
"2","Peve_00001193","GO:0071786","endoplasmic reticulum tubular network organization",17,1,0.04,0.0418,"Biological Processes",1497,"Cluster_589",-0.999192784130991,0.0255810981952977,0.875092164569848,154,-23.1,"2 20","676 698",19,"68.42%","78.95%"
"3","Peve_00001193","GO:0097051","establishment of protein localization to endoplasmi...",9,1,0.02,0.0223,"Biological Processes",1497,"Cluster_589",-0.999192784130991,0.0255810981952977,0.875092164569848,154,-23.1,"2 20","676 698",19,"68.42%","78.95%"
"4","Peve_00001193","GO:1903361","protein localization to basolateral plasma membrane",9,1,0.02,0.0223,"Biological Processes",1497,"Cluster_589",-0.999192784130991,0.0255810981952977,0.875092164569848,154,-23.1,"2 20","676 698",19,"68.42%","78.95%"
"5","Peve_00006413","GO:0019065","receptor-mediated endocytosis of virus by host cell",16,1,0.04,0.0394,"Biological Processes",1222,"Cluster_14500",-0.999945819357893,0.0066270333402645,0.573710369895225,162,-21.66,"2 21","758 783",23,"73.91%","78.26%"
"6","Peve_00006413","GO:0019886","antigen processing and presentation of exogenous pe...",21,2,0.05,0.0013,"Biological Processes",1222,"Cluster_14500",-0.999945819357893,0.0066270333402645,0.573710369895225,162,-21.66,"2 21","758 783",23,"73.91%","78.26%"
"7","Peve_00006413","GO:0036289","peptidyl-serine autophosphorylation",19,1,0.05,0.0466,"Biological Processes",1222,"Cluster_14500",-0.999945819357893,0.0066270333402645,0.573710369895225,162,-21.66,"2 21","758 783",23,"73.91%","78.26%"
"8","Peve_00006413","GO:1903100","1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate met...",3,1,0.01,0.0075,"Biological Processes",1222,"Cluster_14500",-0.999945819357893,0.0066270333402645,0.573710369895225,162,-21.66,"2 21","758 783",23,"73.91%","78.26%"
"9","Peve_00006413","GO:1904562","phosphatidylinositol 5-phosphate metabolic process",4,1,0.01,0.01,"Biological Processes",1222,"Cluster_14500",-0.999945819357893,0.0066270333402645,0.573710369895225,162,-21.66,"2 21","758 783",23,"73.91%","78.26%"
"10","Peve_00007302","GO:0019886","antigen processing and presentation of exogenous pe...",21,2,0.05,0.0013,"Biological Processes",3170,"Cluster_6904",-0.999602697635797,0.0179460996686887,0.782669382293396,151,-22.2,"2 13","313 335",12,"91.67%","91.67%"
"11","Peve_00007302","GO:0038172","interleukin-33-mediated signaling pathway",17,1,0.04,0.0418,"Biological Processes",3170,"Cluster_6904",-0.999602697635797,0.0179460996686887,0.782669382293396,151,-22.2,"2 13","313 335",12,"91.67%","91.67%"
"12","Peve_00007302","GO:0038173","interleukin-17A-mediated signaling pathway",17,1,0.04,0.0418,"Biological Processes",3170,"Cluster_6904",-0.999602697635797,0.0179460996686887,0.782669382293396,151,-22.2,"2 13","313 335",12,"91.67%","91.67%"
"13","Peve_00007302","GO:0042475","odontogenesis of dentin-containing tooth",58,2,0.15,0.0093,"Biological Processes",3170,"Cluster_6904",-0.999602697635797,0.0179460996686887,0.782669382293396,151,-22.2,"2 13","313 335",12,"91.67%","91.67%"
"14","Peve_00008040","GO:0006269","DNA replication, synthesis of primer",14,1,0.04,0.0345,"Biological Processes",3426,"Cluster_7658",-0.999314839069881,0.0235676465242015,0.85170633723042,170,-20.56,"2 21","920 943",21,"80.95%","85.71%"
"15","Peve_00008040","GO:1903934","positive regulation of DNA primase activity",1,1,0,0.0025,"Biological Processes",3426,"Cluster_7658",-0.999314839069881,0.0235676465242015,0.85170633723042,170,-20.56,"2 21","920 943",21,"80.95%","85.71%"
"16","Peve_00009459","GO:0000212","meiotic spindle organization",20,1,0.05,0.049,"Biological Processes",3346,"Cluster_589",-0.996976921072008,0.0495141506171177,0.951254322422076,160,-23.47,"2 19","358 378",17,"76.47%","88.24%"
"17","Peve_00009459","GO:0045842","positive regulation of mitotic metaphase/anaphase t...",20,1,0.05,0.049,"Biological Processes",3346,"Cluster_589",-0.996976921072008,0.0495141506171177,0.951254322422076,160,-23.47,"2 19","358 378",17,"76.47%","88.24%"
"18","Peve_00009459","GO:0045875","negative regulation of sister chromatid cohesion",11,1,0.03,0.0272,"Biological Processes",3346,"Cluster_589",-0.996976921072008,0.0495141506171177,0.951254322422076,160,-23.47,"2 19","358 378",17,"76.47%","88.24%"
"19","Peve_00009459","GO:0051307","meiotic chromosome separation",16,1,0.04,0.0394,"Biological Processes",3346,"Cluster_589",-0.996976921072008,0.0495141506171177,0.951254322422076,160,-23.47,"2 19","358 378",17,"76.47%","88.24%"
"20","Peve_00011858","GO:0034499","late endosome to Golgi transport",2,1,0.01,0.005,"Biological Processes",1407,"Cluster_4629",-0.999998482798634,0.0011089623151821,0.278265881446544,162,-22.01,"2 21","146 170",22,"77.27%","77.27%"
"21","Peve_00011858","GO:0034499","late endosome to Golgi transport",2,1,0.01,0.005,"Biological Processes",1408,"Cluster_4629",-0.999998482798634,0.0011089623151821,0.278265881446544,162,-22.01,"2 21","586 610",22,"77.27%","77.27%"
"22","Peve_00011858","GO:0043547","positive regulation of GTPase activity",60,2,0.15,0.0099,"Biological Processes",1407,"Cluster_4629",-0.999998482798634,0.0011089623151821,0.278265881446544,162,-22.01,"2 21","146 170",22,"77.27%","77.27%"
"23","Peve_00011858","GO:0043547","positive regulation of GTPase activity",60,2,0.15,0.0099,"Biological Processes",1408,"Cluster_4629",-0.999998482798634,0.0011089623151821,0.278265881446544,162,-22.01,"2 21","586 610",22,"77.27%","77.27%"
"24","Peve_00012907","GO:0071391","cellular response to estrogen stimulus",18,1,0.05,0.0442,"Biological Processes",1502,"Cluster_796",-0.999864535075281,0.0104788458953449,0.635656620419967,156,-20.81,"2 21","643 664",19,"68.42%","73.68%"
"25","Peve_00013205","GO:0017148","negative regulation of translation",262,3,0.66,0.026,"Biological Processes",909,"Cluster_4735",-0.999762368280092,0.013878928135551,0.720093853779084,158,-24.01,"2 21","196 221",23,"73.91%","73.91%"
"26","Peve_00013531","GO:0008611","ether lipid biosynthetic process",10,1,0.03,0.0248,"Biological Processes",2003,"Cluster_2854",-0.999994747981341,0.00206328129501745,0.363213043887712,176,-25.43,"2 21","596 617",19,"84.21%","84.21%"
"27","Peve_00014436","GO:0018026","peptidyl-lysine monomethylation",8,1,0.02,0.0199,"Biological Processes",1624,"Cluster_6904",-0.999185657644639,0.0256937863850781,0.876505990190158,167,-27.12,"2 21","703 725",20,"75.00%","85.00%"
"28","Peve_00014436","GO:0018027","peptidyl-lysine dimethylation",6,1,0.02,0.0149,"Biological Processes",1624,"Cluster_6904",-0.999185657644639,0.0256937863850781,0.876505990190158,167,-27.12,"2 21","703 725",20,"75.00%","85.00%"
"29","Peve_00015748","GO:0007601","visual perception",309,3,0.77,0.0423,"Biological Processes",724,"Cluster_4079",-0.999044377811527,0.0278338206502325,0.899469696283614,149,-22.68,"2 20","227 252",22,"68.18%","72.73%"
"30","Peve_00018844","GO:0015860","purine nucleoside transmembrane transport",3,1,0.01,0.0075,"Biological Processes",1545,"Cluster_9149",-0.998768459381639,0.0315983257464126,0.903929377050732,148,-22.4,"2 17","795 813",15,"80.00%","80.00%"
"31","Peve_00018844","GO:0015864","pyrimidine nucleoside transport",3,1,0.01,0.0075,"Biological Processes",1545,"Cluster_9149",-0.998768459381639,0.0315983257464126,0.903929377050732,148,-22.4,"2 17","795 813",15,"80.00%","80.00%"
"32","Peve_00022058","GO:0007601","visual perception",309,3,0.77,0.0423,"Biological Processes",2177,"Cluster_29",-0.997453781157211,0.0454396710191659,0.933005102504754,162,-20.17,"2 19","370 391",17,"70.59%","88.24%"
