"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Peve_00000077","GO:0061001","regulation of dendritic spine morphogenesis",44,6,2.5,0.0284,"Biological Processes",2037,"Cluster_2882",-0.929767308720699,0.240015870124271,0.978262075707393,161,-25.29,"2 20","85 105",18,"77.78%","83.33%"
"2","Peve_00000077","GO:0061001","regulation of dendritic spine morphogenesis",44,6,2.5,0.0284,"Biological Processes",2038,"Cluster_6904",-0.924518590919553,0.248934730906394,0.978262075707393,155,-21.81,"2 17","290 313",17,"76.47%","82.35%"
"3","Peve_00000077","GO:0061001","regulation of dendritic spine morphogenesis",44,6,2.5,0.0284,"Biological Processes",2039,"Cluster_6906",-0.627527227098396,0.568134216123302,0.978262075707393,152,-21.33,"2 14","290 313",14,"85.71%","85.71%"
"4","Peve_00000186","GO:0071222","cellular response to lipopolysaccharide",152,16,8.62,0.0148,"Biological Processes",2511,"Cluster_2854",-0.992941691939373,0.0756834995507798,0.978262075707393,168,-21,"2 21","978 999",19,"73.68%","84.21%"
"5","Peve_00000244","GO:0007254","JNK cascade",209,16,11.86,0.0096,"Biological Processes",3031,"Cluster_15726",-0.200266960175695,0.871638104813553,0.99747674193726,146,-20.81,"2 11","369 390",9,"88.89%","100.00%"
"6","Peve_00000517","GO:0030335","positive regulation of cell migration",482,36,27.34,0.0175,"Biological Processes",683,"Cluster_4079",-0.915921801943044,0.262922487115287,0.978262075707393,155,-20.07,"2 20","140 161",18,"66.67%","77.78%"
"7","Peve_00000517","GO:0051928","positive regulation of calcium ion transport",96,9,5.45,0.0055,"Biological Processes",683,"Cluster_4079",-0.915921801943044,0.262922487115287,0.978262075707393,155,-20.07,"2 20","140 161",18,"66.67%","77.78%"
"8","Peve_00000517","GO:0071476","cellular hypotonic response",10,3,0.57,0.0162,"Biological Processes",683,"Cluster_4079",-0.915921801943044,0.262922487115287,0.978262075707393,155,-20.07,"2 20","140 161",18,"66.67%","77.78%"
"9","Peve_00000638","GO:0008611","ether lipid biosynthetic process",10,3,0.57,0.0162,"Biological Processes",3533,"Cluster_8988",-0.241463767143408,0.844745008975037,0.995934364227445,164,-21.11,"2 21","433 452",19,"84.21%","84.21%"
"10","Peve_00000818","GO:0007158","neuron cell-cell adhesion",109,15,6.18,0.0013,"Biological Processes",2135,"Cluster_4735",-0.500943642233887,0.665972771890438,0.978262075707393,151,-20.23,"2 14","869 889",12,"91.67%","91.67%"
"11","Peve_00000891","GO:0042632","cholesterol homeostasis",57,9,3.23,0.0045,"Biological Processes",2019,"Cluster_11134",-0.999479069517374,0.0205496231198108,0.812495585629081,156,-25.76,"2 21","699 718",19,"73.68%","84.21%"
"12","Peve_00000891","GO:0071397","cellular response to cholesterol",26,5,1.48,0.0141,"Biological Processes",2019,"Cluster_11134",-0.999479069517374,0.0205496231198108,0.812495585629081,156,-25.76,"2 21","699 718",19,"73.68%","84.21%"
"13","Peve_00001149","GO:0007254","JNK cascade",209,16,11.86,0.0096,"Biological Processes",53,"Cluster_4115",-0.897416032138018,0.290883690589598,0.978262075707393,161,-20.54,"2 19","529 552",19,"73.68%","84.21%"
"14","Peve_00001149","GO:0061001","regulation of dendritic spine morphogenesis",44,6,2.5,0.0284,"Biological Processes",53,"Cluster_4115",-0.897416032138018,0.290883690589598,0.978262075707393,161,-20.54,"2 19","529 552",19,"73.68%","84.21%"
"15","Peve_00001149","GO:1902236","negative regulation of endoplasmic reticulum stress...",19,4,1.08,0.0202,"Biological Processes",53,"Cluster_4115",-0.897416032138018,0.290883690589598,0.978262075707393,161,-20.54,"2 19","529 552",19,"73.68%","84.21%"
"16","Peve_00001176","GO:0070121","Kupffer's vesicle development",63,9,3.57,0.0088,"Biological Processes",3086,"Cluster_9149",-0.781214490118773,0.429201023777014,0.978262075707393,174,-28.6,"2 20","356 378",19,"84.21%","89.47%"
"17","Peve_00001233","GO:0001755","neural crest cell migration",110,12,6.24,0.0229,"Biological Processes",133,"Cluster_9149",-0.5,0.666666666666667,0.978262075707393,161,-26.19,"2 14","601 622",12,"91.67%","100.00%"
"18","Peve_00001233","GO:0001838","embryonic epithelial tube formation",351,26,19.91,0.0118,"Biological Processes",133,"Cluster_9149",-0.5,0.666666666666667,0.978262075707393,161,-26.19,"2 14","601 622",12,"91.67%","100.00%"
"19","Peve_00001233","GO:0007158","neuron cell-cell adhesion",109,15,6.18,0.0013,"Biological Processes",133,"Cluster_9149",-0.5,0.666666666666667,0.978262075707393,161,-26.19,"2 14","601 622",12,"91.67%","100.00%"
"20","Peve_00001233","GO:0014042","positive regulation of neuron maturation",66,9,3.74,0.0119,"Biological Processes",133,"Cluster_9149",-0.5,0.666666666666667,0.978262075707393,161,-26.19,"2 14","601 622",12,"91.67%","100.00%"
