transcript_id,RNA-POR-71,RNA-POR-73,RNA-POR-76,RNA-POR-79,RNA-POR-82
mrna-04617,0,0,0,0,0
mrna-35238,14,0,0,0,0
mrna-35239,0,0,0,0,0
mrna-35234,56,43,70,47,67
mrna-35235,0,0,0,86,15
mrna-35236,0,0,0,0,0
mrna-35237,0,0,0,0,0
mrna-35230,176,91,318,110,146
mrna-35231,304,117,669,204,352
mrna-35232,78,0,283,34,160
mrna-35233,17,0,0,0,11
mrna-33683,0,0,0,0,0
mrna-33682,127,0,215,94,99
mrna-33681,42,0,0,24,64
mrna-33680,0,0,0,0,0
mrna-33687,32,4,97,14,57
mrna-33686,1136,753,952,528,1241
mrna-33685,413,138,778,175,576
mrna-33684,403,209,1002,325,235
mrna-26137,3,0,0,0,0
mrna-26136,16,0,19,37,4
mrna-33689,25,7,87,19,28
mrna-33688,19,21,44,9,21
mrna-26133,0,0,0,0,0
mrna-26132,618,209,2170,432,1300
mrna-26131,120,99,341,43,125
mrna-26130,0,14,129,0,33
mrna-27668,0,4,0,0,0
mrna-27669,0,0,0,0,6
mrna-27664,20,4,0,14,27
mrna-27665,4666,133,25256,11063,65
mrna-27666,0,0,0,0,0
mrna-27667,0,0,0,0,6
mrna-27660,19,5,0,7,0
mrna-27661,0,0,1214,150,0
mrna-27662,0,0,0,0,0
mrna-27663,0,0,0,0,0
mrna-29950,1336,322,1538,434,916
mrna-29951,162,0,0,0,0
mrna-29952,0,0,0,0,0
mrna-29328,12,0,79,13,0
mrna-29954,16,55,0,4,0
mrna-29955,5,19,2,0,0
mrna-29956,0,0,0,0,16
mrna-29957,0,0,0,0,0
mrna-29958,0,0,0,0,0
mrna-29959,0,0,0,0,0
mrna-33975,101,26,175,38,145
mrna-33974,22411,8135,9091,10067,44856
mrna-33977,827,185,1560,573,990
mrna-33976,17,0,21,14,44
mrna-33971,21642,3836,4145,6379,24238
mrna-33970,820,165,1339,362,713
mrna-33973,163,115,230,92,332
mrna-33972,154,137,137,37,373
mrna-33979,30,0,0,0,10
mrna-33978,369,335,233,171,754
mrna-12295,0,6,0,20,0
mrna-12294,0,0,0,0,3
mrna-12297,2332,907,3141,1328,3112
mrna-29320,267,35,0,0,239
mrna-12291,0,0,0,0,0
mrna-12290,7,12,0,3,17
mrna-15018,181,78,76,64,108
mrna-15019,1471,803,2425,896,2259
mrna-15016,4,0,0,0,0
mrna-15017,39,0,0,2,23
mrna-15014,0,0,0,0,0
mrna-15015,87,37,108,13,21
mrna-12299,201,110,582,181,179
mrna-12298,66,9,144,19,33
mrna-15010,334,62,262,258,338
mrna-15011,678,225,1092,284,804
mrna-29325,9,20,0,2,1
mrna-11928,1512,549,2031,880,1872
mrna-11929,29,0,79,35,26
mrna-11926,372,31,155,265,751
mrna-11927,121,21,114,54,258
mrna-11924,21,4,101,6,54
mrna-11925,1383,25,3786,632,1195
mrna-11922,83,25,152,17,132
mrna-11923,0,0,0,0,0
mrna-11920,10,8,0,0,16
mrna-11921,11,0,0,0,0
mrna-18868,58,0,69,38,26
mrna-18869,74,28,4,0,10
mrna-18860,0,0,0,0,0
mrna-18861,10,7,0,0,16
mrna-18862,0,0,153,0,0
mrna-18863,8,0,0,0,0
mrna-23945,11,0,27,9,4
mrna-18865,0,2,0,0,0
mrna-18866,1,0,1,1,9
mrna-18867,0,0,0,140,0
mrna-21543,17,20,0,52,20
mrna-21542,35,39,316,18,102
mrna-21541,0,0,0,0,0
mrna-21540,618,468,1340,321,844
mrna-21547,0,0,0,0,0
