species,miRNA,target_type,n_targets,n_positive,n_negative,prop_positive,mean_pcc,predominant_direction,genomic_context
A. pulchra,Cluster_10051,lncRNA,180,121,59,0.672222222222222,0.303281660432492,Predominantly positive,intronic
A. pulchra,Cluster_10051,mRNA,84,48,36,0.571428571428571,0.211334084767108,Mixed,intronic
A. pulchra,Cluster_10057,lncRNA,227,135,92,0.594713656387665,0.162949059456815,Mixed,intronic
A. pulchra,Cluster_10057,mRNA,92,39,53,0.423913043478261,0.0218999728942929,Mixed,intronic
A. pulchra,Cluster_10093,lncRNA,213,158,55,0.741784037558686,0.223275529509985,Predominantly positive,intronic
A. pulchra,Cluster_10093,mRNA,105,67,38,0.638095238095238,0.108081464952501,Predominantly positive,intronic
A. pulchra,Cluster_10207,lncRNA,122,56,66,0.459016393442623,-0.00190361110972716,Mixed,intronic
A. pulchra,Cluster_10207,mRNA,57,37,20,0.649122807017544,0.193440425437576,Predominantly positive,intronic
A. pulchra,Cluster_10228,lncRNA,186,95,91,0.510752688172043,-0.030113891866879,Mixed,intergenic
A. pulchra,Cluster_10228,mRNA,88,35,53,0.397727272727273,-0.109956293619913,Predominantly negative,intergenic
A. pulchra,Cluster_10419,lncRNA,124,48,76,0.387096774193548,-0.182645491581217,Predominantly negative,intronic
A. pulchra,Cluster_10419,mRNA,71,28,43,0.394366197183099,-0.0648274380524553,Predominantly negative,intronic
A. pulchra,Cluster_14402,lncRNA,397,266,131,0.670025188916877,0.177355495541608,Predominantly positive,intronic
A. pulchra,Cluster_14402,mRNA,177,126,51,0.711864406779661,0.188332759154559,Predominantly positive,intronic
A. pulchra,Cluster_14768,lncRNA,436,170,266,0.389908256880734,-0.176029966683181,Predominantly negative,intergenic
A. pulchra,Cluster_14768,mRNA,283,118,165,0.41696113074205,-0.025060893324358,Mixed,intergenic
A. pulchra,Cluster_15316,lncRNA,114,79,35,0.692982456140351,0.276638080808814,Predominantly positive,intergenic
A. pulchra,Cluster_15316,mRNA,57,31,26,0.543859649122807,0.0859187555018609,Mixed,intergenic
A. pulchra,Cluster_15340,lncRNA,780,537,243,0.688461538461539,0.22575400397564,Predominantly positive,intergenic
A. pulchra,Cluster_15340,mRNA,488,300,188,0.614754098360656,0.116012640188782,Predominantly positive,intergenic
A. pulchra,Cluster_15671,lncRNA,12,0,12,0,-0.245267713497205,Predominantly negative,intergenic
A. pulchra,Cluster_15671,mRNA,7,3,4,0.428571428571429,-0.00175589586441333,Mixed,intergenic
A. pulchra,Cluster_15775,lncRNA,344,136,208,0.395348837209302,0.0264969554864752,Predominantly negative,intergenic
A. pulchra,Cluster_15775,mRNA,144,51,93,0.354166666666667,-0.0856442752822984,Predominantly negative,intergenic
A. pulchra,Cluster_15851,lncRNA,59,45,14,0.76271186440678,0.317335637822237,Predominantly positive,intergenic
A. pulchra,Cluster_15851,mRNA,25,18,7,0.72,0.256477229736828,Predominantly positive,intergenic
A. pulchra,Cluster_15854,lncRNA,64,35,29,0.546875,0.0799069957963388,Mixed,intergenic
A. pulchra,Cluster_15854,mRNA,35,12,23,0.342857142857143,-0.0650779641655878,Predominantly negative,intergenic
A. pulchra,Cluster_15928,lncRNA,305,64,241,0.209836065573771,-0.205082603361976,Predominantly negative,intronic
A. pulchra,Cluster_15928,mRNA,81,27,54,0.333333333333333,-0.140510448297885,Predominantly negative,intronic
A. pulchra,Cluster_16409,lncRNA,206,86,120,0.41747572815534,-0.0359785086974742,Mixed,intergenic
