feature_type,feature_id,genomic_context_binary,genomic_context_proportional,max_prop,TE_exonic_prop,TE_intronic_prop,exon_prop,intron_prop,TE_intergenic_prop,intergenic_prop
miRNA_mature,Cluster_1826.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_1832.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_1862.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_1951.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_2463.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_2859.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_3250.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_3366.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_3367.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_3437.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_4220.mature,TE_intronic,TE_intronic,0.5,0,0.5,0,0.5,0,0
miRNA_mature,Cluster_4254.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_5012.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_5899.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_5900.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_5981.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_10051.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_10057.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_10093.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_10207.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_10228.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_10419.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_14402.mature,TE_intronic,intron,0.957,0,0.043,0,0.957,0,0
miRNA_mature,Cluster_14768.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_15316.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_15340.mature,exon,exon,1,0,0,1,0,0,0
miRNA_mature,Cluster_15671.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_15775.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_15851.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_15854.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_15928.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_16409.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_17776.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_17791.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_18711.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_18723.mature,intron,intron,1,0,0,0,1,0,0
miRNA_mature,Cluster_18728.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_18772.mature,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_mature,Cluster_19193.mature,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_1826,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_1832,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_1862,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_1951,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_2463,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_2859,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_3250,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_3366,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_3367,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_3437,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_4220,TE_intronic,intron,0.51,0,0.49,0,0.51,0,0
miRNA_precursor,Cluster_4254,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_5012,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_5899,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_5900,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_5981,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_10051,intron,intron,1,0,0,0,1,0,0
