miRNA_id,mean_meth_precursor,n_samples,species,mean_rpm,sd_rpm,cv_rpm,log2_rpm,mean_meth_mature,genomic_context
Cluster_10057,14.13574,5,Apul,4947.54370199846,1457.27744715079,0.294545644248105,12.272788304193,,intron
Cluster_10093,76.39234,5,Apul,5060.57111642006,1693.17673485836,0.33458214417035,12.3053695529903,,intron
Cluster_10207,1.71059266666667,5,Apul,5898.42766873781,3247.59065498315,0.550585823438281,12.5263592832849,,intron
Cluster_10228,3.86905,4,Apul,361.058604112462,184.770559021769,0.511746727310274,8.50007942581095,,intergenic
Cluster_14402,63.2022561904762,5,Apul,192.654669608096,98.6403431293309,0.512005981116304,7.59734247936314,,intron
Cluster_15316,3.364838,5,Apul,3083.6811818369,938.717290180495,0.304414508124123,11.5909056715565,2.5276240667545,intergenic
Cluster_15340,1.9192,5,Apul,1619.51168388584,1168.17625115576,0.721313876756262,10.6622337071836,2.47474747474748,exon
Cluster_15775,5.827985,5,Apul,8766.86634254103,303.065241457626,0.0345693922567301,13.0980100906678,,intergenic
Cluster_15851,0,5,Apul,80.6820597394571,34.3062502090784,0.425202954905489,6.35194734134835,,intergenic
Cluster_15854,72.7539766666667,5,Apul,44.7775883754609,12.4687221785217,0.27845899323499,5.51656955667989,,intergenic
Cluster_16409,0.511903333333334,5,Apul,543.552985170813,164.493979660292,0.302627313524181,9.08892862021216,0.90909090909091,intergenic
Cluster_17776,7.07705666666667,5,Apul,29.3837185886888,12.6952859272778,0.432051712207891,4.92522654343557,13.1526755957995,intergenic
Cluster_17791,0.829838928571428,5,Apul,48374.125958933,15905.7549581901,0.328807076983535,15.5619777972942,0,intergenic
Cluster_1832,19.2970674242424,5,Apul,2187.65675547865,883.431458732048,0.403825443145791,11.0958300007171,18.5623148781044,intron
Cluster_1862,92.22222,5,Apul,1441.47482503641,1092.0710972924,0.757606777672869,10.4943304249456,,intergenic
Cluster_18728,1.6901453030303,5,Apul,265106.809679263,104125.741486765,0.392769018693789,18.0162196449045,0,intergenic
Cluster_18772,2.103175,5,Apul,342.350839028346,99.8973943711298,0.291798304495636,8.42353967883161,,intergenic
Cluster_19193,0,5,Apul,115.76292964234,38.4680436543209,0.332300191202585,6.86743850414696,0,intron
Cluster_1951,0.789986666666666,5,Apul,2826.1038194645,648.425760352023,0.229441592303176,11.4651091487567,1.60915664456184,intron
Cluster_2463,9.2443,5,Apul,15703.0941634647,8971.59198989926,0.571326382973164,13.9388531080492,,intron
Cluster_2859,0.76923,5,Apul,915.621748668422,316.457030954424,0.345619827635859,9.84018270669341,,intergenic
Cluster_3437,1.00491,5,Apul,1963.05382076554,1012.93385362198,0.515999023005372,10.9396187488807,,intron
Cluster_4254,1.25717,5,Apul,66.321280174102,32.7098177625344,0.493202448394646,6.0729907059472,,intergenic
Cluster_5012,11.701895,5,Apul,15248.3523016384,3834.0099973644,0.251437658411949,13.8964603467457,,intergenic
Cluster_5899,92.75544,5,Apul,408.112474026461,129.616152556517,0.317599095361424,8.676353716103,,intron
Cluster_5900,89.059275,4,Apul,16144.6287601563,4725.91484319731,0.292723661435963,13.9788560045519,,intron
Cluster_5981,86.82353,5,Apul,2322.30686579428,914.264700802387,0.393688153046771,11.181964004681,,intron
Cluster_10060,70.8333375,4,Peve,4249.42000039476,1022.84623243286,0.240702550545212,12.0533896912179,,intron
Cluster_1167,6.0254625,5,Peve,86745.6556123056,17774.1122659465,0.204899163427674,16.4045205173608,6.24678455248714,intron
Cluster_11997,29.0370375,4,Peve,382.959516545621,179.346307056001,0.468316621750895,8.58481039562273,,intron
Cluster_14999,3.57139375,4,Peve,190.344912706946,49.12080960132,0.258062108951376,7.58003173431379,,intergenic
Cluster_2787,86.4292,4,Peve,1104.48354156578,258.927449091042,0.234433053410621,10.1104618311385,,intron
Cluster_4079,1.96216583333334,4,Peve,15611.6086765378,8782.86812019243,0.562585720803515,13.9304239937562,1.81727994227994,intron
Cluster_4080,2.0504296875,4,Peve,21376.1139563121,15142.0036030361,0.708360913212895,14.3837794729275,,intron
Cluster_4629,84.9332625,4,Peve,468.006926331606,150.450589589848,0.321470861059964,8.87346541850786,,intron
Cluster_5563,2.33239,4,Peve,827.407461118891,66.8604377550451,0.0808071487107823,9.69419673714139,,intergenic
Cluster_5882,3.0183125,4,Peve,445.0753182092,175.459142721407,0.394223484302347,8.80114351434376,2.87231287231288,intron
Cluster_6255,4.662875,4,Peve,184.826219962821,56.383317840026,0.305061250786646,7.53781026922132,,intron
Cluster_6904,1.77080947368421,4,Peve,1010.87036022155,333.898306199749,0.330307742059593,9.98280874994525,2.36796134357633,intron
Cluster_6905,1.29580300816993,5,Peve,454.869285723958,157.831732797108,0.346982611819804,8.83247640041097,1.92307692307692,intron
Cluster_6906,1.98328897058824,4,Peve,971.366434233074,291.820971321861,0.300423157561815,9.92535628264642,,intron
Cluster_6914,7.56241726190477,5,Peve,14543.9934222486,4107.53090975661,0.282421119874349,13.828235023551,,intergenic
Cluster_8634,0,4,Peve,114.493057265048,98.6518603465897,0.861640545751292,6.85166231803651,,intergenic
Cluster_8887,2.32362470238095,4,Peve,26163.6168009883,31492.9275677626,1.20369166875174,14.6753295093845,,intergenic
Cluster_8888,1.38347888888889,4,Peve,7124.35305314577,3341.07528394434,0.468965428723255,12.7987457844975,,intergenic
Cluster_9149,88.55435,5,Peve,76.135553390412,131.870646734567,1.73205080756888,6.26932407665255,,intergenic
Cluster_1015,87.8434416666667,5,Ptuh,2120.32418862454,782.325357022945,0.368964973007473,11.0507494003825,92.6237488002194,intron
Cluster_1068,1.177208,5,Ptuh,44.9695647307115,16.8639134080726,0.375007263447127,5.52260710074587,1.90771822849807,intron
Cluster_1080,2.25397,5,Ptuh,556.532503744529,63.1238285576704,0.11342343552794,9.12291210534417,,intergenic
Cluster_1116,1.84542511111111,5,Ptuh,196.957383572261,75.2515228102155,0.382070077523175,7.62904606893574,2.2651587895232,intergenic
Cluster_1296,1.280046,5,Ptuh,154911.376818838,35405.2184021992,0.228551441019106,17.2410928881694,1.32995222280937,intergenic
Cluster_1793,2.49464311111111,5,Ptuh,23015.907079626,4423.08005504876,0.192174917970716,14.4904063624256,,intergenic
Cluster_1953,0,5,Ptuh,1996.47304557631,616.810639976818,0.308950146531414,10.9639603198425,,intron
Cluster_2793,3.571425,4,Ptuh,198.229700955538,70.4825468276378,0.355559971527409,7.63828892868238,,intron
Cluster_2837,1.66666666666667,4,Ptuh,57.2987365627059,23.132202635158,0.403712263530328,5.86539271288484,,intron
Cluster_2859,62.053575,4,Ptuh,262.936830186435,105.749878283987,0.402187393105049,8.04404887056357,,intergenic
Cluster_2973,1.21004,5,Ptuh,120.333403445284,64.6423764286616,0.537193950955228,6.92283297313249,,intron
Cluster_36,3.63443295238095,5,Ptuh,36.5627068896775,17.2940397050497,0.472996700086564,5.23122912687797,2.94322344322344,intergenic
Cluster_3661,2.420694,5,Ptuh,453.357371093788,240.285927916181,0.530014384317735,8.82768367383263,1.23434704830054,intron
Cluster_4039,1.9548325,5,Ptuh,246.864624255498,49.9225662917541,0.202226489284611,7.95340857151401,0.73529411764706,intergenic
Cluster_4040,95.0520833333333,4,Ptuh,66.3376363733042,38.5500411360706,0.581118701895505,6.07334117672475,,intron
Cluster_4823,56.53571,5,Ptuh,1273.1428559534,207.365527741269,0.162876873378033,10.3153113252244,,intron
Cluster_5612,1.84201266666667,5,Ptuh,602.398969416973,255.061671632728,0.423409873824299,9.2369684221919,3.0887120542293,intron
Cluster_757,96.01648,5,Ptuh,1152.56823147306,314.03987929962,0.272469664462516,10.1718876240073,,intron
Cluster_925,1.933816,5,Ptuh,19635.5739262555,4722.97667996676,0.240531633946869,14.261255618226,,intron
